스트리머,팔로워,최고시청자,평균시청자,보정평청,원시비율%,보정비율%,방송시간,노방종,버추얼,최근카테고리,채널해시
띠로기,3610,218,138.1,138.1,3.825,3.825,45.8,,,GTA 산 안드레아스,3ff956022e65b1b1fd708a9bfdfdbb13
라닝이다,4842,186,162.9,162.9,3.364,3.364,0.9,,,talk,69df6d529865a12b96ffce8fa3617c2c
세이로쿠 키라,3890,133,119.6,119.6,3.074,3.074,2.1,,Y,talk,f63f66f701a9af347c668f3056cdaa9a
버찌 BUZZI,2684,107,76.8,76.8,2.861,2.861,9.8,,Y,007 퍼스트 라이트,85fa9f08b940d363395f6b3f29b91c4c
해득이,2849,118,73.0,73.0,2.561,2.561,24.9,,Y,리그 오브 레전드,659dcc02fa42de17387db4c8d722f55c
강다림,5995,167,142.0,142.0,2.368,2.368,6.1,,Y,talk,5ebc36275f94b1342ef77e8ca5302d87
김 복순,2444,91,54.7,54.7,2.238,2.238,15.2,,,007 퍼스트 라이트,303f8126eecc8a8f7b2decd146b4c7a4
루시 Luci,5570,139,122.1,122.1,2.191,2.191,1.6,,Y,음악/노래,0b0dd269c4663fc36ee1eef8a8b1bea4
먀 리린,3409,89,73.6,73.6,2.158,2.158,3.7,,Y,talk,0791ae0a49927a2a6719addcedfdac4f
김달수 Dalsu,3617,120,52.6,74.3,1.455,2.053,295.3,Y,,리그 오브 레전드,dcbccbf2d8e2a1b095244c5856d3613a
해이요,3918,87,79.2,79.2,2.022,2.022,2.9,,Y,리그 오브 레전드,fc6271689d290f0e634d84dc9d4dd7a1
텐플라스텐 텐텐,4924,130,95.1,95.1,1.932,1.932,14.0,,Y,리그 오브 레전드,88eb7dda524ca626ad3e08359b182900
얄네,3472,74,59.3,59.3,1.708,1.708,11.4,,,talk,e14c0abb5640e94ed4ab1b4b087bfb44
카 일 리,2654,81,44.6,44.6,1.682,1.682,138.0,,Y,리그 오브 레전드,a1e084f0c69d53fa135688f4911a04db
농관전,3147,172,51.7,51.7,1.642,1.642,7.0,,,,430e71940e6d51309fa6a47fe01e3b30
와박문,3967,85,64.2,64.2,1.618,1.618,7.1,,,talk,323320490bc502419d509bc32678f385
고일이,3724,122,59.6,59.6,1.601,1.601,19.7,,,리그 오브 레전드,72a951230a80b49a6b10061190f5eaf3
항심 Hangsim,2329,77,36.4,36.4,1.562,1.562,144.6,,,리그 오브 레전드,20727945d20b7b8d2c946fe704871bb9
김붕붕,3758,99,58.7,58.7,1.562,1.562,1.4,,,승리의 여신: 니케,d1a9dd69f2f21d45ad3f836fb226b930
보 투,4496,131,69.3,69.3,1.541,1.541,99.1,,,talk,f1256792be34901bf7f94009f583afea
샘승아,7469,179,111.9,111.9,1.499,1.499,1.8,,,talk,0caf7d9d72b6d9341d09e7a454763849
겜타벅스,5276,81,76.2,76.2,1.445,1.445,1.6,,,talk,aad6a97b2c1f294c23f60ebf5df33244
닝냉뇽,3330,66,46.7,46.7,1.403,1.403,2.1,,Y,원신,eef3f5d5d6b7fd4c7ee36b13c330fec0
깅나리,3884,90,54.4,54.4,1.401,1.401,3.3,,Y,명조:워더링 웨이브,c9392bfbbb1e52a3d022ed9b71c4a60f
다정현,2634,84,36.5,36.5,1.387,1.387,28.5,,Y,리그 오브 레전드,270b1c629013679b7341b0e764c0fc0a
킹설아,8587,124,114.1,114.1,1.329,1.329,3.1,,Y,talk,3eb9808e8ec29e79c6d54060c964b1a5
커두목,2898,89,37.3,37.3,1.286,1.286,85.4,,,리그 오브 레전드,720b53dfe8d1f8321622c8514eded131
미 유,7544,164,93.2,93.2,1.235,1.235,84.1,,Y,명조:워더링 웨이브,d58ace43901fd369f1b4efa4ed175103
아 즈 AZ,8354,151,102.7,102.7,1.229,1.229,2.6,,Y,talk,e2640468861f80d658873c25dc69e32b
이 렌,4890,76,59.7,59.7,1.221,1.221,25.8,,Y,리그 오브 레전드,6ddd2ff1d43ae1e23e04e72409e40d84
김건00,3270,81,38.7,38.7,1.183,1.183,10.7,,,리그 오브 레전드,0d69d2ee8d9c5842be46121c1dcc4b89
모푸,4850,76,57.1,57.1,1.178,1.178,8.2,,Y,talk,1686a04d1a643498d39f2fb50459c0ac
꼬꼬갓,3708,107,43.1,43.1,1.162,1.162,13.5,,,리그 오브 레전드,222c1c29f82c0a59bdc00f927c5575b2
백도화님,3261,72,37.8,37.8,1.158,1.158,26.5,,Y,talk,12b5a1a9d67d0a5c9f4e5bb1ed3d8d57
철 릭,3096,83,35.3,35.3,1.139,1.139,121.9,,,리그 오브 레전드,c4115d0c206412f8b0b649e3be0ea174
지건킹,5815,131,65.8,65.8,1.131,1.131,133.2,,,리그 오브 레전드,70ab5c3116afad8a101958809defdfbb
릴루 Leeloo,4314,65,48.5,48.5,1.123,1.123,3.9,,Y,talk,1291519620598120c1179ef597684c70
이여우1,3386,66,37.5,37.5,1.107,1.107,41.9,,,리그 오브 레전드,fc09baaa11411838d9cfe096aa633b73
성피아,7815,128,86.2,86.2,1.102,1.102,18.1,,Y,talk,08d62f3e1de7ab06e8d3ad89aa7ca985
까막 KKAMAK,10160,181,111.9,111.9,1.101,1.101,32.3,,,철권 8,238a2870b188f1c47bb1c02f4e28902c
민쟁이,7061,111,77.0,77.0,1.091,1.091,8.7,,,talk,971e608d37e0ca6e5b1270ecd7e5aab1
광말구짱,14905,170,159.8,159.8,1.072,1.072,0.8,,,로스트아크,195e40531e373d386ef37bcfd48418e1
드얌,4798,67,50.8,50.8,1.059,1.059,16.9,,Y,블루 아카이브,424db00719df9531e9e0534851725c6d
여름이0908,6244,120,63.6,63.6,1.019,1.019,16.5,,,talk,df9ed1d76b50778c97ddb01fbfe654e8
덤덤보,2362,61,24.0,24.0,1.014,1.014,4.9,,,림버스 컴퍼니,14e6d8c5193be8cd675711d320cfee33
쿠마루,8505,99,83.9,83.9,0.987,0.987,28.9,,Y,talk,e6df84b539791aba763f533f87ce3342
하 쁘,7253,82,71.0,71.0,0.979,0.979,3.0,,Y,포켓몬 챔피언스,79bc9b927d5c187f9d8fa5a56b194c37
우주대스타 이미지,5867,92,57.4,57.4,0.978,0.978,5.0,,,talk,7a67e6422de23703f040ea97d7296aad
하나빈 HANAVIN,7712,92,74.4,74.4,0.964,0.964,7.6,,Y,talk,7ca6c5f45a9b16f75970f54c309623c0
갱쥰,8159,143,78.7,78.7,0.964,0.964,3.1,,,로스트아크,d29db9ee45bf3b5e5b099c6b3c54b443
롤체고찌,9718,150,92.9,92.9,0.956,0.956,5.3,,,전략적 팀 전투 : 우주의 신들,a10f2d5e29471eaca4b15f473548996e
마골,8755,107,83.7,83.7,0.956,0.956,1.6,,,디아블로 II: 레저렉션,e905f26c3a653b7a8e1330ac5a4271a2
카사딘하는사람1,9527,184,89.9,89.9,0.943,0.943,42.3,,,메이플스토리 월드,9aa57afba7ce7ab5ca0d4b3e62fb1e65
티모짱teemo0o,11540,153,107.5,107.5,0.931,0.931,10.2,,,리그 오브 레전드,fa50306ff4d73893d36e6623c8320552
루코 RUKO,15965,233,146.4,146.4,0.917,0.917,15.4,,,야구,df4fb2f6e3d593f9d1c19f4cfcbe2f1e
요아케노 나나시,12511,129,113.9,113.9,0.911,0.911,1.6,,Y,음악/노래,e500ce8da6637e4b7ee255709ddb3ffe
요루야,5812,69,52.7,52.7,0.907,0.907,2.1,,Y,이터널 리턴,44424fa93fae1f5b03a0479cac94f39c
우주최강올라프,3346,70,29.0,29.0,0.866,0.866,66.2,,,리그 오브 레전드,1f8e89d6525650339c7ac5acf219c3f5
이타eatha,4823,87,40.9,40.9,0.848,0.848,3.3,,,talk,df32d91dcd3282c997a616f8a7b74543
건망고,2748,66,23.2,23.2,0.844,0.844,27.6,,Y,리그 오브 레전드,b134c6981709fdb7c9e8c52f42c48d4b
난바다,10197,100,85.8,85.8,0.841,0.841,5.7,,Y,리그 오브 레전드,b1ac916d727d32cb7f472b50f6f97654
포요,10912,101,90.3,90.3,0.828,0.828,0.9,,Y,talk,57609599a4cb3bb0e65325235f276e42
세리얀,2908,79,23.9,23.9,0.822,0.822,77.8,,Y,리그 오브 레전드,3878fc3da3ddcda1fad68457ab9e6783
후참이,8346,136,68.6,68.6,0.822,0.822,3.5,,Y,이터널 리턴,a9ee9a98bf5170d4b4dfb23ef8e4676b
도화령,10085,117,80.1,80.1,0.794,0.794,4.9,,Y,종합 게임,d7b5e8a2bd0bb3202201fa707a726f80
로션욤,11581,107,91.6,91.6,0.791,0.791,3.6,,Y,talk,e234729686832d379d7da804517ac9d9
냐오 NYAO,7102,144,55.9,55.9,0.787,0.787,12.0,,Y,talk,79ef1f5274b48fcb2de41b8ac8ea7ca1
김하루ㅡ,7970,103,62.6,62.6,0.786,0.786,10.7,,Y,리그 오브 레전드,897a1ed91293eb9517b4620c07879153
호진리,5884,103,46.2,46.2,0.785,0.785,65.1,,,로스트아크,8a5fc0dec74718540f517aa1219d8a72
양망두,13771,172,103.7,103.7,0.753,0.753,13.4,,Y,talk,b3e262a2795f17734c149afc738ad250
시이야,6423,86,47.8,47.8,0.745,0.745,179.6,,Y,리그 오브 레전드,5a9a50c3d7c5f5720b050e230d3306dc
용봉탕,7092,116,52.6,52.6,0.742,0.742,42.2,,,킬러 인,5735174155c67f9f3ebf250cf88f33ee
지수소녀99,6575,103,48.1,48.1,0.732,0.732,91.4,,,리그 오브 레전드,14d7d30bb75a80c63a2296d8b1e452bd
이차가식기전에,3198,60,22.7,22.7,0.709,0.709,149.2,,,리그 오브 레전드,2c951958f0b7c2c414aea8ca4d8b1475
디아 나,5131,91,35.9,35.9,0.699,0.699,42.8,,Y,talk,a80a95f91626493613a7b1093002b26d
마우쥐,12893,151,89.2,89.2,0.692,0.692,57.9,,Y,리그 오브 레전드,b2854dc0735e55fa86c53bd15242d30f
세체뽀,3475,72,23.9,23.9,0.688,0.688,76.3,,,리그 오브 레전드,1c0d4c268cd391df754918e42a317ab1
찡스임,16335,142,112.0,112.0,0.686,0.686,4.3,,,talk,c8e5611851a6df0e76a0ba35d1be2542
킹발젭,14142,135,95.5,95.5,0.675,0.675,9.2,,,리그 오브 레전드,56ccd5e4bd7b4d39085cb8569cbe7b7b
로컨 LokeN,7950,148,53.5,53.5,0.673,0.673,112.8,,,리그 오브 레전드,1de3e9d4595f71ab6c20dbd94d9e2f39
개리형 garybro,13814,171,90.9,90.9,0.658,0.658,47.8,,,리그 오브 레전드,878cf1be5928a5dbcf196dfa80a32cd5
람썬,12279,175,80.5,80.5,0.656,0.656,9.7,,Y,천하제일상거상,77599c8972b39e158c95e6a526272480
오유리,5612,65,36.5,36.5,0.65,0.65,12.7,,,리그 오브 레전드,a70411d46ee8919795fd0c51ec373091
o에짱o,7404,70,47.9,47.9,0.647,0.647,4.2,,,talk,10f530b733ed0a949a64126146d0b7b1
순망,23952,183,154.2,154.2,0.644,0.644,3.2,,Y,로스트아크,6a09c296e5e12ad5ed67e053f8cc98d5
강지형,27092,180,167.8,167.8,0.619,0.619,0.9,,,발로란트,9eef2be9e25d137c0f55b13673e40749
명예5렙,4153,95,25.0,25.0,0.602,0.602,155.1,,,리그 오브 레전드,044275a4ac63eaff494a442de5a967f7
미라클TV,12873,165,73.5,73.5,0.571,0.571,52.5,,,007 퍼스트 라이트,e1e532568c0d2fdb93d22e5d7fda8f13
엔마 Enma,8395,98,48.0,48.0,0.571,0.571,51.0,,Y,리그 오브 레전드,35af289529fad221cc2013d02ef1dfda
병병병2,7266,69,41.4,41.4,0.57,0.57,42.9,,Y,리그 오브 레전드,e0fec2f10bb8c07a79573cdba8c152b5
향토끼 scentrabbit,7915,70,44.7,44.7,0.565,0.565,34.5,,,붉은사막,95afe72c3d9167ccc5906888d84d3fea
레밀레기,18419,112,98.0,98.0,0.532,0.532,1.1,,,디제이맥스 리스펙트 V,5ccef23c1d97d62b2b49457e9942e7e9
다래임,6615,66,34.7,34.7,0.525,0.525,33.4,,,팀파이트 매니저 2,8010b7da2865368aeacec79f195d2dae
끠월마녀,13163,78,68.2,68.2,0.518,0.518,3.8,,Y,히어로즈 오브 더 스톰,dcfd3c7cf3c05b41306a4cc249ad5c9f
베 라,11288,87,57.9,57.9,0.513,0.513,1.8,,Y,패스 오브 엑자일 2,79a54691a3eed68eb82a30c97330c3cb
문뚜야,18178,118,90.9,90.9,0.5,0.5,1.9,,,talk,3d49a9c52be70397c828c1c8bbaa3027
토종 아오리,19467,120,96.3,96.3,0.495,0.495,4.6,,Y,음악/노래,81bd5b50f0c0728128442daf7db626fc
냐 미 Nyami,28133,148,136.2,136.2,0.484,0.484,1.1,,Y,명조:워더링 웨이브,afff6e3cc8c1487bc4135bc896811dcc
강찹쌀,11361,104,53.1,53.1,0.467,0.467,7.8,,,talk,d2d6bff631fc1c3a613440d3b17f8088
플라이96,11938,74,54.0,54.0,0.453,0.453,2.7,,,엘든 링,6e00c76a7c58f7f3936346742428bb9d
쿠미 KUMI,2296,71,10.4,10.4,0.452,0.452,142.7,,Y,리그 오브 레전드,aa2714a5a33d67884eb95c616ad9e676
세우 sAewoo,14387,85,64.2,64.2,0.446,0.446,2.6,,,음악/노래,3688fe1fdb144c47a9d5b4706b45139c
플레임TV,43759,221,189.1,189.1,0.432,0.432,1.9,,,초자연 작전팀,0552325465ff40056559e412847f9908
일급천재,8576,127,36.4,36.4,0.425,0.425,28.8,,,작혼: 리치 마작,b8119eaadca58a5cd0c8cf2d48af8bea
냐모이,12150,125,51.2,51.2,0.421,0.421,70.7,,,라테일,f71f8e6388ee43635555caa1769fcde4
에렌디라 erendira,31518,154,131.2,131.2,0.416,0.416,5.7,,Y,talk,d00a4bc1598e3b18ebfdff13a321ff6f
옥쓔,21264,98,86.5,86.5,0.407,0.407,2.0,,Y,talk,0e061c23f8d4e7b5a85ba52b7e18bd5b
랑께 님,11376,91,45.7,45.7,0.402,0.402,11.2,,,디제이맥스 리스펙트 V,0044e84401a3a6dd845410dad51c5430
김하선,12970,136,52.0,52.0,0.401,0.401,8.4,,Y,talk,574e7988e7455c80fb70e5f25d775f96
링규링규링,10309,89,40.6,40.6,0.394,0.394,104.2,,,리그 오브 레전드,e7e02938a06ba7dff2a217af11388d52
시간의숲zz,2430,80,9.4,9.4,0.386,0.386,136.3,,,리그 오브 레전드,40492fc012711114c27f159dfcc7eaad
