no,스트리머,최고시청자,평균시청자(노방종오염),방송시간,뷰어십
1,현찌당,239,28.6,57.7,1652
2,장덕이1,236,65.2,279.6,18232
3,루코 RUKO,233,146.4,15.4,2255
4,뽀융쨩,227,107.6,112.5,12110
5,좋은나날,221,56.4,166.9,9416
6,플레임TV,221,189.1,1.9,359
7,띠로기,218,138.1,45.8,6323
8,침착한 사슴 1121218,191,95.1,19.0,1806
9,라닝이다,186,162.9,0.9,147
10,박나나TV,184,88.0,45.0,3962
11,카사딘하는사람1,184,89.9,42.3,3801
12,순망,183,154.2,3.2,494
13,LCP,182,57.1,41.1,2348
14,NS RedForce,182,107.1,5.9,632
15,까막 KKAMAK,181,111.9,32.3,3613
16,도해입니다,181,18.7,88.2,1650
17,강지형,180,167.8,0.9,151
18,샘승아,179,111.9,1.8,202
19,람썬,175,80.5,9.7,781
20,양망두,172,103.7,13.4,1389
21,농관전,172,51.7,7.0,362
22,개리형 garybro,171,90.9,47.8,4345
23,광말구짱,170,159.8,0.8,128
24,강다림,167,142.0,6.1,866
25,미라클TV,165,73.5,52.5,3859
26,미 유,164,93.2,84.1,7839
27,슈팅스타99,162,89.3,3.3,295
28,엄티0602,156,46.7,7.8,364
29,o TNT o,154,25.0,88.8,2220
30,에렌디라 erendira,154,131.2,5.7,748
31,CBLOL,153,46.1,43.6,2010
32,티모짱teemo0o,153,107.5,10.2,1096
33,젠지관전방,152,76.4,10.7,818
34,스즈 SUZU,152,101.6,4.6,467
35,마우쥐,151,89.2,57.9,5164
36,아 즈 AZ,151,102.7,2.6,267
37,롤체고찌,150,92.9,5.3,492
38,로컨 LokeN,148,53.5,112.8,6034
39,냐 미 Nyami,148,136.2,1.1,150
40,이성진123,147,78.1,145.6,11369
41,리하우1,144,65.7,56.3,3699
42,한진 브리온 로머,144,58.7,20.6,1208
43,냐오 NYAO,144,55.9,12.0,670
44,NS Diable,143,76.2,5.4,411
45,갱쥰,143,78.7,3.1,244
46,찡스임,142,112.0,4.3,482
47,NS Kingen,139,82.0,11.9,976
48,루시 Luci,139,122.1,1.6,195
49,김하선,136,52.0,8.4,437
50,후참이,136,68.6,3.5,240
51,킹발젭,135,95.5,9.2,878
52,김정민 해변킴,134,51.8,83.9,4344
53,안케,134,106.9,6.3,674
54,세이로쿠 키라,133,119.6,2.1,251
55,지건킹,131,65.8,133.2,8763
56,보 투,131,69.3,99.1,6866
57,텐플라스텐 텐텐,130,95.1,14.0,1332
58,요아케노 나나시,129,113.9,1.6,182
59,성피아,128,86.2,18.1,1559
60,한진 브리온 캐스팅,127,55.3,19.6,1085
61,일급천재,127,36.4,28.8,1049
62,냐모이,125,51.2,70.7,3619
63,킹설아,124,114.1,3.1,354
64,고일이,122,59.6,19.7,1174
65,김달수 Dalsu,120,52.6,295.3,15542
66,여름이0908,120,63.6,16.5,1050
67,토종 아오리,120,96.3,4.6,443
68,해득이,118,73.0,24.9,1817
69,문뚜야,118,90.9,1.9,173
70,도화령,117,80.1,4.9,392
71,용봉탕,116,52.6,42.2,2219
72,뵤 오,114,47.0,78.1,3673
73,레밀레기,112,98.0,1.1,108
74,민쟁이,111,77.0,8.7,670
75,서리찌,111,19.2,17.4,334
76,기 찬,109,31.9,94.8,3024
77,우삐입니다,107,34.1,128.8,4394
78,김달걀,107,55.6,38.3,2130
79,한진 브리온 기드온,107,41.9,20.8,872
