account_id,platform,requested_platform_account_id,expected_name,fetch_status,fetched_name,normalized_name_match,description,verified_mark,open_live,explicit_vtuber_signal,fetched_at,error
krvt_a_a35c587a10d05a639c3225343cf37640,chzzk,f6d2f00e05c5af5ac98c20a2611954af,구름용,ok,구름용,yes,구름용입니당,no,yes,no,2026-08-05T23:26:46+0900,
krvt_a_fb0f97499831501583b98a6763e63da6,chzzk,fc1141b66bf941e151e467ceef713acc,김토키,ok,김토키,yes,어느 차원에선 버튜버! 다른 차원에선 성우! 여러 차원을 넘나드는 차원 연구원 김토키! <동시송출 이슈로 다시보기는 유튜브로 와주세요!~>,no,yes,yes,2026-08-05T23:26:47+0900,
krvt_a_c2c6c8b62e4b5d408070425b665678ec,chzzk,b5d40b01baf1508c06cc70facfc09261,청은호,ok,청은호,yes,우당탕탕 자기계발 중입니다~,no,yes,no,2026-08-05T23:26:47+0900,
krvt_a_9849822c9d4d535281bb34bb66502f6f,chzzk,69a7036b8c3c1ca4d6a63f5cdcf5badc,,ok,레나현,no,FPS를 좋아하지만 종겜하는 사람,no,no,no,2026-08-05T23:26:47+0900,
krvt_a_5eaf6752f6115be982c693702bcd8006,chzzk,426b5b7379ce9d481d356be67c62560f,낭만냥,ok,낭만냥,yes,RPG 롤 그림 종합 게임 방송을 낭만고양이~ romanticcat0124@gmail.com ,no,no,no,2026-08-05T23:26:48+0900,
krvt_a_84997b5389d7540dbc968211cc193d85,chzzk,abb6a84b41868a6082c8dded84ce9cf4,로퍼,ok,로퍼,yes,로퍼입니다,no,no,no,2026-08-05T23:26:48+0900,
krvt_a_776ef993be725837841cb21f56776c74,chzzk,7c40167e224bbf7fe5d54576104375df,,ok,정다로,no,"종합게임 스트리머 지망생
인스타 daro_dio
게임 유튜브 채널 정다로
여행 유튜브 채널 다로",no,no,no,2026-08-05T23:26:49+0900,
krvt_a_c1308c5ce1d95ac0bb0850032cacce11,chzzk,18ffb2428468a374ff831998b697fb38,냥사기,ok,냥사기,yes,"일본에서 일하는 게임 좋아하는 한국어 선생님. 기타도라, 비트세이버, 길티기어, 소울류, 총겜 등 가리는게임이 많지는 않음.",no,no,no,2026-08-05T23:26:49+0900,
krvt_a_f801b00a24b153eaae879cebb0a44dd3,chzzk,46493733853aef39b2046d7f048ad2fb,하열도,ok,하열도,yes,목소리 좋은 게임 좋아하는 아저씨,no,no,no,2026-08-05T23:26:50+0900,
krvt_a_ae8c0f79989c56b7b5ee53f6195eddbc,chzzk,ee68f651d68eda4b0a1102243caa1bf0,유리링 Yuriring,ok,유리링 Yuriring,yes,월화수목 오전11시~15시 queenpurin23@gmail.com,no,no,no,2026-08-05T23:26:50+0900,
krvt_a_9584f9a2f63159c396f346036ff9def5,chzzk,9a3ed215c3ac19a3f75159a674485921,베 뉴,ok,베 뉴,yes,프로찍먹러(가끔 꽂히면 담가먹음),no,no,no,2026-08-05T23:26:50+0900,
krvt_a_b4b902d9b8b55ec39f3834f2e2ce90d6,chzzk,9199eb6eb3dea874f47bbb35bd1dfee2,유세라,ok,유세라,yes,건전한 도파민 추구 / 매일 3시 ON,no,yes,no,2026-08-05T23:26:51+0900,
krvt_a_c79d97819e0b5acbbf3ce47f09ba5fed,chzzk,bb7e1177a6fd83705be8fbae31d57374,0다온0,ok,0다온0,yes,💙그림으로 밥벌어먹고 사는 소녀가장 유다온💙,no,no,no,2026-08-05T23:26:51+0900,
krvt_a_9fec99e0c96b5f96b79d6fbfaaa1b80e,chzzk,5737774cd8a4f53a5857a64a71d7c507,하루디루디,ok,하루디루디,yes,너 내 사람이 되어라,no,yes,no,2026-08-05T23:26:52+0900,
krvt_a_84e2d6d6b8b85930944249d244fbd5d7,chzzk,211d3f3ebba238d71b5f40a93089ef1a,탄낙지 치지직,ok,탄낙지 같은 꽃구름,no,"<방학기념 화,목,금,토,일 방송> FPS,TPS,RPG등 하고싶은거하는 뉴비
[꽃구름처럼 빛나는 탄낙지라고 합니다^♡^]",no,no,no,2026-08-05T23:26:52+0900,
krvt_a_b2033db555ad5d31863c159a8a49dc4e,chzzk,d53fdb85d1130d1b247f97e529c06a73,망고리,ok,망고리,yes,"쯔꾸르 게임을 제작하고 방송도 합니다!
",no,no,no,2026-08-05T23:26:52+0900,
krvt_a_bcec76869afa5cdab2bc5009adade94d,chzzk,dcfd3c7cf3c05b41306a4cc249ad5c9f,끠월마녀,ok,끠월마녀,yes,"재미 허들이 낮아 여러 게임에 미친 마녀와 함께 하는 방송! 휴방은 아플때만! 
이메일 - lazday20@naver.com",no,yes,no,2026-08-05T23:26:53+0900,
krvt_a_3b0f83b338f651608b38802d292f9f35,chzzk,496ff6be27df16c9fc19bea7411f0b4d,꽃규리,ok,꽃규리,yes,"버츄얼 스트리머 꽃규리 입니다🍊
매주 화, 목, 토, 일 생방송🍊",no,no,yes,2026-08-05T23:26:53+0900,
krvt_a_6c13c37282d55c5fa6fc7f502a188575,chzzk,bf920b8623bc8172515684ac12fb583b,정이양,ok,정이양,yes,"바보단들 메롱
",no,no,no,2026-08-05T23:26:54+0900,
krvt_a_7d7335c2263e50a8afa40bdb63799f8f,chzzk,1b3fb1bd60bc4787c155c6b8ebf3b910,문 하 진,ok,문 하 진,yes,"혼자가 아닌 , 같이 즐기고 실력보다 웃음이 더 많은 애",no,yes,no,2026-08-05T23:26:54+0900,
krvt_a_aca14febd45b58fba6289c67e47898ad,chzzk,d58ace43901fd369f1b4efa4ed175103,미 유,ok,미 유,yes,"🦊저녁6시 여우 깅미유💟
💌 m2_you@naver.com",no,no,no,2026-08-05T23:26:55+0900,
krvt_a_ecb75f5d7dbf5a33b778dd044af10646,chzzk,9d5a73f4258bbfd2dcfd8ebfb78c092d,미야모토씨,ok,미야모토씨,yes,"미소녀 게임, 종합게임 / 평일 20:00~ 주말 16:00~ / 자세한 공지는 디스코드 및 커뮤니티 확인해주세요~",no,yes,no,2026-08-05T23:26:55+0900,
krvt_a_32ca2b7ac80951c380aa937dae9f12c4,chzzk,4853ea509a0cbe087872c155465e1608,,ok,은서린 Eunseolin,no,"일요일 00시에 만나요‼️
문의: eunseolin928@gmail.com",no,no,no,2026-08-05T23:26:55+0900,
krvt_a_29b8e6501b735339afa4e880eebbf690,chzzk,eaa3d33a92b7fb253dd88bcf718b1897,해루닝,ok,해루닝,yes,"평일 밤 9시, 주말 밤10시! 게임을 잘 못하지만 좋아합니다!💕 / 문의 :: skchlrhekd0224@naver.com ",no,no,no,2026-08-05T23:26:56+0900,
krvt_a_20e1ece5b3b651de8325b5d938994d87,chzzk,835d14b3dd5f25dffe455df57f45999a,Steina,ok,Steina,yes,꾸준하고 행복한 방송하는게 목표 입니다~,no,no,no,2026-08-05T23:26:56+0900,
krvt_a_50758dc9fcf75281bac4d23ca5ac9342,chzzk,38d2bd6d0e955374f84201d9546d7529,우주여우,ok,우주여우,yes,"우주를 좋아하며 게임을 좋아하는 우주여우 입니다~!! 
",no,no,no,2026-08-05T23:26:57+0900,
krvt_a_aadb1a8bb942534ea30122252974985c,chzzk,e4a909f1a71298bc09d6653a17f4099c,,ok,꿻쀎뭷쮋,no,,no,no,no,2026-08-05T23:26:57+0900,
krvt_a_b5ebe47d67a65bc7b1e192c0dc53173c,chzzk,1b380ddbe49caa1fbf81a794b61963bf,l한울,ok,l한울,yes,호엥,no,no,no,2026-08-05T23:26:57+0900,
krvt_a_de5092ca0b9e5d11b9624b3cfe435c45,cime,1037432,흑의랑,not_checked,,,,,,,,platform namespace requires a separate public verifier
krvt_a_178cc87418b55b349a9195a6d0885508,chzzk,b2382c5940fe09f71f6de5a740d2de2b,도화비,ok,도화비,yes,"해태탈 도깨비 | 과몰입이 많습니다 고로 이 도깨비는 많이 시끄럽습니다 | 국악전공은 아닙니다. 게임은 모르겠고 비명을 잘 지릅니다. 항상 귀를 조심하십쇼.
",no,no,no,2026-08-05T23:26:58+0900,
krvt_a_79520964251b568f8923c2cecc037d1b,chzzk,f1527b5bc532e156f413420a09fdeb8f,재알라,ok,재알라,yes,"2026-03-14
방송 일정 월,화,수,목,금 오후 8시
토,일은 랜덤",no,no,no,2026-08-05T23:26:58+0900,
krvt_a_ac95fe4bce1752b6a193bddc20a09c9d,chzzk,30943d6a1a57fd807252267cb540cd54,해냐 아냐키스,ok,해냐 아냐키스,yes,"🪼이런 깡촌은 싫어! 도시로 이사가기 위해 방송을 하는 프로게이머 지망생 해파리🪼 | 📅 카페, 커뮤니티 | 📬 skyjelly0902@gmail.com",no,no,no,2026-08-05T23:26:59+0900,
krvt_a_af922ff97c2f5d15be6d9ec40271b440,chzzk,2d4aa2f79b0a397d032c479ef1b37a67,후추,ok,후추,yes,문의 메일 : huchu@enchantenter.co.kr,yes,yes,no,2026-08-05T23:26:59+0900,
krvt_a_68a3bd89dfb75d8d8eac9e8bbcf3d98b,chzzk,b9a795baa91b864819e32eb52aeb9079,윤감,ok,윤감,yes,"관측자
평일 밤 11시30분 - 12시 쯤 아마도 등장",no,no,no,2026-08-05T23:26:59+0900,
krvt_a_d9f9b80b0a5f5b3781c41f368f754469,chzzk,fd6c08c83796082448d27908488a36ca,| 재하 |,ok,| 재하 |,yes,,no,no,no,2026-08-05T23:27:00+0900,
krvt_a_d97546ac54265e1b95a88d1e900c3632,chzzk,0eba448275bccb294ceb88ddeb90f800,아야 AYA,ok,아야 AYA,yes,"방송 일정은 카페에 공지해요 💜
비즈니스 문의 : aya@sandboxnetwork.net",no,yes,no,2026-08-05T23:27:00+0900,
krvt_a_08b20250c1ec5bf7aafbb6e6d45c0ff7,chzzk,949a3e9d087acecd15e83b85bf54cf63,쎄이린,ok,쎄이린,yes,"안녕하세요 쎄이린입니다. 저챗 ,종합게임 (공겜 제외) 합니당! 
공지는 디스코드에서 합니다!고민이 있다면 언제든 들어오세요! 디코환영",no,no,no,2026-08-05T23:27:01+0900,
krvt_a_fe597c8bb0585763828ce6383f74d0d2,chzzk,f04ba615d600ad60052777d686b20a68,천 유 월,ok,천 유 월,yes,"My ㅇㅞ eee 기타뉴비 천유월 [ 통기타&일렉 초보 성장기, 수다떨기 ] 많관뷰😘",no,no,no,2026-08-05T23:27:01+0900,
krvt_a_8ebcefb7017c5ae8821ff509b688e05a,chzzk,b811ddc2c2b6feb7a4e136832f3ffe63,영백이 0,ok,영백이 0,yes,"화, 목, 토, 일 저녁 방송",no,no,no,2026-08-05T23:27:02+0900,
krvt_a_cd6dbccec56757aba4e435ca6da5ab7c,chzzk,e0f485296633184ce2048e8f0270345e,얀제리,ok,얀제리,yes,"제리입니당! 게임, 노래, 토크 등등 다양하게 합니당 ღ'ᴗ'ღ 
방송시간 : 매일 낮 12시 이후.",no,no,no,2026-08-05T23:27:02+0900,
krvt_a_50daa9617cec55e39bc684626432ca90,chzzk,0987f5f54ccca4945d9322e757901611,류늘봄,ok,류늘봄,yes,"🎮 종합 게임 + 소통뱅
🍑 평균 밤 10시 등장
문의 : ryuneulbom@naver.com
︶⊹︶︶⠀୨୧⠀︶︶⊹︶
",no,no,no,2026-08-05T23:27:02+0900,
krvt_a_5c3053cfaf745d588531c9e1a79f6853,chzzk,833c5d419e93202a284621fcefd4f817,갸넴,ok,갸넴,yes,솜사탕 씻다가 강물에 떠내려온 어리버리 라쿤의 도시게임 라이프 ,no,yes,no,2026-08-05T23:27:03+0900,
krvt_a_30725a55b267544e8d29967315959653,chzzk,35d08a6ed58b844c08f7d544876e5c98,아오나기 리카,ok,아오나기 리카,yes,"세계최고 밴드맨을 목표로 한다!!!
비즈니스 메일 : aonagilika@gmail.com",no,no,no,2026-08-05T23:27:03+0900,
krvt_a_ee1bd693bfe35bf4bc5ac4bbacc8bc6d,chzzk,1a0293413266a9bfb4d811bc7658366e,이무일,ok,이무일,yes,,no,no,no,2026-08-05T23:27:04+0900,
krvt_a_eaf4dce851d85ed7becee4df378f6c4f,chzzk,a12bf9267f7f2c44097e408163057088,,ok,서히애,no,종합게임접고 볼링 라이브합니다.,no,no,no,2026-08-05T23:27:04+0900,
krvt_a_058b0d5fcedc5941958a1c83176a28b8,chzzk,a64c2ddd61bc17d1173a6b344217e50b,경톨이,ok,경톨이,yes,안녕하세요! 경톨이네 입니다. 소소한 노트북 원컴 방송을 하고 있구요! 많이 부족하지만 잘 부탁 드려요!,no,yes,no,2026-08-05T23:27:04+0900,
krvt_a_111b0e86c3f15927b54158322f2af556,chzzk,ff318112d4312a98fc83fd39fc0b77b3,돼지저금통 치지직,ok,돼지저금통 치지직,yes,안녕하세요 돼지저금통입니다,no,no,no,2026-08-05T23:27:05+0900,
krvt_a_36cc7fab7bfb516683dd7b8ff9e5c2f7,chzzk,07be4071fb64748a1c9ed1988f0e4a16,은솜e,ok,은솜e,yes,"모든 게임이 뉴비 🌱
📍 문의 : eunsom_k@naver.com",no,no,no,2026-08-05T23:27:05+0900,
