organization_seed,organization_id,official_name,platform,official_platform_account_id,official_url,already_in_registry_account_id,local_name_candidate_account_ids,status,source_uri,note
아카이브,krvt_o_73821e8c1e9a5d9d86634c87a87994d4,우사미,soop,u3ams2,https://ch.sooplive.co.kr/u3ams2,krvt_a_61ec3c0abde1572c8154ef86d7741514,krvt_a_87a8d38257b8547eb7e2d3a2441bf5b4,materialized_new_persona,https://www.akaiv.studio/,Official account materialized from organization roster plus current public SOOP station profile.
아카이브,krvt_o_73821e8c1e9a5d9d86634c87a87994d4,여르미,soop,yeorumi030,https://ch.sooplive.co.kr/yeorumi030,krvt_a_ebddce0c90665a85aa4487aecc252df6,,materialized_new_persona,https://www.akaiv.studio/,Official account materialized from organization roster plus current public SOOP station profile.
아카이브,krvt_o_73821e8c1e9a5d9d86634c87a87994d4,한결,soop,kaksjak0730,https://ch.sooplive.co.kr/kaksjak0730,krvt_a_9a9d821dd54f5e9b8d387e5a9e31bd54,krvt_a_5a44ff5d62db501093d46ec916741ac3|krvt_a_c2da10c25db25ef4b5f88b5f446c4fec|krvt_a_cf2da4f63da656da9ed0b2e0ab1b157b,materialized_new_persona_cross_platform_review,https://www.akaiv.studio/,Official account materialized from organization roster plus current public SOOP station profile.
아카이브,krvt_o_73821e8c1e9a5d9d86634c87a87994d4,비몽,soop,beemong,https://ch.sooplive.co.kr/beemong,krvt_a_592089c0016e5bd6b268d0037607f4ad,krvt_a_3caf3b80847f5d01b767abd99084835a,materialized_existing_persona_corroborated,https://www.akaiv.studio/,Official account materialized from organization roster plus current public SOOP station profile.
아카이브,krvt_o_73821e8c1e9a5d9d86634c87a87994d4,샤르망,soop,owozzz,https://ch.sooplive.co.kr/owozzz,krvt_a_800658496ab358f1829156cdebde0b1f,,materialized_new_persona,https://www.akaiv.studio/,Official account materialized from organization roster plus current public SOOP station profile.
이세계아이돌,krvt_o_8834f7ec5ba857988484dc971e128aa3,아이네,soop,inehine,https://ch.sooplive.co.kr/inehine,krvt_a_64184c6c5b0c51fe9ea42d68452e84e3,,materialized_new_persona,https://ch.sooplive.co.kr/inehine,Official account materialized from organization roster plus current public SOOP station profile.
이세계아이돌,krvt_o_8834f7ec5ba857988484dc971e128aa3,징버거,soop,jingburger1,https://ch.sooplive.co.kr/jingburger1,krvt_a_7a22a7df32765aa8896d2fc646b08af8,,materialized_new_persona,https://ch.sooplive.co.kr/jingburger1,Official account materialized from organization roster plus current public SOOP station profile.
이세계아이돌,krvt_o_8834f7ec5ba857988484dc971e128aa3,릴파,soop,lilpa0309,https://ch.sooplive.co.kr/lilpa0309,krvt_a_a34e2541c68058099758060da62f395d,,materialized_new_persona,https://ch.sooplive.co.kr/lilpa0309,Official account materialized from organization roster plus current public SOOP station profile.
이세계아이돌,krvt_o_8834f7ec5ba857988484dc971e128aa3,주르르,soop,cotton1217,https://ch.sooplive.co.kr/cotton1217,krvt_a_bee3b2562bad5a96bf875b75072cc426,,materialized_new_persona,https://ch.sooplive.co.kr/cotton1217,Official account materialized from organization roster plus current public SOOP station profile.
이세계아이돌,krvt_o_8834f7ec5ba857988484dc971e128aa3,고세구,soop,gosegu2,https://ch.sooplive.co.kr/gosegu2,krvt_a_131b89f935a2545280d43109202f82d8,,materialized_new_persona,https://ch.sooplive.co.kr/gosegu2,Official account materialized from organization roster plus current public SOOP station profile.
이세계아이돌,krvt_o_8834f7ec5ba857988484dc971e128aa3,비챤,soop,viichan6,https://ch.sooplive.co.kr/viichan6,krvt_a_747b114562aa5eaa8be0fd314b6db4cf,,materialized_new_persona,https://ch.sooplive.co.kr/viichan6,Official account materialized from organization roster plus current public SOOP station profile.
