seed_name,canonical_name,organization_id,organization_type,domains,verification_status,official_source_uris,source_ids,note
TSURAI COMPANY,TSURAI COMPANY,krvt_o_7f7253d74e6456c1b4e783799a1e3dd2,corporation,,manual_confirmed,,krvt_s_e4ed1a5e0b7e59049a27c21fff19264f,seed remains unresolved
V-LLAGE,V-LLAGE,krvt_o_caed75b4916b5035bf590138cc6c7030,project,,manual_confirmed,,krvt_s_e4ed1a5e0b7e59049a27c21fff19264f,seed remains unresolved
V-LUP,V-LUP,krvt_o_f92baf8009b35e908ecff6583f841bf0,project,creatorbus.net,manual_confirmed,,krvt_s_e4ed1a5e0b7e59049a27c21fff19264f,seed remains unresolved
VIRTUAL HERTZ,VIRTUAL HERTZ,krvt_o_439751227eee5f5386c8382f35478a1d,agency,,manual_confirmed,,krvt_s_e4ed1a5e0b7e59049a27c21fff19264f,seed remains unresolved
리스텔라,리스텔라,krvt_o_787195d6e4ca571fb4086a6624b38597,agency,listella.tv,manual_confirmed,https://x.com/listella_on,krvt_s_a523d37a19f75f418ec7360dbfd05fd0|krvt_s_d16205836056595ba89d4e7fc19a6c4c,official evidence reviewed
미츄,미츄,krvt_o_760756294b4c57c188c806ee8db9a839,project,meechu.com,manual_confirmed,https://www.meechu.com/?mode=privacy|https://www.meechu.com/guide,krvt_s_2af726dec5fe545baf08af47af603d98|krvt_s_6479062adfc8506abfeac82940a58648|krvt_s_a523d37a19f75f418ec7360dbfd05fd0,official evidence reviewed
버츄얼 유니온,버츄얼 유니온,krvt_o_e1bf1f8256d7550583613c4d9f6f6e3c,collective,virtualunion.net,manual_confirmed,https://virtualunion.net/,krvt_s_a523d37a19f75f418ec7360dbfd05fd0|krvt_s_e4ed1a5e0b7e59049a27c21fff19264f,official evidence reviewed
샌드박스네트워크,샌드박스네트워크,krvt_o_e63bc753f29c542d8eb47c427247d092,corporation,sandbox.co.kr|sandboxnetwork.net,manual_confirmed,https://www.sandbox.co.kr/|https://sandbox.co.kr/news_list,krvt_s_0ce428c9e1e45fdb9f6eb125add3e9c5|krvt_s_350f611d7d0054abbd1c9d278a5f968e|krvt_s_a523d37a19f75f418ec7360dbfd05fd0,official evidence reviewed
스텔라이브,스텔라이브,krvt_o_9e3a54c494585d95a0bd7d568d2a8186,agency,stellive.me,manual_confirmed,https://stellive.me/about|https://stellive.me/news,krvt_s_2a28fc9fa5325e4ba4728006eb2b1758|krvt_s_74033a52b2bd504380cb99778140e91c|krvt_s_a523d37a19f75f418ec7360dbfd05fd0,official evidence reviewed
아카이브,AKAIV STUDIO,krvt_o_73821e8c1e9a5d9d86634c87a87994d4,agency,akaiv.studio,manual_confirmed,https://www.akaiv.studio/,krvt_s_a523d37a19f75f418ec7360dbfd05fd0|krvt_s_f33e74988e2a52efa56fa906a7e64721,official evidence reviewed
에스더,에스더,krvt_o_0d2e43e9c4bf5b8e84f6cbf941e0d349,project,gysent.com,manual_confirmed,https://gysent.com/partners/?bmode=view&idx=168469360|https://gysent.com/partners/?bmode=view&idx=168470539,krvt_s_6105f82a329c5f52a87c9f5388b2b650|krvt_s_7b8ccdc655455513b22412961a3ec5ea|krvt_s_a523d37a19f75f418ec7360dbfd05fd0,official evidence reviewed
이세계아이돌,이세계아이돌,krvt_o_8834f7ec5ba857988484dc971e128aa3,collective,,manual_confirmed,https://www.youtube.com/watch?v=Li4VvoZGiYs,krvt_s_46560aaee659551fb5d250003f56ef25|krvt_s_a523d37a19f75f418ec7360dbfd05fd0,official evidence reviewed
인챈트,인챈트 엔터테인먼트,krvt_o_98040bcf40d2506cbe2b59091e5cce57,agency,enchantenter.co.kr,manual_confirmed,https://www.enchantenter.co.kr/creator,krvt_s_a523d37a19f75f418ec7360dbfd05fd0|krvt_s_ee157f5125ce5b8e8afe2efe9c74f4e5,official evidence reviewed
지와이에스,카론 크리에이티브,krvt_o_a68c4af264845f24ae7885dca16c931a,agency,gysent.com,manual_confirmed,https://gysent.com/creators,krvt_s_3f5c643d3e435d159ced68b547834720|krvt_s_a523d37a19f75f418ec7360dbfd05fd0,official evidence reviewed
픽셀네트워크,픽셀네트워크,krvt_o_f82809bb64575b98bf532973595e3676,corporation,pixelnetwork.co.kr|pixelstore.kr,manual_confirmed,https://pixelstore.kr/,krvt_s_a523d37a19f75f418ec7360dbfd05fd0|krvt_s_c06bf9aca7d7573ba389a7c7d5508cbb,official evidence reviewed
허니즈,허니즈,krvt_o_a8f06aca2f4e5e89890b35444904e037,project,,manual_confirmed,https://x.com/projecti_kr|https://music.bugs.co.kr/artist/80398251,krvt_s_8e179acafcc85b1c869c417f51a287e2|krvt_s_a523d37a19f75f418ec7360dbfd05fd0|krvt_s_e8a5212efdaa5cb6a42943ff4cdb5867,official evidence reviewed
