organization_seed,official_name,persona_ids,official_source_uri,youtube_channel_id,youtube_handle,status
미츄,마젯,krvt_p_db4ae6d0e61d57f6a6c5c982490e4941,https://www.meechu.com/?mode=privacy,,,needs_official_youtube_link
미츄,모아,,https://www.meechu.com/?mode=privacy,,,needs_persona_resolution
미츄,미녕이데려오깨,krvt_p_31231c1d1e405dff82e50d378c330d7e,https://www.meechu.com/?mode=privacy,,,needs_official_youtube_link
미츄,부쿠키,krvt_p_05af37b9e3cb54729baee08180bf8e79,https://www.meechu.com/?mode=privacy,,,needs_official_youtube_link
미츄,세노,,https://www.meechu.com/?mode=privacy,,,needs_persona_resolution
미츄,앵보,krvt_p_b756d06a9b2d579ebd6ab142b2984128,https://www.meechu.com/?mode=privacy,,,needs_official_youtube_link
미츄,위도,krvt_p_59c88957ad455a5cb8f4a04a5d8b77a5,https://www.meechu.com/?mode=privacy,,,needs_official_youtube_link
미츄,이오몽,krvt_p_acb18c6e1e0f5c9db67e1a3799462cf4,https://www.meechu.com/?mode=privacy,,,needs_official_youtube_link
미츄,하지유,krvt_p_094cbda988625bb9aac05addd7f26733,https://www.meechu.com/?mode=privacy,,,needs_official_youtube_link
미츄,희지,,https://www.meechu.com/?mode=privacy,,,needs_persona_resolution
샌드박스네트워크,RED레드,krvt_p_eefea0ff0a9d5f71a7031db7ec0139cd,https://sandbox.co.kr/news_list,,,needs_official_youtube_link
샌드박스네트워크,랑코,,https://sandbox.co.kr/news_list,,,needs_persona_resolution
샌드박스네트워크,루루엘 아스트리온,krvt_p_b0a1e0b78bb05fa1ab8ab56c9815495d,https://sandbox.co.kr/news_list,,,needs_official_youtube_link
샌드박스네트워크,마냥,,https://sandbox.co.kr/news_list,,,needs_persona_resolution
샌드박스네트워크,모카,,https://sandbox.co.kr/news_list,,,needs_persona_resolution
샌드박스네트워크,솜먕,,https://sandbox.co.kr/news_list,,,needs_persona_resolution
샌드박스네트워크,시아 이르엘린,krvt_p_ba3059060f8d5d7682b01dfe99ec15ef,https://sandbox.co.kr/news_list,,,needs_official_youtube_link
스텔라이브,네네코 마시로,krvt_p_db451b04a6615a989539bb4938b9c71a,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,사키하네 후야,krvt_p_d3d12539e9d65a3e9e7b37f67eaca079,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,시라유키 히나,krvt_p_c74f2c276a9253a5ae5bd777e7615e24,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,아라하시 타비,krvt_p_693f0ab86863592381ea6fc8557ca0f8,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,아야츠노 유니,krvt_p_f1bc8d0052ab56408b2c507e02ffd971,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,아오쿠모 린,krvt_p_a86079f1bae95c95a21b4936a714fe25,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,아카네 리제,krvt_p_697e9dd9a32e505cb58b4fa9a7cce340,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,유즈하 리코,krvt_p_70940f52c35756d0a5128785dd0b7a99,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,텐코 시부키,krvt_p_af7f8e72b6c250ef936ebf11ef30e354,https://stellive.me/news,,,needs_official_youtube_link
스텔라이브,하나코 나나,krvt_p_fe5f698d48d358fc9eda827c0180272e,https://stellive.me/news,,,needs_official_youtube_link
아카이브,비몽,krvt_p_9317b8d7b2df5a74bbe77a1c168e970f,https://www.akaiv.studio/members/beemong,UCnWEtTLqxplJccIRh3sFjJg,beemong_,linked_official_seed
아카이브,샤르망,krvt_p_a758023b96ad5db7a28706c92be5d9db,https://www.akaiv.studio/members/charmante,UCiWqkt4_1wzWtvCuUAe0fTA,owo_zzzz,linked_official_seed
아카이브,여르미,krvt_p_5d1e52662089524b88a0e421883b686b,https://www.akaiv.studio/members/yeorumi,UC9UBS38T2wKKbEKgPFdAoFQ,Yeorumi,linked_official_seed
아카이브,우사미,krvt_p_ba2fd191a1c0573fa031a93edf20da14,https://www.akaiv.studio/members/u32,UCjsSt2r6DMjNlN6X4TjCc0g,u32S2,linked_official_seed
아카이브,한결,krvt_p_023b4bbe009b5d0d96783bb6a76038f6,https://www.akaiv.studio/members/hangyeol,UCluZa5CRH783-eU22_N7f7w,hangyeol8008,linked_official_seed
에스더,아리사,krvt_p_6aeaa1070c2c5e61ac211830ef6f0a85,https://gysent.com/partners/?bmode=view&idx=168469360,,,needs_official_youtube_link
에스더,에리스,krvt_p_87321bd06c3d5fd9be0c3da9c962da8f,https://gysent.com/partners/?bmode=view&idx=168470539,,,needs_official_youtube_link
이세계아이돌,고세구,,https://www.youtube.com/watch?v=Li4VvoZGiYs,UCV9WL7sW6_KjanYkUUaIDfQ,gosegu,linked_official_seed
이세계아이돌,릴파,,https://www.youtube.com/watch?v=Li4VvoZGiYs,UC-oCJP9t47v7-DmsnmXV38Q,lilpa,linked_official_seed
이세계아이돌,비챤,,https://www.youtube.com/watch?v=Li4VvoZGiYs,UCs6EwgxKLY9GG4QNUrP5hoQ,viichan116,linked_official_seed
이세계아이돌,아이네,,https://www.youtube.com/watch?v=Li4VvoZGiYs,UCroM00J2ahCN6k-0-oAiDxg,INE_,linked_official_seed
이세계아이돌,주르르,,https://www.youtube.com/watch?v=Li4VvoZGiYs,UCTifMx1ONpElK5x6B4ng8eg,JU_RURU,linked_official_seed
이세계아이돌,징버거,,https://www.youtube.com/watch?v=Li4VvoZGiYs,UCHE7GBQVtdh-c1m3tjFdevQ,jingburger,linked_official_seed
인챈트,둥그레,krvt_p_194a8203e44f5406a0143aaaef84747a,https://www.enchantenter.co.kr/creator,UC5NomiL_PwWYOvPGH6IPl-g,dunggeure,linked_official_seed
인챈트,티뭉,krvt_p_32051875472e5bd59c6ca54a9c590232,https://www.enchantenter.co.kr/creator,UC3_OSeu-itObSr02JKmNRDw,timoong,linked_official_seed
허니즈,담유이,krvt_p_49476ea3468d5fb9985e7206f187b5bb,https://music.bugs.co.kr/artist/80398251,,,needs_official_youtube_link
허니즈,디디디용,krvt_p_da4c886a29a753c299dd2a984443eb5b,https://music.bugs.co.kr/artist/80398251,,,needs_official_youtube_link
허니즈,망내,krvt_p_d21e0a287f7c57f0a0d10c3e8a101796,https://music.bugs.co.kr/artist/80398251,,,needs_official_youtube_link
허니즈,아야,,https://music.bugs.co.kr/artist/80398251,,,needs_persona_resolution
허니즈,오화요,,https://music.bugs.co.kr/artist/80398251,,,needs_persona_resolution
허니즈,허니츄러스,krvt_p_27fe58a89e505bd3990167ea63421e4e,https://music.bugs.co.kr/artist/80398251,,,needs_official_youtube_link
