시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 07:52,2026.06.15(월) 14:54,바바 이즈 유|음악/노래|talk,전체,6시) 엘라눈나와 오랜만에 노래방,7,981,785,39307,12,
2026.06.13(토) 06:00,2026.06.13(토) 11:54,명조:워더링 웨이브|크레이지 아케이드 비엔비|talk,전체,장례식 하러 왔습니다,5.9,741,596,18749,-4,
2026.06.12(금) 08:47,2026.06.12(금) 14:54,미설정|명조:워더링 웨이브|talk,전체,월드컵 하이라이트 다시보기,6.1,1109,891,21364,20,
2026.06.12(금) 08:33,2026.06.12(금) 08:48,2026 FIFA 북중미 월드컵,전체,월드컵 하이라이트 다시보기,0.2,836,742,1896,0,
2026.06.12(금) 08:00,2026.06.12(금) 08:30,talk,전체,아기 와써요,0.5,720,510,3002,0,
2026.06.10(수) 08:00,2026.06.10(수) 16:18,종합 게임|talk,전체,SCP 알아보는 날,8.3,2010,1177,31915,32,
2026.06.08(월) 11:00,2026.06.08(월) 16:06,명조:워더링 웨이브|talk,전체,명조 뉴비 사이버펑크 스토리 엔딩까지,5.1,2569,1215,23527,43,
2026.06.08(월) 09:15,2026.06.08(월) 10:54,명조:워더링 웨이브,전체,명조 뉴비 사이버펑크 가챠쇼 현질 처음해봐요,1.6,2481,1909,19529,-3,
2026.06.08(월) 07:11,2026.06.08(월) 09:12,명조:워더링 웨이브|talk,전체,젠슨황 유입 어서오세요,2,6050,3119,46499,202,
2026.06.07(일) 06:30,2026.06.07(일) 11:30,이환|방 탈출 시뮬레이터2|talk,전체,공포를 모르는 여자,5,694,501,15206,7,
2026.06.06(토) 05:30,2026.06.06(토) 13:00,명조:워더링 웨이브|talk,전체,엘천재,7.5,1574,1068,30389,36,
2026.06.04(목) 08:00,2026.06.04(목) 16:42,명조:워더링 웨이브|talk,전체,익었잔아 ㅋㅋ,8.7,1719,1278,38036,148,
2026.06.03(수) 05:05,2026.06.03(수) 16:30,명조:워더링 웨이브|talk,전체,명조 뉴비 시작하는날,11.4,3633,1841,72745,288,
2026.06.02(화) 07:59,2026.06.02(화) 13:42,talk,전체,엘날두,5.7,1488,878,36112,12,
2026.05.31(일) 07:31,2026.05.31(일) 12:12,60 세컨즈! 리아토마이즈드|talk,성인,황해 처음보는 사람,4.7,1910,1167,6095,14,
2026.05.31(일) 05:03,2026.05.31(일) 07:30,talk,전체,구리,2.4,1241,1024,16868,3,
2026.05.30(토) 06:03,2026.05.30(토) 15:00,60 세컨즈! 리아토마이즈드|talk,전체,오랜만에 풀트래커 영도데이,8.9,1853,1050,49878,11,
