시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 01:34,2026.06.15(월) 04:00,2026 FIFA 북중미 월드컵,전체,스웨덴 vs 튀니지 ⚽,2.4,2999,2631,9777,81,
2026.06.15(월) 01:07,2026.06.15(월) 01:30,미설정,전체,스웨덴 vs 튀니지 ⚽,0.4,2204,2002,689,6,
2026.06.14(일) 22:35,2026.06.15(월) 01:06,2026 FIFA 북중미 월드컵,전체,코트디부아르 vs 에콰도르 ⚽,2.5,2890,2286,8222,84,
2026.06.14(일) 21:59,2026.06.14(일) 22:30,미설정,전체,코트디부아르 vs 에콰도르 ⚽,0.5,2089,1988,1866,3,
2026.06.14(일) 19:06,2026.06.14(일) 22:00,2026 FIFA 북중미 월드컵,전체,オランダvs日本❣WORLDCUP ⚽,2.9,2926,2340,12211,63,
2026.06.14(일) 19:02,2026.06.14(일) 19:06,미설정,전체,オランダvs日本❣WORLDCUP ⚽,0.1,1767,1767,350,0,
2026.06.14(일) 16:31,2026.06.14(일) 19:00,2026 FIFA 북중미 월드컵,전체,독일 vs 퀴라소 ⚽,2.5,2444,2027,10792,91,
2026.06.14(일) 12:47,2026.06.14(일) 16:30,talk,전체,F1 바르셀로나 그랑프리 🏁,3.7,1553,890,13499,15,
2026.06.14(일) 03:36,2026.06.14(일) 06:12,2026 FIFA 북중미 월드컵,전체,호주 vs 튀르키예 ⚽,2.6,3639,3291,15069,103,
2026.06.14(일) 03:04,2026.06.14(일) 03:36,미설정,전체,아이티 vs 스코틀랜드 ⚽,0.5,2725,2571,3353,11,
2026.06.14(일) 00:33,2026.06.14(일) 03:00,2026 FIFA 북중미 월드컵,전체,아이티 vs 스코틀랜드 ⚽,2.4,3560,3144,12575,170,
2026.06.14(일) 00:10,2026.06.14(일) 00:30,미설정,전체,브라질 vs 모로코 ⚽,0.3,2490,1859,1403,3,
2026.06.13(토) 21:20,2026.06.14(일) 00:06,2026 FIFA 북중미 월드컵,전체,브라질 vs 모로코 ⚽,2.8,3305,2659,13242,122,
2026.06.13(토) 18:29,2026.06.13(토) 21:18,2026 FIFA 북중미 월드컵,전체,월드컵 오늘부터 4경기 시작!! ⚽,2.8,2356,1611,8512,115,
2026.06.13(토) 17:50,2026.06.13(토) 18:24,talk,전체,월드컵 오늘부터 4경기 시작!! ⚽,0.6,615,444,1029,5,
2026.06.13(토) 03:06,2026.06.13(토) 07:00,talk,전체,1시 해축입문 강의 w. 블레어로즈 ⚽,3.9,5381,4520,25762,179,
2026.06.12(금) 23:22,2026.06.13(토) 03:06,2026 FIFA 북중미 월드컵,전체,10시 미국 vs 파라과이 ⚽,3.7,3294,2644,16588,208,
2026.06.12(금) 21:01,2026.06.12(금) 23:18,talk,전체,10시 미국 vs 파라과이 ⚽,2.3,1950,1710,6509,25,
2026.06.12(금) 17:21,2026.06.12(금) 21:00,2026 FIFA 북중미 월드컵,전체,월드컵 4시부터 달려잇!! ⚽⚽,3.6,2019,1417,12403,167,
2026.06.12(금) 04:13,2026.06.12(금) 07:48,미설정|FC온라인,전체,2시 FC온라인 축4동아리 ⚽⚽,3.6,4108,3564,14020,150,
2026.06.12(금) 01:09,2026.06.12(금) 04:12,2026 FIFA 북중미 월드컵,전체,대한민국 승리 응원방 ⚽⚽,3,3900,2929,26484,220,
2026.06.12(금) 00:49,2026.06.12(금) 01:06,talk,전체,가자 대한민국!!!!! 체코전 반드시 이기자! ⚽⚽,0.3,856,600,399,3,
2026.06.11(목) 21:06,2026.06.11(목) 21:18,talk,전체,드디어!! 북중미 월드컵 개----막!! 💙💙⚽⚽,0.2,2442,2136,1300,3,
2026.06.11(목) 20:05,2026.06.11(목) 21:06,2026 FIFA 북중미 월드컵,전체,드디어!! 북중미 월드컵 개----막!! 💙💙⚽⚽,1,2697,2253,8193,102,
2026.06.11(목) 17:02,2026.06.11(목) 20:00,2026 FIFA 북중미 월드컵,전체,드디어!! 북중미 월드컵 개----막!! 💙💙⚽⚽,3,2479,1962,15356,316,
2026.06.11(목) 15:01,2026.06.11(목) 17:00,talk,전체,드디어!! 북중미 월드컵 개----막!! 💙💙⚽⚽,2,993,776,4662,19,
2026.06.10(수) 05:05,2026.06.10(수) 14:00,EA 스포츠 FC 26|talk,전체,3tl 축구 뉴비 교실 w. 탬탬버린,8.9,4136,2517,30511,414,
2026.06.07(일) 06:01,2026.06.07(일) 16:00,스포츠|talk,전체,"축구뉴비 월드컵 강의교실 ⚽ (w. 디디디용, 망내)",10,4809,1842,39134,126,
2026.06.06(토) 08:03,2026.06.06(토) 17:00,미설정|축구|talk,전체,6시 바르셀로나 vs 리버풀 이벤트 매치⚽,8.9,2979,1146,25675,98,
2026.06.05(금) 07:54,2026.06.05(금) 14:42,FC온라인|talk,전체,6시 FC온라인 축4동아리 ㅋㅋㅋㅋㅋㅋㅋ 내 생일인가 ㅋㅋㅋ ⚽,6.8,5264,3379,32672,184,
2026.06.03(수) 23:50,2026.06.04(목) 03:06,talk,전체,월드컵 전 마지막 팽까전 vs 엘살바도르 ⚽,3.3,2748,1820,8241,97,
2026.06.03(수) 10:14,2026.06.03(수) 15:42,talk,전체,8시 햇콥쇼의 이프보드🤪,5.5,772,644,7041,14,
2026.06.02(화) 14:12,2026.06.02(화) 18:42,talk,전체,ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,4.5,1213,1016,11993,19,
2026.06.02(화) 11:47,2026.06.02(화) 14:06,talk,전체,히든싱어8 마지막 이승기편,2.3,2155,1703,12782,35,
2026.06.02(화) 10:58,2026.06.02(화) 11:42,talk,전체,히든싱어8 마지막 이승기편,0.7,1278,774,2851,18,
2026.06.01(월) 12:05,2026.06.01(월) 16:24,talk,전체,10시 북중미 월드컵 간단 PPT,4.3,2112,1303,15487,38,
2026.05.31(일) 05:28,2026.05.31(일) 09:18,talk,전체,3시 축구 뉴비 교육 w. 카린,3.8,3059,2405,18667,108,
2026.05.31(일) 00:42,2026.05.31(일) 03:06,축구,전체,A매치 팽까전 vs 트리니다드토바고 ⚽⚽,2.4,2685,1970,9612,55,
2026.05.30(토) 07:46,2026.05.30(토) 19:06,축구|talk|VR챗,전체,6시 월드컵 워밍업 퀴즈쇼 '골든콥',11.3,5740,2379,56426,250,
2026.05.29(금) 11:00,2026.05.29(금) 16:18,talk,전체,드릴 말씀이...오늘 짧방...,5.3,965,796,16551,22,
2026.05.27(수) 11:01,2026.05.27(수) 20:24,축구|talk,전체,월드컵 시차적응 1일차 얏~호 ヽ(´▽`)/,9.4,710,579,18328,10,
2026.05.26(화) 12:01,2026.05.26(화) 22:06,스타크래프트 : 리마스터|talk,전체,화요일 얏~호 ヽ(´▽`)/,10.1,797,621,14970,28,
2026.05.25(월) 13:28,2026.05.26(화) 00:42,스타크래프트 : 리마스터|talk,전체,월요일 얏~호 ヽ(´▽`)/,11.2,1215,751,18228,74,
2026.05.24(일) 12:59,2026.05.24(일) 22:06,축구|talk,전체,프리미어리그 마지막라운드 ⚽,9.1,1891,1010,25512,45,
2026.05.23(토) 11:03,2026.05.23(토) 23:54,축구|스타크래프트 : 리마스터|talk,전체,ㅇ ㅑ 월드컵보고 물고기방 가서 스타 할래?,12.8,1653,850,24253,55,
2026.05.22(금) 12:00,2026.05.22(금) 23:12,스타크래프트 : 리마스터|talk,전체,사장님 스타크래프트 자리 있나요?? 아..브루드워는 안돼요??.. 아 피파석 밖에 없다구요...? 아...,11.2,1233,608,16669,67,
2026.05.20(수) 11:02,2026.05.20(수) 18:24,축구|talk,전체,산증인과 2002년 한일 월드컵 같이보기 ⚽,7.4,5981,2229,37021,158,
2026.05.19(화) 14:00,2026.05.19(화) 21:12,축구|talk,전체,30일 컨텐츠 공개! 골든콥 ⚽,7.2,980,817,15621,25,
2026.05.19(화) 11:02,2026.05.19(화) 13:54,talk,전체,히든싱어 아줌마와 터틀맨편 보자,2.9,2589,1615,13582,98,
2026.05.17(일) 12:00,2026.05.17(일) 18:30,축구|talk,전체,알오빠...갔어..우웅...,6.5,736,597,13601,9,
