시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:01,2026.06.15(월) 13:24,말랑말랑 두뇌학원|talk,전체,🦝🦝쌍둥이 둘 등장데슈!!!!!✨✨,3.4,33,26,1254,1,
2026.06.14(일) 01:58,2026.06.14(일) 04:48,talk,전체,🦝🦝오전의 쌍둥이둘✨✨,2.8,36,27,1020,2,
2026.06.13(토) 01:58,2026.06.13(토) 05:18,음악/노래,전체,🦝🦝개섯거라!!퉁퉁이..!!!! 최고의 음치 자리를 뺏으러온 지옥의 숲속쌍둥이 너굴이다!!!!✨✨,3.3,60,46,1466,2,
2026.06.11(목) 09:55,2026.06.11(목) 13:42,종합 게임|폴리 브릿지|talk,전체,🦝🦝어ㅓ 이거 왜 쓰러지는데..✨✨,3.8,28,22,654,-2,
2026.06.10(수) 09:55,2026.06.10(수) 13:00,미설정|talk,전체,🦝🦝갸오오오오오오오오오오뿡✨✨,3.1,32,25,793,0,
2026.06.08(월) 09:59,2026.06.08(월) 14:42,매디슨,전체,🦝🦝공포게에이잉ㅁ...✨✨,4.7,37,29,985,0,
2026.06.07(일) 01:57,2026.06.07(일) 06:18,종합 게임|매디슨|talk,전체,🦝🦝공포게임..와버렸다...엉엉ㅇ엉ㅇㅇ엉ㅇ엉ㅇ엉ㅇ엉ㅇ엉ㅇㅇ엉엉어엉어어어어엉ㅇ✨✨,4.3,71,54,1109,4,
2026.06.06(토) 01:56,2026.06.06(토) 04:00,talk,전체,🦝🦝병원가기전 뱅송✨✨,2.1,48,34,529,3,
2026.06.04(목) 09:56,2026.06.04(목) 12:48,talk,전체,🦝🦝누나들이 속담을 알려주는✨✨,2.9,32,25,1234,-1,
2026.06.03(수) 09:56,2026.06.03(수) 13:12,talk,전체,🦝🦝ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ✨✨,3.3,30,26,1295,0,
2026.06.01(월) 09:57,2026.06.01(월) 14:54,talk,전체,🦝🦝6월의 시작이닷!!!!✨✨,4.9,33,26,2639,-1,
2026.05.31(일) 01:56,2026.05.31(일) 05:12,talk,전체,🦝🦝마지막날의 시작을 함께하쟈✨✨,3.3,54,40,842,2,
2026.05.30(토) 01:56,2026.05.30(토) 05:30,talk,전체,🦝🦝굿또모닝구!!!!✨✨,3.6,42,32,1615,0,
2026.05.28(목) 09:58,2026.05.28(목) 15:00,얍얍|talk,전체,🦝🦝7시 합방전 전굽기✨✨,5,57,43,1269,34,
2026.05.28(목) 08:55,2026.05.28(목) 09:54,talk,전체,🦝🦝7시 합방전 전굽기✨✨,1,23,17,309,-1,
2026.05.27(수) 10:04,2026.05.27(수) 13:54,talk,전체,🦝🦝정상영업합니다!!!✨✨,3.8,32,27,1595,1,
2026.05.25(월) 09:57,2026.05.25(월) 13:12,talk,전체,🦝🦝월요일은 한주의 시작인가?!✨✨,3.2,40,30,1228,-1,
2026.05.24(일) 01:57,2026.05.24(일) 05:06,talk,전체,🦝🦝공겜 고름미다✨✨,3.1,54,38,1392,2,
2026.05.23(토) 01:56,2026.05.23(토) 05:42,talk,전체,🦝🦝내일은 공겜을.. 고른다죠오!!!!!!!✨✨,3.8,29,22,1190,2,
2026.05.21(목) 09:56,2026.05.21(목) 13:00,종합 게임|talk,전체,🦝🦝악마너구리둘..✨✨,3.1,26,21,390,1,
2026.05.20(수) 09:55,2026.05.20(수) 13:54,talk,전체,🦝🦝똑똑똑똑똑 뭐드셨나요✨✨,4,27,22,1686,1,
2026.05.18(월) 09:56,2026.05.18(월) 13:18,talk,전체,🦝🦝월요일의 마무리 함께하잔 말이야!!✨✨,3.4,31,24,1038,1,
2026.05.17(일) 02:18,2026.05.17(일) 09:36,서브노티카 2|talk,전체,🦝🦝지각너굴데슈..✨✨,7.3,48,35,1531,9,
2026.05.16(토) 01:57,2026.05.16(토) 04:12,talk,전체,🦝🦝이환 찍먹회✨✨,2.2,25,21,708,2,
2026.05.14(목) 09:58,2026.05.14(목) 13:06,종합 게임|talk,전체,🦝🦝물너굴 탐험대!!!✨✨,3.1,23,18,463,-1,
2026.05.13(수) 09:55,2026.05.13(수) 13:12,talk,전체,🦝🦝실례합니다. 잡담할께 있습니다.✨✨,3.3,33,27,1072,-1,
2026.05.11(월) 09:57,2026.05.11(월) 13:12,talk,전체,🦝🦝월요일의 마무리✨✨,3.2,38,29,1578,1,
2026.05.10(일) 01:56,2026.05.10(일) 08:30,이환|talk,전체,🦝🦝오전의 너구리 둘!!!!✨✨,6.6,49,37,1314,9,
2026.05.09(토) 01:57,2026.05.09(토) 05:36,종합 게임|talk,전체,🦝🦝어린이날 찍힌 당사자도 모르는 영상 공개..✨✨,3.6,39,30,885,2,
2026.05.07(목) 09:59,2026.05.07(목) 14:06,talk,전체,🦝🦝쌍둥이 순찰대✨✨,4.1,35,28,1508,-1,
2026.05.05(화) 09:56,2026.05.05(화) 13:18,음악/노래|talk,전체,🦝🦝어린이날 기념 3D 학예회✨✨,3.4,53,41,1913,0,
2026.05.04(월) 09:55,2026.05.04(월) 12:12,talk,전체,🦝🦝연휴였다고..?!✨✨,2.3,40,33,1014,-1,
2026.05.03(일) 01:56,2026.05.03(일) 06:06,메이플스토리 월드|talk,전체,🦝🦝오전의 쌍둥이둘!!!✨✨,4.2,44,32,1427,7,
2026.05.02(토) 01:55,2026.05.02(토) 06:30,talk,전체,🦝🦝오전의 쌍둥이둘!!!✨✨,4.6,52,41,1880,2,
2026.04.30(목) 09:55,2026.04.30(목) 16:00,프랫폴|talk,전체,🦝🦝찾아왔는데..✨✨,6.1,37,29,1035,1,
2026.04.29(수) 09:55,2026.04.29(수) 13:24,talk,전체,🦝🦝뽀나이!!✨✨,3.5,34,28,1733,1,
2026.04.27(월) 09:55,2026.04.27(월) 13:06,talk,전체,🦝🦝이걸해도 괜찮을까요?✨✨,3.2,42,32,1194,0,
2026.04.26(일) 01:57,2026.04.26(일) 05:30,talk,전체,🦝🦝우오오오오오오!!!✨✨,3.5,76,52,1224,1,
2026.04.25(토) 10:00,2026.04.25(토) 11:24,talk,전체,🦝🦝모두가 디진다 돈까스 먹을때 맵찔이 들의 응떡 사망맛 도전데슈!!!✨✨,1.4,24,19,512,0,
2026.04.25(토) 01:56,2026.04.25(토) 06:48,talk,전체,🦝🦝오전의 쌍둥이 둘!!!✨✨,4.9,52,40,1870,0,
2026.04.23(목) 09:58,2026.04.23(목) 14:00,종합 게임|헬로 네이버 2|talk,전체,🦝🦝이 게임.. 할수있을까..?✨✨,4,29,22,840,1,
2026.04.22(수) 09:56,2026.04.22(수) 12:30,talk,전체,🦝🦝공지 하겠읍니다.✨✨,2.6,34,26,1017,0,
