시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 06:00,2026.06.14(일) 16:12,검은사막|다크 소울 2|아이온2,전체,검사~하다가 옆동네 쇼케 구경가자!,10.2,91,50,4078,1,
2026.06.13(토) 08:03,2026.06.13(토) 14:30,검은사막|다크 소울 2,전체,전승 매구 살려줘 😢,6.4,121,69,1492,4,
2026.06.12(금) 08:02,2026.06.12(금) 14:12,검은사막|모탈 셸 II,전체,전승 매구 해봐야지!,6.2,87,52,1383,-1,
2026.06.11(목) 07:59,2026.06.11(목) 13:48,승리의 여신: 니케|검은사막|귀무자 Way of the Sword,전체,붉은사막 600만장 팔렸다는...검사 신경써줘!!!,5.8,108,67,1524,0,
2026.06.10(수) 08:00,2026.06.10(수) 14:30,모험가 엘리엇의 천 년 이야기|검은사막,전체,뭐가~패치가 되었나,6.5,73,44,1696,-1,
2026.06.09(화) 07:52,2026.06.09(화) 11:18,모험가 엘리엇의 천 년 이야기|검은사막,전체,펄어비스에는 왜 젠슨황 안옴!!!?,3.4,79,57,1222,2,
2026.06.06(토) 08:58,2026.06.06(토) 15:18,데몬즈 소울 리메이크|검은사막,전체,늦어서 죄송합니다 죄송합니당,6.3,67,45,2071,1,
2026.06.05(금) 08:04,2026.06.05(금) 13:06,검은사막|드래곤소드,전체,연구소 뭐 있으려나~,5,89,51,1355,0,
2026.06.04(목) 09:07,2026.06.04(목) 15:30,데몬즈 소울 리메이크|검은사막,전체,1+1 하는 걸 까먹고 안 샀다😢,6.4,82,40,1795,-1,
2026.06.03(수) 08:48,2026.06.03(수) 13:54,데몬즈 소울 리메이크|검은사막,전체,파~~밍😻,5.1,60,40,1089,0,
2026.06.02(화) 07:59,2026.06.02(화) 13:48,데몬즈 소울 리메이크|검은사막,전체,화요일~냥,5.8,92,52,1505,0,
2026.05.30(토) 08:21,2026.05.30(토) 17:36,다크 소울 리마스터|검은사막,전체,의료사고 당하고 왔습니다..,9.2,65,38,2223,2,
2026.05.28(목) 08:08,2026.05.28(목) 14:30,다크 소울 리마스터|검은사막,전체,숙제 하는 날~,6.4,78,45,1432,2,
2026.05.27(수) 08:13,2026.05.27(수) 16:30,다크 소울 리마스터|검은사막,전체,피의 제단 23층 어렵나요?,8.3,107,64,2274,2,
2026.05.26(화) 08:02,2026.05.26(화) 14:48,다크 소울 리마스터|검은사막|아이온2,전체,오늘도 파밍하는 나~,6.8,110,64,2497,3,
2026.05.23(토) 08:07,2026.05.23(토) 18:54,다크 소울 리마스터|검은사막,전체,주말~냥,10.8,78,46,2148,-1,
2026.05.22(금) 08:16,2026.05.22(금) 13:18,검은사막|에브리씽 이즈 크랩: 동물 진화 로그라이트,전체,연구소에 머가 있을까~없을까 (이뽑음),5,69,46,1343,1,
2026.05.18(월) 08:08,2026.05.18(월) 14:42,검은사막|에브리씽 이즈 크랩: 동물 진화 로그라이트|아이온2,전체,1단 아그를 써,6.6,98,60,2526,0,
