시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 07:31,2026.06.15(월) 14:54,이터널 리턴,전체,입문 27일차 요조숙녀처럼 게임하기,7.4,150,106,3735,6,
2026.06.14(일) 03:35,2026.06.14(일) 13:36,이터널 리턴,전체,입문 26일차 찾았다 주력의 핵심,10,179,105,4692,-1,
2026.06.13(토) 00:36,2026.06.13(토) 17:18,이터널 리턴,전체,입문 25일차 자 이제 시작이야~,16.7,260,147,7525,15,
2026.06.11(목) 19:30,2026.06.12(금) 07:18,이터널 리턴,전체,문철빵 하자 해놓고 도망간 미니쉘딸기맛 찾습니다,11.8,293,175,3225,7,
2026.06.10(수) 12:16,2026.06.11(목) 00:36,이터널 리턴,전체,입문 23일차 오늘의 목표 화 안내기,12.3,133,99,4341,6,
2026.06.09(화) 12:00,2026.06.10(수) 00:06,이터널 리턴,전체,입문 22일차 의문의천재가 만든 신 빌드,12.1,139,107,4728,22,
2026.06.08(월) 13:51,2026.06.08(월) 20:36,이터널 리턴,전체,입문 21일차 즐거운 하루~,6.7,142,93,3379,11,
2026.06.07(일) 13:23,2026.06.08(월) 03:24,이터널 리턴,전체,입문 20일차 나쁜말 안하기,14,137,102,6094,7,
2026.06.06(토) 12:13,2026.06.07(일) 02:00,이터널 리턴,전체,입문 19일차 전부 구축해버리겠어,13.8,255,122,6510,22,
2026.06.05(금) 06:36,2026.06.06(토) 01:42,이터널 리턴,전체,입문 18일차 날 꺼내줘,19.1,176,117,11319,20,
2026.06.03(수) 14:28,2026.06.04(목) 06:48,이터널 리턴,전체,입문 17일차 이리진심녀,16.3,158,106,9210,41,
2026.06.02(화) 09:40,2026.06.02(화) 22:18,이터널 리턴,전체,입문 16일차 오늘은 진심모드,12.6,117,92,6710,15,
2026.06.01(월) 11:05,2026.06.01(월) 22:18,이터널 리턴,전체,입문 15일차 잃어버린 점수를 찾아서,11.2,113,89,6671,13,
2026.05.31(일) 07:04,2026.05.31(일) 21:06,이터널 리턴,전체,이터널리턴 입문 14일차 열심히하자,14,138,92,10765,21,
2026.05.30(토) 00:10,2026.05.30(토) 13:18,이터널 리턴,전체,이터널리턴 입문 13일차 메테오 가는 날,13.1,139,94,7911,34,
2026.05.28(목) 12:03,2026.05.28(목) 23:18,이터널 리턴,전체,이터널리턴 입문 12일차 병원갓다옴 ㅜㅅㅜ,11.2,91,60,3059,10,
2026.05.26(화) 22:48,2026.05.27(수) 12:06,이터널 리턴,전체,이터널리턴 입문 11일차,13.3,108,71,5021,11,
2026.05.25(월) 04:17,2026.05.25(월) 13:30,이터널 리턴,전체,이터널리턴 입문 10일차 달라진 나,9.2,110,88,4278,15,
2026.05.23(토) 14:17,2026.05.24(일) 07:54,이터널 리턴|마비노기 모바일,전체,안녕하세요 2부 이리,17.6,116,83,4270,28,
2026.05.20(수) 12:49,2026.05.21(목) 07:00,이터널 리턴|마비노기 모바일,전체,모비노기 숙제 해야되는 날.. 패치노트도있고..,18.2,134,78,3136,18,
2026.05.18(월) 14:30,2026.05.19(화) 15:06,이터널 리턴,전체,이리 입문 7일차 훈수환영 랭크 ㄱㄱ,24.6,171,89,5002,34,
2026.05.17(일) 13:29,2026.05.18(월) 03:54,이터널 리턴,전체,이리 입문 6일차 랭크 달려잇!!,14.4,151,80,2537,14,
2026.05.16(토) 11:26,2026.05.16(토) 21:48,이터널 리턴,전체,이리 입문 5일차 랭크 첫경험,10.4,77,51,1644,5,
2026.05.15(금) 14:26,2026.05.15(금) 21:42,이터널 리턴|마비노기 모바일|talk,전체,1부 모비숙제 2부 이리연습,7.3,67,50,2181,1,
2026.05.14(목) 05:47,2026.05.14(목) 22:36,이터널 리턴,전체,이리 입문 3일차 비형 원챔할게요,16.8,117,51,2899,24,
