시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 02:58,2026.06.14(일) 20:30,리그 오브 레전드|호그와트 레거시|로스트아크,전체,아니 아직도 로숙이가 안끝났어???,17.5,85,39,5812,6,
2026.06.13(토) 02:59,2026.06.13(토) 16:24,미설정|승리의 여신: 니케|로스트아크|디렉티브 8020,전체,일단1부로로숙마무리를한다음에2부로MSI경기구경을하구마무리로디렉티브8020엔딩까지 #로디오,13.4,41,28,4145,-1,
2026.06.12(금) 07:39,2026.06.12(금) 16:24,미설정|디렉티브 8020,전체,보여줘 티원💖 보여줘 티원💖 보여줘 티원💖 보여줘 티원💖 보여줘 티원💖 보여줘 티원💖 보여줘 티원💖 보여줘 티원💖 보여줘 티원💖#LCKWatchParty,8.7,39,27,3132,-1,
2026.06.11(목) 09:00,2026.06.11(목) 14:54,승리의 여신: 니케|로스트아크,전체,요즘누가주말까지숙제해요 #로디오,5.9,48,34,2355,0,
2026.06.10(수) 09:12,2026.06.10(수) 20:24,승리의 여신: 니케|로스트아크,전체,무기25강한걸음남았는데제발장기백만말아달라고이러케빌게요재하기형#로디오,11.2,52,38,3850,4,
2026.06.07(일) 06:43,2026.06.07(일) 17:00,미설정|재앙|리그 오브 레전드|로스트아크,전체,1부 로아마무리 2부 LCK크트딮기 경기구경 3부 공겜마무리... #로디오,10.3,38,30,3045,-1,
2026.06.07(일) 05:08,2026.06.07(일) 06:42,로스트아크,전체,1부 로아마무리 2부 LCK크트딮기 경기구경 3부 공겜마무리... #로디오,1.6,27,21,429,0,
2026.06.06(토) 13:01,2026.06.06(토) 17:48,재앙,전체,재앙 공겜 드가쟈😭😭😭😭😭😭😭😭😭,4.8,40,32,2514,1,
2026.06.06(토) 10:23,2026.06.06(토) 11:42,talk,전체,히든싱어 이승기편 가치보기 :),1.3,36,30,361,0,
2026.06.06(토) 02:55,2026.06.06(토) 10:18,미설정|리그 오브 레전드|로스트아크,전체,휴...공겜하는날이 오지않길바랬어........ #로디오,7.4,49,35,1714,3,
2026.06.05(금) 14:49,2026.06.05(금) 16:42,미설정|talk,전체,나이고 보고시퐁 같이바죵💖 #로디오,1.9,35,31,366,-1,
2026.06.05(금) 10:20,2026.06.05(금) 14:48,로스트아크,전체,벌써 불금이네엥💖 #로디오,4.5,53,42,1565,4,
2026.06.05(금) 09:00,2026.06.05(금) 10:12,로스트아크,전체,벌써 불금이네엥💖 #로디오,1.2,37,28,352,0,
2026.06.04(목) 09:25,2026.06.04(목) 17:00,승리의 여신: 니케|로스트아크,전체,한캐릭만 숙제해도 치사량오는데 로태기인가요 #로디오,7.6,45,31,2790,-4,
2026.06.03(수) 09:00,2026.06.03(수) 16:36,승리의 여신: 니케|로스트아크,전체,이번 로아온에는 머가리 깨질수있나영 #로디오,7.6,49,36,3203,1,
2026.05.31(일) 06:04,2026.05.31(일) 14:48,리그 오브 레전드|승리의 여신: 니케|talk,성인,나랑 가치 황해볼래?????????????????????,8.7,69,41,3509,19,
2026.05.31(일) 03:50,2026.05.31(일) 06:00,로스트아크,전체,이제 나브렐 거들떠안봐도대 ㅠㅠ #로디오,2.2,69,46,790,-3,
2026.05.30(토) 03:42,2026.05.30(토) 17:18,리그 오브 레전드|로스트아크,전체,익브성불할때까지박는다 #로디오,13.6,98,64,3799,20,
2026.05.30(토) 03:27,2026.05.30(토) 03:36,로스트아크,전체,익브성불할때까지박는다 #로디오,0.1,22,15,42,0,
2026.05.29(금) 13:54,2026.05.29(금) 15:24,talk,전체,히든싱어 정인편 못봐쨔 빨리가치보쟈,1.5,32,27,192,0,
2026.05.29(금) 09:02,2026.05.29(금) 13:48,로스트아크,전체,불금이댜불금불금이댜불금불금이댜불금불금이댜불금불금이댜불금불금이댜불금불금이댜불금불금이댜불금불금이댜불금 #로디오,4.8,57,39,1722,-1,
2026.05.28(목) 09:23,2026.05.28(목) 16:42,리그 오브 레전드|승리의 여신: 니케|로스트아크,전체,이짜나오늘숙제를최대한많이빼고싶은데7시에티원경기가있어서조금힘들거같긴한데2대떡으로이기면빨리끝나니까괜찮지않을까라고생각하고있는데어떠케생각해,7.3,49,39,2919,3,
2026.05.27(수) 07:59,2026.05.27(수) 17:36,리그 오브 레전드|로스트아크,전체,티원경기는 아지미나 거물급들 경기면 구경해야지 응응 #LCKWatchParty,9.6,62,38,2463,4,
2026.05.24(일) 14:47,2026.05.24(일) 19:36,로스트아크,전체,아니 이 요망한거시 괴롭히는것도 모잘라서 방송을 터뜨리네 #로디오,4.8,49,38,1247,3,
2026.05.24(일) 06:01,2026.05.24(일) 14:36,리그 오브 레전드|로스트아크,전체,아브렐아주머니 혹시 오늘은 두져주실 생각있으세요? #로디오,8.6,55,41,1825,4,
2026.05.23(토) 05:56,2026.05.23(토) 17:42,로스트아크,전체,익브나메 찍먹만 해봐도 될까요 #로디오,11.8,53,41,2891,0,
