시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 00:00,2026.06.15(월) 03:00,talk,전체,모든것은 아침다.,3,75,62,1662,2,
2026.06.14(일) 09:00,2026.06.14(일) 16:36,에브리씽 이즈 크랩: 동물 진화 로그라이트|talk,전체,내가 왔따~,7.6,68,54,3355,-2,
2026.06.13(토) 14:11,2026.06.13(토) 15:24,talk,전체,하이 갑자기?,1.2,37,31,574,1,
2026.06.12(금) 09:00,2026.06.12(금) 16:00,래토피아|talk,전체,아방아~,7,52,42,1824,-1,
2026.06.11(목) 05:00,2026.06.11(목) 09:12,래프트,전체,바다로 떠나요!!,4.2,71,54,877,7,
2026.06.10(수) 09:00,2026.06.10(수) 16:24,래토피아|talk,전체,2차전,7.4,63,51,1681,-4,
2026.06.10(수) 04:33,2026.06.10(수) 06:48,talk,전체,허허허허헣,2.2,78,61,565,1,
2026.06.08(월) 00:00,2026.06.08(월) 03:12,래토피아|talk,전체,아방마을 지키기~2일차,3.2,94,73,871,2,
2026.06.07(일) 09:00,2026.06.07(일) 17:24,래토피아|talk,전체,아방마을 지키기~2일차,8.4,55,45,1594,-1,
2026.06.06(토) 05:00,2026.06.06(토) 12:30,음악/노래|래토피아|talk,전체,아방 여름 플리 라디오~,7.5,119,77,3404,-2,
2026.06.04(목) 09:14,2026.06.04(목) 11:42,오버쿡! 2|talk,전체,친구가 생겼어요!!(w.로카),2.5,88,69,1411,3,
2026.06.03(수) 09:00,2026.06.03(수) 14:00,래토피아|talk,전체,힐링데이?.?,5,56,48,2392,1,
2026.06.01(월) 00:00,2026.06.01(월) 03:00,몰티즈와 복실복실 온천|talk,전체,복실복실 라디오,3,80,63,1037,2,
2026.05.31(일) 09:00,2026.05.31(일) 15:00,나마코리움|talk,전체,날씨가 이상해요!,6,58,49,2631,-2,
2026.05.30(토) 09:00,2026.05.30(토) 15:06,talk|디제이맥스 리스펙트 V,전체,주말이자나~,6.1,72,60,3904,-1,
2026.05.28(목) 03:00,2026.05.28(목) 09:00,파티 애니멀즈|Grand Theft Auto V|talk,성인,아침입니다~,6,76,59,1120,7,
2026.05.28(목) 00:00,2026.05.28(목) 00:12,talk,전체,아침입니다~,0.2,46,40,46,0,
2026.05.27(수) 09:00,2026.05.27(수) 14:24,스몰랜드: 서바이브 더 와일드|talk,전체,징그러!!!,5.4,56,48,2618,0,
2026.05.25(월) 00:00,2026.05.25(월) 03:00,talk,전체,쪼은 월요일이야!!,3,115,80,1863,3,
2026.05.24(일) 09:00,2026.05.24(일) 10:42,talk,전체,쪼은 월요일...?인가,1.7,56,42,1408,-1,
2026.05.23(토) 09:00,2026.05.23(토) 14:36,음악/노래|talk,전체,좋은 주말이야!!,5.6,58,43,2165,4,
2026.05.21(목) 01:00,2026.05.21(목) 07:06,다크 소울 3|talk,전체,좋은 아침이야!,6.1,82,71,2499,2,
2026.05.20(수) 09:00,2026.05.20(수) 15:12,다크 소울 3|talk,전체,나와써~,6.2,56,48,2998,0,
2026.05.18(월) 00:00,2026.05.18(월) 03:00,talk,전체,월루해야해!,3,78,64,1714,3,
2026.05.17(일) 08:59,2026.05.17(일) 14:12,talk|디제이맥스 리스펙트 V,전체,이료일,5.2,64,55,3717,1,
2026.05.16(토) 13:37,2026.05.16(토) 16:30,서브노티카 2,전체,바다여행!! (서브노티카 2),2.9,61,54,683,1,
2026.05.16(토) 09:00,2026.05.16(토) 13:24,서브노티카 2|talk,전체,바다여행!! (서브노티카 2),4.4,71,59,1592,0,
2026.05.15(금) 09:05,2026.05.15(금) 10:42,talk,전체,테스트 해보자!!,1.6,48,34,1158,0,
2026.05.14(목) 01:00,2026.05.14(목) 07:12,다크 소울 3|talk,전체,좋은 아침이야!,6.2,88,73,2905,3,
2026.05.13(수) 09:00,2026.05.13(수) 16:24,다크 소울 3|talk,전체,날씨가 조아~,7.4,66,56,4070,-4,
2026.05.11(월) 00:00,2026.05.11(월) 03:00,talk,전체,좋은 월요일 아침이야!,3,100,78,1458,0,
2026.05.10(일) 08:59,2026.05.10(일) 14:30,talk|디제이맥스 리스펙트 V,전체,일요일요일요일,5.5,64,49,3430,1,
2026.05.09(토) 09:00,2026.05.09(토) 14:36,다크 소울 3|talk,전체,하이얀~,5.6,68,60,3935,0,
2026.05.07(목) 01:00,2026.05.07(목) 07:12,포켓몬 포코피아|talk,전체,아침이얀!,6.2,84,68,1500,5,
2026.05.06(수) 06:34,2026.05.06(수) 07:48,talk,전체,아 방 아 뭐 해?,1.2,66,51,779,0,
2026.05.05(화) 05:00,2026.05.05(화) 09:36,더 게임 오브 라이프 포 닌텐도 스위치,전체,"어린이날 인생게임!(w.루네,나빈,레이)",4.6,62,52,2653,7,
2026.05.04(월) 00:00,2026.05.04(월) 02:48,talk,전체,월요일 아침이야!,2.8,87,65,886,0,
2026.05.03(일) 09:00,2026.05.03(일) 14:06,음악/노래|talk,전체,좋은 저녁!,5.1,74,57,2669,4,
2026.05.02(토) 09:00,2026.05.02(토) 15:06,시티즈: 스카이 라인|talk,전체,힐링데이!,6.1,68,55,3260,3,
2026.04.30(목) 12:00,2026.04.30(목) 15:06,미설정|talk,전체,저녁!,3.1,48,41,1552,1,
2026.04.29(수) 09:00,2026.04.29(수) 16:12,다크 소울 3|talk,전체,오늘도 고생했어!,7.2,71,58,3965,0,
2026.04.27(월) 00:00,2026.04.27(월) 03:00,talk,전체,좋은 아침이야!,3,102,82,1492,4,
2026.04.26(일) 07:00,2026.04.26(일) 12:30,배니쉬드|talk,전체,힐링 주말~,5.5,80,67,3042,2,
2026.04.25(토) 07:00,2026.04.25(토) 14:30,다크 소울 3|talk,전체,좋은 주말이야!,7.5,99,78,4248,0,
2026.04.22(수) 22:59,2026.04.23(목) 01:12,talk,전체,아침이얀~,2.2,85,62,765,1,
2026.04.22(수) 08:59,2026.04.22(수) 16:06,다크 소울 3|talk,전체,나왔어!!보고싶어써,7.1,79,64,3581,4,
2026.04.18(토) 09:00,2026.04.18(토) 16:06,포장마차 : 한국 길거리 음식 경영시뮬레이터|talk,전체,도전~ 포장마차 사장님,7.1,72,57,2667,0,
2026.04.17(금) 09:00,2026.04.17(금) 15:12,리들우드 매너|talk,전체,공겜 시러어어!!,6.2,85,69,3869,1,
2026.04.16(목) 00:05,2026.04.16(목) 06:06,미설정|포켓몬 포코피아|talk,전체,우엥,6,89,75,1575,4,
2026.04.15(수) 05:00,2026.04.15(수) 12:06,다크 소울 3|P의 거짓|talk,전체,막보 뿌셔뿌셔!,7.1,80,62,2920,-1,
2026.04.14(화) 08:59,2026.04.14(화) 15:18,P의 거짓|talk,전체,나랑 놀자,6.3,76,56,2915,4,
2026.04.13(월) 00:00,2026.04.13(월) 02:48,talk,전체,으아ㅏㅏㅏ아 월요일 뿌셔,2.8,116,92,1491,1,
2026.04.12(일) 05:31,2026.04.12(일) 17:12,마인크래프트,전체,스타드림 마크~,11.7,93,68,3968,14,
2026.04.11(토) 05:00,2026.04.11(토) 11:18,P의 거짓|talk,전체,오후얀!,6.3,85,65,2477,-1,
2026.04.09(목) 00:00,2026.04.09(목) 10:24,P의 거짓|talk,전체,좋은 아침이야!,10.4,100,77,2400,4,
2026.04.07(화) 23:59,2026.04.08(수) 10:48,P의 거짓|talk,전체,아침얀!,10.8,106,81,3554,4,
2026.04.06(월) 00:00,2026.04.06(월) 03:06,talk,전체,아침이야 일어낫!,3.1,98,82,1108,4,
2026.04.05(일) 05:00,2026.04.05(일) 12:06,위스퍼 오브 더 하우스|talk,전체,일요일이얀~,7.1,92,70,1905,0,
2026.04.04(토) 05:00,2026.04.04(토) 11:48,위스퍼 오브 더 하우스|talk,전체,주말 오후얀,6.8,97,66,2348,4,
2026.04.02(목) 00:00,2026.04.02(목) 07:54,스크릿치 스크래치|talk,전체,아침 라디오~,7.9,116,90,3625,7,
2026.04.01(수) 00:00,2026.04.01(수) 08:42,P의 거짓|talk,전체,잘익은 아보카도,8.7,102,84,3779,4,
2026.03.30(월) 00:00,2026.03.30(월) 03:06,talk|디제이맥스 리스펙트 V,전체,월요일뿌셔뿌셔!,3.1,72,55,1164,2,
2026.03.29(일) 05:00,2026.03.29(일) 11:30,팀버본|talk,전체,오늘 날씨 짱조아!,6.5,97,74,2328,-1,
2026.03.28(토) 05:09,2026.03.28(토) 10:54,팀버본|talk,전체,좋은 오후,5.7,127,106,3573,7,
2026.03.26(목) 10:58,2026.03.26(목) 19:18,음악/노래|팀버본|talk,전체,퇴근길 라디오!!,8.3,86,66,2502,3,
2026.03.26(목) 09:00,2026.03.26(목) 10:54,음악/노래,전체,퇴근길 라디오!!,1.9,80,59,770,-1,
2026.03.25(수) 00:00,2026.03.25(수) 11:30,팀버본|talk,전체,아침이야! 월루하자,11.5,110,91,2672,4,
2026.03.23(월) 12:00,2026.03.23(월) 15:24,포켓몬 포코피아|talk,전체,그냥 포코피아가 (더보기),3.4,70,60,1257,1,
2026.03.23(월) 00:00,2026.03.23(월) 03:12,talk,전체,좋은아침이야!,3.2,137,106,1486,2,
2026.03.22(일) 09:00,2026.03.22(일) 14:00,미설정|talk,전체,근육통 씨게온사람 영도데이,5,62,52,2527,0,
2026.03.21(토) 09:00,2026.03.21(토) 14:00,미설정|링 피트 어드벤처|talk,전체,첫 링피트!! ;ㅅ;,5,144,98,3877,2,
2026.03.19(목) 00:00,2026.03.19(목) 10:42,음악/노래|포켓몬 포코피아|talk,전체,아침이얀!,10.7,147,98,4294,23,
2026.03.18(수) 08:02,2026.03.18(수) 11:00,talk,전체,멀미얀 다시 등장,3,137,95,2246,0,
2026.03.18(수) 00:00,2026.03.18(수) 05:00,언타이틀드 구스 게임|talk,전체,아침인가?,5,109,89,2522,1,
2026.03.17(화) 08:59,2026.03.17(화) 13:12,슬레이 더 스파이어 2|talk,전체,슬더슬 ㅈ ㅐ미있나~,4.2,57,48,2032,4,
2026.03.16(월) 12:53,2026.03.16(월) 15:18,talk,전체,아 방 아 뭐 해 ?,2.4,119,92,3870,5,
2026.03.16(월) 00:00,2026.03.16(월) 03:24,talk,전체,아침이야 일어나!,3.4,129,91,1453,6,
2026.03.15(일) 09:00,2026.03.15(일) 16:30,포켓몬 포코피아|낙원: LAST PARADISE|talk,전체,헉 무섭다,7.5,56,47,2416,0,
2026.03.14(토) 08:59,2026.03.14(토) 17:06,포켓몬 포코피아|talk,전체,화이트데이 기념 쪼꼬미 하얀 공개!!!,8.1,66,57,3347,3,
2026.03.12(목) 06:28,2026.03.12(목) 14:18,낙원: LAST PARADISE|talk,전체,하이요,7.8,82,62,3814,1,
2026.03.11(수) 00:00,2026.03.11(수) 07:30,음악/노래|슬레이 더 스파이어 2|talk,전체,아방 봄 플리 라디오,7.5,125,98,2742,8,
2026.03.09(월) 12:01,2026.03.09(월) 16:06,talk,전체,힐링필요,4.1,140,108,4920,1,
2026.03.08(일) 05:00,2026.03.08(일) 19:18,다크 소울 3|talk,전체,닼소 2일차,14.3,114,82,7073,1,
