시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 20:00,2026.06.15(월) 03:24,음악/노래|talk,전체,일요일의 노래방은 좋지만 월요일은 싫어,7.4,67,41,3034,5,
2026.06.13(토) 20:00,2026.06.14(일) 05:42,종합 게임|명조:워더링 웨이브|talk,전체,멍 때리다가 8시 됐어!,9.7,37,28,4366,4,
2026.06.12(금) 20:00,2026.06.13(토) 03:18,할로우 나이트|talk,전체,늦게 일어난 새가 피부가 좋다,7.3,34,25,3049,1,
2026.06.10(수) 20:00,2026.06.11(목) 05:18,이터널 리턴|talk,전체,밥을 코로 먹엇는지 입으로 먹엇느지 모르겟어,9.3,47,30,3971,3,
2026.06.09(화) 20:00,2026.06.10(수) 02:12,종합 게임|talk,전체,봄에 피곤하면 춘곤증인데 여름에두 피곤하면 뭐라구 해?,6.2,38,29,3146,3,
2026.06.07(일) 20:00,2026.06.08(월) 02:36,음악/노래|talk,전체,환하게 웃는 네가 너무 사랑스러워,6.6,53,39,3240,2,
2026.06.06(토) 20:00,2026.06.07(일) 06:12,이터널 리턴|talk,전체,예쁜 미소녀들 보니까 기분이 조아,10.2,44,34,3379,7,
2026.06.06(토) 00:07,2026.06.06(토) 04:12,명조:워더링 웨이브|talk,전체,리나시타 2장 에필로그부터!,4.1,30,25,2055,1,
2026.06.05(금) 20:00,2026.06.06(토) 00:06,명조:워더링 웨이브|talk,전체,저는 오늘 강아지 엉덩이에게 패배했습니다,4.1,30,22,1168,1,
2026.06.03(수) 20:00,2026.06.04(목) 04:18,종합 게임|talk,전체,까아암빡 졸아서 늦는줄알앗어!,8.3,33,25,2569,0,
2026.06.02(화) 20:00,2026.06.03(수) 04:24,talk,전체,삣비삣비!,8.4,39,29,4052,5,
2026.05.31(일) 21:03,2026.06.01(월) 03:48,음악/노래|talk,전체,오늘 코코로가 제법 귀여운 날이래요,6.7,57,45,3603,5,
2026.05.31(일) 20:00,2026.05.31(일) 21:00,talk,전체,오늘 코코로가 제법 귀여운 날이래요,1,26,22,407,0,
2026.05.30(토) 20:00,2026.05.31(일) 03:12,림월드|talk,전체,수고했어 오늘도,7.2,38,29,2095,4,
2026.05.29(금) 20:00,2026.05.30(토) 05:06,음악/노래|talk,전체,I saw her standing there,9.1,46,30,5481,6,
2026.05.27(수) 20:00,2026.05.28(목) 03:36,할로우 나이트|talk,전체,말랑말랑,7.6,34,26,2790,1,
2026.05.26(화) 20:00,2026.05.27(수) 03:36,마작일번가|talk,전체,조아 삼초 춘다 나 잘 때 때리고 간 피피 손들어,7.6,34,26,4576,2,
2026.05.25(월) 20:00,2026.05.26(화) 03:36,이터널 리턴|talk,전체,우아 꽃따러 갔다가 늦을 뻔햇다!,7.6,43,30,2927,4,
2026.05.24(일) 20:00,2026.05.25(월) 05:00,음악/노래|talk,전체,노래 하는 게 좋아♫,9,51,33,3659,4,
2026.05.24(일) 01:39,2026.05.24(일) 06:30,명조:워더링 웨이브|talk,전체,피피들 파산시키고 리나시타 2장 10막 같이보기,4.8,30,24,1035,1,
2026.05.23(토) 20:00,2026.05.24(일) 01:30,명조:워더링 웨이브|talk,전체,인생이 망해버린 꿈을 꿨어,5.5,42,31,2811,4,
2026.05.22(금) 22:50,2026.05.23(토) 05:12,레프트 4 데드 2|talk,성인,코롱이가 와써,6.4,27,20,1668,1,
2026.05.22(금) 21:07,2026.05.22(금) 22:42,talk,전체,코롱이가 와써,1.6,29,26,773,-1,
2026.05.22(금) 20:00,2026.05.22(금) 21:06,talk,전체,코롱이가 와써,1.1,28,22,822,0,
2026.05.21(목) 06:00,2026.05.21(목) 09:12,음악/노래,전체,조금 자고 일어났어.. 좋은 아침?,3.2,45,31,995,11,
2026.05.20(수) 20:00,2026.05.21(목) 02:30,이터널 리턴|talk,전체,미녀가 울면 비가 온다던데...,6.5,38,26,2096,1,
2026.05.19(화) 20:00,2026.05.20(수) 03:48,매지컬 프린세스|talk,전체,난 너를 사랑해~ 이 세상은 너 뿐이야~ 소리쳐 부르지만~,7.8,34,23,2563,1,
2026.05.17(일) 20:01,2026.05.18(월) 02:42,음악/노래|talk,전체,오늘은! 그거야! 노래 부르는 날!,6.7,59,37,2814,4,
2026.05.16(토) 20:00,2026.05.17(일) 03:42,종합 게임|talk,전체,난 일찍 일어나고 싶었는데 이불이 날 놔주지 않앗어,7.7,29,23,2759,-1,
2026.05.15(금) 20:00,2026.05.16(토) 08:36,이터널 리턴|talk,전체,금요일은 금방 일어나서 지금까지 일하기 줄임말~,12.6,45,32,4927,2,
