시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:30,LIVE,로스트아크,전체,LIVE,1.6,15,11,507,0,
2026.06.13(토) 11:01,2026.06.13(토) 17:24,로스트아크|GTFO,전체,(로아) 컴퓨터 상태가 이상해요..,6.4,14,8,602,0,
2026.06.12(금) 12:31,2026.06.12(금) 19:12,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아) 레이드 털기! 피곤함max,6.7,13,8,1264,0,
2026.06.11(목) 11:09,2026.06.11(목) 18:12,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아/전태 L5200) 익브 마지막주 트라이 가야지 가야지,7,10,6,677,1,
2026.06.10(수) 11:00,2026.06.10(수) 18:06,이환|리그 오브 레전드|로스트아크|GTFO,전체,(로아) 일숙 후딱 하고 괴물들 잡으러 가자!,7.1,10,7,719,0,
2026.06.09(화) 11:00,2026.06.09(화) 18:42,이환|오버워치|로스트아크,전체,(로아) 남은 숙제를 끝내보쟈,7.7,13,9,1530,1,
2026.06.08(월) 11:02,2026.06.08(월) 18:48,이환|로스트아크,전체,(로아/전태 l5200) 오늘도 나브...? 얼마나 했지..?,7.8,13,9,1611,1,
2026.06.07(일) 11:01,2026.06.07(일) 19:06,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아/전태L5200) 오늘도 이어지는 나브 트라이!,8.1,15,9,1963,0,
2026.06.05(금) 10:59,2026.06.05(금) 18:36,이환|로스트아크,전체,(로아/전태 L5200) 오늘은 9시에 나메 트라이!,7.6,9,6,561,0,
2026.06.04(목) 11:01,2026.06.04(목) 19:30,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아) 10시 나메 트라이!,8.5,13,8,1256,3,
2026.06.03(수) 11:03,2026.06.03(수) 18:36,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아) 로요일! 열사병 조심하세요,7.5,10,7,902,0,
2026.06.02(화) 12:00,2026.06.02(화) 16:12,로스트아크|PUBG: 배틀그라운드,전체,(로아) 이제 뭐함 청년,4.2,9,7,911,0,
2026.06.01(월) 11:00,2026.06.01(월) 18:24,이환|오버워치|로스트아크,전체,(로아) 진짜 오늘 레이드 다 털기,7.4,16,9,1364,0,
2026.05.31(일) 11:31,2026.05.31(일) 17:48,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아) 레이드 털기!,6.3,12,8,982,0,
2026.05.29(금) 11:00,2026.05.29(금) 18:42,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아/전태L5129) 익스 나메 트라이 3일차,7.7,14,8,923,-1,
2026.05.28(목) 11:03,2026.05.28(목) 18:54,이환|로스트아크,전체,(로아/전태L5129) 본캐 돈 벌러 가야지!,7.8,19,10,1481,1,
2026.05.27(수) 10:16,2026.05.27(수) 19:30,이환|오버워치|로스트아크,전체,(로아/전태 5129) 떡볶이+맘터 저녁 먹고 9시 나메 고고,9.2,15,9,1048,0,
2026.05.26(화) 11:00,2026.05.26(화) 19:18,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아) 싱글만 남은 청년,8.3,13,8,2422,0,
2026.05.25(월) 10:00,2026.05.25(월) 18:36,이환|오버워치|로스트아크|PUBG: 배틀그라운드,전체,(로아) 마지막 휴일 숙제 털기!,8.6,13,10,1958,0,
2026.05.22(금) 11:06,2026.05.22(금) 19:18,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아) 익하브 가봅시다,8.2,10,6,776,0,
2026.05.21(목) 11:01,2026.05.21(목) 19:00,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아) 넘모 추운것 ㄷㄷ 감기 조심하세요,8,13,8,1209,2,
2026.05.20(수) 12:02,2026.05.20(수) 19:00,이환|로스트아크|PUBG: 배틀그라운드,전체,(로아) 로요일 로요일 본캐 돌리기~,7,10,7,984,0,
2026.05.19(화) 11:00,2026.05.19(화) 19:24,이환|로스트아크|프래그마타|PUBG: 배틀그라운드,전체,(로아) 오늘도 딸 보러 가자!,8.4,11,7,1242,0,
2026.05.18(월) 11:00,2026.05.18(월) 18:54,이환|로스트아크|프래그마타,전체,(로아) 오랜만이에요! 일숙하고 프래그마타!,7.9,9,7,1715,0,
