시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:06,2026.06.15(월) 18:36,블루 아카이브|승리의 여신: 니케|섀도우버스 월즈 비욘드|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,옛날 RPG의 주인공들이 미성년인 이유,7.5,35,24,2195,0,
2026.06.15(월) 11:05,2026.06.15(월) 11:06,승리의 여신: 니케,전체,옛날 RPG의 주인공들이 미성년인 이유,0,0,0,0,0,
2026.06.14(일) 13:59,2026.06.14(일) 14:48,talk,전체,키보토스 런 후기라기엔 짧은 방송. 5km 같은 15km 하고 온 사람,0.8,22,14,217,0,
2026.06.13(토) 09:59,2026.06.13(토) 14:42,블루 아카이브|명조:워더링 웨이브|승리의 여신: 니케|섀도우버스 월즈 비욘드|카운터사이드|아이돌마스터 샤이니 컬러즈,전체,바이퍼 V2 고장났다리,4.7,28,16,893,0,
2026.06.12(금) 13:03,2026.06.12(금) 16:42,미설정|블루 아카이브|승리의 여신: 니케|섀도우버스 월즈 비욘드|카운터사이드|아이돌마스터 샤이니 컬러즈,전체,1년에 몇 안되는 축구보는 날,3.6,27,18,664,0,
2026.06.12(금) 10:58,2026.06.12(금) 13:00,2026 FIFA 북중미 월드컵,전체,1년에 몇 안되는 축구보는 날,2,23,14,470,0,
2026.06.11(목) 11:40,2026.06.11(목) 20:42,리그 오브 레전드|블루 아카이브|승리의 여신: 니케|섀도우버스 월즈 비욘드|카운터사이드|아이돌마스터 샤이니 컬러즈|팀파이트 매니저 2|talk,전체,나는 화장실 10분컷하는 사람들이 부럽다,9,32,21,2231,0,
2026.06.10(수) 18:41,2026.06.10(수) 23:24,미설정|talk,전체,효도 연기 2트. 오늘도 레게노 매치나 같이 볼까요?,4.7,38,28,702,0,
2026.06.10(수) 11:29,2026.06.10(수) 17:24,블루 아카이브|명조:워더링 웨이브|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈,전체,드러내다라고 드러내다라고 드러내다라고 드러내다라고 뭘 자꾸 들어내,5.9,37,23,1309,1,
2026.06.09(화) 17:41,2026.06.10(수) 00:06,리그 오브 레전드|블루 아카이브|섀도우버스 월즈 비욘드|talk,전체,일정 급변경으로 인한 레전드 매치 같이보기,6.4,40,29,2360,0,
2026.06.09(화) 11:22,2026.06.09(화) 17:00,승리의 여신: 니케|섀도우버스 월즈 비욘드|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,오늘은 저녁에 연장근무가 없을 예정,5.6,26,19,1201,0,
2026.06.08(월) 11:29,2026.06.08(월) 21:54,블루 아카이브|승리의 여신: 니케|섀도우버스 월즈 비욘드|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,생각보다 시원한 월요일,10.4,39,23,3841,3,
2026.06.07(일) 11:29,2026.06.07(일) 16:54,블루 아카이브|승리의 여신: 니케|아이돌마스터 샤이니 컬러즈|talk,전체,어제 좀 뛰어봤는데 5km 못뛸거같은 김태환은 개추,5.4,38,26,2136,1,
2026.06.06(토) 11:04,2026.06.06(토) 16:42,블루 아카이브|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,일찍 일어나긴 개뿔이 ㅎㅎ,5.6,33,24,2857,1,
2026.06.05(금) 11:36,2026.06.05(금) 20:24,리그 오브 레전드|블루 아카이브|승리의 여신: 니케|아이돌마스터 샤이니 컬러즈|팀파이트 매니저 2|talk,전체,대부분의 지각사유는 너무 늦게까지 좋은걸 봤기 때문이다,8.8,31,23,1475,0,
2026.06.04(목) 11:28,2026.06.04(목) 21:42,리그 오브 레전드|블루 아카이브|승리의 여신: 니케|던전앤파이터|카운터사이드|아이돌마스터 샤이니 컬러즈|팀파이트 매니저 2|talk,전체,어제오늘 아주 그냥 다이나믹하네,10.2,36,25,2595,1,
2026.06.03(수) 11:20,2026.06.03(수) 23:12,리그 오브 레전드|블루 아카이브|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|팀파이트 매니저 2,전체,벌써 에어컨 참기를 해야하는 날씨라고?,11.9,41,27,3220,0,
2026.06.02(화) 11:34,2026.06.02(화) 22:12,리그 오브 레전드|블루 아카이브|명조:워더링 웨이브|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,또 고로시각이란 말인가,10.6,28,19,2719,0,
2026.06.01(월) 21:21,2026.06.01(월) 23:48,talk,전체,먹을곳 체크 좀 짧게 하다 감,2.4,26,21,946,0,
2026.06.01(월) 11:01,2026.06.01(월) 19:30,리그 오브 레전드|블루 아카이브|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,마갈량이스가 별명이라고 생각하고 살았던 사람,8.5,46,21,2821,0,
2026.05.31(일) 11:11,2026.05.31(일) 16:48,블루 아카이브|승리의 여신: 니케|히어로즈 오브 더 스톰|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,와! 일본로또 900엔 당첨,5.6,31,22,1455,0,
2026.05.30(토) 10:54,2026.05.30(토) 16:48,블루 아카이브|승리의 여신: 니케|아이돌마스터 샤이니 컬러즈|talk,전체,팔굽혀펴기 고작 40개쯤 했다고 다음날이 힘들어진 중년,5.9,30,22,1161,0,
2026.05.29(금) 11:01,2026.05.29(금) 16:42,리그 오브 레전드|블루 아카이브|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,폭풍같은 3박 4일이었다,5.7,29,18,1854,0,
2026.05.28(목) 09:34,2026.05.28(목) 10:54,여행,성인,아침 가라오케,1.3,9,6,47,0,
2026.05.27(수) 22:02,2026.05.27(수) 23:00,여행,성인,마지막 밤 저녁도 라이프로,1,12,8,0,0,
2026.05.27(수) 18:20,2026.05.27(수) 19:12,여행,성인,친구랑 가라오케 짧게,0.9,13,10,0,0,
2026.05.26(화) 22:25,2026.05.27(수) 00:00,여행,성인,오늘은 타마데를 털고옴,1.6,24,17,0,0,
2026.05.26(화) 10:15,2026.05.26(화) 10:18,여행,전체,기습 유니바 짧방,0,6,6,0,0,
2026.05.25(월) 21:41,2026.05.25(월) 23:36,여행,성인,오사카 생존신고 겸 저녁식사,1.9,29,22,30,0,
2026.05.25(월) 20:21,2026.05.25(월) 20:30,여행,전체,생존신고겸 타임세일은 아니지만 라이프 털기.,0.1,7,6,12,0,
2026.05.24(일) 11:08,2026.05.24(일) 16:48,리그 오브 레전드|블루 아카이브|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,내일은 오사카 가는 날,5.7,25,20,1158,0,
2026.05.23(토) 11:07,2026.05.23(토) 16:54,블루 아카이브|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,사운드 드라이버 이슈로 사이퍼즈가 안되는걸?,5.8,31,22,1841,-1,
2026.05.22(금) 11:19,2026.05.22(금) 16:54,블루 아카이브|이터널 리턴|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈,전체,매 화 레전드 갱신중인 무친 북극곰 헌터 카미이나 보탄,5.6,24,18,1723,0,
2026.05.21(목) 11:18,2026.05.21(목) 16:42,블루 아카이브|승리의 여신: 니케|히어로즈 오브 더 스톰|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,오사카행을 목전에 두고 있는데 아직도 수면시간이 이상함,5.4,28,20,1477,1,
2026.05.20(수) 11:01,2026.05.20(수) 16:24,블루 아카이브|이터널 리턴|승리의 여신: 니케|아이돌마스터 샤이니 컬러즈,전체,어느새 5월도 꺾임;,5.4,26,19,1228,0,
2026.05.19(화) 11:40,2026.05.19(화) 16:36,블루 아카이브|이터널 리턴|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,진행중인 드롭스가 42개라는 소식을 알리세요,4.9,38,19,1390,0,
2026.05.18(월) 11:03,2026.05.18(월) 23:00,리그 오브 레전드|블루 아카이브|이터널 리턴|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,오늘은 뭐하지,11.9,34,22,3283,0,
2026.05.17(일) 11:29,2026.05.17(일) 16:42,블루 아카이브|이터널 리턴|승리의 여신: 니케|카운터사이드|아이돌마스터 샤이니 컬러즈|talk,전체,아무리 생각해도 그 정도는 아닌거 같아,5.2,32,22,1494,0,
2026.05.16(토) 11:15,2026.05.16(토) 17:00,블루 아카이브|이터널 리턴|승리의 여신: 니케|아이돌마스터 샤이니 컬러즈|talk,전체,내 컴퓨터 누가 해킹했어,5.7,31,23,1022,0,
2026.05.16(토) 11:06,2026.05.16(토) 11:12,승리의 여신: 니케,전체,내 컴퓨터 누가 해킹했어,0.1,4,4,0,0,
