시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:00,2026.06.15(월) 12:30,유희왕 마스터 듀얼,전체,DC컵 도전: 마그넷 워리어 1일차,1.5,22,15,285,0,
2026.06.14(일) 09:59,2026.06.14(일) 15:06,유희왕 마스터 듀얼,전체,오랜만입니다. 근황 보고 들으면서 듀얼하실 분들 들어와보시겠어요? ㅎㅎ;,5.1,47,34,2930,2,
2026.05.31(일) 11:04,2026.06.01(월) 07:00,유희왕 마스터 듀얼,전체,MAN vs 기믹퍼핏,19.9,44,31,3222,4,
2026.05.30(토) 19:25,2026.05.30(토) 23:24,유희왕 마스터 듀얼,전체,"MAN vs 기믹퍼핏 3일간의 싸움, 전초전",4,20,14,509,-1,
2026.05.28(목) 10:00,2026.05.28(목) 12:12,유희왕 마스터 듀얼,성인,맥주 한캔 하며 기믹퍼핏 마스터 찍기! 다음달 근무표 보자마자 이직하기로 결심함 ㅋㅋ [5/30~6/1 기믹퍼핏 마스터1 끝장전],2.2,15,11,151,1,
2026.05.26(화) 17:38,2026.05.26(화) 21:54,유희왕 마스터 듀얼,전체,기믹 퍼핏,4.3,31,16,569,1,
2026.05.26(화) 11:00,2026.05.26(화) 13:00,유희왕 마스터 듀얼,전체,"다이스랠리 끝난다! 달려! ""해룡신 룡화덱"" / 점검 끝나고 기믹 퍼핏 등반.. 이달 말에도 2박 3일 노방종 해야 할듯?ㅋㅋㅋㅋ",2,23,15,261,0,
2026.05.24(일) 11:10,2026.05.24(일) 13:06,유희왕 마스터 듀얼,전체,"가볍게 듀얼, 소통하실 분 들어오세욧!",1.9,27,19,456,2,
2026.05.23(토) 09:09,2026.05.23(토) 16:30,포켓몬스터 하트골드,전체,"스타팅 덩쿠리, 풀타입 챌린지 2일차 (랜덤스타팅 단일타입, 훈수 환영, 뉴비) [포켓몬스터 하트골드]",7.3,23,13,981,3,
2026.05.22(금) 09:57,2026.05.23(토) 00:00,유희왕 마스터 듀얼|포켓몬스터 하트골드,전체,기믹 퍼핏 등반 / 포켓몬 하트골드 랜덤스타팅 단일타입 챌린지 [근데 뉴비인ㅋㅋ],14,37,18,2409,1,
2026.05.21(목) 14:02,2026.05.21(목) 15:18,포켓몬 챔피언스,전체,메가무장조의 크고 아름다운 깃털을 잊을 수가 없었어,1.3,17,12,122,0,
2026.05.21(목) 09:56,2026.05.21(목) 13:30,유희왕 마스터 듀얼,전체,"님들진짜회사안에서정치질은하면안되는거에요그건나쁜거에요막누구괴롭히고그러지마요ㅠㅠㅠㅠㅠㅠㅠ1부 기믹퍼핏, 2부 포켓몬 챔피언스! 3부는 나도 몰라!",3.6,25,17,649,3,
2026.05.19(화) 09:24,2026.05.19(화) 12:18,유희왕 마스터 듀얼,전체,"기믹퍼핏 연습실, 잔잔 소통O 영도 최저가",2.9,18,12,166,1,
2026.05.17(일) 12:20,2026.05.17(일) 14:12,유희왕 마스터 듀얼,전체,가볍게 듀얼하실 분 들어오세요 ㅎㅎ;,1.9,38,26,445,1,
2026.05.17(일) 11:17,2026.05.17(일) 12:18,유희왕 마스터 듀얼,전체,가볍게 듀얼하실 분 들어오세요 ㅎㅎ;,1,20,11,109,1,
2026.05.16(토) 09:52,2026.05.16(토) 13:06,포켓몬 챔피언스,전체,"시즌1 65등 메가무장조 파티, 직접 해봅시다!",3.2,29,18,364,0,
2026.05.15(금) 14:58,2026.05.15(금) 15:48,페이트/그랜드 오더,전체,제발알퀘이드비틱하게해주세요제발알퀘이드비틱하게해주세요제발알퀘이드비틱하게해주세요제발알퀘이드비틱하게해주세요제발알퀘이드비틱하게해주세요제발알퀘이드비틱하게해주세요제발알퀘이드비틱하게해주세요제발,0.8,18,13,145,1,
