시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 01:50,2026.06.15(월) 09:24,리그 오브 레전드|성세천하: 여제의 탄생 Ⅱ|PUBG: 배틀그라운드|talk,전체,공주 기상😃,7.6,19,9,731,1,
2026.06.12(금) 08:35,2026.06.12(금) 13:54,미설정|종합 게임|성세천하: 여제의 탄생|성세천하: 여제의 탄생 Ⅱ|talk,성인,🫠🫠🫠🫠🫠🫠,5.3,11,7,297,0,
2026.06.12(금) 01:55,2026.06.12(금) 04:00,2026 FIFA 북중미 월드컵,전체,축구 화이티이잉🫠 | ~14:00,2.1,10,7,202,0,
2026.06.11(목) 23:41,2026.06.12(금) 01:54,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,안농🫠 | ~14:00,2.2,10,7,233,0,
2026.06.10(수) 12:21,2026.06.10(수) 15:36,talk,전체,녹초이아🫠 | ~23:00,3.2,18,12,461,0,
2026.06.09(화) 13:38,2026.06.09(화) 16:36,talk,전체,죽지마 이아주🫠 | ~00:00,3,14,10,744,0,
2026.06.08(월) 09:16,2026.06.08(월) 13:48,리그 오브 레전드|talk,전체,쉼🫠,4.5,19,12,861,0,
2026.06.08(월) 03:08,2026.06.08(월) 09:12,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,어 내 오전 어디갔지🫠,6.1,17,10,538,0,
2026.06.07(일) 13:29,2026.06.07(일) 19:54,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,[off] 쉬는 날🫠,6.4,17,12,1210,1,
2026.06.06(토) 00:44,2026.06.06(토) 03:18,종합 게임|리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,야생의 이아몬이 나타났다!😃| ~12:00,2.6,16,9,374,0,
2026.06.03(수) 07:18,2026.06.03(수) 08:18,종합 게임,전체,왜 방종을 못해😃,1,12,8,171,0,
2026.06.03(수) 02:36,2026.06.03(수) 07:18,종합 게임|리그 오브 레전드|오버워치|PUBG: 배틀그라운드,전체,offfff |~15:00,4.7,20,12,574,0,
2026.06.02(화) 12:04,2026.06.02(화) 16:30,종합 게임|PUBG: 배틀그라운드|talk,전체,안녕?😃,4.4,16,10,517,0,
2026.05.31(일) 23:09,2026.06.01(월) 10:36,종합 게임|오버워치|PUBG: 배틀그라운드|talk,성인,월요일 힘내ㅐ😃,11.4,25,11,1076,1,
2026.05.30(토) 07:43,2026.05.30(토) 17:00,종합 게임|리그 오브 레전드|PUBG: 배틀그라운드|talk,성인,심심해😃,9.3,16,11,476,-1,
2026.05.30(토) 00:28,2026.05.30(토) 02:18,종합 게임|PUBG: 배틀그라운드,전체,자? 😃| ~12:00,1.8,16,9,197,0,
2026.05.29(금) 12:09,2026.05.29(금) 15:54,종합 게임|talk,전체,우아아아아아아앙 주말ㄹㄹㄹ!!!🫠| 22:00~ 방탈출 w.비빙,3.8,12,9,311,0,
2026.05.28(목) 12:03,2026.05.28(목) 16:12,종합 게임|음악/노래|PUBG: 배틀그라운드|talk,전체,사과 그리고 🫠 | ~23:30,4.1,14,9,366,0,
2026.05.27(수) 12:10,2026.05.27(수) 16:06,종합 게임|PUBG: 배틀그라운드|talk,전체,뭘봐ㅏ🫠 | ~23:30,3.9,14,10,573,0,
2026.05.26(화) 10:47,2026.05.26(화) 14:42,종합 게임|PUBG: 배틀그라운드|talk,전체,나 좀 웃겨줄 달멩이 구함🫠 | ~22:00,3.9,14,9,473,0,
2026.05.23(토) 23:28,2026.05.24(일) 02:00,음악/노래|PUBG: 배틀그라운드|talk,성인,~10:00 😃,2.5,33,18,420,1,
2026.05.23(토) 12:56,2026.05.23(토) 16:30,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,말차라떼 먹다 사레들려서 기침을 마구 했더니..더보기,3.6,15,10,474,0,
2026.05.21(목) 12:57,2026.05.21(목) 15:18,PUBG: 배틀그라운드|talk,전체,저녁이아🫠,2.3,19,13,391,0,
2026.05.20(수) 13:47,2026.05.20(수) 15:30,talk,전체,맞아 나 휴방이지 참 🫠,1.7,15,11,319,-1,
2026.05.18(월) 08:34,2026.05.18(월) 09:36,리그 오브 레전드,전체,머랭 ㅋㅋㅋ🫠,1,16,13,156,1,
2026.05.18(월) 03:37,2026.05.18(월) 08:24,리그 오브 레전드|오버워치|PUBG: 배틀그라운드,전체,밥먹어!!!!!!!!!!!🫠,4.8,22,14,1064,2,
2026.05.17(일) 16:56,2026.05.17(일) 19:06,종합 게임|오버워치|talk,전체,주무세요🫠,2.2,8,4,288,0,
2026.05.15(금) 11:46,2026.05.15(금) 15:00,음악/노래|talk,전체,네가 필요해(체력 없음)🫠| ~22:00,3.2,11,7,464,0,
2026.05.14(목) 12:58,2026.05.14(목) 16:00,talk,성인,이데렐라🫠| ~00:00,3,15,9,663,1,
2026.05.13(수) 10:35,2026.05.13(수) 12:54,PUBG: 배틀그라운드|talk,전체,말도 안되는 시간에 등장하기🫠| ~21:20,2.3,15,11,308,0,
2026.05.11(월) 01:21,2026.05.11(월) 04:06,음악/노래|PUBG: 배틀그라운드|talk,전체,졸려ㅑ🫠,2.7,10,6,278,0,
2026.05.10(일) 16:39,2026.05.10(일) 18:12,음악/노래|talk,전체,왜 이리 높은거람🫠 ~2:00,1.5,8,5,95,1,
2026.05.10(일) 16:30,2026.05.10(일) 16:36,음악/노래,전체,잘자🫠,0.1,5,5,0,0,
2026.05.10(일) 04:07,2026.05.10(일) 10:12,리그 오브 레전드|오버워치|PUBG: 배틀그라운드|talk,전체,test🫠,6.1,16,12,546,1,
2026.05.09(토) 01:15,2026.05.09(토) 09:48,종합 게임|PUBG: 배틀그라운드,전체,일어나 아침이야🫠,8.5,19,15,977,2,
2026.05.06(수) 13:21,2026.05.06(수) 15:42,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,자기 전에 조금이라도,2.3,14,9,173,1,
2026.05.05(화) 09:32,2026.05.05(화) 16:06,종합 게임|PUBG: 배틀그라운드|talk,전체,표정🤨,6.6,19,13,1484,0,
2026.05.04(월) 02:03,2026.05.04(월) 16:36,종합 게임|언젠가는 도착해|PUBG: 배틀그라운드|talk,전체,🫠잘 놀고 있을게!,14.5,19,10,1853,0,
2026.05.03(일) 02:26,2026.05.03(일) 12:24,종합 게임|오버워치|PUBG: 배틀그라운드|talk,전체,🫠 홈홈 스윗홈,10,19,13,798,3,
2026.04.30(목) 13:36,2026.04.30(목) 17:06,PUBG: 배틀그라운드|talk,전체,🫠 기다려줘서 고마워,3.5,15,12,441,0,
2026.04.28(화) 13:04,2026.04.28(화) 15:12,PUBG: 배틀그라운드|talk,전체,🫠 저녁이아 | ~24:00,2.1,13,10,439,-1,
2026.04.27(월) 00:02,2026.04.27(월) 02:48,PUBG: 배틀그라운드|talk,전체,🫠 멈출지도 몰라요 | ~12:00,2.8,11,7,261,1,
2026.04.26(일) 15:49,2026.04.26(일) 17:00,PUBG: 배틀그라운드|talk,전체,🫠 졸려 졸린데 자긴 싫어 | ~01:00,1.2,13,11,245,0,
2026.04.26(일) 15:20,2026.04.26(일) 15:36,talk,전체,🫠 졸려 졸린데 자긴 싫어 | ~01:00,0.3,11,8,50,0,
2026.04.26(일) 00:56,2026.04.26(일) 03:18,종합 게임|talk,전체,🫠 일어나 나랑 놀아 | ~13:00,2.4,18,15,327,0,
2026.04.26(일) 00:11,2026.04.26(일) 00:42,종합 게임|talk,전체,🫠 일어나 나랑 놀아 | ~13:00,0.5,16,10,133,0,
2026.04.25(토) 01:55,2026.04.25(토) 06:36,종합 게임|PUBG: 배틀그라운드|talk,전체,🫠 오늘 상태가 영,4.7,15,12,820,-1,
