시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 18:11,2026.06.14(일) 02:30,종합 게임|슬레딩 게임|성세천하: 여제의 탄생 Ⅱ,전체,썰매타러 가볼까요?,8.3,9,5,242,-2,
2026.06.12(금) 10:23,2026.06.12(금) 12:18,오버워치,전체,플레 찍고 남자친구 만든다 난 한다면 하는년이니까,1.9,9,5,317,-2,
2026.06.06(토) 17:32,2026.06.07(일) 07:12,발로란트|오버워치|talk,전체,안녕,13.7,34,14,2226,13,
2026.06.05(금) 21:00,2026.06.06(토) 00:12,음악/노래|오버워치,전체,술먹고 노래부르기,3.2,11,6,140,2,
2026.06.01(월) 10:38,2026.06.01(월) 15:42,음악/노래|발로란트|오버워치,전체,오버워치 - 플레 - 다이야 갈수있지,5.1,16,8,501,2,
2026.05.27(수) 13:04,2026.05.27(수) 18:06,오버워치,전체,디코 아이디 없어짐,5,8,4,211,1,
2026.05.26(화) 14:26,2026.05.26(화) 17:42,발로란트|talk,전체,난 널 버리지 않아 너도 같은 생각이지?,3.3,8,5,452,-1,
2026.05.24(일) 21:50,2026.05.25(월) 11:54,리그 오브 레전드|오버워치|talk,전체,오버워치 골딱이,14.1,36,19,1508,8,
2026.05.23(토) 00:36,2026.05.23(토) 05:00,종합 게임|발로란트,전체,💗 Call on me 💗,4.4,8,5,235,0,
2026.05.22(금) 16:48,2026.05.22(금) 18:12,오버워치,전체,오버워치 달려?,1.4,11,8,170,1,
2026.05.18(월) 08:53,2026.05.19(화) 00:06,종합 게임|발로란트|오버워치|두근두근타운|Qwilight|talk|디제이맥스 리스펙트 V,전체,잠이 안와서 미치게써ㅓㅓ💗,15.2,25,10,1101,5,
2026.05.17(일) 18:37,2026.05.18(월) 01:06,오버워치,전체,잠이 안와서 미치게써ㅓㅓ💗,6.5,20,11,664,1,
2026.05.16(토) 22:40,2026.05.17(일) 03:36,오버워치,전체,일요일은 방송을 안하던 뚜지가 왠일?ㅋㅋ,4.9,17,9,268,2,
2026.05.16(토) 01:42,2026.05.16(토) 07:18,오버워치,전체,💗골따기 골따기💗,5.6,16,8,335,4,
2026.05.14(목) 23:19,2026.05.15(금) 06:12,발로란트|오버워치,전체,💖전프로품에 안겨서 달리는 아섭경쟁 골드💖,6.9,24,14,818,2,
2026.05.14(목) 18:50,2026.05.14(목) 23:18,종합 게임|발로란트|오버워치,전체,노마이크,4.5,12,4,761,1,
2026.05.13(수) 21:42,2026.05.14(목) 08:54,오버워치|talk,전체,토크토크,11.2,30,15,1075,0,
2026.05.12(화) 22:59,2026.05.13(수) 12:12,발로란트|오버워치|PUBG: 배틀그라운드|talk,전체,ㅎ-ㅎ.. 닌텐도 게임 방송하고싶은데 캡쳐보드 없음,13.2,26,12,1414,-1,
2026.05.11(월) 21:21,2026.05.12(화) 04:54,종합 게임|리그 오브 레전드,전체,군인시청자랑 룰루랄라 놀기,7.5,9,5,472,2,
