시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 20:25,2026.06.14(일) 23:54,리그 오브 레전드,전체,칼바람 후열,3.5,16,13,159,0,
2026.06.14(일) 15:05,2026.06.14(일) 20:24,리그 오브 레전드,전체,티젠전 같이볼뤠?,5.3,15,12,776,-2,
2026.06.12(금) 17:58,2026.06.12(금) 18:00,미설정,전체,티한전 같이보기,0,4,4,0,0,
2026.06.12(금) 17:01,2026.06.12(금) 17:06,미설정,전체,티한전 같이보기,0.1,5,5,0,0,
2026.06.07(일) 17:23,2026.06.08(월) 00:36,리그 오브 레전드,전체,반갑다유ㅜ,7.2,14,11,1030,-3,
2026.06.06(토) 08:08,2026.06.06(토) 12:18,이터널 리턴,전체,반갑다유ㅜ,4.2,30,19,255,-1,
2026.05.28(목) 18:50,2026.05.28(목) 21:48,리그 오브 레전드,전체,반갑다요ㅗ,3,18,15,371,-1,
2026.05.28(목) 12:37,2026.05.28(목) 18:48,리그 오브 레전드|이터널 리턴|talk,전체,반갑다요ㅗ,6.2,14,10,521,1,
2026.05.23(토) 08:03,2026.05.23(토) 12:12,이터널 리턴,전체,말랑말랑탱글탱글,4.1,25,17,317,1,
2026.05.20(수) 18:41,2026.05.20(수) 18:48,리그 오브 레전드,전체,lck 같이보기,0.1,4,2,0,0,
2026.05.19(화) 20:24,2026.05.19(화) 21:30,리그 오브 레전드,전체,도파민 담당,1.1,10,8,68,0,
2026.05.16(토) 13:17,2026.05.16(토) 15:18,리그 오브 레전드,전체,상습 도망범,2,12,8,458,0,
