시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:00,LIVE,롬스테드|talk,전체,LIVE,5.1,17,13,679,0,
2026.06.13(토) 09:00,2026.06.13(토) 13:00,롬스테드|talk,전체,(๑•̀ㅂ•́)و✧이번달 일정을 점검해보아오 이번달 뭔가 많아요 내일은 휴방이에오 최쌤이랑 플빈이랑 이퓨랑 우리집 놀러온다요 플빈이랑 이퓨가 와서 기뻐요! 맛있는거 먹을거에오,4,16,11,708,1,
2026.06.12(금) 09:16,2026.06.12(금) 13:54,스타시커: 아스트로니어 익스페디션|talk,전체,어우 진짜 바쁘다 바빠 현대사회😩,4.6,15,12,324,0,
2026.06.11(목) 09:00,2026.06.11(목) 12:54,서브노티카: 빌로우 제로|talk,전체,📢아빠 전화 좀 받아 도대체 뭘 하길래 딸 전화를 안받는데?? 아빠 내 방송보면 전화해!!,3.9,16,11,411,0,
2026.06.09(화) 08:59,2026.06.09(화) 12:42,에이펙스 레전드|talk,전체,붸에에에에에엥오오오오오오온,3.7,17,12,861,0,
2026.06.08(월) 11:00,2026.06.08(월) 13:30,에이펙스 레전드|talk,전체,💚늦어서 멘고멘고🧡,2.5,16,13,465,0,
2026.06.07(일) 08:59,2026.06.07(일) 13:24,서브노티카: 빌로우 제로|talk,전체,이 더운 여름 🍹깻잎스무디를🌿 모르는 당신들이 불쌍해..✨🍹,4.4,14,11,435,0,
2026.06.05(금) 09:29,2026.06.05(금) 13:06,에이펙스 레전드|talk,전체,붸엥오온,3.6,22,15,589,1,
2026.06.04(목) 09:01,2026.06.04(목) 13:00,에이펙스 레전드|talk,전체,3일만에 뱅온인가?,4,24,16,1129,-1,
2026.06.01(월) 09:00,2026.06.01(월) 13:30,서브노티카: 빌로우 제로|talk,전체,의자에세 낮잠 자면 앙대..,4.5,18,12,369,0,
2026.05.31(일) 08:59,2026.05.31(일) 13:12,두근두근타운|talk,전체,와따,4.2,25,19,1082,4,
2026.05.30(토) 08:00,2026.05.30(토) 12:42,서브노티카: 빌로우 제로|talk,전체,뷍오온,4.7,15,11,306,0,
2026.05.28(목) 09:26,2026.05.28(목) 13:42,서브노티카: 빌로우 제로|talk,전체,😢심각한 겜태기 입니다.. 일단 켰어요 해보고 유기할 수 있어요 일단 그냥 켜본거에오,4.3,14,11,219,0,
2026.05.27(수) 09:01,2026.05.27(수) 11:42,에이펙스 레전드|talk,전체,🌧️오늘 하루종일 비온다고 하지 않아떠?🌧️,2.7,19,12,805,0,
2026.05.26(화) 11:26,2026.05.26(화) 13:18,talk,전체,☔또 비와🌧️,1.9,26,20,663,1,
2026.05.26(화) 09:00,2026.05.26(화) 11:24,talk,전체,☔또 비와🌧️,2.4,19,14,840,0,
2026.05.25(월) 08:59,2026.05.25(월) 10:00,talk,전체,아으 계획이 있었는데 없어졌어ㅠ ㅠㅠㅠ,1,11,7,215,0,
2026.05.24(일) 08:33,2026.05.24(일) 14:12,에이펙스 레전드|마인크래프트|talk,전체,😢억울하게 밥을 못먹어따..,5.6,22,14,1033,-2,
2026.05.23(토) 08:55,2026.05.23(토) 13:06,마인크래프트|talk,전체,✨골드찍고 온 반짝거리는 송아✨,4.2,26,14,841,2,
2026.05.21(목) 09:12,2026.05.21(목) 13:24,에이펙스 레전드|talk,전체,눈알을 잃어버려따👓,4.2,19,14,455,0,
2026.05.20(수) 08:09,2026.05.20(수) 11:24,에이펙스 레전드|talk,전체,비가 오고 난 졸려😴,3.2,21,14,321,1,
