시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 14:13,2026.06.14(일) 17:00,패스 오브 엑자일 2,전체,늦게 배운 도둑질.,2.8,7,4,133,0,
2026.06.10(수) 15:00,2026.06.10(수) 16:06,패스 오브 엑자일 2,전체,쉬는데 일해서 피곤했던 사람(바자르 내일부터 함),1.1,7,5,52,0,
2026.06.10(수) 14:45,2026.06.10(수) 14:54,패스 오브 엑자일 2,전체,쉬는데 일해서 피곤했던 사람(바자르 내일부터 함),0.1,6,6,44,0,
2026.06.10(수) 14:16,2026.06.10(수) 14:42,패스 오브 엑자일 2,전체,쉬는데 일해서 피곤했던 사람(바자르 내일부터 함),0.4,6,3,34,0,
2026.06.07(일) 13:17,2026.06.07(일) 18:24,패스 오브 엑자일 2,전체,poe2 / 바자르는 담주부터,5.1,5,2,207,0,
2026.06.06(토) 15:32,2026.06.06(토) 18:30,패스 오브 엑자일 2,전체,poe2 / 바자르는 담주부터,3,6,5,42,0,
2026.06.06(토) 11:39,2026.06.06(토) 15:30,패스 오브 엑자일 2,전체,poe2 / 바자르는 담주부터,3.8,5,3,137,0,
2026.06.03(수) 08:26,2026.06.03(수) 12:24,패스 오브 엑자일 2,전체,poe2 위치헌터 키워보기 / 바자르는 목요일 이후부터,4,3,1,48,0,
2026.06.02(화) 14:50,2026.06.02(화) 20:24,패스 오브 엑자일 2,전체,poe2 / 바자르는 목요일 이후부터,5.6,7,4,495,0,
2026.06.01(월) 14:55,2026.06.01(월) 19:48,패스 오브 엑자일 2,전체,상모돌리기 방송(음악 흥겨움)/바자르는 목요일 이후부터,4.9,5,2,55,0,
2026.05.31(일) 06:51,2026.05.31(일) 12:24,패스 오브 엑자일 2,전체,무투가? 그건 쓰레기다. 이젠 '나루토'의 시대다.,5.5,6,4,86,0,
2026.05.30(토) 17:35,2026.05.30(토) 19:00,패스 오브 엑자일 2,전체,무투가? 그건 쓰레기다. 이젠 '나루토'의 시대다.,1.4,4,2,6,0,
2026.05.30(토) 12:21,2026.05.30(토) 15:30,패스 오브 엑자일 2,전체,"POE2, 1랩 플리커(아님)의 길",3.1,7,5,16,0,
2026.05.30(토) 05:53,2026.05.30(토) 11:54,패스 오브 엑자일 2,전체,"POE2, 1랩 플리커(아님)의 길",6,7,4,208,0,
2026.05.29(금) 20:06,2026.05.30(토) 02:36,패스 오브 엑자일 2,전체,"POE2, 맨손 권투가의 길",6.5,9,4,445,0,
2026.05.27(수) 15:57,2026.05.27(수) 19:24,더 바자르,전체,바자르 조금만.,3.4,16,11,345,0,
2026.05.26(화) 16:12,2026.05.26(화) 19:06,더 바자르,전체,바자르 조금만.,2.9,10,8,100,0,
2026.05.25(월) 15:56,2026.05.25(월) 17:24,더 바자르,전체,바자르 조금만.,1.5,11,8,96,-1,
2026.05.24(일) 15:26,2026.05.24(일) 19:06,더 바자르|헌트: 쇼다운 1896,전체,작업방송(끝나면 3시 반까지 바자르함),3.7,9,5,133,0,
2026.05.24(일) 04:59,2026.05.24(일) 08:36,더 바자르,전체,다 버저르,3.6,26,13,344,0,
2026.05.23(토) 09:59,2026.05.23(토) 19:42,더 바자르|데드 애즈 디스코|헌트: 쇼다운 1896,전체,Sat Bazzar Show.,9.7,20,11,542,1,
2026.05.22(금) 15:55,2026.05.22(금) 18:54,더 바자르,전체,3시까지만.,3,19,12,276,0,
