시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 08:37,2026.06.14(일) 12:54,데드 바이 데이라이트|성세천하: 여제의 탄생 Ⅱ,전체,일단발전기돌리구여,4.3,16,12,1019,0,
2026.06.13(토) 07:36,2026.06.13(토) 14:42,데드 바이 데이라이트|성세천하: 여제의 탄생|성세천하: 여제의 탄생 Ⅱ,성인,발전기돌리라고!!!!!!!!!,7.1,16,11,1569,0,
2026.06.07(일) 03:57,2026.06.07(일) 07:36,이환|데드 바이 데이라이트|트릭컬 리바이브,전체,발전기돌리라고!!!!!!!!!,3.6,14,11,907,0,
2026.06.06(토) 06:02,2026.06.06(토) 11:00,이환|데드 바이 데이라이트|명조:워더링 웨이브|트릭컬 리바이브,전체,지키고있는세계들가챠까러다님,5,16,10,1081,0,
2026.06.03(수) 11:40,2026.06.03(수) 15:00,이환|이스케이프 프롬 타르코프,전체,가챠,3.3,11,7,802,0,
2026.06.03(수) 05:18,2026.06.03(수) 10:54,이환|데드 바이 데이라이트|이스케이프 프롬 타르코프,전체,지히간지히간지히간날데려가죠도로고래도잡을게도로!!!!,5.6,17,12,1592,-1,
2026.05.31(일) 03:59,2026.05.31(일) 14:54,데드 바이 데이라이트|명조:워더링 웨이브,전체,지히간지히간지히간날데려가죠도로고래도잡을게도로!!!!,10.9,18,13,3567,0,
2026.05.30(토) 07:33,2026.05.30(토) 11:54,데드 바이 데이라이트|이스케이프 프롬 타르코프,전체,지히간지히간지히간날데려가죠도로고래도잡을게도로!!!!,4.3,15,12,1386,0,
2026.05.25(월) 05:23,2026.05.25(월) 15:24,이환|데드 바이 데이라이트|명조:워더링 웨이브|이스케이프 프롬 타르코프,전체,지히간지히간지히간날데려가죠도로고래도잡을게도로!!!!,10,19,13,2710,0,
2026.05.24(일) 10:52,2026.05.24(일) 15:18,데드 바이 데이라이트,전체,지히간지히간지히간날데려가죠도로고래도잡을게도로!!!!,4.4,18,13,2192,0,
2026.05.24(일) 05:39,2026.05.24(일) 10:00,이스케이프 프롬 타르코프,전체,지히간지히간지히간날데려가죠도로고래도잡을게도로!!!!,4.3,17,11,861,0,
2026.05.23(토) 06:25,2026.05.23(토) 15:12,이환|이스케이프 프롬 타르코프,전체,플레이타임보다로딩이더길다,8.8,14,10,1575,0,
2026.05.22(금) 11:44,2026.05.22(금) 14:00,이환|명조:워더링 웨이브,전체,뭐라도하려고,2.3,15,10,610,0,
2026.05.17(일) 06:49,2026.05.17(일) 12:18,이환|명조:워더링 웨이브,전체,일과;;,5.5,16,10,977,0,
2026.05.16(토) 06:27,2026.05.16(토) 16:06,이환|명조:워더링 웨이브|트릭컬 리바이브,전체,덥다,9.6,16,11,2628,0,
