시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.11(목) 20:25,2026.06.11(목) 23:24,고독방송|talk,전체,내 뜻대로 되는게 없숴ㅓ어(┬┬﹏┬┬),3,25,19,1121,1,
2026.06.10(수) 19:58,2026.06.11(목) 01:00,고독방송|talk,전체,얘 진짜 뭐임?,5,27,22,1804,0,
2026.06.09(화) 16:28,2026.06.09(화) 19:06,메이플스토리,전체,얘 뭐임?,2.6,43,30,1495,1,
2026.06.03(수) 13:06,2026.06.03(수) 16:18,메이플스토리,전체,매일 매일이 새롭고 심상치 않은 애,3.2,44,31,1846,1,
2026.06.02(화) 20:58,2026.06.02(화) 23:36,전략적 팀 전투 : 우주의 신들|talk,성인,(⊙_(⊙_⊙)_⊙),2.6,19,15,1087,0,
2026.06.01(월) 21:39,2026.06.02(화) 00:42,talk,성인,스윽 스쳐지나가려고 했지만 3초뒤에 신경써서 결국 클릭하게되는 방,3,24,18,280,7,
2026.05.28(목) 19:02,2026.05.29(금) 00:42,로스트아크|메이플스토리,전체,!!!!!!!!!!ㅇㅅㅇ!!!!!!!!!!,5.7,28,21,2379,-1,
2026.05.27(수) 19:58,2026.05.27(수) 22:42,메이플스토리,전체,해야할 일 전부 다 유기해서 개쳐망한사람,2.7,36,27,1214,0,
2026.05.21(목) 20:00,2026.05.22(금) 00:00,리그 오브 레전드|talk,전체,(⊙ˍ⊙),4,33,25,1838,0,
2026.05.20(수) 16:39,2026.05.20(수) 19:48,로스트아크|talk,전체,교통사고 합의금이 51이었는데 뿌에엥 거리니까 200으로 늘어남;,3.1,25,20,1709,0,
2026.05.19(화) 15:56,2026.05.19(화) 16:06,talk,전체,ㅇㅅㅇ,0.2,14,13,74,0,
2026.05.14(목) 17:57,2026.05.14(목) 21:30,메이플스토리,전체,몌에ㅔ에에.. 몌에ㅔ에ㅔ에...메에..,3.5,31,23,1669,2,
2026.05.13(수) 19:53,2026.05.13(수) 23:06,로스트아크,전체,🐥고양이한테 오줌발싸 당해서 정신이 혼미해요🐥,3.2,27,21,1322,1,
2026.05.12(화) 20:57,2026.05.13(수) 00:30,전략적 팀 전투 : 우주의 신들|talk,전체,내가 오늘 지하철을 탔는데 근 3년간 봤던 여자 중에 진짜 ㅈㄴ 이쁜 여자를 봤어 진짜 세상 이쁜게 최고더라,3.5,26,20,1798,0,
