시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 10:16,2026.06.14(일) 15:48,파피 플레이타임|메이플스토리 월드,전체,[26.06.14] 플래닛... 메린이지만... 60렙 가보자구!,5.5,11,4,429,0,
2026.06.13(토) 10:48,2026.06.13(토) 13:36,로스트아크|메이플스토리 월드,전체,[26.06.13] 자고 일어나니... 왜... 19시 30분?,2.8,5,3,253,0,
2026.06.11(목) 07:29,2026.06.11(목) 09:54,로스트아크|메이플스토리 월드,전체,[26.06.11] 투컴 송출... 포기합니다... 쩝,2.4,6,3,109,0,
2026.06.11(목) 03:03,2026.06.11(목) 04:06,로스트아크,전체,[26.06.11] 왔다... 그 색히... 예능신 주소 삼니다.,1,3,2,13,0,
2026.06.11(목) 02:50,2026.06.11(목) 03:00,로스트아크,전체,[26.06.11] 왔다... 그 색히... 예능신 주소 삼니다.,0.2,2,2,6,0,
2026.06.11(목) 01:33,2026.06.11(목) 01:42,로스트아크,전체,[26.06.11] 그저 그런 방송 중...,0.1,2,2,10,0,
2026.06.08(월) 12:52,2026.06.08(월) 15:30,로스트아크|메이플스토리 월드,전체,[26.06.07] 2부...?,2.6,5,2,163,0,
"로스트아크, 메이플스토리 월드[26.06.07] 플래닛하고",로아도 하고,로스트아크|메이플스토리 월드,전체,[26.06.07] 플래닛하고~ 로아도 하고~ 할 게 많구만!,3.5,8,5,507,0,
talk[26.06.07] 컨텐츠 변경! 짧뱅입니데이,,talk,전체,[26.06.07] 컨텐츠 변경! 짧뱅입니데이~,1.5,7,5,217,0,
메이플스토리 월드[26.06.05] 짠,모닝 뱅!,메이플스토리 월드,전체,[26.06.05] 짠~ 모닝 뱅!,3.1,5,3,59,0,
2026.06.01(월) 12:22,2026.06.01(월) 16:30,종합 게임|메이플스토리 월드,전체,[26.06.01] 6월 첫 방송...,4.1,8,4,556,0,
2026.05.26(화) 11:01,2026.05.26(화) 11:54,talk,전체,[방송 5주년] 그 동안 정말 감사했습니다.,0.9,7,5,94,0,
2026.05.24(일) 02:44,2026.05.24(일) 09:18,종합 게임|메이플스토리 월드|talk,전체,[26.06.24] 메이플 플래닛 vs 귀혼... 뭐하지?,6.6,9,5,953,1,
2026.05.23(토) 08:51,2026.05.23(토) 13:30,종합 게임,전체,[26.06.23] 여러 이야기를 하는 날...?,4.6,7,5,235,0,
2026.05.14(목) 22:22,2026.05.15(금) 01:48,로스트아크,전체,[26.05.15] 불타버린 금요일... ㅋ,3.4,7,4,361,1,
