시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.06(토) 09:51,2026.06.06(토) 11:36,할로우 나이트 : 공허의 심장 에디션,전체,감기가.. 낫질 않아?,1.7,9,7,288,0,
2026.06.05(금) 11:59,2026.06.05(금) 14:18,할로우 나이트 : 공허의 심장 에디션|바이오하자드 RE:2,전체,다 이유가 있는 노공지 늦방 다섯 글자에 환호성,2.3,12,9,647,0,
2026.06.03(수) 03:53,2026.06.03(수) 10:12,할로우 나이트 : 공허의 심장 에디션|바이오하자드 RE:2,전체,대헌ㅌㅣㅂㅣ수위💋미쳤다🥵💦💦고양이🐈‍⬛영상🔥다수 보유중🔥,6.3,21,14,1885,0,
2026.06.02(화) 11:24,2026.06.02(화) 13:42,할로우 나이트 : 공허의 심장 에디션,전체,이 노공지 방송은 죽음으로 맛있는데!!,2.3,14,9,366,0,
2026.05.24(일) 04:04,2026.05.24(일) 07:24,할로우 나이트 : 공허의 심장 에디션,전체,갑자기 종겜스가 되라니 무리무리!(무리가 아니었다?!),3.3,13,11,600,0,
2026.05.23(토) 12:34,2026.05.23(토) 15:00,미사오|할로우 나이트 : 공허의 심장 에디션,전체,갑자기 종겜스가 되라니 무리무리!(무리가 아니었다?!),2.4,15,11,524,1,
2026.05.23(토) 04:00,2026.05.23(토) 09:06,종합 게임|미사오,전체,크윽어깨의상처가심하군하지만방송을켜야해,5.1,18,14,798,3,
2026.05.22(금) 10:49,2026.05.22(금) 14:18,종합 게임|원샷: 월드 머신 에디션,전체,ㄷㅐ헌TV 수위 실화냐‼️🥵🥵💢,3.5,12,9,373,0,
2026.05.16(토) 09:02,2026.05.16(토) 09:54,그림자 복도 2: 비의 수국,전체,왜 그복임? 이라고 말하기 전에 잠깐만 내 말을 먼저 들어줄래?,0.9,9,7,88,0,
2026.05.15(금) 10:33,2026.05.15(금) 15:00,종합 게임|원샷: 월드 머신 에디션,전체,고대헌 그는 대체,4.4,18,15,1153,0,
2026.05.08(금) 08:58,2026.05.08(금) 14:18,종합 게임,전체,오늘 방송을 절대로 놓쳐선 안되는 이유 ㄷㄷ,5.3,17,13,866,2,
