시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 11:18,2026.06.14(일) 15:24,고전 게임,전체,로우텐션,4.1,17,11,325,0,
2026.06.13(토) 11:42,2026.06.13(토) 18:54,포춘 밀|고전 게임|종합 게임,전체,하이닉스평단237층,7.2,11,7,514,-1,
2026.06.09(화) 13:08,2026.06.09(화) 16:06,닌텐도 월드 챔피언십 NES 에디션,전체,위기의 닌텐도를 살리려 흥망맨이 간다. 교토의 심장(사상충) 어쩌고저쩌고 @@,3,17,12,821,0,
2026.06.07(일) 11:41,2026.06.07(일) 17:00,종합 게임,전체,오랜만에 힙스터게이밍의 날,5.3,15,10,448,0,
2026.06.06(토) 11:44,2026.06.06(토) 21:24,고전 게임,전체,안녕하세요????오늘은무슨게임을..(더보기),9.7,12,9,418,0,
2026.06.05(금) 20:03,2026.06.05(금) 23:00,고전 게임,전체,썸겜페 레쓰고 근데 오늘 맞음? 6시(다시보기 없음),2.9,24,12,629,0,
2026.06.02(화) 20:22,2026.06.02(화) 22:30,고전 게임,전체,스오플 같이 보기 (다시보기 없음),2.1,14,9,273,0,
2026.05.31(일) 12:15,2026.05.31(일) 18:12,미나 더 할로워,전체,올해의게임(GOTY)미나더할로워엔딩보러레츠고,5.9,12,7,509,0,
2026.05.30(토) 11:33,2026.05.30(토) 19:06,미나 더 할로워,전체,젤다블러드본캐슬배니아미다너할로워레츠고,7.5,9,5,141,0,
2026.05.29(금) 12:41,2026.05.29(금) 19:06,미나 더 할로워,전체,똥싸느라늦었다,6.4,15,11,273,0,
2026.05.26(화) 12:53,2026.05.26(화) 16:18,고전 게임|요시와 신기한 도감,전체,닌텐도 특수반 오픈,3.4,15,8,100,0,
2026.05.25(월) 11:35,2026.05.25(월) 18:18,요시와 신기한 도감,전체,요스타 섬의 구타유발자,6.7,9,5,89,0,
2026.05.24(일) 11:20,2026.05.24(일) 17:12,요시와 신기한 도감,전체,머뭇거릴 틈이 없다 도감을 채워야한다,5.9,9,5,94,0,
2026.05.23(토) 11:35,2026.05.23(토) 18:06,요시와 신기한 도감,전체,요시 그란도 씨즌(2일차),6.5,8,5,109,0,
2026.05.22(금) 10:08,2026.05.22(금) 16:06,요시와 신기한 도감,전체,요시 그란도 씨즌,6,12,9,236,0,
2026.05.17(일) 12:00,2026.05.17(일) 16:06,고전 게임,전체,안녕 난 닌텐도 신입스트리머야!! 뭘 해야할지 몰라서 그냥 켯어,4.1,22,14,285,0,
2026.05.16(토) 10:42,2026.05.16(토) 15:36,고전 게임,전체,뭘 해야할지 몰라서 그냥 빨리 켯음,4.9,17,12,470,0,
2026.05.15(금) 12:39,2026.05.15(금) 15:42,고전 게임,전체,IC 뭐가 이렇게 더워(THE WAR 아님),3,15,9,324,0,
2026.05.10(일) 11:35,2026.05.10(일) 16:36,고전 게임,전체,안녕하세요 ^^^:;;;;;;,5,15,10,155,1,
2026.05.09(토) 20:25,2026.05.09(토) 20:54,고전 게임,전체,(잠수중),0.5,6,3,91,0,
2026.05.08(금) 13:33,2026.05.08(금) 17:30,고전 게임,전체,주기적으로 개집에서 탈출하는 인간늑구 흥망맨,3.9,15,10,352,0,
2026.05.05(화) 14:13,2026.05.05(화) 16:48,고전 게임,전체,뭣? 연휴가 끝났다곳?,2.6,15,11,128,0,
2026.05.03(일) 10:33,2026.05.03(일) 15:30,종합 게임,전체,파엠 풍화설월) 잉그리드를 변기에 넣고 내려,4.9,11,6,103,0,
2026.05.02(토) 11:58,2026.05.02(토) 18:30,고전 게임|파이어 엠블렘 풍화설월,전체,파엠 풍화설월) 난 선생이고 넌 학생이야 흐응? 청사자반 ep8,6.5,10,6,124,0,
2026.05.01(금) 12:45,2026.05.01(금) 18:12,고전 게임,전체,고전게임과노가리(노가다아님),5.4,17,11,372,1,
2026.04.30(목) 12:58,2026.04.30(목) 16:48,고전 게임,전체,노동자위로하는방송,3.8,12,8,179,0,
2026.04.26(일) 11:31,2026.04.26(일) 16:54,고전 게임,전체,반갑워요 다시 청사자반 시작해봅시다!!!!,5.4,10,7,114,0,
2026.04.25(토) 11:15,2026.04.25(토) 16:54,고전 게임,전체,코믹 메이플 스토리 (아님),5.6,10,6,272,0,
2026.04.24(금) 12:07,2026.04.24(금) 16:18,고전 게임,전체,이번 주 게임은 우킹덤 입니다,4.2,13,8,144,0,
2026.04.20(월) 12:59,2026.04.20(월) 15:48,친구모아 아일랜드 두근두근 라이프,전체,친며들었음,2.8,9,7,129,0,
2026.04.19(일) 12:15,2026.04.19(일) 18:00,친구모아 아일랜드 두근두근 라이프,전체,친구모아(0명),5.7,16,10,267,0,
2026.04.18(토) 11:27,2026.04.18(토) 17:36,친구모아 아일랜드 두근두근 라이프,전체,"친구없음. 아일랜드가 아니라 반도에서 살고있음. 이 나이에 두근두근거리면 부정맥임, 라이프없음",6.1,12,9,336,0,
2026.04.17(금) 11:59,2026.04.17(금) 15:54,고전 게임,전체,마이크없음) 늑구가 되고싶다,3.9,12,9,566,0,
2026.04.12(일) 10:18,2026.04.12(일) 15:36,고전 게임,전체,흥망맨의 주말극장 ) 파이어레드 일곱섬까지 오늘 무적권 완,5.3,17,11,279,2,
2026.04.11(토) 09:52,2026.04.11(토) 17:12,고전 게임,전체,흥망맨의 주말극장,7.3,15,8,330,0,
2026.04.05(일) 11:12,2026.04.05(일) 16:18,고전 게임,전체,오늘 무슨 일이 있어도 파이어레드 하이텐션 전당등록 ㄱ,5.1,12,8,422,1,
2026.04.04(토) 11:08,2026.04.04(토) 15:18,고전 게임,전체,포깟몬스터 파이어레드 ㄱ,4.2,11,7,208,0,
2026.04.03(금) 11:32,2026.04.03(금) 15:48,고전 게임,전체,응 몰라 오늘 컨텐츠 없어 겜하고 스트레스 풀거야,4.3,14,8,394,0,
2026.03.29(일) 09:59,2026.03.29(일) 14:42,고전 게임|슈퍼 마리오브라더스 원더,전체,원....더..?!,4.7,11,8,295,0,
2026.03.28(토) 11:13,2026.03.28(토) 15:00,슈퍼 마리오브라더스 원더,전체,원~더!!,3.8,13,7,172,0,
2026.03.22(일) 11:12,2026.03.22(일) 16:36,고전 게임,전체,붉은사막대신 포켓몬스터 붉은 버전,5.4,17,12,363,1,
2026.03.21(토) 11:47,2026.03.21(토) 17:24,고전 게임,전체,아이고 허겁지겁 방송켯으니 모여라!,5.6,14,9,474,0,
2026.03.15(일) 12:08,2026.03.15(일) 16:18,고전 게임,전체,아니 잠깐만 5분대기조인 상태,4.2,13,9,246,1,
2026.03.14(토) 11:25,2026.03.14(토) 16:30,고전 게임,전체,아니;;;;; 그래서 뭐함??,5.1,15,10,394,0,
2026.03.10(화) 13:11,2026.03.10(화) 15:18,고전 게임,전체,노가리,2.1,16,12,304,0,
2026.03.09(월) 07:27,2026.03.09(월) 15:00,포켓몬 포코피아,전체,포코피아 5일차 엔딩각???,7.5,17,9,365,0,
2026.03.08(일) 09:21,2026.03.08(일) 16:36,포켓몬 포코피아,전체,포코피아 4일차 늦었다 늦었어!!!,7.2,11,8,214,0,
2026.03.07(토) 06:17,2026.03.07(토) 16:42,포켓몬 포코피아,전체,포코피아 3일차 로스트뗴끄널러지아 오늘은 좀 빠르게 진행해봅니다,10.4,10,7,458,0,
2026.03.06(금) 09:06,2026.03.06(금) 15:06,포켓몬 포코피아,전체,포코피아 2일차 로우파이분위기의 독서실방송,6,10,8,261,0,
2026.03.05(목) 12:04,2026.03.05(목) 16:30,포켓몬 포코피아,전체,포코피아 입니다,4.4,12,9,218,0,
2026.03.03(화) 13:34,2026.03.03(화) 15:48,고전 게임,전체,뭣???? 한달도 안됬는데 무슨 근디월드여,2.2,12,8,359,0,
2026.03.02(월) 12:37,2026.03.02(월) 14:48,파이어 엠블렘 풍화설월,전체,넌 학생이고 난 선생이야 흐응,2.2,10,7,130,0,
2026.03.02(월) 11:01,2026.03.02(월) 12:30,파이어 엠블렘 풍화설월,전체,넌 학생이고 난 선생이야 흐응,1.5,9,6,67,0,
2026.03.01(일) 11:00,2026.03.01(일) 17:18,고전 게임,전체,눈치안볼래 재미있게놀래 재미좀볼래,6.3,13,10,610,0,
2026.02.27(금) 11:50,2026.02.27(금) 15:06,고전 게임,전체,포켓몬 뿌래잰또 대기방,3.3,12,9,405,0,
2026.02.21(토) 12:37,2026.02.21(토) 17:12,고전 게임|파이어 엠블렘 풍화설월,전체,풍화설월 ) 청사자반 ep5부터.. |파엠 안한뇌입니다.,4.6,6,4,147,0,
2026.02.18(수) 12:20,2026.02.18(수) 17:06,파이어 엠블렘 풍화설월,전체,풍화설월 ) 청사자반 ep3 부터인가?,4.8,10,7,212,0,
2026.02.18(수) 11:06,2026.02.18(수) 12:12,파이어 엠블렘 풍화설월,전체,풍화설월 ) 청사자반 ep3 부터인가?,1.1,4,4,40,0,
2026.02.17(화) 15:18,2026.02.17(화) 18:30,고전 게임|파이어 엠블렘 풍화설월,전체,<심야식당> -근-하신년,3.2,18,11,433,1,
2026.02.15(일) 11:04,2026.02.15(일) 17:42,고전 게임|마리오 테니스 피버|파이어 엠블렘 풍화설월,전체,아니 그래서 뭐 함????????????????????????????,6.6,14,9,408,0,
