시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.11(목) 05:23,2026.06.11(목) 07:12,talk,전체,🥱,1.8,11,7,343,0,
2026.06.09(화) 05:05,2026.06.09(화) 08:24,종합 게임|talk|디제이맥스 리스펙트 V,성인,끝을 바라보는 이와이히메,3.3,12,9,209,0,
2026.06.07(일) 03:44,2026.06.07(일) 10:00,블루 프린스|talk,전체,1부 마슈마롱,6.3,18,14,824,0,
2026.06.05(금) 05:29,2026.06.05(금) 07:54,종합 게임|talk,성인,해 야 겠 지 이 와 이 히 메,2.4,13,10,301,0,
2026.06.04(목) 06:02,2026.06.04(목) 08:06,talk,전체,늦은점심,2.1,15,10,431,0,
2026.06.01(월) 14:51,2026.06.01(월) 18:42,레이어스 오브 피어 (2016)|talk,전체,이시간에방송이있다고,3.8,13,10,768,0,
2026.05.31(일) 05:35,2026.05.31(일) 10:06,종합 게임|배드 드림: 코마|talk,전체,프롤로그,4.5,13,10,582,0,
2026.05.29(금) 05:39,2026.05.29(금) 08:36,종합 게임|talk,전체,고영낚시,2.9,16,11,798,0,
2026.05.28(목) 04:33,2026.05.28(목) 07:06,종합 게임|talk,성인,해야겠지?,2.5,11,8,0,0,
2026.05.26(화) 05:24,2026.05.26(화) 07:12,talk,전체,그래서오늘머함,1.8,12,9,472,0,
2026.05.25(월) 04:24,2026.05.25(월) 05:42,레귤러 팩토리: 방탈출|talk,전체,70분 안에 엔딩 ㄱㄴ?,1.3,13,9,373,0,
2026.05.24(일) 05:47,2026.05.24(일) 10:12,종합 게임|언더스티드: 과거에서 온 편지|talk,전체,마슈마로 읽어보기,4.4,11,9,850,0,
2026.05.22(금) 04:08,2026.05.22(금) 07:12,배드 드림: 코마,전체,나 쁜 꿈 을 꿨 어,3.1,11,10,1088,0,
2026.05.21(목) 05:24,2026.05.21(목) 08:48,종합 게임|talk,성인,오늘도 해야겠지 이와이히메 ! ! !,3.4,11,9,238,0,
2026.05.19(화) 06:10,2026.05.19(화) 08:30,종합 게임,성인,이와이히메 리리아vs리리쨩,2.3,11,8,0,1,
2026.05.18(월) 05:41,2026.05.18(월) 07:00,talk,전체,버바바사,1.3,11,10,300,0,
2026.05.17(일) 06:00,2026.05.17(일) 10:06,그레텔 & 헨젤|레귤러 팩토리: 방탈출|talk,전체,마슈마로~~,4.1,14,10,642,0,
2026.05.15(금) 05:23,2026.05.15(금) 09:00,종합 게임|스펠렁키 2,성인,이와이히메,3.6,16,10,447,1,
2026.05.14(목) 06:02,2026.05.14(목) 07:18,talk,전체,버바바사,1.3,14,11,468,0,
2026.05.12(화) 03:58,2026.05.12(화) 08:18,종합 게임|스펠렁키 2|디제이맥스 리스펙트 V,성인,이와이히메 하기 전 손풀기,4.3,13,10,418,1,
2026.05.10(일) 05:47,2026.05.10(일) 10:06,레귤러 팩토리: 방탈출|필그림스|talk,전체,에필ㄹ로그,4.3,15,12,1097,0,
2026.05.08(금) 05:17,2026.05.08(금) 08:00,종합 게임|talk,성인,이와이히메!,2.7,11,7,183,0,
2026.05.07(목) 05:51,2026.05.07(목) 06:06,talk,전체,방송아님 오지마셈,0.2,9,7,73,0,
2026.05.06(수) 05:52,2026.05.06(수) 07:24,talk,전체,아 아 마이크테스트 아 아,1.5,13,10,659,0,
2026.05.05(화) 01:57,2026.05.05(화) 04:12,talk,전체,버바바사,2.2,13,9,521,0,
2026.05.04(월) 05:24,2026.05.04(월) 07:18,플라티나 랩|talk,전체,60분 음악재생기,1.9,11,8,275,0,
2026.05.03(일) 06:04,2026.05.03(일) 10:12,젤리 인 더 다크|레귤러 팩토리: 방탈출|talk,전체,🌧️ 돌아온 마슈마로,4.1,17,13,686,-1,
2026.04.30(목) 13:38,2026.04.30(목) 16:42,종합 게임|talk,전체,사요야 집주소좀 알려줄래,3.1,16,12,552,0,
2026.04.29(수) 05:56,2026.04.29(수) 07:12,talk,전체,버바바사60분,1.3,12,9,467,-1,
2026.04.28(화) 05:35,2026.04.28(화) 08:54,종합 게임|talk,성인,이와이히메 ! ! !,3.3,13,9,640,0,
2026.04.26(일) 13:51,2026.04.26(일) 18:36,리프 잇 얼론|종합 게임,전체,뭔놈의집마당이이렇게넓어,4.7,16,13,1145,1,
2026.04.26(일) 05:47,2026.04.26(일) 10:12,앤드 로저|마일로 앤 더 크리스마스 기프트|스펠렁키 2,전체,메리고영크리스마스,4.4,17,13,490,0,
2026.04.23(목) 05:17,2026.04.23(목) 09:30,리프 잇 얼론|스펠렁키 2|talk,전체,봄맞이대청소,4.2,15,11,1392,0,
2026.04.22(수) 22:23,2026.04.23(목) 00:06,talk,전체,Zzz,1.7,11,7,408,0,
2026.04.21(화) 11:28,2026.04.21(화) 13:30,종합 게임,전체,삼라만상의 알,2,13,10,302,-1,
2026.04.20(월) 05:17,2026.04.20(월) 09:00,종합 게임|talk,성인,이와이히메 로쿠가미히메7~,3.7,11,7,326,1,
2026.04.19(일) 06:02,2026.04.19(일) 10:00,레귤러 팩토리: 방탈출|퍼즐앤드래곤|talk,전체,오늘은 어떤 마슈마로가 날 즐겁게 해줄가,4,17,14,1020,0,
2026.04.17(금) 04:43,2026.04.17(금) 07:30,종합 게임,전체,<공포> <분위기있는> <추리> <퍼즐> <유물> <조사단>,2.8,13,11,596,0,
2026.04.16(목) 12:29,2026.04.16(목) 14:30,종합 게임,전체,고영이,2,17,11,437,0,
2026.04.16(목) 05:37,2026.04.16(목) 08:12,종합 게임,성인,이와이히메 로쿠가미히메 이어서,2.6,14,10,0,0,
2026.04.15(수) 04:50,2026.04.15(수) 07:06,종합 게임,성인,돌아온 이와이히메,2.3,13,10,0,0,
2026.04.13(월) 14:29,2026.04.13(월) 16:12,블라스퍼머스,전체,20000원 켠왕,1.7,10,7,242,0,
2026.04.12(일) 05:58,2026.04.12(일) 10:06,크리처 키친|블라스퍼머스|talk,전체,0부 마슈마로 훑어보기,4.1,18,14,810,0,
2026.04.10(금) 05:39,2026.04.10(금) 09:36,종합 게임|스펠렁키 2|talk,전체,이와이히메를할까크리처키친을할까버바바사를할까룬키를할까고민이되는부분,3.9,14,9,643,1,
2026.04.08(수) 11:05,2026.04.08(수) 13:18,디제이맥스 리스펙트 V,전체,음악재생기,2.2,15,11,279,1,
2026.04.07(화) 05:32,2026.04.07(화) 09:24,스펠렁키 2,전체,루루룽기,3.9,17,11,745,2,
2026.04.06(월) 05:43,2026.04.06(월) 08:42,종합 게임|talk,성인,\ 이와이히메 /,3,10,6,395,1,
2026.04.05(일) 05:58,2026.04.05(일) 10:00,종합 게임|크리처 키친|talk,전체,마슈마로~,4,14,11,771,-1,
2026.04.03(금) 05:31,2026.04.03(금) 08:30,종합 게임|크리처 키친,성인,이와이히메 드가쟤ㅒ,3,10,7,119,0,
2026.04.02(목) 05:31,2026.04.02(목) 09:06,스펠렁키 2,전체,통나무 혼자 들려니까 힘든 사람,3.6,14,11,456,0,
2026.04.01(수) 04:54,2026.04.01(수) 07:06,사이하테역|talk,전체,첫 방송,2.2,11,8,378,0,
2026.03.31(화) 04:49,2026.03.31(화) 07:12,사이하테역,전체,3월 마지막 방송,2.4,10,8,190,0,
2026.03.30(월) 05:05,2026.03.30(월) 07:30,종합 게임,성인,이와이히메 해야겠지?,2.4,10,8,0,0,
2026.03.29(일) 05:54,2026.03.29(일) 10:00,크리처 키친|talk,전체,0부 마슈마로 구경하기,4.1,16,11,486,0,
2026.03.27(금) 11:13,2026.03.27(금) 13:00,디제이맥스 리스펙트 V,전체,다들 온게키 살 때 리버티3을 산 사람,1.8,14,7,120,0,
2026.03.27(금) 04:41,2026.03.27(금) 07:12,사이하테역|talk,전체,#두남자 #공의존 #도착적인애정 #브로맨스 #호러 #ADV #으흐흐,2.5,11,6,236,0,
2026.03.26(목) 05:12,2026.03.26(목) 07:12,사이하테역,전체,으흐흐(방장에게만),2,9,7,179,0,
2026.03.24(화) 05:16,2026.03.24(화) 08:54,종합 게임|talk,성인,\ \ 이와이히메 키즈아토히메 / /,3.6,10,7,325,0,
