시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 11:30,2026.06.14(일) 14:24,리썰 컴퍼니|talk,전체,(v)비가 주르륵,2.9,15,9,305,1,
2026.06.13(토) 12:13,2026.06.13(토) 15:00,종합 게임|talk,전체,(v)공지 올린 줄 알았는데..,2.8,10,8,192,0,
2026.06.10(수) 10:00,2026.06.10(수) 11:54,발로란트|talk,전체,(v)아프지마 아프면 나도 아플꺼야!,1.9,16,10,160,1,
2026.06.09(화) 10:33,2026.06.09(화) 12:54,클레트카|talk,전체,(v)이불 밖은 위험해,2.3,11,7,142,1,
2026.06.07(일) 11:32,2026.06.07(일) 13:48,PUBG: 배틀그라운드|talk,전체,(v)잠꾸 읎다!,2.3,11,8,309,1,
2026.06.06(토) 19:51,2026.06.06(토) 23:00,talk,성인,(v/노방종룰렛)나는 일찍 퇴근 할꺼야!,3.1,18,11,166,1,
2026.06.06(토) 12:12,2026.06.06(토) 19:48,톰 클랜시의 레인보우 식스|PUBG: 배틀그라운드|talk|톰 클랜시의 레인보우 식스 시즈 X,전체,(v/노방종룰렛)나는 일찍 퇴근 할꺼야!,7.6,17,10,2035,1,
2026.06.05(금) 10:02,2026.06.05(금) 11:54,발로란트,전체,(v)노곤노곤~,1.9,12,9,198,1,
2026.06.04(목) 10:57,2026.06.04(목) 13:24,종합 게임|talk,전체,(v)안녕하세요~,2.5,9,6,294,0,
2026.06.03(수) 10:03,2026.06.03(수) 11:54,톰 클랜시의 레인보우 식스|talk,전체,(v)6월에도 잘 부탁해,1.8,13,10,881,3,
2026.06.02(화) 10:24,2026.06.02(화) 14:00,종합 게임|리썰 컴퍼니|talk,전체,(v)6월에도 잘 부탁해,3.6,9,6,314,-1,
2026.05.30(토) 11:33,2026.05.30(토) 15:12,talk,전체,(v)너만의 작은 스트리머~,3.6,17,12,1998,3,
2026.05.29(금) 12:04,2026.05.29(금) 15:24,붕괴: 스타레일|talk,전체,(v)냐냥?,3.3,9,7,189,0,
2026.05.28(목) 11:44,2026.05.28(목) 14:06,PUBG: 배틀그라운드|talk,전체,(v)나 불렀어?,2.4,9,8,206,0,
2026.05.27(수) 11:39,2026.05.27(수) 13:54,종합 게임|talk,전체,(v)갸루 잠꾸?,2.3,16,12,439,-1,
2026.05.26(화) 10:33,2026.05.26(화) 13:12,종합 게임|talk,전체,(v)잠하하하!,2.6,9,6,287,-1,
2026.05.25(월) 12:55,2026.05.25(월) 14:48,발로란트,전체,(v/!시참)경쟁할래?,1.9,12,9,184,1,
2026.05.25(월) 10:19,2026.05.25(월) 12:54,락다운 프로토콜|발로란트|talk,전체,(v)오늘은 일찍 왔어요 0)30,2.6,8,5,193,2,
2026.05.24(일) 11:39,2026.05.24(일) 14:36,리썰 컴퍼니|발로란트|talk,전체,(v)벌써 일요일 끝났어..ㅠㅠ,2.9,13,9,602,3,
2026.05.23(토) 11:35,2026.05.23(토) 15:06,프랫폴|talk,전체,(v)안녕하세요~,3.5,10,8,622,1,
2026.05.20(수) 11:32,2026.05.20(수) 14:12,PUBG: 배틀그라운드|talk,전체,(v)주르륵,2.7,11,9,208,2,
2026.05.19(화) 11:03,2026.05.19(화) 14:06,종합 게임|프랫폴|talk,전체,(v)다들 나 없는 동안 잘 지냈엉?,3,11,7,371,-1,
2026.05.16(토) 10:17,2026.05.16(토) 15:42,종합 게임|talk,전체,(v)나 바뀐 데 업성?,5.4,11,7,467,1,
2026.05.15(금) 13:10,2026.05.15(금) 15:54,발로란트,전체,(v)대회나 볼까..!,2.7,11,8,535,4,
2026.05.15(금) 12:05,2026.05.15(금) 13:06,발로란트|talk,전체,(v)굿..굿모닝?,1,9,6,259,0,
2026.05.14(목) 11:33,2026.05.14(목) 14:00,PUBG: 배틀그라운드|talk,전체,(v)좋은 저녁입니다,2.4,13,8,277,1,
2026.05.13(수) 11:53,2026.05.13(수) 15:42,붕괴: 스타레일|talk,전체,(v)안뇽|ㅅㅇ,3.8,12,8,504,1,
