시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:04,LIVE,종합 게임,전체,LIVE,1,13,9,133,0,
2026.06.12(금) 12:01,2026.06.12(금) 16:06,종합 게임,전체,⭐쫀밤쫀새벽⭐,4.1,15,12,374,0,
2026.06.10(수) 12:01,2026.06.10(수) 15:42,종합 게임,전체,⭐쫀밤쫀새벽⭐,3.7,14,10,387,0,
2026.06.08(월) 12:01,2026.06.08(월) 17:06,종합 게임,전체,⭐쫀밤쫀새벽⭐,5.1,15,12,384,-1,
2026.06.04(목) 12:01,2026.06.04(목) 15:30,종합 게임,전체,⭐쫀밤쫀새벽⭐,3.5,13,9,361,0,
2026.06.03(수) 11:59,2026.06.03(수) 15:36,종합 게임,전체,⭐쫀밤쫀새벽⭐,3.6,13,8,385,0,
2026.06.01(월) 12:01,2026.06.01(월) 15:18,종합 게임,전체,⭐쫀밤쫀새벽⭐,3.3,15,11,382,-1,
2026.05.29(금) 12:08,2026.05.29(금) 16:36,종합 게임,전체,⭐쫀밤쫀새벽⭐,4.5,13,8,234,1,
2026.05.27(수) 12:02,2026.05.27(수) 15:00,종합 게임,전체,⭐쫀밤쫀새벽⭐,3,14,11,232,0,
2026.05.25(월) 12:08,2026.05.25(월) 15:24,종합 게임,전체,⭐쫀밤쫀새벽⭐,3.3,14,10,314,-1,
2026.05.22(금) 12:02,2026.05.22(금) 15:00,종합 게임,전체,⭐쫀밤쫀새벽⭐,3,10,6,204,0,
2026.05.20(수) 12:58,2026.05.20(수) 17:00,종합 게임,전체,⭐쫀밤쫀새벽⭐,4,16,11,244,0,
2026.05.20(수) 12:06,2026.05.20(수) 12:48,종합 게임,전체,⭐쫀밤쫀새벽⭐,0.7,8,5,62,0,
2026.05.18(월) 12:02,2026.05.18(월) 15:24,종합 게임|프래그마타,전체,⭐쫀밤쫀새벽⭐,3.4,15,9,368,1,
2026.05.15(금) 12:02,2026.05.15(금) 16:00,종합 게임,전체,예쁜 눈나가 좀비 때려잡는 게임,4,12,9,244,0,
