시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:29,LIVE,종합 게임,전체,LIVE,4.6,20,15,1295,-1,
2026.06.13(토) 09:31,2026.06.13(토) 14:00,종합 게임,전체,중국 소울 게임....,4.5,21,15,1288,0,
2026.06.11(목) 09:30,2026.06.11(목) 13:48,종합 게임|리밋 제로 브레이커스,전체,외계 행성에서 해저 탐험하는 게임!,4.3,17,14,981,0,
2026.06.08(월) 12:48,2026.06.08(월) 13:36,종합 게임,전체,외계 행성에서 물고기 잡는 게임 ㅋㅋㅋ,0.8,18,17,219,0,
2026.06.08(월) 09:31,2026.06.08(월) 12:42,종합 게임,전체,외계 행성에서 물고기 잡는 게임 ㅋㅋㅋ,3.2,20,16,672,0,
2026.06.06(토) 09:30,2026.06.06(토) 16:12,종합 게임|007 퍼스트 라이트,전체,신작 007 퍼스트 라이트!,6.7,19,13,1056,0,
2026.06.04(목) 09:30,2026.06.04(목) 15:12,종합 게임|007 퍼스트 라이트,전체,신작 귀무자 살짝 핥기,5.7,20,15,892,0,
2026.06.01(월) 11:29,2026.06.01(월) 16:18,007 퍼스트 라이트,전체,신작 007 퍼스트 라이트,4.8,21,18,1477,-1,
2026.05.30(토) 09:30,2026.05.30(토) 14:00,종합 게임,전체,마법 조합으로 총 만드는 게임,4.5,20,13,704,0,
2026.05.28(목) 09:31,2026.05.28(목) 14:18,종합 게임,전체,마법을 조합해서 싸우는 게임 마법공예,4.8,20,15,722,0,
2026.05.25(월) 09:30,2026.05.25(월) 13:30,종합 게임,전체,마법을 조합해서 싸우는 게임,4,21,17,795,0,
2026.05.23(토) 09:30,2026.05.23(토) 13:48,종합 게임,전체,뱀서 후속작 뱀파이어 크롤러,4.3,18,15,457,0,
2026.05.21(목) 09:30,2026.05.21(목) 14:54,종합 게임,전체,[캠방 17일차] 동굴 탐사 게임,5.4,16,13,883,1,
2026.05.19(화) 09:29,2026.05.19(화) 13:12,종합 게임,전체,[캠방 16일차] 생일 기념 동굴 탐사 게임,3.7,20,17,1391,0,
2026.05.18(월) 13:56,2026.05.18(월) 14:00,종합 게임,전체,[캠방 15일차] 동굴 탐사하는 게임. 코어키퍼,0.1,9,9,59,0,
2026.05.18(월) 09:29,2026.05.18(월) 13:54,종합 게임,전체,[캠방 15일차] 동굴 탐사하는 게임. 코어키퍼,4.4,21,18,1584,0,
2026.05.16(토) 09:29,2026.05.16(토) 13:48,종합 게임|코어 키퍼,전체,[캠방 14일차] 코어키퍼 처음 해봐요 ㅎㅎ,4.3,20,16,1113,0,
2026.05.14(목) 09:29,2026.05.14(목) 14:18,종합 게임|코어 키퍼,전체,[캠방 13일차] 코어키퍼 처음 해봐요,4.8,23,16,1112,-1,
2026.05.11(월) 12:35,2026.05.11(월) 13:42,코어 키퍼,전체,[캠방 12일차] 코어키퍼 처음 해봐요,1.1,19,16,314,0,
2026.05.11(월) 09:30,2026.05.11(월) 12:30,종합 게임|코어 키퍼|할로우 나이트: 실크송,전체,[캠방 12일차] 실크송 처음 해봐요 ㅎㅎ,3,20,15,781,0,
2026.05.09(토) 09:30,2026.05.09(토) 13:54,종합 게임|할로우 나이트: 실크송,전체,[캠방 11일차] 실크송 처음 해봐요 ㅎㅎ,4.4,21,18,833,1,
2026.05.08(금) 16:08,2026.05.08(금) 18:54,talk,전체,[캠방 10일차] 신청곡 틀어드립니다,2.8,18,15,883,-1,
2026.05.08(금) 14:57,2026.05.08(금) 16:06,talk,전체,[캠방 10일차] 신청곡 틀어드립니다,1.1,17,14,497,0,
2026.05.07(목) 09:29,2026.05.07(목) 14:36,할로우 나이트: 실크송,전체,[캠방 9일차] 실크송 너무 어렵다 진짜...,5.1,19,15,839,1,
2026.05.05(화) 20:58,2026.05.05(화) 21:00,talk,전체,[캠방 8일차] 신청곡 틀어드립니다,0,5,5,19,0,
2026.05.05(화) 14:57,2026.05.05(화) 20:54,talk,전체,[캠방 8일차] 신청곡 틀어드립니다,5.9,23,15,1662,0,
2026.05.04(월) 09:27,2026.05.04(월) 13:42,할로우 나이트: 실크송,전체,[캠방 7일차] 실크송 처음 해봐요!,4.2,31,21,959,0,
2026.05.03(일) 14:59,2026.05.03(일) 22:18,talk,전체,[캠방 6일차] 신청곡 틀어드립니다,7.3,26,16,2032,2,
2026.05.02(토) 09:30,2026.05.02(토) 15:30,종합 게임|할로우 나이트: 실크송,전체,[캠방 5일차] 실크송 처음 해봐요 ㅎㅎ,6,20,16,1266,0,
2026.05.01(금) 16:56,2026.05.01(금) 21:48,talk,전체,[캠방 4일차] 신청곡 틀어드립니다,4.9,27,18,1607,3,
