시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 08:06,2026.06.15(월) 13:42,종합 게임,전체,드디어 쇼기 팬들이 바라던 '그 게임'이 나왔습니다,5.6,24,16,371,1,
2026.06.13(토) 18:10,2026.06.13(토) 20:06,talk,전체,영도 반값 할인하는 데이,1.9,12,8,239,0,
2026.06.12(금) 08:04,2026.06.12(금) 12:36,스타크래프트 II : 자유의 날개,전체,스타크래프트2 자날 캠페인 한 번도 안 한 뇌,4.5,69,34,487,1,
2026.06.11(목) 10:12,2026.06.11(목) 16:00,스타크래프트 : 리마스터,전체,스타크래프트 무료 시참 데이,5.8,31,23,733,1,
2026.06.10(수) 08:01,2026.06.10(수) 11:18,이터널 리턴,전체,원래라면 에이든 챌린지 데이지만 그건 다음주로 미루고 오늘은 권이솔로 솔로 랭크를 뛰어 보겠습니다,3.3,23,16,125,-1,
2026.06.09(화) 08:00,2026.06.09(화) 11:24,이터널 리턴,전체,권이솔로 랭크 1등할 때까지 못 나가는 방 리트라이,3.4,28,15,232,0,
2026.06.08(월) 08:21,2026.06.08(월) 12:36,PUBG: 배틀그라운드,전체,오늘은 자유 방송데이,4.2,23,16,94,2,
2026.06.06(토) 08:01,2026.06.06(토) 11:12,스타크래프트 : 리마스터,전체,백만년 만의 스타크래프트 무료 시참 데이,3.2,44,29,232,2,
2026.06.05(금) 08:02,2026.06.05(금) 14:48,PUBG: 배틀그라운드,전체,딜량 600 미션 깰 때까지 스타를 할 수 없다,6.8,23,14,208,0,
2026.06.04(목) 08:21,2026.06.04(목) 13:30,PUBG: 배틀그라운드,전체,졸려~ 눈을 떠야해,5.1,19,11,251,0,
2026.06.04(목) 08:10,2026.06.04(목) 08:18,PUBG: 배틀그라운드|talk,전체,졸려~ 눈을 떠야해,0.1,7,4,5,0,
2026.06.03(수) 08:04,2026.06.03(수) 17:06,PUBG: 배틀그라운드,전체,배린이는 랭크가 하고 싶었다.. 그러나..,9,22,14,451,2,
2026.06.02(화) 08:00,2026.06.02(화) 15:06,PUBG: 배틀그라운드,전체,지옥의 배틀 그라운드 뉴비 듀오 파티,7.1,23,13,242,1,
2026.05.30(토) 20:29,2026.05.30(토) 22:42,스타크래프트 : 리마스터|talk,전체,치즈캠퍼스 마지막 랭킹전,2.2,8,5,156,0,
2026.05.29(금) 21:57,2026.05.29(금) 22:36,스타크래프트 : 리마스터,전체,치즈캠퍼스 마지막 랭킹전,0.6,4,2,7,0,
2026.05.29(금) 08:02,2026.05.29(금) 15:48,PUBG: 배틀그라운드,전체,실키아가 왔어 애옹애옹,7.8,23,13,152,1,
2026.05.28(목) 08:46,2026.05.28(목) 11:30,스타크래프트 : 리마스터,전체,칼냥여왕이 돌아왔다,2.7,35,25,184,1,
2026.05.27(수) 22:12,2026.05.27(수) 23:54,스타크래프트 : 리마스터,전체,잠깐 스타크래프트 치즈캠퍼스 내부 랭킹전,1.7,14,10,90,1,
2026.05.27(수) 08:01,2026.05.27(수) 11:54,스크릿치 스크래치|PUBG: 배틀그라운드,전체,투네도 배그도 점검이래 어떡해!!,3.9,13,9,374,1,
2026.05.26(화) 07:58,2026.05.26(화) 12:30,PUBG: 배틀그라운드,전체,완전 초 슈퍼 늅늅 생초보 배린이의 배그 여정기,4.5,22,15,163,1,
2026.05.25(월) 08:01,2026.05.25(월) 16:00,PUBG: 배틀그라운드,전체,월요일이니까 자유 방송. 자유 방송이니까 배그 할까?!,8,24,17,342,1,
2026.05.23(토) 08:06,2026.05.23(토) 13:30,PUBG: 배틀그라운드,전체,할리 데이비슨 오토바이 스킨 뽑았는데 좋은 건가요,5.4,23,14,150,1,
2026.05.22(금) 07:58,2026.05.22(금) 15:48,이터널 리턴,전체,그래픽 카드 바꾸고 온 고양이의 권이솔 도전기,7.8,59,33,848,2,
2026.05.21(목) 08:01,2026.05.21(목) 13:00,이터널 리턴,전체,이터널 리턴 랭크 세 시즌 쉬고 온 고양이의 랭크 올리기 (드롭스 있음!),5,32,20,325,0,
2026.05.20(수) 08:10,2026.05.20(수) 12:18,이터널 리턴|talk,전체,모두들 좋은 아침~,4.1,29,19,321,1,
2026.05.19(화) 19:01,2026.05.20(수) 01:24,이터널 리턴|스타크래프트 : 리마스터,전체,스타크래프트 무료 시참 데이,6.4,32,17,427,1,
2026.05.18(월) 07:59,2026.05.18(월) 17:00,이터널 리턴,전체,좋아 정했다 매주 월요일은 자유방송이다 내가 그렇게 정했다,9,68,35,748,3,
2026.05.16(토) 08:14,2026.05.16(토) 11:36,PUBG: 배틀그라운드,전체,치킨이 너무 먹고 싶어요...,3.4,27,16,199,0,
