시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 07:05,2026.06.13(토) 11:48,성세천하: 여제의 탄생 Ⅱ|파이널판타지14,전체,*성세천하2*,4.7,15,11,1142,0,
2026.06.13(토) 02:46,2026.06.13(토) 05:12,성세천하: 여제의 탄생 Ⅱ,전체,*성세천하2*,2.4,17,13,433,0,
2026.06.11(목) 12:20,2026.06.11(목) 15:24,talk,전체,*잡담*,3.1,15,13,515,-1,
2026.06.09(화) 11:50,2026.06.09(화) 15:18,talk,전체,*잡담*,3.5,21,17,823,1,
2026.06.06(토) 04:21,2026.06.06(토) 09:00,방 탈출 시뮬레이터,전체,*방 탈출 시뮬레이터*,4.6,18,13,254,0,
2026.06.05(금) 09:58,2026.06.05(금) 14:24,파이널판타지14,전체,*파판14*,4.4,27,22,1246,0,
2026.06.03(수) 01:30,2026.06.03(수) 07:54,파이널판타지14,전체,*파판14*,6.4,55,38,1711,1,
2026.05.30(토) 12:31,2026.05.30(토) 17:18,파이널판타지14|talk,전체,*파판14*,4.8,25,19,1217,0,
2026.05.28(목) 12:53,2026.05.28(목) 16:18,파이널판타지14,전체,*파판14*,3.4,24,18,669,0,
2026.05.26(화) 11:11,2026.05.26(화) 14:48,talk,전체,*잡담*,3.6,23,20,935,0,
2026.05.25(월) 07:28,2026.05.25(월) 11:42,파이널판타지14,전체,*파판14*,4.2,25,20,1061,0,
2026.05.25(월) 00:29,2026.05.25(월) 05:06,파이널판타지14,전체,*파판14*,4.6,30,22,1454,0,
2026.05.23(토) 12:41,2026.05.23(토) 17:30,파이널판타지14|talk,전체,*파판14*,4.8,17,12,1034,0,
2026.05.23(토) 05:54,2026.05.23(토) 10:12,성세천하: 여제의 탄생|파이널판타지14,전체,*성세천하: 여제의 탄생*,4.3,16,12,842,0,
2026.05.21(목) 13:05,2026.05.21(목) 16:48,파이널판타지14|talk,전체,*잡담*,3.7,26,22,1079,1,
2026.05.19(화) 13:03,2026.05.19(화) 16:00,성세천하: 여제의 탄생,전체,*성세천하: 여제의 탄생*,2.9,21,17,924,1,
2026.05.17(일) 11:50,2026.05.17(일) 15:48,성세천하: 여제의 탄생,전체,*성세천하: 여제의 탄생*,4,29,23,1299,0,
2026.05.14(목) 12:12,2026.05.14(목) 16:06,성세천하: 여제의 탄생|talk,전체,*잡담*,3.9,22,19,1623,0,
2026.05.13(수) 13:09,2026.05.13(수) 18:06,Ib|talk,전체,*잡담*,4.9,18,14,1075,0,
2026.05.12(화) 12:23,2026.05.12(화) 17:06,종합 게임|아이돌과 ○○하면 안 되나요？|talk,전체,*잡담*,4.7,20,15,1219,0,
2026.05.10(일) 12:24,2026.05.10(일) 17:18,종합 게임|여동생 운전 가르치기|아이돌과 ○○하면 안 되나요？|talk,전체,*잡담*,4.9,23,20,2161,-1,
2026.05.10(일) 04:40,2026.05.10(일) 08:30,이용약관에 동의하고 싶어,전체,*이용약관에 동의하고 싶어*,3.8,19,13,682,0,
2026.05.08(금) 13:09,2026.05.08(금) 16:36,talk,전체,*잡담*,3.4,21,17,907,0,
2026.05.07(목) 10:32,2026.05.07(목) 17:24,파이널판타지14,전체,*파판14*,6.9,29,23,2276,0,
2026.05.05(화) 12:50,2026.05.05(화) 17:30,파이널판타지14,전체,*파판14*,4.7,31,22,1167,0,
2026.05.03(일) 06:19,2026.05.03(일) 10:42,파이널판타지14,전체,*파판14 스토리*,4.4,31,25,1654,0,
2026.05.02(토) 13:19,2026.05.02(토) 17:06,파이널판타지14,전체,*파판14*,3.8,29,24,1261,0,
2026.04.30(목) 13:01,2026.04.30(목) 17:00,파이널판타지14|talk,전체,*파판14*,4,25,21,1402,0,
2026.04.28(화) 12:54,2026.04.28(화) 17:24,파이널판타지14,전체,*파판14*,4.5,23,19,819,1,
2026.04.25(토) 11:24,2026.04.25(토) 16:36,파이널판타지14,전체,*파판14*,5.2,33,28,2755,1,
2026.04.24(금) 12:51,2026.04.24(금) 16:06,파이널판타지14,전체,*파판14*,3.2,23,19,839,0,
2026.04.21(화) 12:39,2026.04.21(화) 15:48,talk,전체,*잡담*,3.1,23,20,1329,0,
2026.04.19(일) 13:22,2026.04.19(일) 16:54,파이널판타지14|talk,전체,*파판14*,3.5,22,17,1638,0,
