시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:32,LIVE,위스퍼 오브 더 하우스: 잠꼬대마을 이야기|talk,전체,LIVE,1.7,14,12,227,0,
2026.06.14(일) 13:16,2026.06.14(일) 15:54,크라임 씬 클리너|talk,전체,너희가 잠들 수 있게 잔잔하게 범죄현장 뒤처리 하는 청소게임!,2.6,18,13,439,1,
2026.06.13(토) 12:41,2026.06.13(토) 16:24,세피리아|talk,전체,[게임룰렛] 방송만 키려하면 별의 별 억까를 겪는 스트리머,3.7,17,13,721,-1,
2026.06.12(금) 12:59,2026.06.12(금) 14:54,talk|TCG 카드 샵 시뮬레이터,전체,[소통] 도.파.민이 필요하다..,1.9,16,13,432,0,
2026.06.08(월) 12:00,2026.06.08(월) 14:12,포켓몬 포코피아|talk,전체,[소통] 이번주도 수고했어,2.2,16,13,453,-1,
2026.06.07(일) 12:49,2026.06.07(일) 16:54,림버스 컴퍼니|talk,전체,[림버스 컴퍼니] 내일은 출근이지만 9장 하편은 보고싶어서 옴,4.1,40,27,1246,1,
2026.06.06(토) 12:00,2026.06.06(토) 17:36,림버스 컴퍼니|talk,전체,[게임룰렛] 돌아온 게임룰렛 가보쟈~,5.6,29,20,1220,1,
2026.06.05(금) 11:11,2026.06.05(금) 15:48,세피리아|전국퇴마사협회|talk,전체,[와일드하트] 새 팀원 소개하는 날! 쁘링클단 오이데~ 얏-호!(●′¬′● ),4.6,24,15,1248,2,
2026.06.05(금) 10:52,2026.06.05(금) 11:06,talk,전체,[와일드하트] 새 팀원 소개하는 날! 쁘링클단 오이데~ 얏-호!(●′¬′● ),0.2,13,8,71,0,
2026.06.05(금) 10:40,2026.06.05(금) 10:42,talk,전체,[와일드하트] 새 팀원 소개하는 날! 쁘링클단 오이데~ 얏-호!(●′¬′● ),0,0,0,0,0,
2026.06.04(목) 12:02,2026.06.04(목) 14:36,세피리아|talk,전체,오늘은 차분하게 저챗(●′¬′● ),2.6,23,16,608,2,
2026.06.02(화) 12:29,2026.06.02(화) 18:00,유로 트럭 시뮬레이터 2|talk,전체,온 세상 억까(●′¬′● ),5.5,29,19,1971,1,
2026.06.01(월) 13:00,2026.06.01(월) 16:06,talk,전체,피카츄 뱃지를 구하지 못한 자(●′¬′● ),3.1,20,14,1393,-1,
2026.05.31(일) 12:00,2026.05.31(일) 15:30,림버스 컴퍼니|talk,전체,(●′¬′● ) 오늘 양쪽 코에 콧물이 흐른다.. 짭짤한게 콧물인지 바닷물인지 모르겠다..,3.5,25,18,779,2,
2026.05.30(토) 11:11,2026.05.30(토) 16:12,서브노티카 2|talk,전체,(●′¬′● ) 오늘 양쪽 코에 콧물이 흐른다.. 짭짤한게 콧물인지 바닷물인지 모르겠다..,5,17,13,311,-1,
2026.05.27(수) 12:07,2026.05.27(수) 15:42,림버스 컴퍼니|talk,전체,(●′¬′● ) 나..거미줄에 걸린건가? 림버스 컴퍼니 9장,3.6,30,21,1072,1,
2026.05.26(화) 12:15,2026.05.26(화) 15:48,림버스 컴퍼니|talk,전체,한창 하고싶은게 많을 나이 (●′¬′● ),3.5,25,18,852,0,
2026.05.23(토) 04:01,2026.05.23(토) 05:54,talk,전체,중고차 잘 사는 팁을 알려줘!,1.9,27,20,1176,1,
2026.05.21(목) 12:00,2026.05.21(목) 15:36,백룸컴퍼니|talk,전체,덕질은 돈이 된다며.. 난 왜 사기를 당하는가..,3.6,27,19,1061,2,
2026.05.19(화) 12:08,2026.05.19(화) 16:24,호지|talk,전체,[힐링데이] 다리꼬지않기! 바른자세 유지하기!,4.3,23,18,1786,1,
2026.05.17(일) 11:11,2026.05.17(일) 15:24,talk,전체,[촉각슈트-영도데이] 컴퓨터 고장으로 못했던 벌칙을 이제서야..,4.2,33,26,1769,5,
2026.05.16(토) 12:03,2026.05.16(토) 15:18,talk,전체,촉슈데이를 하려다가 너무 늦어버려따,3.2,22,15,749,-1,
2026.05.15(금) 10:59,2026.05.15(금) 15:30,서브노티카 2|talk,전체,드디어 나왔다! 서브노티카 2 !! 헤엄을 쳐! 멀미를 해!,4.5,18,11,341,0,
2026.05.14(목) 12:03,2026.05.14(목) 14:06,전국퇴마사협회|talk,전체,직장인의 퇴근 후 힐링타임!,2,20,15,571,0,
2026.05.13(수) 11:31,2026.05.13(수) 15:36,종합 게임|talk,전체,언제 어디서 무슨일이 일어날지 모르는 방송,4.1,21,17,479,-1,
2026.05.06(수) 11:59,2026.05.06(수) 14:24,종합 게임|talk,전체,[와일드하트] 오랜만에 일상 썰 좀 풀어볼까?!,2.4,21,14,468,-1,
2026.05.06(수) 11:50,2026.05.06(수) 11:54,talk,전체,[와일드하트] 오랜만에 일상 썰 좀 풀어볼까?!,0.1,5,5,0,0,
2026.05.05(화) 10:00,2026.05.05(화) 13:06,talk,전체,[후원X] 어린이날 아들과 함께하는 포켓몬 카드까기!! SAR은 뜰 것인가?! 온라인에서 산 팩 vs 미개봉1박스 vs 포켓몬카드자판기에서 산 팩! 어디가 잘 나올까!?,3.1,24,19,1213,0,
2026.05.03(일) 13:11,2026.05.03(일) 16:12,talk,전체,내일 출근하는 사람들이 모이자.......,3,20,15,649,0,
2026.04.30(목) 14:49,2026.04.30(목) 16:42,림버스 컴퍼니|talk,전체,밤늦은 시간에 쁘밍 방송이 켜졌다면 당장 방송을 끄고 자러가야합니다.,1.9,22,16,691,1,
2026.04.01(수) 12:00,2026.04.01(수) 15:18,헬다이버즈 2|talk,전체,[게임방송] 시참하는 날이지롱!,3.3,21,15,547,1,
2026.03.31(화) 12:01,2026.03.31(화) 15:36,포켓몬 포코피아|talk,전체,[게임방송] 아휴.. 온 세상 억까는 다 받는 중,3.6,21,16,1161,0,
2026.03.30(월) 12:10,2026.03.30(월) 15:12,포켓몬 포코피아|talk,전체,[게임방송] 아휴.. 온 세상 억까는 다 받는 중,3,21,16,1253,-1,
2026.03.29(일) 12:00,2026.03.29(일) 15:24,헬다이버즈 2|talk,전체,[게임방송] 생에 첫 촉각슈트 테스트 할 겸 헬다 시참하는 날!,3.4,27,21,998,2,
2026.03.27(금) 12:00,2026.03.27(금) 15:48,포켓몬 포코피아|talk,전체,[소통방송] 그저 늘 행복하기위해 사는 사람,3.8,22,17,1058,-2,
2026.03.25(수) 12:00,2026.03.25(수) 16:42,포켓몬 포코피아|talk,전체,[게임방송] 오늘은 기분이 좋~아~,4.7,21,15,1332,0,
2026.03.24(화) 13:02,2026.03.24(화) 16:54,포켓몬 포코피아|talk,전체,[소통방송]육아하고 일하고 방송까지하는 슈퍼우먼!,3.9,23,18,1502,0,
2026.03.22(일) 13:43,2026.03.22(일) 15:30,타이니 아쿠아리움 : 소셜 수족관,전체,[HGE Creator] 스팀 압도적 긍정적 힐링게임 타이니 아쿠아리움 : 소셜수족관,1.8,17,15,409,0,
2026.03.21(토) 14:01,2026.03.21(토) 16:12,talk,전체,[소통방송] 싱글맘의 빨래개며 소통하는 방송! 감기/랜선감염주의,2.2,22,18,1079,1,
2026.03.20(금) 13:00,2026.03.20(금) 16:12,포켓몬 포코피아|talk,전체,[소통방송] 종합감기약이 없길래 목감기약이랑 콧물알러지약을 같이 먹었는데 괜찮겠지모~,3.2,20,14,832,2,
2026.03.17(화) 12:30,2026.03.17(화) 16:30,포켓몬 포코피아|talk,전체,[게임방송] 미시버츄얼이 포코피아에서 미시카츄 찾기!흐흐~,4,20,17,977,0,
2026.03.16(월) 12:20,2026.03.16(월) 15:06,포켓몬 포코피아|talk,전체,[게임방송] 미시버츄얼이 포코피아에서 미시카츄 찾기!흐흐~,2.8,23,16,619,0,
2026.03.15(일) 12:52,2026.03.15(일) 16:48,낙원: LAST PARADISE|talk,전체,[게임방송] 오늘밖에 시간이 없다! 나의 낙원은?,3.9,22,16,900,0,
2026.03.13(금) 13:33,2026.03.13(금) 18:24,포켓몬 포코피아|talk,전체,[게임방송] 쁘밍은 모두가 다 아는 유명한 피카츄애호가라서~,4.8,20,16,955,0,
2026.03.12(목) 12:08,2026.03.12(목) 15:42,종합 게임|회색낙원|낙원: LAST PARADISE|talk,전체,[게임방송] 협동게임인데 협동의 뜻이 이게 맞나?,3.6,18,13,746,-1,
2026.03.11(수) 12:08,2026.03.11(수) 15:30,림버스 컴퍼니|헬다이버즈 2|talk,전체,[게임방송] 회식에서 살아돌아온 헬다이버다!!,3.4,26,19,545,1,
2026.03.10(화) 12:59,2026.03.10(화) 16:30,포켓몬 포코피아|talk,전체,[게임방송] 쁘밍은 굉장한 피카츄 덕후인 것을 모두가 알고 있다!!,3.5,23,17,767,1,
2026.03.09(월) 12:44,2026.03.09(월) 15:54,포켓몬 포코피아|talk,전체,[게임방송] 사놓고 3일정도 묵힌 포코피아를 이제서야 키는 만행,3.2,25,17,852,0,
2026.03.07(토) 11:06,2026.03.07(토) 11:48,마인크래프트,전체,[게임방송] 행운은 나의 편? 코블몬 서버에서 손가락 흔들기 배틀!,0.7,10,8,60,0,
2026.03.06(금) 12:31,2026.03.06(금) 15:48,몬스터 헌터 와일즈|림버스 컴퍼니|talk,전체,[게임방송] 가챠의 여신 등장⭐٩(◕ᗜ◕)و 내 운 뺏어가지마라~~!,3.3,28,21,1704,0,
2026.03.04(수) 13:08,2026.03.04(수) 16:54,림버스 컴퍼니|talk,전체,[게임방송] 출 근 해야지?٩(◕ᗜ◕)و,3.8,25,19,1604,0,
2026.03.02(월) 12:13,2026.03.02(월) 15:00,이용약관에 동의하고 싶어|talk,전체,[게임방송] 아싸!! 방학 끝이다!!!٩(◕ᗜ◕)و,2.8,25,20,1282,-1,
2026.02.28(토) 13:00,2026.02.28(토) 17:06,몬스터 헌터 와일즈|talk,전체,[소통방송] 벌칙수행을 위해 촉각슈트를.. 구매하는 방송..٩(◕ᗜ◕)و,4.1,20,17,1195,2,
2026.02.26(목) 12:00,2026.02.26(목) 15:24,림버스 컴퍼니|마작일번가|talk,전체,[게임방송] 림버스 복귀하기 좋은 시기라며?٩(◕ᗜ◕)و,3.4,30,22,1216,2,
2026.02.25(수) 12:58,2026.02.25(수) 16:12,talk,전체,[소통방송] (무료+유료) 잔 잔 힐 링 영 도 데 이 ٩(◕ᗜ◕)و,3.2,21,17,1348,-1,
2026.02.22(일) 11:00,2026.02.22(일) 15:36,몬스터 헌터 와일즈|talk,전체,[소통방송] 소통으로 시작하는 주말방송!!,4.6,30,23,1603,-2,
2026.02.21(토) 12:29,2026.02.21(토) 16:36,몬스터 헌터 와일즈|talk,전체,[게임방송] 아직도 혼자 왕알슈 못잡은 훈타는 나뿌니야?! (๑´╹‸╹`๑)힝구,4.1,27,21,1264,4,
2026.02.19(목) 12:30,2026.02.19(목) 16:00,몬스터 헌터 와일즈,전체,[게임방송] 아직도 혼자 왕알슈 못잡은 훈타는 나뿌니야?! (๑´╹‸╹`๑)힝구,3.5,22,18,935,1,
2026.02.18(수) 09:29,2026.02.18(수) 14:24,몬스터 헌터 와일즈|talk,전체,[소통방송] 업데이트 왕알슈부터 쭉 달려보쟈궁! 쁘링클단 없으면 내 방송 망해!!(๑´╹‸╹`๑),4.9,31,24,1069,2,
2026.02.15(일) 12:00,2026.02.15(일) 16:06,미메시스|talk,전체,[소통방송] 설연휴 잘보내..! 쁘링클단 없으면 내 방송 망해!!(๑´╹‸╹`๑),4.1,21,17,326,0,
2026.02.14(토) 12:30,2026.02.14(토) 20:18,마인크래프트|헬다이버즈 2|talk,전체,[게임방송] 합방 전 전굽기!! 쁘링클단 없으면 내 방송 망해!!(๑´╹‸╹`๑),7.8,29,20,1119,2,
2026.02.13(금) 11:58,2026.02.13(금) 16:30,몬스터 헌터 와일즈|talk,전체,[게임방송] 고그마 농사 지어야지! 쁘링클단 없으면 내 방송 망해!!(๑´╹‸╹`๑),4.5,36,23,902,3,
2026.02.12(목) 13:16,2026.02.12(목) 16:06,마인크래프트|talk,전체,[게임방송] 쁘링클단 없으면 내 방송 망해!!(๑´╹‸╹`๑),2.8,18,15,494,0,
2026.02.11(수) 12:59,2026.02.11(수) 15:36,헬다이버즈 2|talk,전체,[게임방송] 나도 해머 가질래! 탱크 가질래! 메달런 달려~,2.6,24,19,1025,0,
2026.02.09(월) 12:30,2026.02.09(월) 15:00,talk,전체,[게임방송] 같 이 놀 자,2.5,22,17,595,0,
2026.02.08(일) 13:00,2026.02.08(일) 15:06,이용약관에 동의하고 싶어|talk,전체,[소통방송] 올해는 꼭 3천팔 넘겨보쟈고!,2.1,25,20,782,-1,
2026.02.07(토) 13:02,2026.02.07(토) 17:00,talk,전체,[소통방송]1월 클립왕/유머 탐방!,4,27,21,1514,1,
2026.02.06(금) 12:55,2026.02.06(금) 16:00,talk,전체,[소통방송] 너무 늦었지!! 큰거(?) 가져왔다!,3.1,28,20,1523,-1,
2026.01.29(목) 12:55,2026.01.29(목) 15:18,talk,전체,[소통방송] 왔다! 김부민!,2.4,24,18,1378,0,
2026.01.25(일) 11:00,2026.01.25(일) 14:00,talk,전체,[게임방송] 다이아룰렛 촉각슈트+애교월드컵 방어전! 시간이 얼마 남지 않았다!!,3,23,20,853,0,
2026.01.24(토) 12:00,2026.01.24(토) 18:36,talk,전체,[게임방송] 다이아룰렛 촉각슈트+애교월드컵 방어전! 끝이..보이나..?,6.6,23,17,1336,2,
2026.01.23(금) 12:00,2026.01.23(금) 15:36,마인크래프트|talk,전체,[소통방송] 전을 노릇노릇하게~,3.6,17,14,625,1,
2026.01.22(목) 12:01,2026.01.22(목) 14:12,talk,전체,[게임방송] 다이아룰렛. 촉각슈트+애교월드컵 방어전!!!!!!!!!!!!!!!!!,2.2,25,19,657,0,
2026.01.21(수) 12:01,2026.01.21(수) 15:12,몬스터 헌터 와일즈,전체,[게임방송] 고그마랑 왕다 안 잡아본 뉴비쨩들과 함께 킁카킁카!,3.2,24,19,419,0,
2026.01.20(화) 12:24,2026.01.20(화) 15:24,talk,전체,[게임방송] 다이아 룰렛~! 12시가 되면은~ 문을 닫는다!!!!!!!,3,22,16,723,0,
2026.01.19(월) 12:00,2026.01.19(월) 17:24,talk,전체,[게임방송] 벌칙과 함께 돌아왔다.. 다이아룰렛!! 기필코 탈출하리!!!,5.4,21,19,1332,0,
2026.01.16(금) 12:35,2026.01.16(금) 16:30,헬다이버즈 2|talk,전체,[소통방송] 구독티콘맛집,3.9,25,21,841,1,
2026.01.14(수) 13:00,2026.01.14(수) 15:12,talk,전체,[소통방송] 쪼아요~쪼아요~ 구독티콘 쪼아요~,2.2,28,22,1071,-3,
2026.01.12(월) 12:40,2026.01.12(월) 15:24,talk,전체,[소통방송] 새 직장에 첫 출근 이야기🐇,2.7,28,23,1033,0,
2026.01.11(일) 12:24,2026.01.11(일) 15:12,talk,전체,[게임방송] 내일부터 첫 출근이라 힐링겜하며 짧뱅! 🐇,2.8,23,19,883,1,
2026.01.09(금) 12:00,2026.01.09(금) 15:18,몬스터 헌터 와일즈|talk,전체,[소통방송] 일이 술술 풀리려나봐🍀취직성공! 🐇,3.3,36,29,1193,1,
2026.01.08(목) 12:09,2026.01.08(목) 16:24,talk,전체,[소통방송] 이야기하다가 자러갈까나?🐇,4.2,26,21,1989,0,
2026.01.07(수) 12:34,2026.01.07(수) 17:12,몬스터 헌터 와일즈|talk,전체,[소통방송] 무계획도 계획이다! 나는 무다무다무다무다무다무다🐇,4.6,34,25,1322,0,
2026.01.07(수) 12:22,2026.01.07(수) 12:30,talk,전체,[소통방송] 무계획도 계획이다! 나는 무다무다무다무다무다무다🐇,0.1,16,13,64,0,
2026.01.06(화) 11:31,2026.01.06(화) 15:18,talk,전체,[소통방송] 무계획도 계획이다!🐇,3.8,28,23,1662,-1,
2026.01.04(일) 11:30,2026.01.04(일) 16:06,몬스터 헌터 와일즈|talk,전체,[게임방송] 와일즈의 암흑기부터 최근 갓패치까지.. 한번에 볼 수 있는 날..!🐇,4.6,30,24,1168,2,
2026.01.01(목) 12:31,2026.01.01(목) 16:48,몬스터 헌터 와일즈|talk,전체,[소통방송] 새해 복 많이 받으세요! (아마도짧뱅)🐇,4.3,40,28,1977,2,
2026.12.30(화) 07:00,2026.12.30(화) 11:24,젠레스 존 제로|talk,전체,[게임방송] 자오 받으려고 복귀하는 토끼!🐇,4.4,22,18,1465,0,
2026.12.29(월) 12:01,2026.12.29(월) 16:48,몬스터 헌터 와일즈|talk,전체,[게임방송] 용옥이 필요하다구요? 여기 알 잘 떼는 토끼 한마리 있는데?,4.8,28,22,1558,2,
2026.12.29(월) 04:02,2026.12.29(월) 06:18,산나비|talk,전체,[게임방송] 귀신씌인게.. 송소령인지 나인지.. 아들 오기전까지 엔딩보기가 목표..,2.3,21,16,692,0,
2026.12.28(일) 10:01,2026.12.28(일) 16:42,talk,전체,[무료영도데이!] 손캠과 함께하는 중국산 윙건담 프라모델 조립방송!,6.7,33,26,3425,5,
2026.12.27(토) 12:00,2026.12.27(토) 16:30,숲속의 작은 마녀|talk,전체,[게임방송] 휴방 : 휴 오늘도 방송인가? 수상하게 수상한 방송(아님),4.5,28,21,1721,0,
2026.12.26(금) 10:40,2026.12.26(금) 16:12,숲속의 작은 마녀|talk,전체,[소통방송] 휴방 : 휴 오늘도 방송인가? 수상하게 수상한 방송(아님),5.5,22,16,1324,-1,
2026.12.25(목) 11:35,2026.12.25(목) 15:12,몬스터 헌터 와일즈|talk,전체,[소통방송] 크리스마스라서 너희를 위해 준비했어..! (With. EDEN),3.6,28,22,1293,-1,
2026.12.25(목) 11:19,2026.12.25(목) 11:30,talk,전체,[소통방송] 크리스마스라서 너희를 위해 준비했어..! (With. EDEN),0.2,21,18,82,0,
2026.12.24(수) 11:06,2026.12.24(수) 13:30,talk,전체,[소통방송] 이브에 데이트 없는거 다 아니까 이리와!,2.4,21,17,1068,-1,
2026.12.23(화) 23:59,2026.12.24(수) 06:48,몬스터 헌터 와일즈|talk,전체,[몬스터헌터 와일즈] 막 일어난 상태로 역전왕 진다하드 뚜시따싯~!,6.8,50,28,1058,5,
2026.12.23(화) 11:02,2026.12.23(화) 15:36,몬스터 헌터 와일즈|talk,전체,크리스마스 이브이브,4.6,42,30,1424,-1,
2026.12.22(월) 12:00,2026.12.22(월) 17:00,몬스터 헌터 와일즈|talk,전체,보고싶었지?!,5,29,22,2074,5,
2026.12.21(일) 05:07,2026.12.21(일) 05:12,미설정,전체,테스트 - 송출컴 심폐소생술 중,0.1,14,14,0,0,
