시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:31,LIVE,블루 아카이브|talk,전체,LIVE,4.6,29,22,1173,0,
2026.06.14(일) 09:31,2026.06.14(일) 17:12,talk,전체,여어~ 밥먹었수산시장~ / 철도가키 생일임!!,7.7,26,20,2100,0,
2026.06.12(금) 09:30,2026.06.13(토) 02:30,레드 데드 리뎀션 2|talk,전체,"매달 똥영화가 나온다 내가 할수있는 거라곤 무기력하게 감상하고 분노의 후기를 남기는 것 뿐────이건, 「지옥」이다",17,29,19,3633,0,
2026.06.11(목) 09:30,2026.06.11(목) 19:36,레드 데드 리뎀션 2|talk,전체,《디스클로저 데이》 보고 와따맨! / 영화 망해서 분노의 리뷰했으면 좋겠다고 한 사람들 나와서 엎드려!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,10.1,24,19,2546,2,
2026.06.09(화) 10:00,2026.06.09(화) 16:24,블루 아카이브|talk,전체,왔노라 보았노라 이겼노라 / vcz 최고 미소녀와 커피 한잔 하고 옴,6.4,29,24,2233,0,
2026.06.08(월) 09:30,2026.06.08(월) 17:12,에이리언: 아이솔레이션|talk,전체,여어~ 나찌다~,7.7,35,27,1906,3,
2026.06.07(일) 09:32,2026.06.07(일) 18:30,talk,전체,신작 게임 pv보고 메카바타 보고 vcz카페 보고,9,25,21,2465,0,
2026.06.05(금) 09:30,2026.06.05(금) 21:30,영화|Grand Theft Auto V|talk,전체,"""난 하루만 똥영화를 보고 싶어"" ""왜?"" ""그럼 다른 날은 안 볼 수 있잖아"" / 넷플릭스는 지금이라도 <중간계> 입성을 철회해라!!!!!!!!!!!!!!!!!!!!!!!!!!!",12,23,17,3233,3,
2026.06.04(목) 09:31,2026.06.04(목) 19:54,이환|Grand Theft Auto V|talk,전체,"""버미육이던 내가 이세계로 전생했더니 엘프 미소녀가 되어 파티에게 버림받았는데 용사에게 후회피폐집착당하지만 살아남기 위해 LV999까지 레벨업합니다""라는 웹소 추천 좀",10.4,26,19,2049,1,
2026.06.02(화) 09:31,2026.06.02(화) 22:12,Grand Theft Auto V|talk,전체,에에에에~ 이이 요루다네에~ / 아스오라 pv 떴던디,12.7,29,21,2900,0,
2026.06.01(월) 09:31,2026.06.01(월) 18:48,Grand Theft Auto V|talk,전체,여어 고(부기)찌다~,9.3,29,21,2387,2,
2026.05.31(일) 09:31,2026.05.31(일) 16:18,talk,전체,<살목지> 보라고 한 사람들 집합!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,6.8,24,19,2355,0,
2026.05.29(금) 09:30,2026.05.29(금) 18:54,Grand Theft Auto V|talk,전체,여어 고(질라)찌다~,9.4,27,21,2815,6,
