시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:30,LIVE,바이오하자드 레퀴엠|talk,전체,LIVE,2.7,14,10,655,0,
2026.06.14(일) 09:00,2026.06.14(일) 15:12,바이오하자드 레퀴엠|talk,전체,주말이..간다..,6.2,14,10,1180,0,
2026.06.13(토) 08:16,2026.06.13(토) 15:54,명조:워더링 웨이브|바이오하자드 레퀴엠|talk,전체,라떼 먹을 사람 구함ㅠ,7.6,16,12,1885,1,
2026.06.12(금) 12:00,2026.06.12(금) 15:18,talk,전체,뒷목이 아픈건지 뒤통수가 아픈건지 다 아픈건지,3.3,13,11,1199,-1,
2026.06.11(목) 11:30,2026.06.11(목) 15:00,명조:워더링 웨이브|talk,전체,간다 나이트시티,3.5,12,10,720,0,
2026.06.09(화) 11:30,2026.06.09(화) 15:12,명조:워더링 웨이브|talk,전체,방송키고 손톱 깎아도 되나요,3.7,13,10,850,0,
2026.06.07(일) 09:00,2026.06.07(일) 14:06,콜 오브 듀티 : 모던 워페어 리마스터드|talk,전체,주말내내 잠으로 보내는 사람이 어딧어요? 저요,5.1,17,12,1281,0,
2026.06.06(토) 09:00,2026.06.06(토) 16:00,콜 오브 듀티 : 모던 워페어 리마스터드|talk,전체,집안일 기차낭..,7,16,11,2206,1,
2026.06.05(금) 14:34,2026.06.05(금) 15:48,talk,전체,보고싶어서 왓는데에 다들 주무시낭,1.2,9,7,265,0,
2026.06.03(수) 08:59,2026.06.03(수) 15:00,명조:워더링 웨이브|talk,전체,에어컨을 틀까..,6,16,11,1683,0,
2026.06.01(월) 11:59,2026.06.01(월) 14:36,명조:워더링 웨이브|talk,전체,오늘은 명조를 할테야,2.6,14,10,660,1,
2026.05.31(일) 11:00,2026.05.31(일) 13:18,talk,전체,또 월요일이 왔다는 사실에 절망,2.3,13,11,708,0,
2026.05.28(목) 11:30,2026.05.28(목) 15:36,talk,전체,(말이 없다. 기절햇다보다),4.1,13,9,1521,0,
2026.05.27(수) 11:30,2026.05.27(수) 15:12,종합 게임|talk,전체,어우 습해,3.7,13,9,887,0,
2026.05.24(일) 09:00,2026.05.24(일) 16:42,명조:워더링 웨이브|talk,전체,마실 땐 좋앗지...,7.7,15,11,1558,0,
2026.05.23(토) 10:00,2026.05.23(토) 15:30,talk,성인,응애는 못들어오는 술뱅🍷,5.5,15,12,0,0,
2026.05.22(금) 11:30,2026.05.22(금) 15:30,명조:워더링 웨이브|talk,전체,헐 집에,4,14,11,1026,0,
2026.05.20(수) 11:30,2026.05.20(수) 15:00,명조:워더링 웨이브|talk,전체,비오는 날 지하철 진짜 너무 끔찍쓰,3.5,12,10,745,0,
2026.05.19(화) 11:29,2026.05.19(화) 15:00,명조:워더링 웨이브|talk,전체,내일 비오는걸 믿고싶지않아,3.5,12,10,677,0,
2026.05.17(일) 09:00,2026.05.17(일) 15:18,명조:워더링 웨이브|talk,전체,이게 5월의 날씨인가,6.3,18,13,2052,-1,
2026.05.16(토) 07:37,2026.05.16(토) 17:18,명조:워더링 웨이브|talk,전체,조금 빨리옴!,9.7,23,13,2187,1,
2026.05.13(수) 11:30,2026.05.13(수) 15:06,명조:워더링 웨이브|talk,전체,내일 구워질지도 몰라요,3.6,14,10,777,0,
2026.05.12(화) 11:30,2026.05.12(화) 15:00,talk,전체,육포는 간식일까요 술안주일까요,3.5,19,13,1241,0,
2026.05.10(일) 09:00,2026.05.10(일) 14:48,명조:워더링 웨이브|talk,전체,20렙까진 올려놧습니당,5.8,17,12,1018,-1,
2026.05.09(토) 09:00,2026.05.09(토) 17:06,명조:워더링 웨이브|talk,전체,저 건강합니다,8.1,15,11,1187,0,
2026.05.08(금) 13:36,2026.05.08(금) 16:18,talk,전체,드리러갓다가 양손가득 나옴,2.7,15,11,902,0,
2026.05.06(수) 11:30,2026.05.06(수) 13:48,명조:워더링 웨이브|talk,전체,하루 쉬엇다고 이렇게 바쁘기있기없긔,2.3,15,11,513,0,
2026.05.05(화) 09:00,2026.05.05(화) 15:24,명조:워더링 웨이브|talk,전체,어린이 날은 쉬는 날이죠,6.4,20,12,1761,2,
2026.05.03(일) 10:59,2026.05.03(일) 15:24,명조:워더링 웨이브|talk,전체,오늘은 널부렁 방송을 하겟어요,4.4,17,12,1056,1,
2026.04.30(목) 12:00,2026.04.30(목) 17:24,명조:워더링 웨이브|talk,전체,즐거운 연휴 되세요..(꾸엑,5.4,13,9,1108,0,
2026.04.29(수) 11:30,2026.04.29(수) 15:30,이환|명조:워더링 웨이브|talk,전체,오늘 이환이라는 게임이 나왔다면서요?,4,19,12,825,2,
2026.04.28(화) 11:30,2026.04.28(화) 15:12,프래그마타|talk,전체,슈뢰딩거의 방송 위기,3.7,13,10,934,0,
2026.04.26(일) 09:00,2026.04.26(일) 15:36,프래그마타|talk,전체,뭔가 기분이 음 메롱,6.6,11,8,1100,0,
2026.04.25(토) 07:57,2026.04.25(토) 17:18,프래그마타|talk,전체,오늘은 진짜 일찍 옴!,9.3,12,9,1712,1,
2026.04.24(금) 11:30,2026.04.24(금) 16:36,프래그마타|talk,전체,왜 안피곤한데 코피 나;,5.1,11,9,1560,0,
2026.04.22(수) 11:30,2026.04.22(수) 15:06,프래그마타|talk,전체,우리 방송에 장인이 있다,3.6,12,8,750,0,
2026.04.21(화) 11:30,2026.04.21(화) 15:54,talk,전체,진짜 모니터를 사야해요 뭐사징,4.4,15,12,1038,0,
2026.04.19(일) 08:59,2026.04.19(일) 15:24,프래그마타|talk,전체,안대 내 일요일,6.4,11,9,1306,0,
