시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 17:19,2026.06.14(일) 22:18,talk,전체,퇴근하면 뭐하니,5,22,12,960,1,
2026.06.11(목) 12:29,2026.06.11(목) 19:18,멧챠 카멜레온|talk,전체,합방 전까지 진짜 낙서,6.8,23,15,649,0,
2026.06.10(수) 12:36,2026.06.10(수) 18:12,멧챠 카멜레온|요시와 신기한 도감|메이플스토리|talk,전체,지브리가 돈 버는 방법은 / '토토'로,5.6,15,12,785,0,
2026.06.09(화) 12:00,2026.06.09(화) 19:18,요시와 신기한 도감|talk,전체,닌다 95%가지무침과 5% 갈비찜 대기중,7.3,25,15,1258,1,
2026.06.07(일) 17:20,2026.06.07(일) 19:36,사이퍼즈|메이플스토리|talk,전체,더워,2.3,17,11,163,1,
2026.06.03(수) 10:10,2026.06.03(수) 16:00,요시와 신기한 도감|talk,전체,더워서 아무것도 못하겠숴,5.8,19,14,317,0,
2026.06.02(화) 12:43,2026.06.02(화) 20:24,요시와 신기한 도감|메이플스토리|talk,전체,에어컨이 고장났어요...,7.7,16,11,720,2,
2026.05.31(일) 17:04,2026.05.31(일) 20:36,talk,전체,퇴근하면 뭐하니,3.5,17,13,519,0,
2026.05.28(목) 12:10,2026.05.28(목) 21:00,웹피싱|talk,전체,뭐라고 벌써 금요일이라고 그럴리 없어 내가 내일 일할리가 없잖아 거짓말하지마 난 이제 하루 쉰거같은데 어째서 그럴수가 도시테 콘나 꼬라지니 낫탄다요 손나 박하나,8.8,24,14,537,0,
2026.05.27(수) 12:16,2026.05.27(수) 22:54,에브리씽 이즈 크랩: 동물 진화 로그라이트|메이플스토리|talk,전체,굿즈에 지갑 털린 퍼리,10.6,23,15,1135,2,
2026.05.19(화) 12:13,2026.05.20(수) 00:24,메이플스토리|포르자 호라이즌 6|talk,전체,랜선 도쿄 여행,12.2,24,17,1124,1,
2026.05.14(목) 12:26,2026.05.14(목) 18:42,메이플스토리|talk,전체,5일 연속 뱅온 할 얘기가 다 떨어짐 이슈,6.3,22,15,1007,1,
2026.05.13(수) 12:31,2026.05.13(수) 22:06,데빌 커넥션|talk,전체,컴퓨터를 사고서 한다는게 고작,9.6,20,14,1224,0,
2026.05.12(화) 14:27,2026.05.12(화) 17:24,밴딧 트랩|talk,전체,"11시 50분 밴딧 어쩌고 합방 (with. 보비유, 능비, 라두스)",2.9,13,9,32,0,
2026.05.12(화) 14:23,2026.05.12(화) 14:24,talk,전체,"11시 50분 밴딧 어쩌고 합방 (with. 보비유, 능비, 라두스)",0,0,0,0,0,
2026.05.11(월) 14:12,2026.05.11(월) 23:48,데빌 커넥션|메이플스토리|talk,전체,잔잔 퍼리 보충 수업,9.6,28,17,1368,1,
2026.05.10(일) 20:06,2026.05.10(일) 23:30,talk,전체,퇴근하면 뭐하니,3.4,17,11,723,1,
2026.05.10(일) 17:08,2026.05.10(일) 20:06,talk,전체,퇴근하면 뭐하니,3,23,16,723,0,
2026.05.07(목) 12:30,2026.05.07(목) 19:30,돈 플레이 디스|메이플스토리|talk,전체,우웅ㅇ우웅우ㅜ우웅ㅇㅇ우웅ㅇ우우우웅웅,7,23,17,1366,-1,
2026.05.06(수) 13:48,2026.05.06(수) 20:54,talk,전체,플코는 여기까지~~~~,7.1,23,17,1332,0,
2026.05.06(수) 12:16,2026.05.06(수) 13:42,플래닛 코스터 2|talk,전체,돈 쓰는건 즐거워 짜릿해 늘 새로워,1.4,20,16,270,0,
2026.05.05(화) 12:17,2026.05.05(화) 21:12,플래닛 코스터 2|talk,전체,뜌우땨이,8.9,27,14,806,0,
2026.05.01(금) 17:21,2026.05.01(금) 19:12,talk,전체,퇴근하면 뭐하니,1.8,21,18,345,0,
2026.04.30(목) 12:13,2026.04.30(목) 17:54,작혼: 리치 마작|그림/아트|talk,전체,오랜만에 낙서방송,5.7,24,18,624,1,
2026.04.29(수) 12:33,2026.04.29(수) 22:00,talk,전체,일정표의 땔깜화,9.4,21,14,1390,0,
2026.04.28(화) 12:02,2026.04.29(수) 01:48,네세스|앰비덱스트로|talk,전체,납치 순애,13.8,25,14,989,0,
2026.04.23(목) 12:14,2026.04.23(목) 20:54,포장마차 : 한국 길거리 음식 경영시뮬레이터|talk,전체,일일 한시간 저쳇은 보약이다,8.7,24,19,630,1,
2026.04.22(수) 12:22,2026.04.22(수) 22:06,친구모아 아일랜드 두근두근 라이프|메이플스토리,전체,1.퍼리모아 아파트를 킨다. 2.퍼리들을 납치 이주 시킨다,9.7,27,17,1555,2,
2026.04.21(화) 12:10,2026.04.21(화) 21:36,친구모아 아일랜드 두근두근 라이프|talk,전체,좀 있다 메숙제 하고 퍼리모아 아파트 고고혓,9.4,27,19,1194,1,
2026.04.16(목) 12:07,2026.04.16(목) 14:54,그림/아트|talk,전체,숙제와 복권과 퍼리퍼리,2.8,18,11,574,0,
2026.04.15(수) 13:02,2026.04.15(수) 19:48,슈퍼 마리오브라더스 원더|메이플스토리,전체,또이플 스토리 해놓고 슈퍼마리오 원더,6.8,19,13,744,0,
2026.04.14(화) 11:38,2026.04.15(수) 02:48,퍼즐 투게더|그림/아트|우리는 여기에 있었다 탐험대 - 우정의 배|talk,전체,귀여운 그림체를 돚거해보쟈,15.2,22,13,1156,0,
2026.04.08(수) 12:30,2026.04.08(수) 21:54,슈퍼 마리오브라더스 원더|메이플스토리|talk,전체,우웅한 청년,9.4,21,11,933,0,
2026.04.07(화) 12:54,2026.04.07(화) 19:06,슈퍼 마리오브라더스 원더|메이플스토리|talk,전체,아 방 송 제 목 뭐 하 지,6.2,16,10,944,0,
2026.04.03(금) 12:46,2026.04.03(금) 16:12,피라미디언,전체,포동포동 뱃쨜님과 피라미디언 합방 (w.백일화),3.4,16,8,176,2,
2026.04.02(목) 12:25,2026.04.02(목) 22:30,슈퍼 마리오브라더스 원더|메이플스토리|talk,전체,왠지 그림 그리기 싫은 날,10.1,20,12,1241,1,
2026.04.01(수) 12:34,2026.04.01(수) 21:54,슈퍼 마리오브라더스 원더|메이플스토리|talk,전체,부자들이 타는 버스는 만원 버스 빅하하하,9.3,25,14,822,0,
2026.03.31(화) 12:11,2026.03.31(화) 22:00,더 다크 퀸 오브 모르솔름|메이플스토리|talk,전체,주르르륵 주르르륵,9.8,21,15,1606,0,
2026.03.26(목) 12:13,2026.03.26(목) 19:06,그림/아트|talk,전체,어떻게 매일 재밌겠어 근데 오늘은 퍼리 꼴짤 디톡스를,6.9,18,13,221,0,
2026.03.25(수) 12:07,2026.03.25(수) 23:42,그림/아트|포켓몬 포코피아|메이플스토리,전체,메숙제를 깜빡한 것이에요,11.6,26,15,1333,3,
