시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:59,LIVE,리그 오브 레전드|음악/노래|talk,전체,LIVE,3.3,16,12,608,1,
2026.06.14(일) 08:56,2026.06.14(일) 15:36,미설정|리그 오브 레전드|talk,전체,[긴급] 얀미랑 놀사람 모집중,6.7,18,11,633,0,
2026.06.13(토) 00:47,2026.06.13(토) 09:36,리그 오브 레전드|마인크래프트|talk,전체,토요일 아침 오이데 오이데,8.8,23,12,460,0,
2026.06.12(금) 01:04,2026.06.12(금) 04:12,2026 FIFA 북중미 월드컵,전체,축구룰..? 골 안에 공 들어가면 이기는거 아닌가? 대한민국 vs 체코 같이보기,3.1,13,11,490,3,
2026.06.11(목) 21:49,2026.06.12(금) 01:00,리그 오브 레전드|talk,전체,북중미 월드컵 한국전 대기방,3.2,36,16,171,0,
2026.06.11(목) 10:36,2026.06.11(목) 14:24,talk,전체,얀미 야~호! 몽냥이 어 흐,3.8,12,8,323,0,
2026.06.08(월) 10:01,2026.06.08(월) 15:48,마인크래프트|talk,전체,몽냥이 오이데 오이데,5.8,12,8,315,0,
2026.06.06(토) 16:48,2026.06.07(일) 00:18,리그 오브 레전드,전체,jot롤 야호,7.5,25,14,455,1,
2026.06.05(금) 21:24,2026.06.06(토) 00:42,리그 오브 레전드|talk,전체,얀미 야호,3.3,19,12,177,1,
2026.06.05(금) 10:25,2026.06.05(금) 15:18,리그 오브 레전드|음악/노래|talk,전체,얀크크,4.9,13,9,178,1,
2026.06.04(목) 10:08,2026.06.04(목) 13:48,리그 오브 레전드|talk,전체,사악얀미 vs 천사얀미,3.7,20,13,296,0,
2026.06.03(수) 05:03,2026.06.03(수) 12:54,리그 오브 레전드|전국 일반상식 체크|talk,전체,지: 지금 방: 방으로 와줘요 선: 선것 같아요 거: 거기가,7.8,24,16,662,2,
2026.06.01(월) 06:28,2026.06.01(월) 13:30,리그 오브 레전드|talk,전체,사악한 얀미,7,22,16,567,1,
2026.05.31(일) 12:46,2026.05.31(일) 13:00,리그 오브 레전드,전체,브크크 원크크 숟크크,0.2,11,9,14,0,
2026.05.31(일) 08:57,2026.05.31(일) 12:36,리그 오브 레전드|talk,전체,얀미와 몽냥이의 행방불명,3.6,15,11,416,0,
2026.05.29(금) 16:32,2026.05.30(토) 01:12,리그 오브 레전드|talk,전체,얀미가 왜이리 무리해,8.7,36,19,530,1,
2026.05.29(금) 11:49,2026.05.29(금) 12:36,음악/노래,전체,아주 드문 노래뱅 시티팝+탑골+약간의일식+그외의 무언가..,0.8,13,11,51,0,
2026.05.29(금) 08:30,2026.05.29(금) 11:42,음악/노래|talk,전체,얀미의 이른 등장 두둥,3.2,15,10,429,-1,
2026.05.28(목) 10:36,2026.05.28(목) 12:54,talk,전체,얀미 속옷 설명회,2.3,19,15,557,0,
2026.05.27(수) 10:16,2026.05.27(수) 13:30,talk,전체,'선거'관리 위원회,3.2,16,11,916,1,
2026.05.25(월) 13:10,2026.05.25(월) 17:24,리그 오브 레전드|talk,전체,느즈막히 얀미가,4.2,20,13,346,0,
2026.05.24(일) 12:53,2026.05.24(일) 17:06,리그 오브 레전드|talk,전체,귀갑미소녀,4.2,22,16,433,0,
2026.05.22(금) 12:18,2026.05.23(토) 05:12,리그 오브 레전드|talk,전체,술과 몽냥이를 대령하라!,16.9,43,19,1606,2,
2026.05.21(목) 16:01,2026.05.21(목) 17:18,리그 오브 레전드,전체,불행한 아가원딜,1.3,11,10,67,0,
2026.05.21(목) 15:19,2026.05.21(목) 15:54,리그 오브 레전드,전체,불행한 아가원딜,0.6,10,8,16,0,
2026.05.21(목) 10:58,2026.05.21(목) 15:12,리그 오브 레전드|talk,전체,보고싶었지 그치,4.2,18,10,371,0,
2026.05.21(목) 10:05,2026.05.21(목) 10:30,talk,전체,보고싶었지 그치,0.4,1,0,0,0,
2026.05.20(수) 10:03,2026.05.20(수) 10:06,talk,전체,초 짧짧짧짧뱅 (사소한 공지),0,3,3,0,0,
2026.05.18(월) 00:13,2026.05.18(월) 05:30,리그 오브 레전드|talk,전체,얀크크,5.3,11,7,287,1,
2026.05.17(일) 10:53,2026.05.17(일) 16:36,리그 오브 레전드|talk,전체,미소녀와 좀비사태에서 살아남기 월드컵 (w씬냥),5.7,20,12,343,0,
2026.05.16(토) 10:58,2026.05.16(토) 12:42,talk,전체,이런 얀미가 어디가 좋다고,1.7,10,5,77,0,
