시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 11:09,2026.06.14(일) 16:24,리그 오브 레전드,전체,정글 연습,5.2,24,18,466,2,
2026.06.13(토) 11:05,2026.06.13(토) 19:12,리그 오브 레전드,전체,일반하면서 정글 연습하기,8.1,28,22,1125,4,
2026.06.12(금) 11:41,2026.06.12(금) 16:54,리그 오브 레전드,전체,정글 차이나면 라이너 탓임 오늘은 그러기로 함,5.2,15,10,605,2,
2026.06.11(목) 11:32,2026.06.11(목) 17:12,리그 오브 레전드,전체,화 내지 않고 정글 돌기,5.7,19,13,547,1,
2026.06.10(수) 12:01,2026.06.10(수) 20:36,스크릿치 스크래치|슈퍼리미널,전체,"초현실적인 꿈을 탈출하기위해 나 윤바다, 퍼즐의 신이 왔다 (훈수환영)",8.6,12,8,611,1,
2026.06.09(화) 11:38,2026.06.09(화) 18:42,리그 오브 레전드,전체,에메랄드 복구 작업,7.1,20,14,985,0,
2026.06.07(일) 10:35,2026.06.07(일) 19:36,리그 오브 레전드,전체,일반 말고 에메런 좀 하겠습니다,9,23,16,1293,2,
2026.06.06(토) 11:34,2026.06.06(토) 19:24,리그 오브 레전드,전체,유툽각 노리면서 일반 시참 (WASD 4인 구합니다),7.8,29,21,1363,7,
2026.06.05(금) 11:36,2026.06.05(금) 17:00,리그 오브 레전드,전체,방금 홍대에서 젠슨황 보고왔다 에메랄드3 가자,5.4,26,16,732,1,
2026.06.04(목) 11:35,2026.06.04(목) 18:30,리그 오브 레전드,전체,오너 접신 대기중 (다이아런 2일차),6.9,19,14,680,1,
2026.06.03(수) 11:36,2026.06.03(수) 17:24,리그 오브 레전드|캡처드 2|talk,전체,오늘 귀신이 나온다는 아파트를 방문했는데요,5.8,15,9,772,0,
2026.06.02(화) 11:34,2026.06.02(화) 17:12,리그 오브 레전드,전체,"밥 먹으면서 TFT 한판, 그 다음부턴 에메랄드 런",5.6,21,14,987,1,
2026.05.31(일) 11:03,2026.05.31(일) 19:12,리그 오브 레전드,전체,일반 게임 하면서 정글 연습하기,8.1,25,17,1194,4,
2026.05.30(토) 11:13,2026.05.30(토) 18:24,리그 오브 레전드|전략적 팀 전투 : 우주의 신들,전체,무지성 카정 백업좀요,7.2,23,16,849,1,
2026.05.29(금) 11:36,2026.05.29(금) 18:12,리그 오브 레전드,전체,윤바다 정글 츄라이 츄라이,6.6,25,14,662,1,
2026.05.28(목) 11:39,2026.05.28(목) 16:36,리그 오브 레전드,전체,★ 윤바다 2주년 ★,4.9,25,18,1944,2,
2026.05.27(수) 11:33,2026.05.27(수) 16:54,리그 오브 레전드,전체,밥먹으면서 TFT 한판하고 롤 하겠습니다,5.3,23,16,794,1,
2026.05.26(화) 11:32,2026.05.26(화) 19:06,스크릿치 스크래치,전체,로또 당첨되면 이곳 뜹니다,7.6,14,10,680,1,
2026.05.25(월) 11:32,2026.05.25(월) 17:06,리그 오브 레전드,전체,당신 곁에 귀인이 찾아오는 것만으로도 좋은 하루인데 여러 사람에게서 좋은 평가까지 받게 되니 더할 나위 없는 하루 입니다.,5.6,23,16,824,0,
2026.05.23(토) 10:58,2026.05.24(일) 05:36,미설정|리그 오브 레전드,전체,오늘의 일반게임 (킬룰렛/시참),18.6,24,13,2507,3,
2026.05.22(금) 11:33,2026.05.22(금) 17:54,리그 오브 레전드,전체,(트) 롤 한판 해보자고~,6.3,20,14,706,0,
2026.05.21(목) 11:37,2026.05.21(목) 17:36,리그 오브 레전드|전략적 팀 전투 : 우주의 신들,전체,문을 열어라 윤바다가 협곡에 행차하신다,6,19,15,1062,0,
2026.05.20(수) 22:36,2026.05.21(목) 03:12,프래그마타,전체,자고 일어나서 깨는 프래그마타,4.6,11,7,178,1,
2026.05.20(수) 11:33,2026.05.20(수) 15:54,프래그마타,전체,드디어 밝힙니다.... 전 사실 딸이 하나 있습니다... (2),4.3,13,9,315,-1,
2026.05.19(화) 11:38,2026.05.19(화) 16:12,프래그마타,전체,드디어 밝힙니다.... 전 사실 딸이 하나 있습니다...,4.6,14,11,388,-1,
2026.05.18(월) 11:13,2026.05.18(월) 17:18,리그 오브 레전드,전체,무지성 풀캠충 (라인 백업은 누구보다 빠르게),6.1,21,17,824,1,
2026.05.17(일) 11:11,2026.05.17(일) 16:54,리그 오브 레전드,전체,롤 쉬었음 청년 (2일간),5.7,24,19,1472,1,
2026.05.14(목) 11:06,2026.05.14(목) 16:36,리그 오브 레전드,전체,오늘은 가볍게 게임하다가 가겠습니다.,5.5,26,17,1144,1,
2026.05.12(화) 11:12,2026.05.13(수) 23:00,미설정|리그 오브 레전드|전략적 팀 전투 : 우주의 신들|talk,전체,저랑 (협곡) 산책 할래요?,35.8,28,13,4327,17,
2026.05.11(월) 11:04,2026.05.11(월) 19:54,리그 오브 레전드|전략적 팀 전투 : 우주의 신들,전체,부캐 티어 올리기 (골드),8.8,23,16,1001,-1,
2026.05.10(일) 11:03,2026.05.10(일) 18:36,리그 오브 레전드,전체,"오늘 일반할건데, 윤바다가 10% 함유된 쇼츠각을 뽑아주세요",7.5,28,18,1398,5,
2026.05.09(토) 11:05,2026.05.09(토) 19:18,리그 오브 레전드,전체,바다와 함께하는 일반 게임! 게임 쓰타트! (룰렛/일반),8.2,27,19,1602,6,
2026.05.08(금) 11:05,2026.05.08(금) 19:24,리그 오브 레전드,전체,3패하면 방종,8.3,19,13,1199,4,
2026.05.07(목) 11:01,2026.05.07(목) 16:12,리그 오브 레전드,전체,협곡계의 베어그릴스,5.2,16,11,634,1,
2026.05.06(수) 17:09,2026.05.06(수) 19:24,리그 오브 레전드,전체,뱀의 머리가 되고 싶은 윤바다,2.2,12,10,633,1,
2026.05.06(수) 10:57,2026.05.06(수) 17:00,이지 딜리버리 컴퍼니,전체,안녕하세요 택배 기사 윤바다입니다. 20시~24시 사이 집앞으로 배송 예정입니다. 부재 시 집 앞에 두고가겠습니다. 감사합니다.,6,12,8,539,0,
2026.05.05(화) 11:04,2026.05.05(화) 19:42,리그 오브 레전드|전략적 팀 전투 : 우주의 신들|talk,전체,어린이날 기념 어린이처럼 롤하기,8.6,18,13,921,0,
2026.05.03(일) 21:01,2026.05.03(일) 21:06,스타크래프트 : 리마스터,전체,유즈맵 시참 : 17초 버티기/민폐 컨트롤 깰수있는 사람 모집합니다,0.1,6,6,39,0,
2026.05.03(일) 10:59,2026.05.03(일) 21:00,스타크래프트 : 리마스터,전체,"유즈맵 시간 (17초 버티기, 민폐 컨트롤)",10,17,13,613,3,
2026.05.01(금) 11:04,2026.05.01(금) 17:30,리그 오브 레전드,전체,포킹 리신,6.4,20,14,1161,0,
2026.04.30(목) 11:11,2026.04.30(목) 20:18,리그 오브 레전드,전체,웃으면서 롤하기 화내지 않기 상냥하게 대하기 (부캐랭크),9.1,22,13,1556,3,
2026.04.29(수) 11:03,2026.04.29(수) 17:48,리그 오브 레전드|전략적 팀 전투 : 우주의 신들,전체,1부 랭크 2부 TFT 라쓰고,6.7,16,9,569,3,
2026.04.28(화) 11:00,2026.04.28(화) 18:00,리그 오브 레전드,전체,바텀 (멘탈 터뜨리는 정글) 강의,7,20,15,1036,-1,
2026.04.27(월) 11:02,2026.04.27(월) 16:30,리그 오브 레전드,전체,정글 나들이,5.5,19,12,617,3,
2026.04.26(일) 11:03,2026.04.26(일) 18:54,리그 오브 레전드,전체,웃으면서 다시 롤 해보기,7.8,19,12,1261,4,
2026.04.25(토) 11:01,2026.04.25(토) 11:48,리그 오브 레전드,전체,웃으면서 롤 하기,0.8,9,7,176,0,
2026.04.24(금) 11:06,2026.04.24(금) 18:48,리그 오브 레전드,전체,오늘은 백정에서 왕자로 신분상승 하겠습니다. (시참가능),7.7,18,14,1613,1,
2026.04.23(목) 09:05,2026.04.23(목) 17:12,리그 오브 레전드,전체,👉 제 1강 정글이란 무엇인가 - 정글이 여론을 만든다,8.1,19,12,1660,0,
2026.04.22(수) 11:03,2026.04.22(수) 16:30,더 캐빈 팩토리|리그 오브 레전드,전체,총각 이 집 매물 괜찮아 싸~ 귀신 안나온다니께~ 한번 봐봐~,5.4,18,12,646,1,
2026.04.21(화) 12:03,2026.04.21(화) 16:42,리그 오브 레전드,전체,겸손한 마음으로 게임 조금 하다가 가겠습니다..,4.6,16,12,602,2,
2026.04.21(화) 03:36,2026.04.21(화) 07:54,리그 오브 레전드,전체,잔잔한 롤 훈련 방송,4.3,11,8,445,0,
2026.04.19(일) 11:03,2026.04.19(일) 18:54,리그 오브 레전드,전체,오늘은 일반큐 돌리는 날 (시참가능/룰렛),7.8,25,16,1804,2,
2026.04.18(토) 11:00,2026.04.18(토) 18:30,스타크래프트 : 리마스터,전체,너가 그렇게 운이 좋아? 그럼 들어와봐 운빨로 키워 디펜스 할거니까,7.5,17,12,896,1,
2026.04.17(금) 11:12,2026.04.17(금) 16:30,리그 오브 레전드,전체,시가 현실적이면? 시리얼 바하하하하하하하 윤하하하하하하하,5.3,19,13,807,0,
2026.04.16(목) 11:05,2026.04.16(목) 14:54,쿼런틴 존: 더 라스트 체크,전체,생존하시려면 여기서 검진 받아주세요,3.8,15,11,758,1,
2026.04.15(수) 11:03,2026.04.15(수) 18:24,리그 오브 레전드,전체,커서 윤바다가 되거라,7.3,17,13,1370,0,
2026.04.14(화) 11:04,2026.04.14(화) 19:42,리그 오브 레전드,전체,오늘은 남탓만 하면서 롤할거다 (시참가능),8.6,21,15,1793,2,
2026.04.13(월) 11:18,2026.04.13(월) 18:24,리그 오브 레전드,전체,시즌 종료까지 부캐 플레 찍는다 각오해라 (시참가능),7.1,26,15,1543,6,
2026.04.13(월) 11:05,2026.04.13(월) 11:12,리그 오브 레전드,전체,시즌 종료까지 부캐 플레 찍는다 각오해라 (시참가능),0.1,5,4,32,0,
2026.04.12(일) 07:36,2026.04.12(일) 17:48,리그 오브 레전드,전체,브론즈에서 폐관수련 후 에메랄드 도전하기,10.2,20,13,2074,5,
2026.04.08(수) 10:58,2026.04.08(수) 19:12,리그 오브 레전드|트레저 앤 트리오,전체,2시간동안 퍼즐 잘 풀어서 내가 똑똑하단걸 증명하지,8.2,16,9,1219,2,
2026.04.07(화) 11:01,2026.04.07(화) 16:54,리그 오브 레전드,전체,난 진짜 어쩔수없는 롤악귀인가봐 롤이 왜이렇게 재밌을까,5.9,16,10,814,2,
2026.04.06(월) 11:08,2026.04.06(월) 17:42,리그 오브 레전드,전체,리신은? 윤바다 랭크 배치 보기 (시참가능),6.6,18,14,1380,7,
2026.04.05(일) 11:02,2026.04.05(일) 17:48,리그 오브 레전드,전체,오늘 30렙 찍고 랭겜 돌려보즈아 (시참가능),6.8,17,12,1232,5,
2026.04.03(금) 11:03,2026.04.03(금) 16:48,리그 오브 레전드,전체,오늘부터 부캐 키운다 (일반시참),5.7,17,10,868,2,
2026.04.02(목) 11:02,2026.04.02(목) 20:48,사일런트 힐 f,전체,에비스가오카 마을의 수수께끼를 탐색하러 왔다 (훈수환영),9.8,12,8,444,0,
2026.04.01(수) 11:01,2026.04.01(수) 17:48,리그 오브 레전드,전체,[신입] 안녕하세요오오오 신입 1일차 윤바다입니다 >0< 꺄아아 롤 처음해 어려워여어어어,6.8,15,10,749,3,
2026.03.31(화) 10:56,2026.03.31(화) 14:06,리그 오브 레전드,전체,"다시 시작된 플레1 등반 (시참가능, 랭크)",3.2,15,10,651,0,
2026.03.31(화) 10:39,2026.03.31(화) 10:54,talk,전체,저녁시간,0.2,10,9,78,0,
2026.03.31(화) 05:50,2026.03.31(화) 10:36,리그 오브 레전드,전체,"쉬었음 청년.의 낮뱅 (랭크, 시참가능)",4.8,12,9,828,0,
2026.03.29(일) 11:01,2026.03.29(일) 20:06,이스케이프 프롬 덕코프,전체,게임을 못해서 평생 컨텐츠가 되버린 덕코프,9.1,16,11,1108,2,
2026.03.28(토) 11:04,2026.03.28(토) 17:24,리그 오브 레전드,전체,"윤바다와 함께하는 일반팟 출동 (시참가능,룰렛)",6.3,17,14,1238,6,
2026.03.27(금) 12:01,2026.03.27(금) 19:54,리그 오브 레전드,전체,부캐 키우기 전 방송 테스트,7.9,15,11,1750,2,
2026.03.27(금) 11:01,2026.03.27(금) 12:00,리그 오브 레전드,전체,"룰렛과 함께하는 바다 키우기 (부캐시참, 일반)",1,13,10,289,0,
2026.03.25(수) 11:03,2026.03.25(수) 18:24,레인보우 게이트,전체,"버려진 놀이공원의 악몽, 기괴한 인형들의 추격을 뿌리치고 '레인보우 게이트'를 탈출하세요!",7.4,14,9,828,0,
2026.03.24(화) 12:06,2026.03.24(화) 19:00,리그 오브 레전드,전체,키보드 독거미로 바꿨는데 플레 1 갈지도? ㅋㅋ (시참가능),6.9,18,13,921,1,
2026.03.24(화) 12:03,2026.03.24(화) 12:06,리그 오브 레전드,전체,키보드 독거미로 바꿨는데 플레 1 갈지도? ㅋㅋ (시참가능),0,8,8,1,0,
2026.03.24(화) 11:21,2026.03.24(화) 11:54,리그 오브 레전드,전체,키보드 독거미로 바꿨는데 플레 1 갈지도? ㅋㅋ (시참가능),0.5,14,11,149,0,
2026.03.24(화) 11:01,2026.03.24(화) 11:18,리그 오브 레전드,전체,키보드 독거미로 바꿨는데 플레 1 갈지도? ㅋㅋ (시참가능),0.3,11,8,58,0,
2026.03.23(월) 11:12,2026.03.23(월) 17:54,리그 오브 레전드|이스케이프 프롬 덕코프,전체,테스트 방송 (덕코프),6.7,14,11,654,1,
2026.03.22(일) 12:48,2026.03.22(일) 13:06,리그 오브 레전드,전체,조용히 롤하는 사람 (시참가능),0.3,11,11,20,0,
2026.03.22(일) 12:34,2026.03.22(일) 12:42,리그 오브 레전드,전체,조용히 롤하는 사람 (시참가능),0.1,11,11,34,0,
2026.03.22(일) 11:00,2026.03.22(일) 12:30,리그 오브 레전드,전체,조용히 롤하는 사람 (시참가능),1.5,16,13,358,3,
2026.03.19(목) 11:28,2026.03.19(목) 16:30,리그 오브 레전드,전체,손풀고 제대로함 플레3 개껌이지,5,15,9,747,0,
2026.03.19(목) 11:03,2026.03.19(목) 11:24,리그 오브 레전드,전체,봇 테스트 하며 가볍게 롤 조금 하다 감 (시참가능),0.3,7,5,82,0,
2026.03.18(수) 13:07,2026.03.18(수) 16:36,리그 오브 레전드,전체,오늘부턴 차분하고 조신한 바다로 롤을 하겠습니다 (시참가능),3.5,15,11,545,2,
2026.03.18(수) 11:04,2026.03.18(수) 13:06,리그 오브 레전드,전체,오늘도 정글 수련 중,2,13,10,342,0,
2026.03.17(화) 11:05,2026.03.17(화) 17:48,리그 오브 레전드,전체,방제 뭐로 해야할지 모르겠음 오늘은 그냥 가볍게 롤만하다 감 (시참가능),6.7,15,9,1055,2,
2026.03.16(월) 11:06,2026.03.16(월) 16:00,리그 오브 레전드,전체,재채기도 이쿠로 하는 사람 (시참가능),4.9,18,12,993,0,
2026.03.15(일) 11:10,2026.03.15(일) 16:36,리그 오브 레전드,전체,초심부터 다시 잡아가는 정글의 소양 (시참가능),5.4,19,14,1082,4,
2026.03.13(금) 11:20,2026.03.13(금) 18:06,리그 오브 레전드,전체,"협곡 폭포에서 물 맞으며 정글 수양 (시참가능,랭크)",6.8,18,12,1044,2,
2026.03.12(목) 11:07,2026.03.12(목) 17:00,고 업 프로그|종합 게임|리그 오브 레전드,전체,심술윤꺼비 점프 준비 완료,5.9,17,9,696,0,
2026.03.10(화) 11:03,2026.03.10(화) 16:24,리그 오브 레전드,전체,오늘도 롤 협곡으로 산책나온 사람 (시참가능),5.3,20,13,843,1,
2026.03.08(일) 11:12,2026.03.08(일) 16:36,리그 오브 레전드,전체,플레나 골드나지만 플레에 있겠다 플레3가자 (시참가능),5.4,18,13,992,2,
2026.03.07(토) 11:07,2026.03.07(토) 18:30,리그 오브 레전드,전체,새로운 마음으로 시작하는 룰렛과 함께하는 자랭시참 (시참가능),7.4,20,13,1361,2,
2026.03.06(금) 11:04,2026.03.06(금) 16:06,리그 오브 레전드,전체,아 말리지마라 아~ 진짜 플레3간다고 잡지마 잡지마 나 간다? (시참가능),5,13,8,418,0,
2026.03.04(수) 11:05,2026.03.04(수) 16:12,리그 오브 레전드,전체,여보세요? 플레 갔다고요? 플3도 갈수 있다고요? (시참가능),5.1,12,9,557,0,
2026.03.03(화) 11:07,2026.03.03(화) 17:06,리그 오브 레전드,전체,플레 공기 마시러 왔다 (시참가능),6,17,11,791,-1,
2026.03.01(일) 11:03,2026.03.01(일) 19:00,이스케이프 프롬 덕코프,전체,이젠 끝낼때 된 덕코프,7.9,14,9,464,1,
2026.02.28(토) 11:05,2026.02.28(토) 18:12,리그 오브 레전드,전체,룰렛과 함께하는 윤신 (시참가능),7.1,13,8,932,0,
