시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:31,LIVE,붕괴: 스타레일|로스트아크|talk,전체,LIVE,1.8,34,20,444,0,
2026.06.14(일) 16:00,2026.06.14(일) 18:18,로스트아크|talk,전체,나는 필요 없는 데에 운이 좋은 것 같아,2.3,34,21,924,3,
2026.06.12(금) 13:34,2026.06.12(금) 18:36,로스트아크|talk,전체,불금인데 태워지는 건 뭘까!!!!,5,50,32,1607,1,
2026.06.11(목) 13:32,2026.06.11(목) 17:12,로스트아크|프래그마타|talk,전체,"축구 응원으로 불태울 때, 나는 또 고기를 태운다.",3.7,37,27,957,1,
2026.06.09(화) 13:33,2026.06.09(화) 17:36,로스트아크,전체,방제 아직도 고민중,4,39,27,1077,3,
2026.06.08(월) 13:02,2026.06.08(월) 16:36,로스트아크,전체,3시간 자고 각성 솔이 등쟝!,3.6,49,37,957,1,
2026.06.06(토) 14:23,2026.06.06(토) 20:42,로스트아크|talk,전체,토요일밤의 솔소리~,6.3,58,36,1578,2,
2026.06.05(금) 13:41,2026.06.05(금) 18:00,붕괴: 스타레일|로스트아크|talk,전체,불금인데 컴퓨터 갑자기 안켜져서 벌써 진땀뺐네ㅠㅠ,4.3,27,21,1109,1,
2026.06.04(목) 13:36,2026.06.04(목) 17:36,로스트아크|talk,전체,자연 지키미! 오늘도 땀 빼보쟈잇,4,39,28,987,2,
2026.06.03(수) 16:03,2026.06.03(수) 17:48,talk,전체,잠들기 전에 잠깐 놀까~?,1.7,22,16,707,0,
2026.06.02(화) 13:44,2026.06.02(화) 19:12,로스트아크|프래그마타|talk,전체,'더위는 즐기기 나름이다',5.5,39,30,2695,4,
2026.06.01(월) 13:39,2026.06.01(월) 17:48,붕괴: 스타레일|로스트아크|talk,전체,컴백한 집에는 에어컨이 없다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 요즘 시대에 에어컨 없는 사람이 어딨음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나야 ㅋ,4.1,41,27,1924,3,
2026.05.29(금) 09:32,2026.05.29(금) 12:12,붕괴: 스타레일|로스트아크|talk,전체,이번 기회에 일찍 켜보기도 하는 거지 뭐~,2.7,27,18,577,1,
2026.05.26(화) 11:01,2026.05.26(화) 14:00,로스트아크|talk,전체,"핫치즈밤, 제가 한 번 먹어보겠습니다.",3,42,25,1228,0,
2026.05.25(월) 12:11,2026.05.25(월) 14:00,로스트아크|talk,전체,연휴의 끝~ 마무리 하쟈고용!,1.8,34,24,642,2,
2026.05.22(금) 09:30,2026.05.22(금) 12:12,오버워치|로스트아크,전체,작지만 굵은 방송,2.7,27,17,793,1,
2026.05.20(수) 11:30,2026.05.20(수) 12:30,종합 게임|talk,전체,작고 소중한 방송,1,19,14,354,-1,
2026.05.19(화) 12:15,2026.05.19(화) 15:00,로스트아크,전체,남은 숙제 싹싹 김취~,2.7,32,24,1034,1,
2026.05.18(월) 13:13,2026.05.18(월) 15:42,로스트아크|talk,전체,오늘은 짧뱅입니당~!,2.5,37,23,814,0,
2026.05.15(금) 12:30,2026.05.15(금) 19:24,오버워치|로스트아크,전체,뭐해?? 뭐해애?? 뭐하는데에???,6.9,44,32,1574,2,
