시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 11:59,2026.06.14(일) 16:48,엘든 링 황금 나무의 그림자|talk,전체,스쿼트를 10개 하십쇼,4.8,19,15,1526,0,
2026.06.13(토) 11:59,2026.06.13(토) 17:06,멧챠 카멜레온|talk,전체,주말주말 🥱,5.1,17,13,782,0,
2026.06.12(금) 11:59,2026.06.12(금) 18:12,엘든 링 황금 나무의 그림자|talk,전체,오오 주말 오오,6.2,15,10,1360,0,
2026.06.10(수) 11:59,2026.06.10(수) 16:00,성세천하: 여제의 탄생 Ⅱ|철권 8|talk,전체,하이하잇,4,21,15,890,0,
2026.06.09(화) 11:59,2026.06.09(화) 16:12,성세천하: 여제의 탄생 Ⅱ|talk,전체,오오 드디어,4.2,19,14,1056,-1,
2026.06.07(일) 12:00,2026.06.07(일) 17:24,엘든 링 황금 나무의 그림자|talk,전체,비나비나야,5.4,22,16,1969,0,
2026.06.06(토) 11:58,2026.06.06(토) 17:00,프로젝트 좀보이드|talk,전체,비다닥,5,19,16,1470,2,
2026.06.04(목) 11:59,2026.06.04(목) 17:00,엘든 링|엘든 링 황금 나무의 그림자|talk,전체,비오는 날☔,5,19,15,1474,-1,
2026.06.03(수) 12:59,2026.06.03(수) 16:00,talk,성인,황해 보자,3,22,16,83,7,
2026.06.03(수) 10:59,2026.06.03(수) 12:48,talk,전체,맹맹,1.8,19,12,596,0,
2026.06.02(화) 12:00,2026.06.02(화) 16:12,슬레이 더 스파이어 2|talk,전체,나 왔다! ٩( ˙༥˙ )و,4.2,18,13,1405,1,
2026.05.31(일) 13:12,2026.05.31(일) 15:24,철권 8,전체,[T8BT] 엠쓔팀 화이팅🦾 (엠쓔/담쥬/영쓰/시옷),2.2,19,15,792,2,
2026.05.31(일) 09:27,2026.05.31(일) 13:06,철권 8,전체,[T8BT] 엠쓔팀 화이팅🦾 (엠쓔/담쥬/영쓰/시옷),3.6,21,15,1293,2,
2026.05.28(목) 09:58,2026.05.28(목) 12:12,talk,전체,T8BT 팀연습 (w. 엠쓔/담쥬/영쓰/시옷동쨩),2.2,11,9,423,0,
2026.05.27(수) 11:59,2026.05.27(수) 16:12,엘든 링|talk,전체,김비나와뚜,4.2,21,15,1063,0,
2026.05.25(월) 12:00,2026.05.25(월) 16:06,talk,전체,연휴 끝나가는 기분이 어떠냐 이녀석들 크큭,4.1,18,14,1109,1,
2026.05.24(일) 09:54,2026.05.24(일) 20:30,철권 8|talk,전체,7시부터 팀장님과 연습 •´◡`•,10.6,17,13,1731,5,
2026.05.23(토) 12:00,2026.05.23(토) 16:00,여름미녀|심장 폭주 주의보!|talk,성인,ヽ( ´ー`)ノ,4,18,12,820,1,
2026.05.22(금) 11:59,2026.05.22(금) 17:00,철권 8|talk,전체,오오 연휴 오오,5,19,13,1155,2,
2026.05.20(수) 12:00,2026.05.20(수) 13:48,talk,전체,어흑,1.8,16,14,681,1,
2026.05.20(수) 10:00,2026.05.20(수) 10:48,철권 8,전체,레우기님 주최🙌 철권8 T8BT 팀 결정 경매!!,0.8,11,9,152,2,
2026.05.19(화) 11:59,2026.05.19(화) 16:18,철권 8|talk,전체,김비나ㅏㅏㅏㅏㅏ,4.3,25,17,1044,5,
2026.05.17(일) 14:15,2026.05.17(일) 15:48,종합 게임,전체,.......?,1.5,13,11,254,0,
2026.05.17(일) 11:59,2026.05.17(일) 14:00,talk,전체,인터넷 살짝 불안불안,2,16,13,587,0,
2026.05.16(토) 13:28,2026.05.16(토) 17:24,엘든 링|talk,전체,늘어진 자,3.9,17,12,578,2,
2026.05.16(토) 11:59,2026.05.16(토) 13:24,talk,전체,늘어진 자,1.4,10,7,347,0,
2026.05.15(금) 11:59,2026.05.15(금) 16:36,프랫폴|talk,전체,주말이 다가온다,4.6,16,11,961,0,
2026.05.13(수) 12:00,2026.05.13(수) 18:42,철권 8|talk,전체,왈왈왈ㄹ왈왈,6.7,18,13,1218,1,
2026.05.12(화) 10:22,2026.05.12(화) 11:12,음악/노래,전체,비나 Binah 라이브 방송,0.8,14,9,281,0,
2026.05.12(화) 10:16,2026.05.12(화) 10:18,음악/노래,전체,비나 Binah 라이브 방송,0,8,8,0,0,
2026.05.11(월) 11:59,2026.05.11(월) 15:54,더 케이스 오브 더 골든 아이돌|talk,전체,후후후,3.9,14,11,912,0,
2026.05.10(일) 11:59,2026.05.10(일) 18:06,엘든 링|talk,전체,느엥,6.1,18,15,1496,0,
2026.05.09(토) 11:59,2026.05.09(토) 15:54,프랫폴|talk,전체,나와뚜,3.9,18,14,1198,0,
2026.05.07(목) 11:59,2026.05.07(목) 16:54,급똥대작전: 지리는 상견례|talk,전체,잠을 너무 많이 잔 청년,4.9,18,14,1397,0,
2026.05.05(화) 11:59,2026.05.05(화) 19:24,종합 게임|talk,전체,감기 걸려서 좀 걸걸한 아가,7.4,16,13,1210,1,
