시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:00,LIVE,데드 바이 데이라이트|talk,전체,LIVE,4.1,38,32,3892,1,
2026.06.14(일) 09:59,2026.06.14(일) 17:00,종합 게임|talk,전체,먹는걸 좋아하는데 요리를 못해 슬픈 대충,7,42,30,4761,2,
2026.06.13(토) 10:00,2026.06.13(토) 19:30,종합 게임|이터널 리턴|talk,전체,나쁜말 하면 임차 받는 방,9.5,37,31,5857,-2,
2026.06.11(목) 10:00,2026.06.11(목) 20:12,이터널 리턴|마인크래프트|talk,전체,쑤~요일,10.2,37,29,6289,0,
2026.06.10(수) 10:00,2026.06.10(수) 19:54,이터널 리턴|이스케이프 프롬 덕코프|talk,전체,표지=진짜 / 돼지옷=가짜,9.9,37,29,6221,3,
2026.06.08(월) 11:00,2026.06.08(월) 19:42,데드 바이 데이라이트|이터널 리턴|talk,전체,안녕하세요 피곤한 월요일 잘 부탁드립니다,8.7,39,31,4109,4,
2026.06.07(일) 10:30,2026.06.07(일) 18:00,라이어 게임|talk,전체,신의상 구매하고 못 보여주기 3주차,7.5,35,26,4715,0,
2026.06.06(토) 10:00,2026.06.06(토) 18:18,종합 게임|talk,전체,who's your bias i’m your bias~,8.3,38,29,6197,1,
2026.06.04(목) 08:26,2026.06.04(목) 19:30,에코|이터널 리턴|talk,전체,ㄹㅇ 고사리 캐야해서 잘수가 없슴 ㅜ,11.1,36,24,4444,0,
2026.06.03(수) 11:01,2026.06.03(수) 20:00,에코|talk,전체,8시! 8시!,9,38,25,4163,1,
2026.06.02(화) 09:48,2026.06.02(화) 21:00,에코|talk,전체,비상 갑자기 일정이 생겼는데 늦게확인해서지각생이될것같은느낌이드는건에대하여,11.2,32,24,3559,4,
2026.06.01(월) 09:44,2026.06.01(월) 18:48,이터널 리턴|프로젝트 좀보이드|talk,전체,입 터진 대충 비상 ㅠ,9.1,46,32,5016,2,
2026.05.31(일) 10:00,2026.05.31(일) 17:06,데드 바이 데이라이트|talk,전체,신의상 사고 2주째 못 입는 사람..,7.1,47,34,4540,3,
2026.05.30(토) 12:15,2026.05.30(토) 18:42,이터널 리턴|스타크래프트 : 리마스터|talk,전체,오늘은.. 스타 유즈맵..,6.4,33,24,3032,1,
2026.05.30(토) 10:00,2026.05.30(토) 12:12,talk,전체,오늘은 랜덤께임데이,2.2,26,19,1273,0,
2026.05.29(금) 10:00,2026.05.29(금) 18:18,이터널 리턴|talk,전체,컴배꾸 웰컴충,8.3,37,28,6186,0,
2026.05.21(목) 10:00,2026.05.21(목) 21:06,이터널 리턴|스타크래프트 : 리마스터|talk,전체,두리안 냄새나는 방음부스에서 돼지탈 버츄얼이 방송한다는건,11.1,47,27,4941,3,
2026.05.20(수) 10:00,2026.05.20(수) 17:30,종합 게임|리그 오브 레전드|바우-와우 배틀|talk,전체,강제 두리안 다이어트,7.5,37,26,3172,-1,
2026.05.19(화) 11:00,2026.05.19(화) 19:00,종합 게임|talk,전체,그날이 왔ㅆ따.. 벌칙 먹방의 날,8,43,33,3831,3,
2026.05.17(일) 10:00,2026.05.17(일) 18:54,종합 게임|talk,전체,일어난지 20분됨 상태: 로딩중..,8.9,41,31,4591,2,
2026.05.16(토) 10:00,2026.05.16(토) 18:18,데드 바이 데이라이트|talk,전체,[경] 대충 방송 3주년 [축],8.3,47,35,8622,1,
2026.05.15(금) 09:55,2026.05.15(금) 18:42,이터널 리턴|talk,전체,(나만) 다굴감옥 마지막날!!,8.8,39,28,4266,1,
2026.05.14(목) 10:51,2026.05.14(목) 21:36,마인크래프트,전체,눈떴는데 시간 좀 봐요ㅕ,10.7,42,24,3938,1,
2026.05.13(수) 10:00,2026.05.13(수) 22:06,마인크래프트|talk,전체,시간이 얼마 남지 않안ㅆ어,12.1,42,29,4441,2,
2026.05.11(월) 09:59,2026.05.11(월) 22:24,마인크래프트|talk,전체,제발 지ㅁ옥같은 여기서 날꺼내줘..~,12.4,49,29,4106,1,
2026.05.10(일) 09:59,2026.05.10(일) 21:24,마인크래프트|talk,전체,방송하고 자고 일어나서 방송하기,11.4,46,31,4584,5,
