시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 17:54,2026.06.14(일) 21:00,수박게임,전체,추억의 수박 게임 : 2수박을 향한 여정,3.1,23,19,633,1,
2026.06.14(일) 15:22,2026.06.14(일) 17:42,수박게임,전체,추억의 수박 게임 : 2수박을 향한 여정,2.3,24,19,771,0,
2026.06.14(일) 12:12,2026.06.14(일) 15:18,수박게임|talk,전체,으아아아ㅏㅏ아ㅏㅏㅏ 수박게임 한 번 해보려다 초가삼간 태워먹을 뻔 했따아아,3.1,26,22,1291,0,
2026.06.14(일) 04:59,2026.06.14(일) 09:00,마법소녀의 마녀재판|talk,전체,네가 만약 오후 네 시에 온다면 난 세 시부터 행복해지기 시작할 거야,4,21,17,981,-1,
2026.06.13(토) 11:31,2026.06.13(토) 19:24,오버워치|슬레이 더 스파이어 2|talk,전체,우와앙 도박하는 날이당,7.9,24,20,2846,2,
2026.06.12(금) 11:29,2026.06.12(금) 21:06,마법소녀의 마녀재판|talk,전체,"안녕, 나의 기쁨",9.6,28,23,2630,1,
2026.06.11(목) 11:35,2026.06.11(목) 17:00,마법소녀의 마녀재판|talk,전체,필요해,5.4,32,22,1150,2,
2026.06.11(목) 05:02,2026.06.11(목) 08:12,talk,전체,딴짓 하면서 음악 듣는 방 (+약간의 글쓰기),3.2,21,17,388,0,
2026.06.10(수) 11:32,2026.06.10(수) 17:48,세키로: 섀도우 다이 트와이스|talk,전체,우리는 또 놀아요 밤인데 잠도 안 자고,6.3,32,26,1773,0,
2026.06.09(화) 11:31,2026.06.09(화) 17:18,세키로: 섀도우 다이 트와이스|talk,전체,네가 있다면 여름도 분명 행복한 계절,5.8,30,23,1341,0,
2026.06.07(일) 05:31,2026.06.07(일) 14:30,마법소녀의 마녀재판|talk,전체,일요일 오후 모모와 함께,9,32,25,2608,-1,
2026.06.06(토) 11:33,2026.06.06(토) 17:12,talk,전체,9시부터 사연 라디오,5.6,35,29,1731,4,
2026.06.06(토) 06:14,2026.06.06(토) 07:54,마법소녀의 마녀재판,전체,토요일 낮에 하는 마법소녀의 마녀재판! 이게 행복이지,1.7,22,19,422,0,
2026.06.06(토) 04:59,2026.06.06(토) 06:06,talk,전체,토요일 낮 방송 이게 행복이지,1.1,25,20,428,0,
2026.06.05(금) 11:30,2026.06.05(금) 17:42,슬레이 더 스파이어 2|talk,전체,힘숨찐 모모가 왔습니다,6.2,30,25,1610,1,
2026.06.04(목) 11:29,2026.06.04(목) 16:54,마법소녀의 마녀재판|talk,전체,난 널 버리지 않아 너도 같은 생각이지?,5.4,24,16,1407,0,
2026.06.04(목) 05:03,2026.06.04(목) 08:06,talk,전체,딴짓 하면서 음악 듣는 방송 (+약간의 글쓰기),3,24,19,444,0,
2026.06.03(수) 11:32,2026.06.03(수) 17:18,마법소녀의 마녀재판|talk,전체,우와 재밌겠다,5.8,31,21,1774,1,
2026.06.02(화) 11:31,2026.06.02(화) 17:36,세키로: 섀도우 다이 트와이스|talk,전체,고양이가 매우 울 예정,6.1,30,24,1586,1,
