시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 05:00,LIVE,종합 게임,전체,LIVE,9.2,19,13,1975,3,
2026.06.14(일) 13:00,2026.06.14(일) 18:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.5,21,16,1916,0,
2026.06.13(토) 13:02,2026.06.13(토) 18:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5,22,15,1064,2,
2026.06.12(금) 15:30,2026.06.12(금) 18:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,2.8,24,19,1606,-1,
2026.06.12(금) 11:00,2026.06.12(금) 15:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.4,18,11,1290,0,
2026.06.11(목) 11:00,2026.06.11(목) 18:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,7,19,13,2491,1,
2026.06.10(수) 14:00,2026.06.10(수) 20:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,6.6,17,13,2115,0,
2026.06.09(화) 11:00,2026.06.09(화) 18:06,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,7.1,21,16,2126,-1,
2026.06.08(월) 13:19,2026.06.08(월) 19:54,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,6.6,18,11,1213,0,
2026.06.07(일) 13:01,2026.06.07(일) 19:06,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,6.1,20,13,1857,2,
2026.06.06(토) 12:56,2026.06.06(토) 17:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.6,25,15,1459,0,
2026.06.05(금) 15:48,2026.06.05(금) 17:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,1.7,14,12,278,0,
2026.06.05(금) 15:40,2026.06.05(금) 15:42,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,0,10,10,8,0,
2026.06.05(금) 14:45,2026.06.05(금) 15:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,0.7,14,11,421,0,
2026.06.05(금) 11:00,2026.06.05(금) 14:42,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.7,13,8,780,0,
2026.06.04(목) 11:00,2026.06.04(목) 19:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,8.6,28,16,1427,1,
2026.06.03(수) 13:59,2026.06.03(수) 20:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,6.2,29,18,1852,1,
2026.06.02(화) 11:05,2026.06.02(화) 17:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,6.3,26,19,2660,1,
2026.06.01(월) 11:30,2026.06.01(월) 18:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,6.8,19,14,1915,0,
2026.05.30(토) 15:38,2026.05.30(토) 20:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.4,23,16,958,0,
2026.05.29(금) 15:45,2026.05.29(금) 21:06,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.3,21,14,1860,0,
2026.05.28(목) 17:02,2026.05.28(목) 21:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.6,19,15,1474,-1,
2026.05.28(목) 15:43,2026.05.28(목) 17:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,1.3,14,11,365,0,
2026.05.27(수) 15:50,2026.05.27(수) 20:06,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.3,17,12,1287,0,
2026.05.26(화) 15:39,2026.05.26(화) 21:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.3,22,15,1493,0,
2026.05.25(월) 15:46,2026.05.25(월) 21:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.5,24,17,1351,1,
2026.05.23(토) 15:37,2026.05.23(토) 21:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.4,24,17,1856,0,
2026.05.23(토) 05:46,2026.05.23(토) 07:00,종합 게임,전체,일산 플레이 엑스포 구경!! playx4 2026,1.2,20,10,105,0,
2026.05.22(금) 15:42,2026.05.22(금) 20:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.8,27,21,1522,0,
2026.05.21(목) 15:39,2026.05.21(목) 20:54,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.2,18,13,1666,2,
2026.05.20(수) 15:45,2026.05.20(수) 20:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.2,19,14,1047,0,
2026.05.19(화) 15:41,2026.05.19(화) 21:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.7,28,16,1084,0,
2026.05.18(월) 15:34,2026.05.18(월) 21:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.4,23,15,1160,0,
2026.05.16(토) 15:40,2026.05.16(토) 20:42,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5,34,19,1871,-1,
2026.05.15(금) 16:07,2026.05.15(금) 20:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.5,22,16,1061,0,
2026.05.14(목) 15:41,2026.05.14(목) 20:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.5,18,13,1739,-1,
2026.05.13(수) 15:53,2026.05.13(수) 19:06,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.2,18,13,425,1,
2026.05.13(수) 15:43,2026.05.13(수) 15:48,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,0.1,4,4,0,0,
2026.05.12(화) 15:43,2026.05.12(화) 20:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.7,16,12,722,0,
2026.05.11(월) 15:39,2026.05.11(월) 20:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.7,21,14,495,0,
2026.05.08(금) 15:41,2026.05.08(금) 21:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.8,18,14,492,0,
2026.05.07(목) 15:38,2026.05.07(목) 19:42,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.1,18,13,311,0,
2026.05.06(수) 15:35,2026.05.06(수) 20:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.4,14,10,345,1,
2026.05.05(화) 15:47,2026.05.05(화) 19:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.7,13,8,327,0,
2026.04.30(목) 18:04,2026.04.30(목) 19:06,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,1,12,10,73,0,
2026.04.30(목) 15:38,2026.04.30(목) 18:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,2.4,22,14,572,0,
2026.04.29(수) 15:40,2026.04.29(수) 19:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.8,15,10,364,0,
2026.04.28(화) 15:46,2026.04.28(화) 20:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.6,18,11,819,0,
2026.04.27(월) 15:38,2026.04.27(월) 19:42,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.1,19,13,434,2,
2026.04.25(토) 15:36,2026.04.25(토) 17:48,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,2.2,18,14,440,2,
2026.04.23(목) 16:08,2026.04.23(목) 20:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.1,19,13,618,0,
2026.04.22(수) 16:03,2026.04.22(수) 19:48,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.7,18,13,767,0,
2026.04.21(화) 15:40,2026.04.21(화) 18:48,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.1,16,12,823,0,
2026.04.20(월) 15:41,2026.04.20(월) 19:42,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4,17,12,792,0,
2026.04.18(토) 15:36,2026.04.18(토) 20:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.9,20,15,2073,0,
2026.04.17(금) 16:05,2026.04.17(금) 21:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.9,29,17,2167,0,
2026.04.15(수) 15:41,2026.04.15(수) 20:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.5,22,13,1564,0,
2026.04.14(화) 15:59,2026.04.14(화) 20:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.6,21,13,1489,0,
2026.04.13(월) 15:34,2026.04.13(월) 21:06,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.5,20,11,1565,1,
2026.04.11(토) 15:47,2026.04.11(토) 21:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.2,16,12,2026,0,
2026.04.10(금) 15:52,2026.04.10(금) 20:54,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5,22,15,1626,0,
2026.04.09(목) 15:47,2026.04.09(목) 20:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.8,12,8,426,0,
2026.04.08(수) 15:47,2026.04.08(수) 20:48,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5,17,11,1196,0,
2026.04.07(화) 15:42,2026.04.07(화) 20:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.9,18,12,1253,0,
2026.04.06(월) 15:46,2026.04.06(월) 21:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.4,19,11,458,0,
2026.04.04(토) 16:48,2026.04.04(토) 20:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.8,14,10,415,0,
2026.04.03(금) 15:44,2026.04.03(금) 19:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.3,15,10,584,0,
2026.04.02(목) 15:44,2026.04.02(목) 22:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,6.6,19,13,994,0,
2026.04.01(수) 15:39,2026.04.01(수) 21:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.7,20,14,1188,1,
2026.03.31(화) 16:34,2026.03.31(화) 21:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.7,17,9,717,0,
2026.03.30(월) 15:41,2026.03.30(월) 20:42,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5,15,11,483,1,
2026.03.28(토) 15:41,2026.03.28(토) 21:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.7,15,11,1174,0,
2026.03.27(금) 15:42,2026.03.27(금) 21:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.6,20,11,824,0,
2026.03.26(목) 15:47,2026.03.26(목) 20:48,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5,12,9,669,0,
2026.03.25(수) 15:56,2026.03.25(수) 21:36,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.7,17,11,757,0,
2026.03.24(화) 15:37,2026.03.24(화) 20:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.8,16,8,554,0,
2026.03.23(월) 15:35,2026.03.23(월) 19:48,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.2,12,6,266,0,
2026.03.20(금) 15:42,2026.03.20(금) 22:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,6.7,17,11,1585,0,
2026.03.19(목) 15:48,2026.03.19(목) 21:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.4,27,16,1988,0,
2026.03.18(수) 16:21,2026.03.18(수) 20:54,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.5,25,14,1023,1,
2026.03.17(화) 15:45,2026.03.17(화) 19:24,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.6,17,11,1024,0,
2026.03.16(월) 16:01,2026.03.16(월) 21:54,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.9,17,10,434,0,
2026.03.16(월) 15:52,2026.03.16(월) 15:54,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,0,1,1,0,0,
2026.03.14(토) 15:51,2026.03.14(토) 20:48,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.9,18,13,1781,0,
2026.03.13(금) 15:52,2026.03.13(금) 21:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.4,22,17,1258,0,
2026.03.12(목) 15:45,2026.03.12(목) 21:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.5,19,12,1485,1,
2026.03.11(수) 18:24,2026.03.11(수) 22:00,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,3.6,21,16,859,0,
2026.03.11(수) 16:04,2026.03.11(수) 18:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,2.1,20,13,592,0,
2026.03.10(화) 15:54,2026.03.10(화) 20:54,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5,15,10,1186,0,
2026.03.09(월) 15:50,2026.03.09(월) 21:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.4,23,15,1198,0,
2026.03.07(토) 15:35,2026.03.07(토) 20:06,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.5,20,15,1579,0,
2026.03.06(금) 15:36,2026.03.06(금) 21:30,종합 게임,전체,유튜브 해킹당하고 정말 게임 할 맛 안 난다!,5.9,23,16,1787,1,
2026.03.05(목) 15:41,2026.03.05(목) 21:24,종합 게임,전체,유튜브 해킹당하고 정말 게임 할 맛 안 난다!,5.7,20,13,1248,1,
2026.03.04(수) 15:58,2026.03.04(수) 20:54,종합 게임,전체,유튜브 해킹당하고 정말 게임 할 맛 안 난다!,4.9,19,12,1287,0,
2026.03.03(화) 16:06,2026.03.03(화) 19:42,종합 게임,전체,유튜브 해킹당하고 정말 게임 할 맛 안 난다!,3.6,17,13,920,0,
2026.03.03(화) 15:35,2026.03.03(화) 16:06,종합 게임,전체,유튜브 해킹당하고 정말 게임 할 맛 안 난다!,0.5,11,8,85,0,
2026.02.28(토) 16:14,2026.02.28(토) 20:18,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.1,21,16,1110,0,
2026.02.27(금) 15:37,2026.02.27(금) 20:54,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,5.3,18,12,958,0,
2026.02.26(목) 16:22,2026.02.26(목) 20:30,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.1,19,13,962,0,
2026.02.25(수) 15:54,2026.02.25(수) 20:12,종합 게임,전체,철권도 하고 스파도 하고 킹오브도 하고 내가 다 했어~~,4.3,21,16,1242,1,
