시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:01,LIVE,성세천하: 여제의 탄생 Ⅱ|talk,전체,LIVE,3.2,13,7,896,0,
2026.06.14(일) 11:00,2026.06.14(일) 17:00,성세천하: 여제의 탄생 Ⅱ|talk,전체,독서토론회 시즌2,6,16,11,2218,0,
2026.06.13(토) 11:01,2026.06.13(토) 17:36,성세천하: 여제의 탄생 Ⅱ|talk,전체,성세천하2 고고 !!,6.6,14,11,2975,0,
2026.06.12(금) 11:00,2026.06.12(금) 16:00,음악/노래|talk,전체,노래뱅,5,21,14,2380,1,
2026.06.09(화) 11:00,2026.06.09(화) 15:30,원샷|talk,전체,고전 명작 원샷 !!,4.5,12,8,668,0,
2026.06.08(월) 11:00,2026.06.08(월) 16:12,화이트데이: 학교라는 이름의 미궁|talk,전체,복하ㅏㅏ 공겜데이 !!,5.2,15,10,1149,-1,
2026.06.07(일) 11:00,2026.06.07(일) 15:36,메구와 몬스터|talk,전체,복하ㅏㅏ 오늘 메구 엔딩 !!,4.6,14,11,1786,1,
2026.06.06(토) 11:02,2026.06.06(토) 16:30,명조:워더링 웨이브|talk,전체,명조 할게요(가챠를 곁들인),5.5,14,11,1766,0,
2026.06.04(목) 11:00,2026.06.04(목) 16:00,크리처 키친|talk,전체,복하ㅏㅏ,5,15,10,1203,-1,
2026.06.02(화) 11:00,2026.06.02(화) 18:48,방 탈출 시뮬레이터2|talk,전체,드라큘라성으로 소풍 가기,7.8,18,12,2172,0,
2026.06.01(월) 11:00,2026.06.01(월) 16:06,데이브 더 다이버|talk,전체,복하ㅏㅏ 잔잔 데더다 !!,5.1,16,8,755,-1,
2026.05.31(일) 11:00,2026.05.31(일) 16:30,서브노티카 2|talk,전체,바다의날 서브노티카 !!,5.5,15,11,1251,-1,
2026.05.29(금) 12:56,2026.05.29(금) 18:00,talk,전체,자판귀 끝 저챗저챗 !!,5.1,13,10,1046,-1,
2026.05.29(금) 11:00,2026.05.29(금) 12:54,talk,성인,복하ㅏㅏ,1.9,7,5,43,-1,
2026.05.28(목) 11:00,2026.05.28(목) 16:00,메구와 몬스터|talk,전체,모여라 부기들 !!,5,14,11,924,0,
2026.05.26(화) 09:42,2026.05.26(화) 14:36,파스모포비아|talk,전체,"공겜 합방 (w.규비,밀로,문시우)",4.9,14,10,1005,0,
2026.05.25(월) 11:00,2026.05.25(월) 16:00,세키로: 섀도우 다이 트와이스|talk,전체,세키로 포박데이 !!,5,18,14,1511,-1,
2026.05.24(일) 11:00,2026.05.24(일) 17:36,talk,전체,즐거운 일요일 !!!!,6.6,17,13,3212,0,
2026.05.23(토) 11:00,2026.05.23(토) 16:00,믹스테이프|talk,전체,복하ㅏㅏ 즐거운 주말이야 !!,5,15,12,1705,1,
2026.05.21(목) 11:00,2026.05.21(목) 15:30,윌: 팔로우 더 라이트|talk,전체,오로라 보러 가자 !!,4.5,19,12,1064,0,
2026.05.19(화) 11:00,2026.05.19(화) 15:12,talk,전체,400일 기념 신의상 🐳,4.2,26,20,1944,3,
2026.05.18(월) 11:00,2026.05.18(월) 15:00,데이브 더 다이버|talk,전체,복하ㅏㅏ,4,18,12,934,0,
2026.05.17(일) 11:00,2026.05.17(일) 15:30,더 스탠리 패러블: 울트라 디럭스|talk,전체,카페탐방 !!,4.5,16,12,1679,-1,
2026.05.16(토) 11:00,2026.05.16(토) 15:36,음악/노래|talk,전체,주말 노래뱅 !!,4.6,16,12,1522,2,
2026.05.14(목) 11:58,2026.05.14(목) 17:06,벨벳 바이트: 소프틀리|위드 티스|talk,전체,미연시 엔딩 고고,5.1,21,11,885,4,
2026.05.12(화) 11:00,2026.05.12(화) 17:12,윌: 팔로우 더 라이트|talk,전체,복하ㅏㅏ 즐거운 저녁 !!,6.2,15,10,1442,0,
2026.05.11(월) 11:01,2026.05.11(월) 16:18,소마|talk,전체,복하ㅏㅏ 공겜 엔딩보자 !!,5.3,16,13,1203,2,
2026.05.10(일) 14:47,2026.05.10(일) 16:06,talk,전체,후열 저챗 !!,1.3,14,10,348,0,
2026.05.10(일) 12:04,2026.05.10(일) 14:42,talk,전체,파워 디지몬 같이보기 !!,2.6,16,11,424,0,
