시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 06:00,2026.06.14(일) 13:24,종합 게임|talk,전체,[도둑 시뮬레이터] 나랑 같이 집 털러 가자! 🐰✨️,7.4,27,20,2493,-1,
2026.06.13(토) 11:00,2026.06.13(토) 17:06,데드 바이 데이라이트|talk,전체,[데바데] 데바데🐰 ✨️,6.1,39,21,2095,3,
2026.06.11(목) 08:59,2026.06.11(목) 19:00,종합 게임|데드 바이 데이라이트|talk,전체,[더블랙위딘] 목요일 공포게임🐰 ✨️,10,34,20,2897,2,
2026.06.09(화) 08:00,2026.06.09(화) 15:42,데드 바이 데이라이트|바이오하자드 레퀴엠|talk,전체,[1부 레퀴엠/2부 데바데] Leon Must Die Forever🐰 ✨️,7.7,32,22,2195,2,
2026.06.08(월) 12:00,2026.06.08(월) 18:00,미설정|바이오하자드 레퀴엠|바이오하자드 RE:4|talk,전체,🐰 ✨️,6,19,14,1890,0,
2026.06.07(일) 15:15,2026.06.07(일) 19:54,데드 바이 데이라이트,전체,[프래그마타/데바데] 다이애나 내 딸랑구 / 데바데 ✨️,4.6,27,21,2026,2,
2026.06.07(일) 06:15,2026.06.07(일) 15:06,데드 바이 데이라이트|프래그마타|talk,전체,[프래그마타/데바데] 예쁘죠? 제 딸이에요 🥰✨️,8.8,32,18,2960,0,
2026.06.06(토) 06:00,2026.06.06(토) 18:06,프래그마타|talk,전체,[프래그마타] 예쁜 내 딸랑구 🥰✨️,12.1,20,13,4501,0,
2026.06.05(금) 11:00,2026.06.05(금) 16:18,데드 바이 데이라이트|talk,전체,데바데하러 가부자!🍋✨️,5.3,30,20,2224,0,
2026.06.03(수) 09:00,2026.06.03(수) 17:54,데드 바이 데이라이트|두근두근타운|talk,전체,[두근두근타운 / 데바데] 두두타하다가 데바데🍋✨️,8.9,31,21,2957,13,
2026.06.02(화) 08:59,2026.06.02(화) 16:54,데드 바이 데이라이트|바이오하자드 레퀴엠|talk,전체,[바하 레퀴엠 LEON MUST DIE FOREVER / 데바데] 레머다하고 데바데🍋✨️,7.9,24,17,1955,8,
2026.06.01(월) 11:00,2026.06.01(월) 13:18,종합 게임|talk,전체,[TERPENIE] 같이 이야기하다가 짧은 공포게임!ㅎㅎ 🍋✨️,2.3,24,17,874,2,
2026.05.31(일) 06:33,2026.05.31(일) 07:18,talk,전체,외출 전 잠깐 인사 😉✨️,0.7,30,21,590,2,
2026.05.30(토) 06:00,2026.05.30(토) 15:24,데드 바이 데이라이트,전체,[주말 데바데] Make Lemonade🍋✨,9.4,36,25,2554,-1,
2026.05.29(금) 08:00,2026.05.29(금) 15:18,데드 바이 데이라이트|두근두근타운,전체,[두근두근타운/데바데] 금요일의 뜌타🤍✨,7.3,30,21,2158,2,
2026.05.27(수) 07:59,2026.05.27(수) 18:12,종합 게임|데드 바이 데이라이트|talk,전체,[Trees hate you/데바데] 간만에 똥겜 후 데바데🤍,10.2,32,22,4106,6,
2026.05.26(화) 09:12,2026.05.26(화) 15:36,바이오하자드 레퀴엠|talk,전체,[바이오하자드 레퀴엠] 비명맛집의 레퀴엠 초회차👻🤍,6.4,27,19,2082,0,
2026.05.26(화) 09:04,2026.05.26(화) 09:06,talk,전체,[바이오하자드 레퀴엠] 비명맛집의 레퀴엠 초회차👻🤍,0,15,15,65,0,
2026.05.26(화) 08:00,2026.05.26(화) 09:00,talk,전체,[바이오하자드 레퀴엠] 비명맛집의 레퀴엠 초회차👻🤍,1,24,18,545,0,
2026.05.24(일) 05:59,2026.05.24(일) 13:30,바이오하자드 레퀴엠|talk,전체,[바이오하자드 레퀴엠] 비명맛집의 레퀴엠 초회차👻🤍,7.5,28,21,1322,-3,
2026.05.23(토) 06:00,2026.05.23(토) 13:48,바이오하자드 레퀴엠|talk,전체,[바이오하자드 레퀴엠] 비명맛집의 레퀴엠 초회차👻🤍,7.8,29,21,2954,2,
2026.05.22(금) 07:14,2026.05.22(금) 09:12,talk,전체,[플레이엑스포 탐방기] 플포 안녕?!💛,2,89,59,1622,11,
2026.05.22(금) 05:12,2026.05.22(금) 07:12,talk,전체,[플레이엑스포 탐방기] 플포 안녕?!💛,2,98,53,875,25,
2026.05.21(목) 07:00,2026.05.21(목) 12:48,데드 바이 데이라이트|talk,전체,저챗하다가 데바데 가부쟈🤍✨,5.8,31,22,2613,3,
2026.05.19(화) 06:01,2026.05.19(화) 13:30,데드 바이 데이라이트|두근두근타운|talk,전체,[두두타/데바데] 모두 즐거운 화요일🤍✨,7.5,24,17,2244,0,
2026.05.18(월) 12:08,2026.05.18(월) 14:18,talk,전체,데바데팝업 다녀왔다요🤍✨,2.2,38,24,1345,3,
2026.05.17(일) 06:00,2026.05.17(일) 15:36,데드 바이 데이라이트|두근두근타운|talk,전체,[두근두근타운/데바데] 너무너무너무 더워어 🫠🌸,9.6,26,17,2767,0,
2026.05.16(토) 05:59,2026.05.16(토) 12:06,데드 바이 데이라이트,전체,더우니까 집에서 데바데 😎🌸,6.1,27,20,2413,-1,
2026.05.14(목) 09:24,2026.05.14(목) 19:06,돈 플레이 디스|데드 바이 데이라이트|talk,전체,[Don't play this] 로즈데이에 공겜하는 사람 🌸,9.7,19,14,4008,1,
2026.05.12(화) 13:49,2026.05.12(화) 18:54,흉우|데드 바이 데이라이트,전체,[흉우] 자고 일어나서 흉우 DLC 하는 사람 🐤✨,5.1,22,14,1293,1,
2026.05.12(화) 06:00,2026.05.12(화) 08:54,두근두근타운|talk,전체,오후의 두근두근타운 🐤✨,2.9,14,9,640,0,
2026.05.11(월) 11:36,2026.05.11(월) 14:00,데드 바이 데이라이트,전체,공포게임 끝나고 데바데 😝✨,2.4,29,22,578,0,
2026.05.11(월) 09:00,2026.05.11(월) 11:30,악의,전체,[악의:Dread Neighbor] 흉우 제작사 신작 공포게임✨,2.5,28,20,558,0,
2026.05.07(목) 07:00,2026.05.07(목) 13:12,데드 바이 데이라이트,전체,[데바] 과연 오늘은 후레쉬 세이브가 가능할까요?🫠✨,6.2,25,17,1421,3,
2026.05.06(수) 10:00,2026.05.06(수) 14:24,종합 게임|talk,전체,몬스트럼 리트....🫠✨,4.4,23,17,1366,0,
2026.05.05(화) 11:17,2026.05.05(화) 19:00,데드 바이 데이라이트|talk,전체,[두근두근타운/데바데] 오늘은 어린이날!🐤✨,7.7,23,18,5844,2,
2026.05.05(화) 10:22,2026.05.05(화) 11:12,데드 바이 데이라이트,전체,[두근두근타운/데바데] 오늘은 어린이날!🐤✨,0.8,22,17,197,0,
2026.05.05(화) 09:00,2026.05.05(화) 10:18,두근두근타운,전체,[두근두근타운/데바데] 오늘은 어린이날!🐤✨,1.3,23,16,292,0,
2026.05.03(일) 06:00,2026.05.03(일) 18:06,종합 게임|데드 바이 데이라이트|두근두근타운|talk,전체,밥먹고 몬스트럼 🥰✨,12.1,31,19,3239,1,
2026.05.02(토) 07:59,2026.05.02(토) 14:12,데드 바이 데이라이트,전체,주말 데바데의 날 ✨,6.2,22,17,1715,0,
2026.05.01(금) 10:00,2026.05.01(금) 16:30,종합 게임|두근두근타운|talk,전체,[더메이드] 쫄아서 1년을 묵혀뒀던 공포게임 👻✨,6.5,22,16,1659,1,
2026.04.30(목) 07:00,2026.04.30(목) 11:12,종합 게임|talk,전체,[메탈슬러그] 애기때 감자탕집 오락기에서 해봤던 그 게임 ✨🌸,4.2,16,11,907,-2,
2026.04.28(화) 15:59,2026.04.28(화) 19:42,데드 바이 데이라이트,전체,데바데 업데이트 ! 😮✨🌸,3.7,26,17,1110,1,
2026.04.28(화) 09:01,2026.04.28(화) 15:06,바이오하자드 빌리지|talk,전체,[Biohazard Village DLC] 섀도우스 오브 로즈 🤍,6.1,17,13,1660,-1,
2026.04.27(월) 19:22,2026.04.27(월) 20:48,talk,전체,새벽 잠깐 기습 😝🤍,1.4,32,23,628,10,
2026.04.27(월) 18:48,2026.04.27(월) 19:18,talk,전체,새벽 잠깐 기습 😝🤍,0.5,12,9,78,1,
2026.04.26(일) 06:01,2026.04.26(일) 14:48,두근두근타운|바이오하자드 빌리지,전체,[Biohazard Village] 바이오하자드 빌리지 처음해보는 뇌🌸,8.8,32,21,2128,2,
2026.04.25(토) 06:01,2026.04.25(토) 13:54,바이오하자드 빌리지,전체,[Biohazard Village] 바이오하자드 빌리지 처음해보는 뇌🌸,7.9,26,18,1769,2,
2026.04.23(목) 07:00,2026.04.23(목) 17:54,겟 투 워크|데드 바이 데이라이트|talk,전체,피곤한 목요일의 데바데 😪🌸,10.9,27,18,4023,0,
2026.04.21(화) 09:00,2026.04.21(화) 20:00,데드 바이 데이라이트|talk,전체,[플레밍저택의죽음Demo] 도넛먹고 추리게임🌸,11,25,16,3825,2,
2026.04.20(월) 15:31,2026.04.20(월) 16:36,talk,전체,starry night 😝💕,1.1,30,25,566,2,
2026.04.20(월) 14:39,2026.04.20(월) 15:30,talk,전체,starry night 😝💕,0.8,22,18,393,3,
2026.04.19(일) 06:27,2026.04.19(일) 16:48,데드 바이 데이라이트|썸썸 편의점|talk,전체,[썸썸편의점] 편의점에서 알바하면서 연애해보자 💛✨,10.3,22,13,2755,-2,
2026.04.18(토) 06:00,2026.04.18(토) 12:36,데드 바이 데이라이트,전체,[주말 데바데] 오늘은 푹 잘 자고 왔어요! ✨,6.6,31,22,2225,3,
2026.04.17(금) 11:01,2026.04.17(금) 13:12,종합 게임,전체,[마이슬리핑걸프렌드] 여자친구의 몽유병이 심해지고있어요👻(공겜),2.2,13,10,482,0,
2026.04.16(목) 07:01,2026.04.16(목) 13:24,데드 바이 데이라이트|talk,전체,데바데에에에에 ✨🌸,6.4,30,19,1422,1,
2026.04.14(화) 15:09,2026.04.14(화) 16:30,프래그마타,전체,프래그마타 DEMO ✨🌸,1.3,15,10,633,0,
2026.04.14(화) 10:00,2026.04.14(화) 15:06,바이오하자드 7 레지던트 이블|talk,전체,[바이오하자드7 DLC]조이바이오하자드7 DLC] 조이의 마지막 !!! ✨🌸,5.1,18,13,1379,-1,
2026.04.12(일) 06:00,2026.04.12(일) 18:30,바이오하자드 7 레지던트 이블|talk,전체,[바이오하자드7] 드디어 바하 7 !!!,12.5,25,16,2791,0,
2026.04.11(토) 06:00,2026.04.11(토) 14:36,데드 바이 데이라이트,전체,주말 데바데를 달려보아요 ! 🌸,8.6,32,23,2305,4,
2026.04.09(목) 07:00,2026.04.09(목) 13:24,데드 바이 데이라이트,전체,비가 오는 날에 데바데 ! 🌸,6.4,30,20,1037,0,
