시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:34,LIVE,talk,전체,LIVE,1.5,21,14,411,0,
2026.06.14(일) 02:23,2026.06.14(일) 08:24,성세천하: 여제의 탄생 Ⅱ|talk,전체,[🦴] 주말 방가륑,6,28,20,1067,0,
2026.06.12(금) 02:03,2026.06.12(금) 04:00,2026 FIFA 북중미 월드컵,전체,[🦴] 월드컵 모여!! 같이보게 모여!!!,1.9,19,12,541,0,
2026.06.12(금) 01:28,2026.06.12(금) 02:00,talk,전체,[🦴] 월드컵 모여!! 같이보게 모여!!!,0.5,6,5,146,0,
2026.06.11(목) 10:58,2026.06.11(목) 13:54,talk,전체,[🦴],2.9,24,17,978,0,
2026.06.06(토) 11:29,2026.06.06(토) 14:24,talk,전체,[🦴],2.9,22,18,768,0,
2026.06.03(수) 11:58,2026.06.03(수) 14:00,talk,전체,[🦴] 내 요리는 먹으면 배가 아프다.,2,22,18,892,2,
2026.05.31(일) 01:46,2026.05.31(일) 04:42,talk,전체,[🦴] 모시모시 키코에테루?,2.9,33,26,1539,0,
2026.05.30(토) 12:00,2026.05.30(토) 15:18,talk,전체,[🦴] 헤이헤이헤잇!,3.3,26,21,1221,2,
2026.05.25(월) 02:19,2026.05.25(월) 07:06,마이닝 머천트|talk,전체,[🦴] 박각고,4.8,28,18,1550,1,
2026.05.24(일) 07:23,2026.05.24(일) 09:24,talk,전체,[🦴] 체력 베터리 5%,2,21,15,727,1,
2026.05.21(목) 12:00,2026.05.21(목) 15:18,talk,전체,[🦴],3.3,27,20,1578,2,
2026.05.17(일) 00:34,2026.05.17(일) 05:30,talk,전체,[🦴] 일어났어?,4.9,27,20,1920,0,
2026.05.14(목) 11:00,2026.05.14(목) 13:36,talk,전체,[🦴] 하이하잉,2.6,20,17,829,0,
2026.05.10(일) 01:02,2026.05.10(일) 03:00,talk,전체,[🦴] 목소리 맛있는 주인장,2,41,27,818,0,
2026.05.09(토) 09:43,2026.05.09(토) 15:30,프랫폴|talk,전체,[🦴] 즐거운 저녁 =ㅅ=,5.8,22,16,2220,2,
2026.05.03(일) 11:00,2026.05.03(일) 13:30,talk,전체,[🦴] 곧 월요일인데 싫지 않아,2.5,24,18,1109,-2,
2026.04.30(목) 11:00,2026.04.30(목) 14:18,종합 게임|talk,전체,[🦴] 엣햄,3.3,20,16,835,1,
2026.04.26(일) 11:00,2026.04.26(일) 15:30,종합 게임|talk,전체,[🦴] 감자여행,4.5,23,19,1445,-1,
2026.04.26(일) 09:52,2026.04.26(일) 10:06,talk,전체,[🦴] 감자빵,0.2,11,7,59,0,
2026.04.23(목) 11:59,2026.04.23(목) 14:00,talk,전체,[🦴] 헤헿 안녕,2,26,20,801,-1,
2026.04.19(일) 10:37,2026.04.19(일) 10:54,talk,전체,[🦴] 짧게,0.3,15,14,223,0,
2026.04.19(일) 10:29,2026.04.19(일) 10:36,talk,전체,[🦴] 짧게,0.1,11,6,47,0,
2026.04.16(목) 12:00,2026.04.16(목) 14:06,talk,전체,[🦴],2.1,23,17,934,0,
2026.04.15(수) 11:30,2026.04.15(수) 13:36,talk,전체,[🦴] 소심하개,2.1,21,16,671,0,
