시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 10:54,2026.06.14(일) 20:12,종합 게임|리썰 컴퍼니|사이퍼즈,전체,[리썰컴퍼니]☪26.06.14 8시 합방,9.3,28,14,599,1,
2026.06.13(토) 12:02,2026.06.13(토) 20:06,발로란트|사이퍼즈|talk,전체,☪26.06.13 천팔 감사드립니다!,8.1,59,31,2002,5,
2026.06.12(금) 15:30,2026.06.12(금) 20:24,발로란트|사이퍼즈|talk,전체,☪26.06.13 나도 잘쏘고 시퍼!!,4.9,16,10,602,-1,
2026.06.10(수) 15:32,2026.06.10(수) 19:00,사이퍼즈,전체,[사이퍼즈]☪26.06.11 스트레스 푸는날!,3.5,29,17,220,0,
2026.06.09(화) 15:44,2026.06.09(화) 19:36,사이퍼즈,전체,[사이퍼즈]☪26.06.10 모여봐요 심심한 사람.,3.9,21,14,235,1,
2026.06.08(월) 15:28,2026.06.08(월) 18:54,사이퍼즈|talk,전체,☪26.06.09 몽글몽글 라디오,3.4,16,9,363,0,
2026.06.07(일) 11:30,2026.06.07(일) 19:00,발로란트|사이퍼즈,전체,[발로란트]☪26.06.06 나도 친구 있따! 있따아!!,7.5,26,10,484,1,
"사이퍼즈, PUBG: 배틀그라운드☪26.06.06 탕탕",치킨 치킨!,사이퍼즈|PUBG: 배틀그라운드,전체,☪26.06.06 탕탕~ 치킨 치킨!,6.1,26,13,393,1,
2026.06.05(금) 15:42,2026.06.05(금) 20:24,사이퍼즈|talk,전체,[사이퍼즈]☪26.06.06 짧게 하고 갈꺼임,4.7,24,15,821,3,
2026.06.04(목) 15:02,2026.06.04(목) 20:18,사이퍼즈,전체,☪26.06.05 아름다운 밤입니다?,5.3,34,18,392,2,
2026.06.03(수) 12:04,2026.06.03(수) 20:12,발로란트|사이퍼즈|talk,전체,☪26.06.03 엘몽왔따,8.1,27,17,1158,1,
2026.06.03(수) 06:16,2026.06.03(수) 10:48,사이퍼즈,전체,[사이퍼즈]☪26.06.03 할루?,4.5,28,21,315,3,
2026.06.02(화) 15:35,2026.06.02(화) 18:36,종합 게임|사이퍼즈|talk,전체,☪26.06.03 으에..? 에..?,3,28,20,294,1,
2026.06.02(화) 04:13,2026.06.02(화) 05:48,사이퍼즈,전체,[사이퍼즈]☪26.06.02 아 몰라 사퍼할꺼얌!!,1.6,30,21,180,0,
2026.05.31(일) 10:58,2026.05.31(일) 18:00,사이퍼즈|PUBG: 배틀그라운드|talk,전체,☪26.05.31 8시 합방,7,17,10,367,0,
사이퍼즈[사이퍼즈]☪26.05.31(무릎을 꿇으며) 아이고,반갑습니다,사이퍼즈,전체,[사이퍼즈]☪26.05.31 (무릎을 꿇으며) 아이고~ 반갑습니다~,5,38,25,1086,0,
2026.05.28(목) 15:11,2026.05.28(목) 20:00,사이퍼즈|마인크래프트,전체,[예이아]☪26.05.29 교수님 저 졸업합니다!,4.8,26,16,616,1,
2026.05.27(수) 15:47,2026.05.27(수) 19:30,사이퍼즈,전체,[사이퍼즈]☪26.05.28 에피타이저 키우기,3.7,22,14,163,2,
