시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 13:01,LIVE,림버스 컴퍼니|talk,전체,LIVE,1.2,22,13,871,0,
2026.06.07(일) 22:30,2026.06.08(월) 08:54,림버스 컴퍼니|talk,전체,지금ㅁ일어났ㅇㅇ믄데 셋앙이 안빙오ㅑ 원래미먼거약ㄱ?,10.4,72,38,3305,12,
2026.06.05(금) 13:01,2026.06.06(토) 02:12,림버스 컴퍼니|talk,전체,오늘 이상을 뽑으면 이상하오?,13.2,52,25,4582,12,
2026.06.02(화) 13:00,2026.06.02(화) 21:18,림버스 컴퍼니|talk,전체,나 커피 좀 타올.. 우당탕탕 음. 수습하고올게!,8.3,31,20,2460,5,
2026.05.31(일) 14:30,2026.05.31(일) 21:18,림버스 컴퍼니|talk,전체,MBTI에 NT가 있으면 기계같다던데...,6.8,28,18,1896,4,
2026.05.29(금) 14:00,2026.05.29(금) 20:36,림버스 컴퍼니|talk,전체,김표독화비,6.6,18,14,1523,3,
2026.05.26(화) 13:01,2026.05.26(화) 23:48,음악/노래|서브노티카 2|talk,전체,세상이 나를 억까해,10.8,39,14,972,5,
2026.05.24(일) 15:48,2026.05.25(월) 01:54,림버스 컴퍼니|talk,성인,하하 이 자식. 내가 이겻다ㅋ,10.1,33,22,73,23,
2026.05.22(금) 13:01,2026.05.22(금) 19:06,서브노티카 2|talk,전체,빙글빙글 돌아가는 멧돌.,6.1,12,8,155,0,
2026.05.20(수) 12:41,2026.05.20(수) 22:06,림버스 컴퍼니|서브노티카 2|talk,전체,좀 일찍 켯다! 와라 달콤한 세상이여,9.4,29,13,1359,3,
2026.05.19(화) 13:01,2026.05.19(화) 18:18,서브노티카 2|talk,전체,목이 아픈 지금 이 순간 잔잔뱅 도전한다.,5.3,16,11,312,0,
2026.05.15(금) 13:01,2026.05.15(금) 17:48,이터널 리턴|talk,전체,아침에 일어나면 굿모닝 저녁에 일어나면 으어어어 ٩(๑'o'๑)۶,4.8,15,11,446,0,
2026.05.05(화) 21:00,2026.05.06(수) 00:06,미설정|종합 게임|음악/노래|talk,전체,응애 와기. 난 아직 선물이 고픈 어린이 ٩(๑'o'๑)۶,3.1,20,13,839,3,
2026.05.01(금) 13:02,2026.05.01(금) 20:24,talk,전체,방온! 어서오고~,7.4,42,25,1012,20,
2026.04.29(수) 10:23,2026.04.29(수) 14:00,talk,전체,안녕! 오랜만이야! [8시 댕댕미스터리 합방],3.6,14,9,363,-1,
2026.04.20(월) 13:38,2026.04.20(월) 22:24,talk,전체,시험 D-1. 밤샘 공부 시작.,8.8,23,14,1982,1,
2026.04.20(월) 13:00,2026.04.20(월) 13:30,talk,전체,시험 D-1. 밤샘 공부 시작.,0.5,16,11,172,0,
2026.04.11(토) 13:40,2026.04.11(토) 20:06,이터널 리턴|talk,전체,여러분의 새벽을 책임져드리겠습니다. 다만 내가 출근하기 전까지.,6.4,18,12,907,3,
2026.04.07(화) 21:00,2026.04.08(수) 01:06,음악/노래|talk,전체,아침을 알리는 소리 꼬끼오,4.1,38,19,1316,4,
