시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 06:02,2026.06.14(일) 10:00,PUBG: 배틀그라운드|talk,전체,잔잔한 방송(੭˶´◕ω⁠◕`˶),4,24,19,906,4,
2026.06.13(토) 08:01,2026.06.13(토) 11:42,미메시스,전체,그녀석들(੭˶´◕ω⁠◕`˶),3.7,21,18,898,2,
2026.06.12(금) 07:52,2026.06.12(금) 14:42,그린 헬|talk,전체,힙찔이(੭˶´◕ω⁠◕`˶),6.8,24,19,779,3,
2026.06.10(수) 23:33,2026.06.11(목) 02:42,리그 오브 레전드|talk,전체,아침방송!(੭˶´◕ω⁠◕`˶),3.1,30,22,783,2,
2026.06.10(수) 08:00,2026.06.10(수) 17:12,둠스 헤어 살롱|스톰 스트라이커|talk,전체,코끼리 멍멍이 분양함(੭˶´◕ω⁠◕`˶),9.2,28,19,1221,3,
2026.06.07(일) 11:32,2026.06.07(일) 15:12,스톰 스트라이커,전체,허니허니달콤해X업업업레벨업(੭˶´◕ω⁠◕`˶),3.7,32,26,178,0,
2026.06.05(금) 10:54,2026.06.05(금) 16:00,스톰 스트라이커,전체,쇼다운 예선!(੭˶´◕ω⁠◕`˶),5.1,32,19,671,1,
2026.06.04(목) 10:01,2026.06.04(목) 17:42,스톰 스트라이커,전체,쇼다운 전! 아무나 오세용~!(੭˶´◕ω⁠◕`˶),7.7,32,25,1021,-3,
2026.06.03(수) 08:44,2026.06.03(수) 17:24,슈퍼마켓 투게더|서브노티카 2,전체,서브노티카2(지출동!)(੭˶´◕ω⁠◕`˶),8.7,23,19,842,4,
2026.05.30(토) 10:49,2026.05.30(토) 15:24,스톰 스트라이커,전체,스톰스트라이커 본선!..너무 긴장해서..힘들어요ㅠㅠ(੭˶´◕ω⁠◕`˶),4.6,41,27,910,3,
2026.05.29(금) 10:28,2026.05.29(금) 14:36,스톰 스트라이커,전체,스톰스트라이커 예선!..너무 긴장해서..힘들어요ㅠㅠ(੭˶´◕ω⁠◕`˶),4.1,37,29,966,2,
2026.05.27(수) 09:00,2026.05.27(수) 12:00,스톰 스트라이커,전체,허니비져스vs코끼리당(੭˶´◕ω⁠◕`˶),3,26,23,568,0,
2026.05.25(월) 09:00,2026.05.25(월) 14:48,스톰 스트라이커,전체,새벽냥vs코끼리당(੭˶´◕ω⁠◕`˶),5.8,32,26,485,1,
2026.05.24(일) 11:00,2026.05.24(일) 16:30,스톰 스트라이커,전체,lra클랜vs코끼리당(੭˶´◕ω⁠◕`˶),5.5,40,30,675,2,
2026.05.23(토) 10:51,2026.05.23(토) 17:06,스톰 스트라이커,전체,피냥vs코끼리당(੭˶´◕ω⁠◕`˶),6.2,36,27,1096,1,
2026.05.21(목) 09:32,2026.05.21(목) 19:30,스톰 스트라이커,전체,아쾅vs보림이당다리궁당궁당당(੭˶´◕ω⁠◕`˶),10,42,29,1908,7,
2026.05.20(수) 12:16,2026.05.20(수) 19:18,스톰 스트라이커,전체,누아르vs보리미당다리궁당궁당당(੭˶´◕ω⁠◕`˶),7,44,32,1274,4,
2026.05.20(수) 11:33,2026.05.20(수) 12:06,스톰 스트라이커|talk,전체,누아르vs보리미당다리궁당궁당당(੭˶´◕ω⁠◕`˶),0.5,25,19,213,-1,
2026.05.19(화) 09:02,2026.05.19(화) 17:00,리그 오브 레전드|서브노티카 2|talk,전체,심해에 들어간 육지동물(੭˶´◕ω⁠◕`˶),8,24,21,1213,4,
2026.05.19(화) 07:01,2026.05.19(화) 08:54,서브노티카 2|talk,전체,헤헷(੭˶´◕ω⁠◕`˶),1.9,28,24,944,2,
2026.05.18(월) 09:15,2026.05.18(월) 11:42,스톰 스트라이커,전체,스스로운 생활~!(੭˶´◕ω⁠◕`˶),2.4,44,37,1084,1,
2026.05.17(일) 11:00,2026.05.17(일) 17:36,스톰 스트라이커,전체,스로운생활~!(੭˶´◕ω⁠◕`˶),6.6,44,38,1614,3,
2026.05.16(토) 05:31,2026.05.16(토) 11:36,스톰 스트라이커|talk,성인,팝콘을 사면 굿즈를 준다구!?..첫굿즈에용..헤헷(੭˶´◕ω⁠◕`˶),6.1,42,32,1977,6,
2026.05.15(금) 10:59,2026.05.15(금) 17:06,스톰 스트라이커,전체,누비들의 연습 (੭˶´◕ω⁠◕`˶),6.1,44,33,2214,3,
2026.05.14(목) 19:05,2026.05.14(목) 19:12,스톰 스트라이커,전체,딜러 추천 받습니당 (੭˶´◕ω⁠◕`˶),0.1,23,12,64,0,
2026.05.14(목) 16:07,2026.05.14(목) 19:00,스톰 스트라이커,전체,딜러 추천 받습니당 (੭˶´◕ω⁠◕`˶),2.9,37,28,707,5,
2026.05.13(수) 15:25,2026.05.13(수) 17:48,스톰 스트라이커,전체,혹시 지금 뉴비대전 하면?? (੭˶´◕ω⁠◕`˶),2.4,43,30,597,2,
2026.05.13(수) 05:56,2026.05.13(수) 15:18,리그 오브 레전드|스톰 스트라이커,전체,[뉴비모집]스스스스파노바(੭˶´◕ω⁠◕`˶),9.4,49,36,2962,13,
2026.05.12(화) 11:52,2026.05.12(화) 17:18,리그 오브 레전드|PUBG: 배틀그라운드,전체,"배그 합방!(얀즈,요기,박팡머)(੭˶´◕ω⁠◕`˶)",5.4,21,17,1857,5,
2026.05.11(월) 08:39,2026.05.11(월) 12:12,스톰 스트라이커,전체,스스뉴비 구합니당(੭˶´◕ω⁠◕`˶),3.6,37,30,1226,15,
2026.05.10(일) 23:02,2026.05.11(월) 03:24,스톰 스트라이커,전체,1부 스톰스트라이커~2부 롤!!(੭˶´◕ω⁠◕`˶),4.4,48,31,1528,12,
2026.05.10(일) 06:05,2026.05.10(일) 13:06,리그 오브 레전드|파스모포비아|talk,전체,"쫄보4명 파스모포비아!(영지르,팡머,꼬롬)(੭˶´◕ω⁠◕`˶)",7,33,22,1924,4,
2026.05.09(토) 10:00,2026.05.09(토) 15:18,파스모포비아|talk,전체,"파스모포비아합방-영지르,팡머,꼬롬(੭˶´◕ω⁠◕`˶)",5.3,25,20,641,3,
2026.05.08(금) 11:04,2026.05.08(금) 19:24,PUBG: 배틀그라운드|talk,성인,"소리 안 지르기,목소리 예쁘게 내기,크게 웃지 않기(੭˶´◕ω⁠◕`˶)",8.3,30,20,868,1,
2026.05.07(목) 03:20,2026.05.07(목) 06:42,리그 오브 레전드,전체,심해탐방(੭˶´◕ω⁠◕`˶),3.4,26,20,913,2,
2026.05.06(수) 13:09,2026.05.06(수) 19:06,리그 오브 레전드|비욘드: 투 소울즈,전체,스팀게임해야쥡(੭˶´◕ω⁠◕`˶),5.9,21,16,586,-2,
2026.05.06(수) 06:51,2026.05.06(수) 12:18,전략적 팀 전투 : 우주의 신들|비욘드: 투 소울즈|talk,전체,마음만은 다이아(੭˶´◕ω⁠◕`˶),5.4,21,17,878,0,
2026.05.04(월) 23:58,2026.05.05(화) 06:48,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,우히히(੭˶´◕ω⁠◕`˶),6.8,65,39,2470,13,
2026.05.02(토) 17:00,2026.05.02(토) 22:48,리그 오브 레전드|talk,전체,한판지면 아이언 (੭˶´◕ω⁠◕`˶),5.8,30,20,1472,-2,
2026.05.02(토) 05:40,2026.05.02(토) 10:06,리그 오브 레전드|메이플스토리 월드|talk,전체,5대1 (੭˶´◕ω⁠◕`˶),4.4,28,20,1843,1,
2026.05.02(토) 03:50,2026.05.02(토) 05:36,리그 오브 레전드|talk,전체,토요일이당(੭˶´◕ω⁠◕`˶),1.8,26,21,765,0,
2026.04.30(목) 03:52,2026.04.30(목) 10:48,리그 오브 레전드|음악/노래|talk,전체,3시간 지!!각!!(੭˶´◕ω⁠◕`˶),6.9,23,19,3265,-1,
2026.04.29(수) 10:36,2026.04.29(수) 13:36,이환,전체,이환!!!(੭˶´◕ω⁠◕`˶),3,16,13,682,0,
2026.04.29(수) 10:34,2026.04.29(수) 10:36,이환,전체,이환!!!(੭˶´◕ω⁠◕`˶),0,0,0,0,0,
2026.04.29(수) 08:01,2026.04.29(수) 10:24,리그 오브 레전드,전체,잘생긴 총각 같이보자~T1 vs NS #LCKWatchPArty(੭˶´◕ω⁠◕`˶),2.4,18,15,400,0,
2026.04.28(화) 23:54,2026.04.29(수) 05:24,리그 오브 레전드|talk,전체,오잉(੭˶´◕ω⁠◕`˶),5.5,37,23,1010,6,
