시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 13:00,2026.06.14(일) 15:36,종합 게임|talk,전체,박수소리만 나는 방송,2.6,43,35,1967,10,
2026.06.13(토) 13:00,2026.06.13(토) 16:00,talk,전체,박수소리만 내기 챌린지,3,42,36,2770,4,
2026.06.11(목) 13:00,2026.06.11(목) 15:36,talk,전체,티셔츠 굿즈 나왔다!#@^#%*@#&@(*ㄸ$@*^$*@#%$(@*#,2.6,43,35,2034,5,
2026.06.09(화) 13:00,2026.06.09(화) 15:42,talk,전체,37863784262794667823645782657285706205627952479056347906536457474674747474563563574574758578573,2.7,46,38,2597,4,
2026.06.07(일) 13:13,2026.06.07(일) 16:00,talk,전체,말하면 진짜 딱밤 때림,2.8,37,31,3262,10,
2026.06.07(일) 13:00,2026.06.07(일) 13:06,talk,전체,말하면 진짜 딱밤 때림,0.1,19,19,0,0,
2026.06.06(토) 13:00,2026.06.06(토) 15:42,talk,전체,말하면 딱밤 맞을게,2.7,43,34,1997,11,
2026.06.04(목) 13:00,2026.06.04(목) 15:48,talk,전체,말할 때마다 뺨 한대씩 후리겠습니다,2.8,39,32,1778,3,
2026.06.02(화) 13:00,2026.06.02(화) 15:30,talk,전체,딸기김치케첩볶음밥,2.5,38,30,2123,1,
2026.05.31(일) 13:00,2026.05.31(일) 15:30,talk,전체,말하면 애교함,2.5,36,28,1950,1,
2026.05.30(토) 13:00,2026.05.30(토) 16:18,talk,전체,딸기김치케첩볶음밥 버튜버,3.3,42,34,3646,6,
2026.05.28(목) 13:00,2026.05.28(목) 16:00,talk,전체,이 버튜버는 왜 말을 안해요?,3,33,28,2185,-1,
2026.05.26(화) 13:01,2026.05.26(화) 15:48,talk,전체,밥친구로 두기 좋은 방송,2.8,38,31,1884,-1,
2026.05.25(월) 13:00,2026.05.25(월) 16:00,talk,전체,건강을 위해 소녀처럼 방송한다.,3,45,37,2917,2,
2026.05.23(토) 13:01,2026.05.23(토) 15:42,talk,전체,케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩케첩,2.7,34,30,2572,2,
2026.05.21(목) 13:00,2026.05.21(목) 15:42,talk,전체,케첩볶음밥 방송,2.7,35,30,2327,5,
2026.05.20(수) 13:00,2026.05.20(수) 15:30,talk,전체,잔잔한 케첩볶음밥 방송,2.5,40,33,2323,4,
2026.05.19(화) 14:35,2026.05.19(화) 16:12,talk,전체,나 케첩볶음밥 같이 생겼어,1.6,31,24,1156,0,
