시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 04:00,2026.06.14(일) 10:42,서브노티카 2|talk,전체,제 방송에 와주셔서 너무 감사드립니다,6.7,15,12,1806,3,
2026.06.13(토) 04:00,2026.06.13(토) 15:00,V 라이징,전체,브이라이징 사천왕 간다아 히히,11,14,10,2734,-1,
2026.06.12(금) 04:09,2026.06.12(금) 12:12,talk|V 라이징,전체,배아픔 이슈 모닝,8,13,8,992,0,
2026.06.10(수) 03:58,2026.06.10(수) 13:18,림월드|talk,전체,림월드 랜패철이 어려운것도 어려운건데 이름이 문제인거같음,9.3,19,12,2845,2,
2026.06.09(화) 03:59,2026.06.09(화) 11:30,림월드|talk,전체,미루고 미뤘던 림월드 랜패철 다시 도전?,7.5,15,12,1313,0,
2026.06.08(월) 04:00,2026.06.08(월) 11:54,삼 2|talk|V 라이징,전체,오랜만의 공겜신청이라 조큼 음,7.9,13,9,1615,0,
2026.06.07(일) 04:00,2026.06.07(일) 11:12,바이오쇼크 2|talk,전체,시원한 수박 대신 수박스무디 냠냠,7.2,14,10,1776,0,
2026.06.06(토) 03:59,2026.06.06(토) 11:42,바이오쇼크 2|talk,전체,바이오쇼크 순항중 2 리마스터,7.7,14,9,1529,-1,
2026.06.05(금) 03:59,2026.06.05(금) 11:30,바이오쇼크|talk,전체,모두 커피 한잔 들고 자리에 착석할 시간이 되었어요,7.5,13,9,929,1,
2026.06.04(목) 04:00,2026.06.04(목) 11:24,바이오쇼크|talk,전체,나님 등장,7.4,16,11,1409,1,
2026.06.03(수) 04:00,2026.06.03(수) 12:42,타이탄폴 2|talk,전체,인생은 억까의 연속인걸까?,8.7,14,10,2283,0,
2026.06.02(화) 04:00,2026.06.02(화) 11:54,talk|V 라이징,전체,올해 여름은 얼마나 더울라나,7.9,13,9,1360,1,
2026.05.31(일) 04:00,2026.05.31(일) 10:54,리그 오브 레전드|talk,전체,방송 몇일짼인지 문득 궁금해서 계산해봤는데 첫날부터 지금까지 813일이 지났구 오늘 814일차 방송이던데 작은 숫자도 아닌데 아직도 방송적응기같은 느낌이지,6.9,17,13,1988,2,
2026.05.30(토) 04:00,2026.05.30(토) 12:12,헤븐리 바디스|talk,전체,주말이야 일어나라! 자다가 주말 지나간다!,8.2,13,8,1429,1,
2026.05.29(금) 04:00,2026.05.29(금) 13:00,talk|V 라이징,전체,한시의 하루 입니다!,9,16,10,1495,0,
2026.05.28(목) 04:00,2026.05.28(목) 13:36,테러바이트|talk|V 라이징,전체,5월도 끝나가요 이제 더워 죽을일만 남았어요!,9.6,17,10,1388,0,
2026.05.27(수) 04:00,2026.05.27(수) 10:54,점프 킹 퀘스트,전체,내가 아는 점프킹이 아닌거같은데?,6.9,14,9,1376,0,
2026.05.26(화) 04:00,2026.05.26(화) 12:48,V 라이징,전체,본가 잘 갔다왔슴돠~ 모두들 하하이,8.8,18,12,1369,-1,
2026.05.25(월) 04:00,2026.05.25(월) 12:18,talk|V 라이징,전체,본가 잘 갔다왔슴돠~ 모두들 하하이,8.3,18,13,1911,1,
2026.05.21(목) 04:00,2026.05.21(목) 14:36,talk|V 라이징,전체,안녕하세요하,10.6,19,13,2243,0,
2026.05.20(수) 03:59,2026.05.20(수) 12:48,talk|V 라이징,전체,시원하게 비내리는 날!,8.8,19,11,1788,-1,
2026.05.19(화) 03:59,2026.05.19(화) 13:18,talk|V 라이징,전체,꿈때문에 조금 슬퍼진 나,9.3,16,12,1423,0,
2026.05.18(월) 03:59,2026.05.18(월) 10:48,이스케이프 툰 킹덤|talk,전체,점메추는 뼈해장국입니다 왜냐하면 제가 지금 먹고싶기때문이죠,6.8,12,8,831,0,
2026.05.17(일) 03:59,2026.05.17(일) 09:24,프랫폴|talk,전체,두번째 온도계가 일주일동안 25.0 고정이면 이건 고장난걸까요,5.4,17,13,1533,1,
2026.05.16(토) 04:00,2026.05.16(토) 12:00,서브노티카 2|talk,전체,예 접니다,8,16,12,1147,-1,
2026.05.15(금) 04:00,2026.05.15(금) 10:12,서브노티카 2|talk,전체,아침에 나만 춥나...?,6.2,14,10,1014,1,
2026.05.13(수) 04:08,2026.05.13(수) 11:30,팀버본|talk,전체,간간히 말했던 나의 희망사항을 오늘 해보려합니다,7.4,20,13,1717,0,
2026.05.12(화) 03:59,2026.05.12(화) 11:00,스타크래프트 : 리마스터|talk,전체,도저히 떨어지지않는 이노므 감기,7,18,12,1470,5,
2026.05.10(일) 04:00,2026.05.10(일) 08:30,미설정|데드 바이 데이라이트,전체,짧뱅,4.5,21,16,2006,1,
2026.05.09(토) 03:58,2026.05.09(토) 11:00,데드 바이 데이라이트|talk,전체,감기조심하십쇼,7,21,14,2685,7,
2026.05.08(금) 03:59,2026.05.08(금) 10:54,다크 소울 리마스터|talk,전체,하루 쉬었는데 1년 지난거같아요,6.9,15,11,2213,1,
2026.05.06(수) 04:00,2026.05.06(수) 11:18,팀버본|talk,전체,5월인데 일교차가 심해요 감기조심,7.3,16,10,1183,0,
2026.05.05(화) 03:59,2026.05.05(화) 16:42,팀버본|트라이 투 드라이브|talk,전체,처음 해보는 반값 영도데이 날,12.7,22,14,3506,20,
2026.05.03(일) 04:00,2026.05.03(일) 11:12,미설정|팀버본|케모노 티타임,전체,상큼한 주말! 하지만 내일은 월요일이랍니다?,7.2,17,13,1955,-2,
2026.05.02(토) 04:00,2026.05.02(토) 11:42,림월드|팀버본,전체,히히 림월드다 이번엔 진짜 오래 살고싶다,7.7,19,13,1194,0,
2026.05.01(금) 04:00,2026.05.01(금) 11:12,미설정|헬다이버즈 2,전체,5월의 시작 헬다이버즈 초짜입니다,7.2,36,24,2664,20,
2026.04.29(수) 04:00,2026.04.29(수) 11:18,로그 라이더스,전체,굴러라 굴러라 통나무~,7.3,15,11,1613,0,
2026.04.28(화) 04:03,2026.04.28(화) 12:06,윈드로즈,전체,이게 해적인지 산적인지 노동잔지 내 선원들 다 모함!,8,16,13,1644,2,
2026.04.27(월) 04:00,2026.04.27(월) 12:00,윈드로즈,전체,캬하하 돈을 내놔라! 금을 내놔!! 난 해적이다!!,8,25,15,2133,4,
2026.04.26(일) 03:59,2026.04.26(일) 12:36,프래그마타,전체,딸랑구랑 함께 패드 3일차 막바지 지구를 향해 가자,8.6,13,10,1363,0,
2026.04.25(토) 04:00,2026.04.25(토) 11:30,프래그마타,전체,패드 2일차 화창한 주말! 딸래미하고 나들이,7.5,14,10,1703,-1,
2026.04.24(금) 03:59,2026.04.24(금) 11:12,프래그마타,전체,딸래미도 처음인데 게임패드도 처음이야,7.2,14,9,2069,1,
2026.04.22(수) 03:59,2026.04.22(수) 11:12,존 카펜터의 톡식 코만도,전체,좀비 학살하러가는 날,7.2,16,11,1120,2,
2026.04.21(화) 04:00,2026.04.21(화) 10:54,더 플로어 어보브,전체,나를 묶어놓고 이상현상으로 고문시킨다고?,6.9,14,10,2217,0,
2026.04.20(월) 04:16,2026.04.20(월) 08:42,돈 플레이 디스|다크 소울 리마스터,전체,그래도 종 하나는 마저 쳐보러 갑니다,4.4,16,11,1551,0,
2026.04.19(일) 04:00,2026.04.19(일) 11:18,다크 소울 리마스터,전체,그래도 종 하나는 마저 쳐보러 갑니다,7.3,20,14,1867,3,
2026.04.18(토) 04:00,2026.04.18(토) 09:36,레이튼 교수와 이상한 마을 HD,전체,어제는 손가락 오늘은 머리를 부시는날인가,5.6,14,11,1682,0,
2026.04.17(금) 03:59,2026.04.17(금) 11:54,다크 소울 리마스터,전체,내가 진짜 소울류을 하는 날이 올줄이야....,7.9,17,11,3079,5,
2026.04.15(수) 03:59,2026.04.15(수) 12:42,붉은사막,전체,붉사 진짜 엔딩이 뭐길래 함 보자,8.7,16,9,1865,0,
2026.04.14(화) 04:00,2026.04.14(화) 11:18,붉은사막,전체,오늘은 어비스를 부셔,7.3,13,9,1228,1,
2026.04.13(월) 04:00,2026.04.13(월) 09:30,아이 스크림 아이스 크림|메가봉크,전체,진짜 이건 이리봐도 저리봐도 똥겜같은데,5.5,15,10,1644,0,
2026.04.12(일) 04:10,2026.04.12(일) 10:48,오 디어|얍얍,전체,안녕하세요 날개축지에 담 걸린 모닝,6.6,17,10,1463,0,
2026.04.11(토) 03:58,2026.04.11(토) 11:24,붉은사막,전체,메인도 깼으니 이제 진짜 즐기면 되나?!,7.4,15,9,1445,0,
2026.04.10(금) 04:00,2026.04.10(금) 13:42,레이지 인 피스|붉은사막,전체,이상하다 벚꽃까지 폈는데 왜 난 아직도 춥지?,9.7,15,9,1328,0,
2026.04.09(목) 04:00,2026.04.09(목) 11:24,아웃라스트 트라이얼,성인,나는 겁을 먹지 않았다!,7.4,15,10,690,-1,
2026.04.08(수) 04:00,2026.04.08(수) 12:42,붉은사막,전체,1시가 되면 나타나는 방송,8.7,15,10,1648,2,
2026.04.07(화) 04:00,2026.04.07(화) 11:06,붉은사막,전체,여~ 히사시부리~,7.1,17,11,1541,3,
2026.04.05(일) 04:00,2026.04.05(일) 11:30,붉은사막,전체,가난해.. 금괴가 필요해..,7.5,22,13,2042,0,
2026.04.04(토) 04:00,2026.04.04(토) 16:30,붉은사막,전체,왜 무섭게 자꾸 주말에 패치하는거야,12.5,18,12,2960,2,
2026.04.03(금) 04:00,2026.04.03(금) 12:48,붉은사막,전체,나 메인 어디까지 진행했닝 딴짓 많이해서 꼴찌뉘?,8.8,14,9,1645,2,
2026.04.01(수) 03:57,2026.04.01(수) 12:00,붉은사막,전체,이번엔 진짜 옆길로 안세고 메인밀어봄,8,17,10,1925,2,
2026.03.31(화) 04:00,2026.03.31(화) 11:48,붉은사막,전체,전설?메인?서브?모험?도전과제?뭐부터 하지??,7.8,12,7,1157,0,
2026.03.30(월) 04:30,2026.03.30(월) 11:42,셰이프 오브 드림즈,전체,악몽 클리어 두명이서 도전!,7.2,18,13,2493,1,
2026.03.29(일) 04:06,2026.03.29(일) 14:30,붉은사막,전체,붉은주말!,10.4,18,12,2135,2,
2026.03.28(토) 03:56,2026.03.28(토) 12:00,붉은사막,전체,먹음직스런 음식이 주둥이 긴 호리병 안에 있는 게임 고고씽,8.1,13,10,1946,1,
2026.03.27(금) 04:00,2026.03.27(금) 10:42,제로 ~붉은 나비~ REMAKE,전체,공포는 아름답지 않아,6.7,17,12,1499,3,
2026.03.25(수) 04:00,2026.03.25(수) 11:48,붉은사막,전체,붉은사막 메인퀘 밀어야하는데,7.8,11,8,1851,0,
2026.03.24(화) 03:59,2026.03.24(화) 10:36,레이지 인 피스,전체,손 챙겼고 입 챙겼고 뇌는 빼놨구 눈은 음... 챙겼나?,6.6,12,9,1391,0,
2026.03.23(월) 04:00,2026.03.23(월) 11:12,셰이프 오브 드림즈,전체,로그라이크+액션+전략+반사신경,7.2,16,11,2537,3,
2026.03.22(일) 03:59,2026.03.22(일) 11:18,고스트 오브 쓰시마 디렉터스 컷,전체,소울류 안해봤는데 어카지,7.3,13,10,1750,0,
2026.03.21(토) 04:00,2026.03.21(토) 12:42,붉은사막,전체,붉은사막 뭐가 있겠지.. 생각하고 좀만 더 해봄,8.7,13,9,2632,1,
2026.03.20(금) 04:11,2026.03.20(금) 14:24,붉은사막|마인크래프트,전체,붉은사막 게임 못하고 잘 모르는 제가 한번 해볼게요,10.2,13,9,2198,1,
2026.03.19(목) 03:59,2026.03.19(목) 09:00,쉘다이버,전체,이 몸 등장!,5,11,7,595,-1,
2026.03.18(수) 04:04,2026.03.18(수) 12:00,마인크래프트|토일렛 8,전체,날씨가 우중충해~ 비가 내리는 날 꼬옥 공겜신청있드라,7.9,13,9,1343,1,
2026.03.17(화) 04:00,2026.03.17(화) 11:06,마인크래프트,전체,아침에 집을 나서는데 가스냄새가 어디서 너무 고약하게 나서 이러다 아파트 폭발하는거아냐?하면서 나섰는데 날씨도 너무 미세먼지가 심하고 그래서 오늘 잔잔뱅할건데 그래서 [더보기],7.1,12,9,1563,0,
2026.03.15(일) 03:59,2026.03.15(일) 12:36,마인크래프트|낙원: LAST PARADISE,전체,반지하는 탈출해야지,8.6,12,9,1967,0,
2026.03.14(토) 03:54,2026.03.14(토) 11:36,미설정|낙원: LAST PARADISE,전체,휴방 내내 밀린 잠만 잠!,7.7,16,11,2548,2,
2026.03.10(화) 03:55,2026.03.10(화) 12:24,미설정|둠: 더 다크 에이지스|마인크래프트,전체,그러고보니 나 원래 휴방날인데?,8.5,16,11,1640,-2,
2026.03.09(월) 03:59,2026.03.09(월) 11:36,미설정|어 게임 어바웃 디깅 어 홀,전체,땅을 파봐라! 돈이나오나! 어? 나온다고?,7.6,14,10,1721,0,
2026.03.08(일) 03:58,2026.03.08(일) 11:54,종합 게임|마인크래프트,전체,주말은 이불 안에서 리모컨 살짝 이불 밖으로 빼서 예능 찾아보면서 뒹굴거리는 맛이지,7.9,19,11,1948,0,
2026.03.07(토) 03:58,2026.03.07(토) 12:48,디트로이트: 비컴 휴먼|마인크래프트,전체,오늘 디트로이트 엔딩 보나?,8.8,13,10,2232,0,
2026.03.06(금) 04:00,2026.03.06(금) 12:18,아크 레이더스|마인크래프트,전체,앜레 얼마나 뭐가 나왔나,8.3,15,11,2026,2,
2026.03.04(수) 04:00,2026.03.04(수) 12:00,미설정|디트로이트: 비컴 휴먼|마인크래프트,전체,커피 끊고 물만 마신다,8,15,11,2482,0,
2026.03.03(화) 04:00,2026.03.03(화) 10:48,미설정,전체,잔잔뱅을 희망하는 나,6.8,14,10,1505,0,
2026.03.02(월) 04:00,2026.03.02(월) 13:18,미설정|오베이 더 보이스|마인크래프트,전체,봄비가 왔어요~,9.3,14,10,1667,0,
2026.03.01(일) 03:59,2026.03.01(일) 13:00,바이오하자드 레퀴엠,전체,바하레퀴엠 이어서! 이젠 늙어버린 레온차례야~,9,15,11,2121,1,
2026.02.28(토) 04:00,2026.02.28(토) 13:54,바이오하자드 레퀴엠,전체,오늘은 바하 신작하는 날,9.9,17,11,2659,1,
2026.02.27(금) 03:48,2026.02.27(금) 12:00,바이오하자드 RE:2,전체,신작 바하 전 이걸 해야한다고?,8.2,16,11,1887,4,
2026.02.25(수) 04:00,2026.02.25(수) 14:54,테일즈 오브 아이언|마인크래프트|talk,전체,이거슨 무슨 게임이느냐,10.9,12,8,1581,-1,
2026.02.24(화) 04:00,2026.02.24(화) 12:18,미설정|마인크래프트,전체,오늘 하루도,8.3,14,8,1531,2,
2026.02.23(월) 05:10,2026.02.23(월) 11:18,미설정|시크릿 랩 클리너|디트로이트: 비컴 휴먼,전체,아니... 왜 알람이 안들렸지..,6.1,13,9,1235,0,
2026.02.22(일) 04:00,2026.02.22(일) 11:54,미설정|레드 데드 리뎀션 2,전체,아니 모했다구 벌써 2월 말인데?!,7.9,15,10,1993,3,
2026.02.19(목) 08:39,2026.02.19(목) 12:42,미설정,전체,잠이 들어버렸어요....죄송합니다 ㅠ,4,15,12,1800,1,
2026.02.18(수) 04:00,2026.02.18(수) 11:18,레드 데드 리뎀션 2,전체,절거운 설 연휴 레데리와 함께,7.3,19,14,2548,2,
2026.02.17(화) 03:59,2026.02.17(화) 08:30,레드 데드 리뎀션 2,전체,다들 새복많!,4.5,14,9,1252,2,
2026.02.15(일) 03:59,2026.02.15(일) 11:00,리애니멀|라이어스 바,전체,공포게임 리애니멀!,7,12,9,873,-1,
2026.02.14(토) 04:15,2026.02.14(토) 11:00,미설정|PUBG: 배틀그라운드,전체,추석연휴 시작!,6.7,12,9,1422,1,
2026.02.13(금) 04:00,2026.02.13(금) 12:00,우미가리|PUBG: BLINDSPOT,전체,13일의 금요일이네?,8,14,10,2321,2,
2026.02.11(수) 12:55,2026.02.11(수) 16:36,미설정,전체,자 이제 누가 잼민이지?!,3.7,15,10,2344,0,
2026.02.11(수) 04:00,2026.02.11(수) 11:06,종합 게임|아크 레이더스|라이어스 바,전체,1부 무료게임하려다 이세계? 都市伝説.exe 2부 라이어스바,7.1,20,14,1859,0,
