시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:00,LIVE,메이플스토리 월드,전체,LIVE,5.1,17,11,774,1,
2026.06.15(월) 00:54,2026.06.15(월) 04:30,메이플스토리 월드,전체,정축 여축 거의 완료 아란템 준비하기!!!,3.6,23,19,934,0,
2026.06.14(일) 00:34,2026.06.14(일) 08:42,메이플스토리 월드,전체,나와라 아란 에반 듀블!!!!!!!,8.1,28,20,1641,0,
2026.06.13(토) 07:00,2026.06.13(토) 09:30,메이플스토리 월드,전체,옛메 던져버릴만큼 매력적일까? 본메 쇼케이스,2.5,23,17,1308,-1,
2026.06.12(금) 09:00,2026.06.12(금) 14:54,메이플스토리 월드,전체,ㅈ오 배찌 모스 우니 디지니 에띠 케피 마리드 산타 로두마니 안녕 다음에 꼭 카트로 다시만나자,5.9,22,14,1081,-1,
2026.06.12(금) 00:55,2026.06.12(금) 05:24,메이플스토리 월드,전체,ㅈ오 배찌 모스 우니 디지니 에띠 케피 마리드 산타 로두마니 안녕 다음에 꼭 카트로 다시만나자,4.5,21,13,1149,1,
2026.06.11(목) 08:58,2026.06.11(목) 14:06,메이플스토리 월드,전체,메이플랜드 버닝서버 오픈예정 본메 버닝서버같은 느낌?!,5.1,24,18,1047,0,
2026.06.11(목) 00:09,2026.06.11(목) 02:48,메이플스토리 월드,전체,메렌팀의 빅뱅후 메이플 제작은 어그로인것일까?,2.6,37,24,855,0,
2026.06.10(수) 08:40,2026.06.10(수) 14:54,메이플스토리 월드,전체,신캐릭 / 카오스 6월 넷째 주쯤 나오겠쥬? 신맵도 내달라!!!,6.2,24,17,817,1,
2026.06.10(수) 00:55,2026.06.10(수) 04:36,메이플스토리 월드,전체,신캐릭 / 카오스 6월 넷째 주쯤 나오겠쥬? 신맵도 내달라!!!,3.7,23,16,904,0,
2026.06.09(화) 09:56,2026.06.09(화) 17:48,메이플스토리 월드,성인,잠 빼고는 200레벨 달리기!!!!!!!!,7.9,19,14,0,1,
2026.06.08(월) 22:13,2026.06.09(화) 04:48,메이플스토리 월드,성인,잠 빼고는 200레벨 달리기!!!!!!!!,6.6,24,16,180,-1,
2026.06.08(월) 09:01,2026.06.08(월) 14:24,메이플스토리 월드,성인,플래닛 사건이 쓰러지지 않아!,5.4,23,15,507,1,
2026.06.08(월) 00:56,2026.06.08(월) 04:42,메이플스토리 월드,전체,메생이들아! 핑크빈까지 달려어잇!!!!!!!!!!!!!!!!!!!!!!!,3.8,24,16,1205,0,
2026.06.07(일) 10:00,2026.06.07(일) 15:48,메이플스토리 월드,전체,나와라! 메용!!!! 두쌀공대의 거지에서 살아남기,5.8,19,13,593,-1,
2026.06.07(일) 00:52,2026.06.07(일) 07:06,데드 바이 데이라이트|메이플스토리 월드,전체,흑수정사건으로 난리난 플래닛서버 과연 운영자의 대처는?,6.2,100,47,2721,1,
2026.06.05(금) 09:58,2026.06.05(금) 15:12,메이플스토리 월드,전체,월코 32000상당 미큐110개 이벤트 추첨시작,5.2,26,19,1378,1,
2026.06.05(금) 00:56,2026.06.05(금) 05:00,메이플스토리 월드,전체,메이플플래닛 오늘저녁 7시 월코 32000상당 미큐110개 이벤트 추첨시작,4.1,24,15,1105,0,
2026.06.04(목) 10:44,2026.06.04(목) 14:06,메이플스토리 월드,전체,동생과 집근처 김치찌개 맛집 다녀왔습니다 여러분들도 다 한번씩 사주고싶습니다 예? 그럼 사달라구요? 자아~~~~~~~~~,3.4,23,18,751,-1,
2026.06.04(목) 01:59,2026.06.04(목) 07:12,메이플스토리 월드,전체,메월패치로 이제 핵매크로 다중분신술 불가능! 구욷!,5.2,45,26,2747,2,
