시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 07:37,2026.06.14(일) 12:00,talk,전체,✿ ㅎㅇ ✿,4.4,12,9,773,0,
2026.06.13(토) 07:38,2026.06.13(토) 19:30,왕좌의 게임: 킹스로드|발로란트|talk,전체,✿ 오늘 드디어 . . 그날인가 ✿,11.9,38,13,1383,5,
2026.06.12(금) 07:42,2026.06.12(금) 22:42,멧챠 카멜레온|발로란트|R.E.P.O.|talk,전체,✿ 불금인데 갈곳 없으면 오던가~✿,15,13,9,2935,1,
2026.06.11(목) 07:36,2026.06.11(목) 17:12,리그 오브 레전드|멧챠 카멜레온|talk,전체,✿절반만 부활 ! ✿,9.6,15,9,941,1,
2026.06.10(수) 16:05,2026.06.10(수) 17:42,talk,전체,✿달빛이 떠오른 야심한 새벽 노랑꼬맹이 ✿,1.6,12,7,278,0,
2026.06.09(화) 07:45,2026.06.09(화) 14:30,종합 게임|R.E.P.O.|RV 데어 옛?|talk,전체,✿흐음 . . ✿,6.7,13,6,363,0,
2026.06.08(월) 14:34,2026.06.08(월) 20:48,리그 오브 레전드|talk,전체,✿잔잔하게 하다가 갈꺼임~✿,6.2,11,8,973,1,
2026.06.07(일) 07:32,2026.06.07(일) 20:18,발로란트|talk,전체,✿ 내일은 월요일이네? ㅋ✿,12.8,17,9,1394,-3,
2026.06.06(토) 07:39,2026.06.06(토) 16:36,발로란트|슬레이 더 스파이어 2|talk,전체,✿ 뭐 ✿,8.9,16,8,873,0,
2026.06.05(금) 07:37,2026.06.05(금) 18:06,발로란트|talk,전체,✿ (´-灬-‘) ✿,10.5,13,7,1522,0,
2026.06.04(목) 07:36,2026.06.04(목) 16:36,림버스 컴퍼니|발로란트|talk,전체,✿ ⩌ ᯅ ⩌ 오늘은 텐션이 낮을 예정 ✿,9,16,10,537,0,
2026.06.03(수) 07:35,2026.06.03(수) 18:06,종합 게임|다크 팰즈: 더 퍼스트 플로어|발로란트|talk,전체,✿ /ᐠ •̿.ᴥ·•̿マฅ ✿,10.5,17,10,633,2,
2026.06.02(화) 07:35,2026.06.02(화) 18:12,발로란트|talk,전체,✿ 뭐 ✿,10.6,14,8,353,3,
2026.05.31(일) 07:30,2026.05.31(일) 13:12,더 점프 가이즈|talk,전체,✿왠만한 몬스터로는 나를 재울 수 없다!✿,5.7,11,8,1292,0,
2026.05.30(토) 07:31,2026.05.30(토) 15:12,발로란트|슬레이 더 스파이어 2|talk,전체,✿ OTL✿,7.7,13,8,220,3,
2026.05.29(금) 07:26,2026.05.29(금) 20:18,발로란트|슬레이 더 스파이어 2|talk,성인,✿ 그거 봄? ✿,12.9,14,8,540,1,
2026.05.28(목) 07:30,2026.05.28(목) 12:30,슬레이 더 스파이어 2|talk,전체,✿ 제발 오늘은 퇴근 말아주세유 눈여우 신이시여 . .✿,5,11,8,257,2,
2026.05.27(수) 08:50,2026.05.27(수) 17:18,딥 락 갤럭틱|발로란트|talk,전체,✿ 아몰랑✿,8.5,12,8,452,4,
2026.05.27(수) 07:28,2026.05.27(수) 08:42,talk,전체,✿ 댕빡치네 ₍ᐢ≍ ·̫ ≍ᐢ₎✿,1.2,15,11,346,0,
2026.05.26(화) 07:36,2026.05.26(화) 14:12,발로란트|talk,전체,✿ 푹 자버버렸다✿,6.6,12,8,283,-1,
2026.05.24(일) 07:36,2026.05.24(일) 15:00,종합 게임|talk,전체,✿ (｡･ө･｡)✿,7.4,15,10,670,2,
2026.05.23(토) 16:56,2026.05.23(토) 17:30,발로란트,전체,✿나올라갈꺼야! 비켜! (｡･ө･｡)✿,0.6,3,2,2,0,
2026.05.23(토) 07:42,2026.05.23(토) 16:54,종합 게임|발로란트|talk,전체,✿ 나른 나른 (｡･ө･｡)✿,9.2,14,10,476,0,
2026.05.22(금) 07:34,2026.05.22(금) 19:30,종합 게임|발로란트|talk,전체,✿오늘은 오랜만에 외출을 했어! ✿,11.9,18,11,731,-1,
2026.05.21(목) 07:32,2026.05.21(목) 18:06,몬스터 헌터 와일즈|발로란트|talk,전체,✿ 우와! 벌써 눈꽃마을 오픈이야..?✿,10.6,16,10,935,1,
2026.05.20(수) 07:29,2026.05.20(수) 15:06,발로란트|talk,전체,✿ ⎛ 𖥚 ・̄ ധ ・̄ 𖥚 ⎞비오니까 . .✿,7.6,14,10,805,2,
2026.05.19(화) 07:39,2026.05.19(화) 17:30,발로란트|talk,전체,✿(Ò囗Óױ) 벌써 화요일이야? ✿,9.8,16,10,593,2,
2026.05.18(월) 07:32,2026.05.18(월) 09:30,talk,전체,✿(Ò囗Óױ) 바삭팝콘x 눈꽃하임 ✿,2,11,8,286,0,
2026.05.17(일) 07:32,2026.05.17(일) 16:42,발로란트|talk,전체,✿(Ò囗Óױ) ✿,9.2,15,9,418,1,
2026.05.16(토) 17:39,2026.05.16(토) 18:12,발로란트,전체,✿/ᐠ ˵• ﻌ •˵マ 골드 가고싶다 . . 진짜 가고싶다 ✿,0.5,10,9,61,0,
2026.05.16(토) 07:30,2026.05.16(토) 17:36,발로란트|talk,전체,✿/ᐠ ˵• ﻌ •˵マ 뭐✿,10.1,15,10,516,-1,
2026.05.15(금) 07:25,2026.05.15(금) 17:48,발로란트|talk,전체,✿/ᐠ ˵• ﻌ •˵マ✿,10.4,13,9,586,4,
2026.05.14(목) 07:33,2026.05.14(목) 17:48,몬스터 헌터 와일즈|발로란트,전체,✿저.. 강해지고싶어요 따흐흑 ✿,10.2,14,9,201,0,
