시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 11:02,2026.06.13(토) 13:42,talk,전체,안녕하세요.🐻,2.7,33,25,1412,1,
2026.06.08(월) 09:32,2026.06.08(월) 13:30,음악/노래|talk,전체,오늘이 마지막 방송이네요.🐻,4,39,30,1993,8,
2026.06.07(일) 03:03,2026.06.07(일) 07:12,미설정|영화|talk,성인,즐거운 주말인데 공지 방송이라 미안해 🐻💙,4.1,35,26,819,1,
2026.06.05(금) 10:03,2026.06.05(금) 17:30,림버스 컴퍼니|talk,전체,루곰이 보고 싶어서 일찍 왔어요 🐻💙,7.4,36,26,3538,10,
2026.06.04(목) 09:24,2026.06.04(목) 16:48,마인크래프트|철권 8|talk,전체,✨【짜다서버】 오늘 절반 이상 갚지 않으면 방송 안 끕니다.🐻💙,7.4,34,23,3343,5,
2026.06.04(목) 06:17,2026.06.04(목) 09:12,림버스 컴퍼니,전체,✨【림버스 컴퍼니】 림아가의 1장 메인 스토리 함께 보기🐻💙,2.9,29,21,1259,2,
2026.06.04(목) 02:59,2026.06.04(목) 06:12,명조:워더링 웨이브|음악/노래,전체,좋은 점심이에요. 밥 먹으면서 편안하게 듣기 좋은 곰돌이 왔어요.🐻💙,3.2,20,15,856,-1,
2026.06.03(수) 12:29,2026.06.03(수) 18:06,마인크래프트|talk,전체,모장 때문에 맨헤라 터져버린 청년,5.6,25,17,2357,1,
2026.06.01(월) 11:01,2026.06.01(월) 15:48,talk,전체,오늘은 정베르와 루곰이 부검하는 날,4.8,41,29,4956,0,
2026.06.01(월) 03:00,2026.06.01(월) 07:18,음악/노래,전체,분내낭낭하게 장착했어요. 이 시간에 방송이라니 낯설어요.🐻,4.3,35,26,984,0,
2026.05.31(일) 10:57,2026.05.31(일) 16:00,아웃라스트|talk,성인,비명 지를 때마다 엉덩이 떄려주세요. 아웃라스트 켠왕,5,30,25,196,3,
2026.05.31(일) 06:17,2026.05.31(일) 10:54,림버스 컴퍼니|talk,전체,낮잠 좋아 청년.. 애들아 베르가 할말 있어요.,4.6,30,24,2759,4,
2026.05.29(금) 13:41,2026.05.29(금) 14:42,talk,전체,갑자기 오면 감동하겠지,1,27,18,776,1,
2026.05.28(목) 07:40,2026.05.28(목) 13:54,레벨 데빌|종합 게임|007 퍼스트 라이트|talk,전체,이 시간에 오면 아무도 못 보겠지,6.2,29,20,3658,-2,
2026.05.27(수) 09:45,2026.05.27(수) 13:48,음악/노래,전체,곰돌이 왔어요.,4,37,29,2561,0,
2026.05.25(월) 05:40,2026.05.25(월) 15:00,서브노티카 2|talk,전체,폐급직원,9.3,45,25,5362,1,
2026.05.23(토) 13:59,2026.05.23(토) 15:54,철권 8,전체,나한테서 그렇게 뉴비의 냐한 냄새가 나는 걸까,1.9,41,31,1426,0,
2026.05.23(토) 12:50,2026.05.23(토) 13:54,ASMR,성인,[ASMR] 새 마이크 테스트해보기💙| 뇌를 찌릿하게 만들기,1.1,99,68,0,2,
2026.05.23(토) 10:03,2026.05.23(토) 12:42,talk,전체,늙고 병든 몸,2.6,28,20,1935,0,
2026.05.21(목) 09:02,2026.05.21(목) 16:36,명조:워더링 웨이브|talk,전체,✨명조 2장 1막: 인트 높은 곰돌이의 스토리 해석 | 잔잔한 저챗과 함께 즐기는 명조 최고,7.6,30,22,3365,3,
2026.05.20(수) 01:59,2026.05.20(수) 17:42,종합 게임|마인크래프트|talk,전체,죄송합니다.,15.7,37,27,6541,3,
2026.05.19(화) 09:01,2026.05.19(화) 17:30,졸트|음악/노래|철권 8|talk,전체,안녕하세요. 신을 이긴 자✨공식에 박제 된 그 곰돌이 맞습니다. 🐻💙,8.5,26,18,2698,0,
2026.05.17(일) 12:17,2026.05.17(일) 14:54,철권 8,전체,뉴비의 화려한 랭크전을 위한✨콤보 연습하기🐻💙,2.6,37,29,1889,1,
2026.05.17(일) 08:59,2026.05.17(일) 12:12,명조:워더링 웨이브,전체,1장 8막✨메인 스토리 | 검은 해안의 진실은 뭘까 🐻💙,3.2,28,21,997,-1,
2026.05.16(토) 09:28,2026.05.16(토) 16:12,음악/노래|철권 8,전체,오늘도 함께 해줘서 고마워 [8시에 베르표 철권8 대회],6.7,62,40,5149,21,
2026.05.15(금) 08:59,2026.05.15(금) 17:18,음악/노래|메이플스토리|talk,전체,오랜만에제대로방송하니까너무어색하고기분이이상해요.우리곰돌이들이너무보고싶었어요.다들나보고싶었잖아.어서날보러와줘.사랑해자기야빨리와할이야기잔뜩이다.맨헤라부리기전에언능튀어와라이미부리고있는것,8.3,43,30,4928,-20,
2026.05.13(수) 11:31,2026.05.13(수) 17:00,음악/노래,전체,이건 또 무슨 초식이냐,5.5,34,27,2890,0,
2026.05.10(일) 12:00,2026.05.10(일) 16:12,talk,전체,경⭐축 드디어 퇴사하고 공식 백수가 되다. 진짜 내부 이야기 다 하고 싶은데 아봉 당해서 말도 못하네,4.2,57,44,6581,7,
2026.05.09(토) 10:36,2026.05.09(토) 16:30,음악/노래|이스케이프 더 백룸|talk,전체,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5.9,31,26,2784,5,
2026.05.09(토) 10:05,2026.05.09(토) 10:30,talk,전체,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.4,21,14,210,0,
2026.05.06(수) 11:34,2026.05.06(수) 17:18,음악/노래|방 탈출 시뮬레이터2|talk,전체,개미 털기를 시작한다. 견뎌라. 정루곰,5.7,31,24,3680,1,
