시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 06:50,LIVE,발로란트|talk,전체,LIVE,7.4,34,27,2097,8,
2026.06.12(금) 09:07,2026.06.12(금) 18:00,종합 게임|작혼: 리치 마작|끄투코리아|테일즈런너|talk,전체,[유입/환영] 역대급 미친 지각,8.9,36,30,1830,7,
2026.06.11(목) 18:15,2026.06.11(목) 21:12,talk,전체,[유입/환영] 니케다운받다가 방송 터짐...,2.9,33,26,632,0,
2026.06.11(목) 06:52,2026.06.11(목) 18:12,스톰 스트라이커|talk,전체,[유입/환영] 드디어 할때가 왔다 클립정리!!!,11.3,35,25,1298,4,
2026.06.10(수) 06:44,2026.06.10(수) 20:42,미설정|작혼: 리치 마작|명조:워더링 웨이브|승리의 여신: 니케|로스트아크|talk,전체,[유입/환영] 수요일이다~~~,14,28,20,1892,4,
2026.06.09(화) 06:56,2026.06.09(화) 20:36,승리의 여신: 니케|클로저스|talk,전체,[유입/환영] 화요일 쾅 일정표 쾅?,13.7,32,20,3303,4,
2026.06.08(월) 06:44,2026.06.08(월) 23:42,세피리아|PUBG: 배틀그라운드|talk,전체,[유입/환영] 아쾅이 왔쾅!!,17,38,28,4934,5,
2026.05.30(토) 09:29,2026.05.30(토) 18:30,스톰 스트라이커|talk,전체,[유입/환영] 쾅이 왔다 스톰 스트라이커 본선!!!!! 20시 시작합니다!!!!!,9,36,26,1120,1,
2026.05.29(금) 06:56,2026.05.29(금) 18:00,스톰 스트라이커|talk,전체,[유입/환영] 드디어 한다 스톰 스트라이커 예선전!! 20시부터 시작합니다!!!!!,11.1,37,27,1425,0,
2026.05.28(목) 07:25,2026.05.28(목) 19:30,스톰 스트라이커|talk,전체,[유입/환영] 눈을 떴는데 개운하다,12.1,38,28,2885,5,
2026.05.27(수) 06:58,2026.05.27(수) 20:30,스톰 스트라이커|골목길 : 귀흔|로스트아크|프래그마타|talk,전체,[유입/환영] 날씨가 꾸리무리해,13.5,41,27,3228,5,
2026.05.26(화) 06:56,2026.05.26(화) 20:00,스톰 스트라이커|작혼: 리치 마작|talk,전체,[유입/환영] 날씨 쌍쌍바,13.1,36,27,2700,2,
2026.05.25(월) 06:54,2026.05.25(월) 22:24,스톰 스트라이커|승리의 여신: 니케|talk,전체,[유입/환영] 빨간날은 원래 쉬는데...,15.5,41,30,3934,2,
2026.05.22(금) 06:56,2026.05.23(토) 08:48,종합 게임|스톰 스트라이커|작혼: 리치 마작|승리의 여신: 니케|슬레이 더 스파이어 2|PUBG: 배틀그라운드|talk,전체,[유입/환영] 24시간 노뱅종 헣,25.9,50,29,6827,15,
2026.05.21(목) 06:58,2026.05.21(목) 19:00,스톰 스트라이커|작혼: 리치 마작|talk,전체,[유입/환영]오늘은 칼퇴하는 날,12,40,28,1731,7,
2026.05.20(수) 06:57,2026.05.20(수) 20:42,종합 게임|작혼: 리치 마작|히어로즈 오브 더 스톰|테이블탑 시뮬레이터|talk,전체,[유입/환영] 정상영업 합니다,13.7,38,25,4029,9,
2026.05.19(화) 06:57,2026.05.19(화) 10:42,스톰 스트라이커|슬레이 더 스파이어 2|talk,전체,[유입/환영] 우당탕탕 화요일,3.7,38,23,801,2,
2026.05.18(월) 06:56,2026.05.18(월) 21:06,스톰 스트라이커|작혼: 리치 마작|세피리아|talk,전체,[유입/환영] 아니 월요일만 되면 집온도가 리셋되나 왜 또 추워,14.2,44,30,2435,3,
2026.05.15(금) 06:57,2026.05.15(금) 21:30,스톰 스트라이커|작혼: 리치 마작|슬레이 더 스파이어 2|talk,전체,[유입/환영] 불금이구먼 허허허,14.5,43,27,2971,5,
2026.05.14(목) 06:57,2026.05.14(목) 20:42,스톰 스트라이커|명조:워더링 웨이브|talk,전체,[유입/환영] 이날씨에 집은 추운 매,13.7,42,32,2819,4,
2026.05.13(수) 07:26,2026.05.13(수) 19:00,스톰 스트라이커|로스트아크|talk,전체,[유입/환영] 힣힣 부두술 지각 ㅎ,11.6,38,25,1946,7,
2026.05.12(화) 06:56,2026.05.12(화) 21:06,스톰 스트라이커|엘소드|talk,전체,[유입/환영] 해파리는 오늘도 둥실둥실...,14.2,43,30,3659,9,
2026.05.11(월) 06:57,2026.05.11(월) 20:18,스톰 스트라이커|PUBG: 배틀그라운드|talk,전체,[유입/환영] 어우.. 오늘 컨디션.. 별로얌..ㅠㅅㅠ,13.3,38,26,2032,15,
2026.05.08(금) 06:57,2026.05.08(금) 19:54,종합 게임|클로저스|섀도우버스|슬레이 더 스파이어 2|talk,전체,[유입/환영] 쾅이는 뚠뚠 쾅이다!!!!!!!!!,12.9,34,24,5941,4,
2026.05.07(목) 06:56,2026.05.07(목) 19:48,작혼: 리치 마작|테이블탑 시뮬레이터|PUBG: 배틀그라운드|talk,전체,[유입/환영] 날씨가 이상혀,12.9,31,24,2704,4,
2026.05.06(수) 06:55,2026.05.06(수) 19:54,로스트아크|PUBG: 배틀그라운드|talk,전체,[유입/환영] 집은 췅!,13,29,20,2506,1,
2026.05.05(화) 06:55,2026.05.05(화) 20:18,작혼: 리치 마작|세피리아|talk,전체,[유입/환영] 어린이 날이다!!!!!!!!,13.4,33,23,3085,2,
2026.05.04(월) 06:54,2026.05.04(월) 21:12,명조:워더링 웨이브|음악/노래|talk,전체,[유입/환영] 워료일이다~~~~,14.3,48,30,4938,12,
2026.05.02(토) 06:54,2026.05.02(토) 21:06,종합 게임|구스 구스 덕|작혼: 리치 마작|talk,전체,[유입/환영] 쾅이 생일이야! 생일방송이야!! 일정따위 없어 걍 놀아!,14.2,32,25,4895,7,
2026.05.01(금) 06:57,2026.05.01(금) 16:36,리그 오브 레전드|음악/노래|오버워치|talk,전체,[유입/환영] 우냐냥!! 쾅이 와따!,9.6,38,24,1924,3,
2026.04.30(목) 06:54,2026.04.30(목) 21:30,종합 게임|작혼: 리치 마작|테이블탑 시뮬레이터|talk,전체,[유입/환영] 아쾅이 왔쾅!!!!,14.6,34,23,2832,4,
2026.04.28(화) 06:56,2026.04.28(화) 20:00,작혼: 리치 마작|PUBG: 배틀그라운드|talk,전체,[유입/환영] 우냐냥!!!,13.1,24,18,2633,6,
2026.04.27(월) 06:56,2026.04.27(월) 20:42,작혼: 리치 마작|붕괴: 스타레일|그림/아트|음악/노래|talk,전체,[유입/환영] 워료일이다~~ 워료일이다~~~,13.8,31,23,3984,7,
2026.04.24(금) 06:57,2026.04.24(금) 17:00,작혼: 리치 마작|세피리아|슬레이 더 스파이어 2|talk,전체,[유입/환영] 아몰랑 대환장 해파리 수다뱅!,10,25,20,1936,3,
2026.04.23(목) 06:57,2026.04.23(목) 21:00,종합 게임|파티 애니멀즈|작혼: 리치 마작|명일방주: 엔드필드|talk,전체,[유입/환영] 으랴랴량 방송하자,14,26,19,2223,3,
2026.04.22(수) 06:55,2026.04.22(수) 21:30,구스 구스 덕|작혼: 리치 마작|로스트아크|몬길: STAR DIVE|talk,전체,[유입/환영] 나 왜 춥냐...,14.6,34,18,2591,1,
2026.04.21(화) 08:11,2026.04.21(화) 21:12,셰이프 오브 드림즈|talk,전체,[유입/환영] 용궁볼일 있어서 용궁일 하다옴,13,29,20,3147,6,
2026.04.20(월) 12:25,2026.04.20(월) 23:54,음악/노래|PUBG: 배틀그라운드|talk,성인,[유입/환영] 휴뱅? 몰라 일단해!!!!!!!!!!,11.5,30,24,1116,4,
2026.04.17(금) 06:54,2026.04.18(토) 09:12,작혼: 리치 마작|세피리아|PUBG: 배틀그라운드|talk,전체,[유입/환영] 오느른 24시간 노뱅종이래 커피머거야지 쪼꼬도 먹어야지,26.3,53,26,6764,10,
2026.04.16(목) 06:55,2026.04.16(목) 14:54,슬레이 더 스파이어 2|talk,전체,[유입/환영] 쾅이는 뚠뚠 오늘도 뚠뚠 열심히 방송하네 뚠뚠,8,31,22,1470,6,
2026.04.15(수) 06:57,2026.04.15(수) 19:36,코어 키퍼|로스트아크|PUBG: 배틀그라운드|talk,전체,[유입/환영] 늦을뻔...! 하지만 안늦었쥬?,12.6,24,16,1740,-1,
2026.04.14(화) 06:51,2026.04.14(화) 20:24,종합 게임|작혼: 리치 마작|명일방주|talk,전체,[유입/환영] 이상하다 밖에는 25도가 넘는데 집은 추워,13.5,34,20,2875,3,
2026.04.13(월) 06:51,2026.04.13(월) 21:12,작혼: 리치 마작|세피리아|PUBG: 배틀그라운드|talk,전체,[유입/환영] 아니 왜 집이 밖에보다 추움?,14.3,35,21,2082,3,
2026.04.10(금) 06:55,2026.04.10(금) 23:36,세피리아|슬레이 더 스파이어 2|talk,전체,[유입/환영] 아아 목상태 확인중,16.7,28,16,2935,4,
2026.04.09(목) 06:59,2026.04.09(목) 21:36,리그 오브 레전드|작혼: 리치 마작|음악/노래|talk,전체,[유입/환영] 흐흐흐흐흐흐,14.6,25,16,3385,0,
2026.04.08(수) 06:57,2026.04.08(수) 20:06,종합 게임|코어 키퍼|로스트아크|PUBG: 배틀그라운드|talk,전체,[유입/환영] 나 방종하다가 신기한거 알았음,13.1,24,14,1962,3,
2026.04.07(화) 06:54,2026.04.07(화) 20:24,작혼: 리치 마작|음악/노래|PUBG: 배틀그라운드|talk,전체,[유입/환영] 날은 좋은데 이상하다 집은 추웡,13.5,28,15,3184,1,
2026.04.06(월) 06:52,2026.04.06(월) 20:30,세피리아|슬레이 더 스파이어 2|talk,전체,[유입/환영] 집이 너무 추워어엉,13.6,23,17,2361,7,
2026.04.03(금) 06:56,2026.04.03(금) 17:12,종합 게임|구구 피자 : 우주 정거장으로 피자 배달이라니? 사장님|이건 좀 아니잖아요!|talk,전체,[유입/환영] 썰전 + 고민상담 데이 ㅎㅎ,10.3,29,16,2998,-1,
2026.04.02(목) 05:55,2026.04.02(목) 19:00,작혼: 리치 마작|PUBG: 배틀그라운드|talk,전체,[유입/환영] 어? 왜 4시가 아니지?,13.1,21,15,2499,3,
