시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 23:01,2026.06.15(월) 03:00,스플래툰 3,전체,와 주말!!,4,35,30,3656,0,
2026.06.13(토) 22:35,2026.06.14(일) 03:30,스플래툰 3,전체,와 금요일!!,4.9,46,37,3555,1,
2026.06.12(금) 22:28,2026.06.13(토) 05:30,스플래툰 3,전체,와 금요일!!,7,42,33,3622,0,
2026.06.11(목) 21:47,2026.06.12(금) 04:00,스플래툰 3,전체,아 너무 빨리 왔다,6.2,35,27,3376,1,
2026.06.10(수) 23:00,2026.06.11(목) 03:12,스플래툰 3,전체,패치노트 보자,4.2,30,24,3149,0,
2026.06.09(화) 22:58,2026.06.10(수) 01:18,talk,전체,닌다 보자,2.3,39,33,2332,1,
2026.06.07(일) 22:31,2026.06.08(월) 03:06,talk,전체,카페 읽기,4.6,37,30,4054,1,
2026.06.06(토) 22:31,2026.06.07(일) 04:36,스플래툰 3,전체,와 토요일!,6.1,38,30,3766,0,
2026.06.05(금) 20:59,2026.06.06(토) 04:30,피크|스플래툰 3,전체,"삐꾸 합방 (멩보님, 테모님, 이끼끼님)",7.5,36,26,2543,1,
2026.06.04(목) 23:17,2026.06.05(금) 03:48,피크|스플래툰 3,전체,반갑 에 벌레,4.5,42,31,3483,3,
2026.06.03(수) 22:00,2026.06.04(목) 04:18,스플래툰 3,전체,안녕하수요,6.3,39,29,3520,1,
2026.06.02(화) 23:07,2026.06.03(수) 05:06,피크|스플래툰 3,전체,반갑 화요일,6,28,22,5118,0,
2026.05.30(토) 23:00,2026.05.31(일) 04:48,피크|스플래툰 3,전체,스플래툰 열심히 하기 운동,5.8,35,25,2323,1,
2026.05.29(금) 21:39,2026.05.30(토) 05:00,피크|스플래툰 3,전체,가보자,7.3,40,30,4152,0,
2026.05.28(목) 23:30,2026.05.29(금) 03:36,스플래툰 3,전체,목요일 잠깐,4.1,32,25,3400,0,
2026.05.27(수) 22:24,2026.05.28(목) 03:06,스플래툰 3,전체,수요일!,4.7,40,28,2327,3,
2026.05.24(일) 22:10,2026.05.25(월) 04:24,스플래툰 3,전체,지각 지각,6.2,42,32,5581,1,
2026.05.23(토) 22:00,2026.05.24(일) 05:06,스플래툰 3,전체,와 토요일,7.1,47,38,5160,0,
2026.05.22(금) 21:06,2026.05.23(토) 05:12,스플래툰 3,전체,와 금요일,8.1,48,38,8603,1,
2026.05.21(목) 23:18,2026.05.22(금) 04:18,스플래툰 3,전체,중간 살짝 옆 요일,5,31,26,3323,0,
2026.05.20(수) 23:00,2026.05.21(목) 03:24,스플래툰 3,전체,중간요일,4.4,37,30,4999,0,
2026.05.17(일) 22:31,2026.05.18(월) 03:48,스플래툰 3,전체,카페 읽고 스플,5.3,38,31,5161,1,
2026.05.16(토) 22:31,2026.05.17(일) 04:42,스플래툰 3,전체,안녕하십니까,6.2,49,36,3765,1,
2026.05.15(금) 22:00,2026.05.16(토) 04:12,친구모아 아일랜드 두근두근 라이프|스플래툰 3,전체,즐거운 금요일,6.2,38,29,3797,0,
2026.05.14(목) 22:30,2026.05.15(금) 03:54,친구모아 아일랜드 두근두근 라이프|스플래툰 3,전체,쯜목,5.4,35,27,4250,0,
2026.05.13(수) 21:59,2026.05.14(목) 02:12,스플래툰 3,전체,안녕하십니까,4.2,36,27,3343,0,
2026.05.10(일) 23:00,2026.05.11(월) 03:06,스플래툰 3,전체,카페 읽기 / 스플,4.1,36,27,3569,0,
2026.05.09(토) 22:29,2026.05.10(일) 05:30,친구모아 아일랜드 두근두근 라이프|스플래툰 3,전체,에벌 데이 2,7,40,29,4539,3,
2026.05.08(금) 22:30,2026.05.09(토) 05:24,스플래툰 3,전체,에벌 데이,6.9,53,40,5452,0,
2026.05.06(수) 23:00,2026.05.07(목) 01:42,스플래툰 3,전체,방슴다,2.7,27,24,1430,0,
2026.05.05(화) 23:05,2026.05.06(수) 01:36,스플래툰 3,전체,개초딩의 날,2.5,35,28,1997,0,
2026.05.03(일) 23:01,2026.05.04(월) 03:12,스플래툰 3|talk,전체,카페 읽고 스플,4.2,37,30,2421,0,
2026.05.02(토) 22:00,2026.05.03(일) 04:48,친구모아 아일랜드 두근두근 라이프|스플래툰 3,전체,안녕하시렵니까,6.8,49,37,5204,1,
2026.05.01(금) 22:12,2026.05.02(토) 01:48,스플래툰 3,전체,취중 스플을 하자,3.6,37,29,2202,0,
2026.04.30(목) 22:30,2026.05.01(금) 02:54,스플래툰 3,전체,안녕하시와요,4.4,34,26,1390,1,
2026.04.29(수) 23:00,2026.04.30(목) 03:00,스플래툰 3,전체,안녕하시와요,4,45,36,2393,1,
2026.04.26(일) 23:00,2026.04.27(월) 03:18,스플래툰 3,전체,카페 읽고 스플?,4.3,39,31,2568,1,
2026.04.25(토) 22:40,2026.04.26(일) 05:18,스플래툰 3,전체,연속 지각의 악마,6.6,44,35,3448,2,
2026.04.24(금) 22:11,2026.04.25(토) 07:24,스플래툰 3,전체,이벤매 / 노베이스 칸스토 도전,9.2,43,32,3242,0,
2026.04.23(목) 23:00,2026.04.24(금) 06:24,스플래툰 3,전체,레이더스 7월 23일 발매,7.4,42,34,2995,2,
2026.04.22(수) 22:31,2026.04.23(목) 02:48,스플래툰 3,전체,레이더스 7월 23일 발매,4.3,42,32,2982,3,
2026.04.21(화) 22:07,2026.04.22(수) 02:06,스플래툰 3,전체,레이더스 7월 23일 발매,4,34,27,3788,1,
2026.04.19(일) 22:30,2026.04.20(월) 03:36,친구모아 아일랜드 두근두근 라이프|스플래툰 3|talk,전체,카페 읽고 스플,5.1,36,30,3998,-1,
2026.04.18(토) 22:00,2026.04.19(일) 05:30,친구모아 아일랜드 두근두근 라이프|스플래툰 3,전체,반갑토요일,7.5,39,30,4033,1,
2026.04.17(금) 21:53,2026.04.18(토) 05:12,친구모아 아일랜드 두근두근 라이프|스플래툰 3,전체,반갑금요일,7.3,34,26,5524,1,
