name_input,platform,channel_id,channel_url,source_url,fetched_at,fetch_status,boundary_signal,channel_name,follower_count,verified,category,recent_streams,channel_description,note
아라하시 타비,chzzk,a6c4ddb09cdb160478996007bff35296,https://chzzk.naver.com/live/a6c4ddb09cdb160478996007bff35296,https://api.chzzk.naver.com/service/v1/channels/a6c4ddb09cdb160478996007bff35296,2026-06-22T14:27:41.577847+00:00,http_200,,아라하시 타비,246313,true,,,🌊Stellive Universe Arahashi Tabi 방송 공지는 ! 카페로 (❁´◡`❁)🌊,recent_streams/category not provided by Chzzk channel profile API
이글콥,chzzk,eaf7b569c9992d0e57db0059eb5c0eeb,https://chzzk.naver.com/live/eaf7b569c9992d0e57db0059eb5c0eeb,https://api.chzzk.naver.com/service/v1/channels/eaf7b569c9992d0e57db0059eb5c0eeb,2026-06-22T14:27:42.029498+00:00,http_200,,이글콥,56272,true,,,한화와 리버풀을 좋아하지만 행복하지 못하고 그저 화가 잔뜩 나서 표준어 구사보다 비속어를 더 많이 구사해버리는 일본어과 출신 명예 잉글랜드인의 데시벨이 조금 높은 방송. 이/글콥 아니고 이글/콥 입니다. (메일 문의 : eaglekop@sandboxnetwork.net),recent_streams/category not provided by Chzzk channel profile API
아리사,chzzk,4de764d9dad3b25602284be6db3ac647,https://chzzk.naver.com/live/4de764d9dad3b25602284be6db3ac647,https://api.chzzk.naver.com/service/v1/channels/4de764d9dad3b25602284be6db3ac647,2026-06-22T14:27:42.423835+00:00,http_200,,아리사,92787,true,,,7시 종합게임스트리머 ദ്ദി ῀ᢦ῀ ）자세한 일정은 카페를 가입해죠요,recent_streams/category not provided by Chzzk channel profile API
고세구,afreeca,gosegu2,https://viewership.softc.one/channel/afreeca/gosegu2,https://viewership.softc.one/channel/afreeca/gosegu2,2026-06-22T14:27:42.821314+00:00,deferred_softc_browser,,고세구!,200304,,,,,Non-Chzzk target; Phase 2 Chzzk channel API not applicable. Basic SOFTC.ONE values from Phase 1 retained.
달콤레나,chzzk,a67b328bcc8eea4451ccfa754bc19ae1,https://chzzk.naver.com/live/a67b328bcc8eea4451ccfa754bc19ae1,https://api.chzzk.naver.com/service/v1/channels/a67b328bcc8eea4451ccfa754bc19ae1,2026-06-22T14:27:42.821314+00:00,http_200,,달콤레나 씨,95384,true,,,방송 공지는 카페를 확인해주세요  문의: dalcomlena@enchantenter.co.kr,recent_streams/category not provided by Chzzk channel profile API
아오쿠모 린,chzzk,516937b5f85cbf2249ce31b0ad046b0f,https://chzzk.naver.com/live/516937b5f85cbf2249ce31b0ad046b0f,https://api.chzzk.naver.com/service/v1/channels/516937b5f85cbf2249ce31b0ad046b0f,2026-06-22T14:27:43.226810+00:00,http_200,,아오쿠모 린,209829,true,,,,recent_streams/category not provided by Chzzk channel profile API
미녕이데려오께,chzzk,c7d3b49d29be2d2b1d74ba8403f5851a,https://chzzk.naver.com/live/c7d3b49d29be2d2b1d74ba8403f5851a,https://api.chzzk.naver.com/service/v1/channels/c7d3b49d29be2d2b1d74ba8403f5851a,2026-06-22T14:27:43.627529+00:00,http_200,,미녕이데려오깨,55392,false,,,소원을 들어주는 달의 여신 등장🌙✨ 우당탕탕 여신님이야!!!,recent_streams/category not provided by Chzzk channel profile API
제갈금자,afreeca,dlsn9911,https://viewership.softc.one/channel/afreeca/dlsn9911,https://viewership.softc.one/channel/afreeca/dlsn9911,2026-06-22T14:27:44.017611+00:00,deferred_softc_browser,,제갈금자,66149,,,,,Non-Chzzk target; Phase 2 Chzzk channel API not applicable. Basic SOFTC.ONE values from Phase 1 retained.
하시요,chzzk,b33c957eac9335d38e4043c3dca97675,https://chzzk.naver.com/live/b33c957eac9335d38e4043c3dca97675,https://api.chzzk.naver.com/service/v1/channels/b33c957eac9335d38e4043c3dca97675,2026-06-22T14:27:44.017611+00:00,http_200,,하시요 HaSiyo,36851,false,,,,recent_streams/category not provided by Chzzk channel profile API
둥그레,chzzk,1b0561f3051c10a24b9d8ec9a6cb3374,https://chzzk.naver.com/live/1b0561f3051c10a24b9d8ec9a6cb3374,https://api.chzzk.naver.com/service/v1/channels/1b0561f3051c10a24b9d8ec9a6cb3374,2026-06-22T14:27:44.419343+00:00,http_200,,둥그레,87325,true,,,방송시간은 매일 팬카페를 통해 공지합니다!(보통 오전 10시) / 이메일 : dunggeure@enchantenter.co.kr,recent_streams/category not provided by Chzzk channel profile API
디디디용,chzzk,798e100206987b59805cfb75f927e965,https://chzzk.naver.com/live/798e100206987b59805cfb75f927e965,https://api.chzzk.naver.com/service/v1/channels/798e100206987b59805cfb75f927e965,2026-06-22T14:27:44.841448+00:00,http_200,,디디디용,61256,true,,,안녕하세욧!!!,recent_streams/category not provided by Chzzk channel profile API
뇨롱이,chzzk,c65ca7335aaeb2ca0c985078223017c0,https://chzzk.naver.com/live/c65ca7335aaeb2ca0c985078223017c0,https://api.chzzk.naver.com/service/v1/channels/c65ca7335aaeb2ca0c985078223017c0,2026-06-22T14:27:45.239224+00:00,http_200,,뇨롱이,69140,true,,,대뇨롱이올시다!💙 방송 일정은 카페에 올라옵니다🥺♥️ 광고문의 : biz@pixelnetwork.co.kr,recent_streams/category not provided by Chzzk channel profile API
망내,chzzk,bd07973b6021d72512240c01a386d5c9,https://chzzk.naver.com/live/bd07973b6021d72512240c01a386d5c9,https://api.chzzk.naver.com/service/v1/channels/bd07973b6021d72512240c01a386d5c9,2026-06-22T14:27:45.635769+00:00,http_200,,망내,75039,true,,,◠‿◠,recent_streams/category not provided by Chzzk channel profile API
이오몽,chzzk,d2fb83a5db130bf4d273c981b82ca41f,https://chzzk.naver.com/live/d2fb83a5db130bf4d273c981b82ca41f,https://api.chzzk.naver.com/service/v1/channels/d2fb83a5db130bf4d273c981b82ca41f,2026-06-22T14:27:46.041811+00:00,http_200,,이오몽,83113,false,,,좀 시끄러운 국악 버튜버,recent_streams/category not provided by Chzzk channel profile API
이로나묭 치카,chzzk,ec30975bd41d3179fe7734ddbf760acb,https://chzzk.naver.com/live/ec30975bd41d3179fe7734ddbf760acb,https://api.chzzk.naver.com/service/v1/channels/ec30975bd41d3179fe7734ddbf760acb,2026-06-22T14:27:46.433788+00:00,http_200,,이로나묭 치카,53079,true,,,부족한 거 많고 최강 둔재지만 너희들의 관심을 먹고 성장하는 이로나묭 치카! 항상 어제보다 더 나은 하루가 되길 바래요! 그리고 저는 아침마다 일어나면 양치한다고 이로나묭 치카입니다. 한국이름이에요? 메일 : maochika@sandboxnetwork.net,recent_streams/category not provided by Chzzk channel profile API
백곰파,chzzk,20ef78f064ebfd8dd4f7ec8a3a222fd2,https://chzzk.naver.com/live/20ef78f064ebfd8dd4f7ec8a3a222fd2,https://api.chzzk.naver.com/service/v1/channels/20ef78f064ebfd8dd4f7ec8a3a222fd2,2026-06-22T14:27:46.846589+00:00,http_200,,백곰파,107295,true,,,비즈니스 문의 100gompa@sandboxnetwork.net /  개인 문의  100gompa@naver.com,recent_streams/category not provided by Chzzk channel profile API
