플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십,밴드위치
치지직,로컨 LokeN,49.4,271,115.9,5726.9,상위(149-296)
치지직,포키쨩,1.6,270,218.2,349.1,상위(149-296)
치지직,미 유,25.2,258,104.2,2627.1,상위(149-296)
치지직,전략적죽음,4.9,256,209.4,1026.1,상위(149-296)
치지직,마젯,5.8,253,185.0,1072.8,상위(149-296)
치지직,좋은나날,13.9,250,92.8,1290.6,상위(149-296)
치지직,LCS 공식,7.8,243,85.8,669.6,상위(149-296)
치지직,킹설아,2.2,191,127.4,280.2,상위(149-296)
치지직,삐부,3.4,188,134.5,457.3,상위(149-296)
치지직,조하구1,7.3,183,158.1,1153.8,상위(149-296)
치지직,이무지,1.6,177,163.3,261.3,상위(149-296)
치지직,기뮨디,5.2,166,76.1,395.5,상위(149-296)
치지직,김달수 Dalsu,31.1,165,73.6,2289.6,상위(149-296)
치지직,휘용,3.1,164,141.3,438.0,상위(149-296)
치지직,스즈 SUZU,4.0,161,126.3,505.4,상위(149-296)
치지직,델로략국,3.5,158,103.9,363.5,상위(149-296)
치지직,루태,0.7,156,99.3,69.5,상위(149-296)
치지직,어스키,0.7,151,126.4,88.5,상위(149-296)
치지직,뽀융쨩,18.2,151,102.1,1859.0,상위(149-296)
치지직,루코 RUKO,1.1,148,114.7,126.2,하위(74-148)
치지직,부리123,1.7,147,105.2,178.9,하위(74-148)
치지직,냐 미 Nyami,2.5,145,138.2,345.5,하위(74-148)
치지직,이렐킹123,3.3,144,107.2,353.9,하위(74-148)
치지직,이성진123,31.8,143,69.8,2219.2,하위(74-148)
치지직,양망두,6.3,143,120.1,756.9,하위(74-148)
치지직,마우쥐,21.6,140,93.4,2017.6,하위(74-148)
치지직,람썬,7.5,140,70.0,524.8,하위(74-148)
치지직,눈꽃,3.8,139,96.0,364.9,하위(74-148)
치지직,함성티비,62.5,137,83.1,5194.1,하위(74-148)
치지직,옥쓔,3.6,137,100.3,361.2,하위(74-148)
치지직,미라클TV,19.9,137,72.2,1437.7,하위(74-148)
치지직,토종 아오리,5.4,136,107.9,582.8,하위(74-148)
치지직,박나나TV,15.1,133,79.5,1201.2,하위(74-148)
치지직,프제짱123,2.2,132,72.2,158.9,하위(74-148)
치지직,후추,43.2,128,29.8,1287.4,하위(74-148)
치지직,트롤야1,3.2,128,105.7,338.1,하위(74-148)
치지직,새싹 Saessack,5.5,128,100.5,553.0,하위(74-148)
치지직,유키츠네,6.6,127,55.0,363.2,하위(74-148)
치지직,꽃빈,0.5,126,109.4,54.7,하위(74-148)
치지직,지수소녀99,36.2,125,53.0,1918.2,하위(74-148)
치지직,우사미 미유,5.9,125,48.6,286.7,하위(74-148)
치지직,해득이,6.9,124,98.4,679.1,하위(74-148)
치지직,티모짱teemo0o,1.8,123,105.2,189.4,하위(74-148)
치지직,성피아,4.3,123,78.5,337.5,하위(74-148)
치지직,샘승아,1.3,123,108.8,141.4,하위(74-148)
치지직,한화생명관전,2.3,122,79.2,182.1,하위(74-148)
치지직,버찌 BUZZI,4.3,121,88.7,381.3,하위(74-148)
치지직,루루카 RURUKA,1.3,121,90.9,118.2,하위(74-148)
치지직,난바다,1.6,120,95.8,153.3,하위(74-148)
치지직,호진리,10.1,116,50.9,514.0,하위(74-148)
치지직,카 일 리,49.7,115,51.2,2547.1,하위(74-148)
치지직,끠월마녀,4.5,115,74.3,334.3,하위(74-148)
치지직,장덕이1,22.8,111,73.3,1671.9,하위(74-148)
치지직,난 슬플때 풀캠을 돌아,8.4,111,80.7,677.7,하위(74-148)
치지직,개리형 garybro,10.1,110,79.4,802.0,하위(74-148)
치지직,하나빈 HANAVIN,2.3,109,92.5,212.8,하위(74-148)
치지직,찬우정,2.1,108,86.5,181.7,하위(74-148)
치지직,젠지관전방,9.4,108,56.8,534.3,하위(74-148)
치지직,김달걀,18.1,106,67.0,1213.5,하위(74-148)
치지직,이차가식기전에,28.4,105,29.7,842.3,하위(74-148)
치지직,롤체고찌,2.3,105,83.0,190.9,하위(74-148)
치지직,CBLOL,4.9,100,45.9,224.9,하위(74-148)
치지직,지닝i,15.2,99,27.7,420.4,하위(74-148)
치지직,빵짱,9.0,98,16.8,151.2,하위(74-148)
치지직,닝냉뇽,2.0,98,63.7,127.4,하위(74-148)
치지직,강다림,3.9,97,78.4,305.8,하위(74-148)
치지직,킹발젭,1.0,96,84.7,84.7,하위(74-148)
치지직,이 아니,3.6,95,79.2,285.0,하위(74-148)
치지직,애플3203,7.8,91,72.9,568.8,하위(74-148)
치지직,텐플라스텐 텐텐,5.8,90,63.1,366.1,하위(74-148)
치지직,보 투,7.0,88,65.9,461.0,하위(74-148)
치지직,냐모이,17.1,87,56.2,961.3,하위(74-148)
치지직,항심 Hangsim,29.1,85,37.8,1098.7,하위(74-148)
치지직,새 담,5.0,84,73.7,368.4,하위(74-148)
치지직,치치94,114.2,83,18.0,2061.1,하위(74-148)
치지직,뵤 오,32.8,83,42.8,1402.8,하위(74-148)
치지직,리하우1,1.3,83,52.7,68.5,하위(74-148)
치지직,우고님,2.4,82,57.3,137.5,하위(74-148)
치지직,얄네,9.1,82,58.7,534.4,하위(74-148)
치지직,템트입니당,19.1,81,14.5,277.2,하위(74-148)
치지직,채수냥,44.8,81,29.3,1312.8,하위(74-148)
치지직,먀 리린,3.7,81,68.4,253.2,하위(74-148)
치지직,LCP,4.1,81,39.9,163.7,하위(74-148)
치지직,냐오 NYAO,4.0,78,43.0,171.8,하위(74-148)
치지직,김 복순,6.0,78,46.5,279.3,하위(74-148)
치지직,엔마 Enma,9.8,77,43.3,424.5,하위(74-148)
치지직,기 찬,25.5,77,40.2,1023.9,하위(74-148)
치지직,국인11,27.1,77,28.1,760.8,하위(74-148)
치지직,강찹쌀,0.5,77,56.4,28.2,하위(74-148)
치지직,시이야,40.2,76,44.0,1769.9,하위(74-148)
치지직,포니92,4.0,75,25.4,101.5,하위(74-148)
치지직,혜 나,53.4,74,10.1,538.3,하위(74-148)
치지직,WUJOOBIT,7.1,74,52.2,370.9,하위(74-148)
