name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,exclude_reason
로컨 LokeN,chzzk,1de3e9d4595f71ab6c20dbd94d9e2f39,94,49.4,271,116,5727,8180,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
함성티비,chzzk,211b7773b3ee7556f9392cab2e026a6c,100,62.5,137,83,5194,430,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
미쓰리,soop,910317,106,83.8,83,53,4468,56289,하위(74-148),리그 오브 레전드,97.3,PUBG: 배틀그라운드,1.8,우아한 세계,0.9,4,false,
수주♥,soop,kdbv1111,116,39.3,199,96,3760,3690,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
해강고원딜,soop,tpgns8829,117,45.5,239,81,3702,47672,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
엊우진,soop,oox00x,121,18.2,278,182,3315,26518,상위(149-296),리그 오브 레전드,85.3,종합게임,11.6,기생수,3.1,3,false,
크포야,soop,b165,124,34.1,178,90,3063,73370,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
바밤바*,soop,iop2554,127,23.2,235,122,2837,6143,상위(149-296),리그 오브 레전드,91.1,LCK,7.7,Road to EWC,1.3,3,false,
미 유,chzzk,d58ace43901fd369f1b4efa4ed175103,129,25.2,258,104,2627,7623,상위(149-296),리그 오브 레전드,40.5,명조:워더링 웨이브,19.8,talk,17.4,10,true,
카 일 리,chzzk,a1e084f0c69d53fa135688f4911a04db,132,49.7,115,51,2547,2708,하위(74-148),리그 오브 레전드,92.4,talk,5.3,메이플스토리 월드,2.3,3,false,
호시야04,soop,iopbnma,141,31.7,123,73,2301,6979,하위(74-148),리그 오브 레전드,98.6,LCK,1.4,,0,2,false,
김달수 Dalsu,chzzk,dcbccbf2d8e2a1b095244c5856d3613a,142,31.1,165,74,2290,3710,상위(149-296),리그 오브 레전드,92.7,팀파이트 매니저 2,7.2,talk,0,3,false,
종탁이,soop,jhsun0620,144,46.2,194,48,2235,119358,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
병현.,soop,skqudgusgud,145,20.7,170,108,2233,1594,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
피유:p,soop,beyou0728,147,34.8,171,64,2225,14668,상위(149-296),리그 오브 레전드,81.5,메이플스토리 월드,10.5,LCK,5.4,6,false,
이성진123,chzzk,37e86a7d674e58eff6e86cc08e8a7965,148,31.8,143,70,2219,1080,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
#민찬기,soop,ckmin706,150,23.2,240,89,2075,50906,상위(149-296),스타크래프트,84.7,리그 오브 레전드,15.3,,0,2,true,
한아밍,soop,kim91709,151,55.7,88,37,2074,28082,하위(74-148),그랜드 테프트 오토 V,44.9,버추얼,18.4,리그 오브 레전드,14.7,10,true,
치치94,chzzk,c1aa33d6a5bb07ef1d6d8004bc4c8337,153,114.2,83,18,2061,1096,하위(74-148),리그 오브 레전드,90.3,talk,3.2,메이플스토리 월드,2.3,8,false,
빵지니♥,soop,son4069,154,11.6,265,176,2047,12712,상위(149-296),토크/캠방,43.2,PUBG: 배틀그라운드,18.9,리그 오브 레전드,17.6,8,true,
마우쥐,chzzk,b2854dc0735e55fa86c53bd15242d30f,155,21.6,140,93,2018,12965,하위(74-148),talk,34.7,리그 오브 레전드,27.2,음악/노래,4.8,19,unknown,
지수소녀99,chzzk,14d7d30bb75a80c63a2296d8b1e452bd,164,36.2,125,53,1918,6618,하위(74-148),리그 오브 레전드,94,하스스톤,2.8,오버워치,1.7,4,false,
BJ금똥왁왁,soop,arthur1220,165,47.3,90,41,1917,31370,하위(74-148),리그 오브 레전드,92.2,전략적 팀 전투,7.8,,0,2,false,
뽀융쨩,chzzk,0f6db01f37f538fc49eea6db3398a11d,167,18.2,151,102,1859,47208,상위(149-296),리그 오브 레전드,83.6,던전앤파이터,12.6,종합 게임,2,5,false,
시이야,chzzk,5a9a50c3d7c5f5720b050e230d3306dc,173,40.2,76,44,1770,6445,하위(74-148),리그 오브 레전드,70.8,마인크래프트,22.9,talk,4.3,7,true,
장덕이1,chzzk,d38ffb6d8324bd4a31d54fc0bf542516,178,22.8,111,73,1672,1125,하위(74-148),로스트아크,60.7,리그 오브 레전드,19,다키스트 던전,11.7,11,true,
이하름,soop,reumsky,181,36.5,90,42,1550,1736,하위(74-148),리그 오브 레전드,94.1,LCK,5.9,,0,2,false,
임유진,soop,hm05082,186,9.7,237,152,1473,41583,상위(149-296),FC 온라인,87.5,리그 오브 레전드,11.5,이웃사람,1,3,unknown,
미라클TV,chzzk,e1e532568c0d2fdb93d22e5d7fda8f13,190,19.9,137,72,1438,12987,하위(74-148),PUBG: 배틀그라운드,49.7,리그 오브 레전드,32.6,오버워치,6,6,true,
뵤 오,chzzk,6086f17b054010b0657af00aff6e6d05,192,32.8,83,43,1403,12504,하위(74-148),talk,40.8,리그 오브 레전드,37.4,그린 헬,3.8,15,unknown,
♨침착맨,soop,maruko86,194,16.6,174,83,1372,84273,상위(149-296),토크/캠방,80.8,종합게임,10.7,리그 오브 레전드,7.6,4,false,
햅번,soop,dhgdgf,195,21.9,111,62,1349,70499,하위(74-148),토크/캠방,77.3,리그 오브 레전드,20.8,이웃사람,1.4,4,false,
채수냥,chzzk,e7d77fdc4a4d4076833fe07e9f18be85,197,44.8,81,29,1313,1266,하위(74-148),리그 오브 레전드,47.7,talk,46.7,메이플스토리 월드,4.9,4,unknown,
좋은나날,chzzk,37ac1f698a0c99c9341f8dc27e84b4f9,200,13.9,250,93,1291,932,상위(149-296),리그 오브 레전드,94.8,talk,2.7,승리의 여신: 니케,1.4,6,false,
후추,chzzk,2d4aa2f79b0a397d032c479ef1b37a67,201,43.2,128,30,1287,38788,하위(74-148),리그 오브 레전드,57.1,PUBG: 배틀그라운드,18.7,마인크래프트,7.3,9,true,
항심,soop,yang2100y,204,29.1,97,43,1251,44164,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
김달걀,chzzk,583349974542d74cc41e2256bf733b92,209,18.1,106,67,1214,18707,하위(74-148),리그 오브 레전드,49.2,talk,46.8,스크릿치 스크래치,3.2,5,true,
박나나TV,chzzk,cd499ac517078d2a3be99177a397b23d,212,15.1,133,80,1201,26602,하위(74-148),리그 오브 레전드,90.9,talk,7.5,그림/아트,1.7,3,false,
뿌리.,soop,nigttp12,214,27.1,135,44,1196,38964,하위(74-148),리그 오브 레전드,70,LCK,20.2,Road to EWC,4.1,7,true,
다쁘,soop,ekgml8766,216,39.2,84,30,1192,51872,하위(74-148),그랜드 테프트 오토 V,61,리그 오브 레전드,36.2,종합게임,1.9,4,true,
만기퇴소,soop,chlwlals88,219,18.8,163,62,1164,100729,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
조하구1,chzzk,c9e23f9b2d858601ac5f20f46634cce2,221,7.3,183,158,1154,9532,상위(149-296),talk,55,리그 오브 레전드,18.9,다크 소울 3,5.8,14,false,
항심 Hangsim,chzzk,20727945d20b7b8d2c946fe704871bb9,226,29.1,85,38,1099,2348,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
마젯,chzzk,9ff4bdc7aa4f3384e84db402bc128b0c,230,5.8,253,185,1073,24263,상위(149-296),talk,65.9,리그 오브 레전드,12.4,멧챠 카멜레온,4.5,11,false,
손민석,soop,sps7693,234,56.1,75,19,1054,1260,하위(74-148),리그 오브 레전드,41.4,종합게임,30.1,메이저,13,8,true,
전략적죽음,chzzk,af0916cdba10c471897e8ea7bfab61e7,236,4.9,256,209,1026,12489,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
기 찬,chzzk,6e976999fb675988d907b59cec1fe9fe,237,25.5,77,40,1024,700,하위(74-148),리그 오브 레전드,93.1,마인크래프트,2.9,오버워치,2.4,4,false,
김레인♥,soop,kdb1223,238,14.4,117,71,1024,224421,하위(74-148),보이스,53.2,리그 오브 레전드,43.6,국가부도의 날,3.2,3,unknown,
눈길.,soop,qksdy147,239,39.6,111,26,1022,76059,하위(74-148),리그 오브 레전드,76.8,그랜드 테프트 오토 V,17.9,마인크래프트,5.3,3,true,
BJ소프트,soop,parksung75,246,26.8,88,36,975,3571,하위(74-148),리그 오브 레전드,98.4,바람의나라,1.6,,0,2,false,
하이요,soop,song1218,247,17.4,78,56,972,29505,하위(74-148),리그 오브 레전드,49.3,버추얼,17.9,LCK,13.2,12,true,
또해영♥,soop,pokimasiso,248,5.3,203,183,972,8168,상위(149-296),리그 오브 레전드,55,토크/캠방,26.1,PUBG: 배틀그라운드,8.4,10,true,
냐모이,chzzk,f71f8e6388ee43635555caa1769fcde4,249,17.1,87,56,961,12171,하위(74-148),talk,56.3,리그 오브 레전드,14.5,용과 같이 0: 맹세의 장소,7.6,16,false,
이차식,soop,zy0205,253,28,82,34,952,6622,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
종학zz,soop,battle8807,264,35,95,26,896,54625,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
야옹민지,soop,mingee1030,269,31,76,28,871,16808,하위(74-148),리그 오브 레전드,98.7,전략적 팀 전투,0.9,서든어택,0.3,4,false,
이차가식기전에,chzzk,2c951958f0b7c2c414aea8ca4d8b1475,274,28.4,105,30,842,3202,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
주보리♥,soop,under444,283,4.1,228,199,815,140123,상위(149-296),리그 오브 레전드,59,토크/캠방,21.7,PUBG: 배틀그라운드,19.3,3,true,
개리형 garybro,chzzk,878cf1be5928a5dbcf196dfa80a32cd5,286,10.1,110,79,802,13825,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
국인11,chzzk,4e75fed3a11dce7efd678d4245cdec36,293,27.1,77,28,761,1674,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
양망두,chzzk,b3e262a2795f17734c149afc738ad250,294,6.3,143,120,757,13882,하위(74-148),talk,41.9,V 라이징,18.8,서브노티카,9,14,unknown,
권지인입니다,soop,kwonjiin1215,311,23,88,30,686,5833,하위(74-148),리그 오브 레전드,100,,0,,0,1,false,
해득이,chzzk,659dcc02fa42de17387db4c8d722f55c,313,6.9,124,98,679,2937,하위(74-148),talk,54.9,리그 오브 레전드,11.9,이나즈마 일레븐: 빅토리 로드,8.5,17,false,
난 슬플때 풀캠을 돌아,chzzk,4bcce6c8f4eeec960e55ffd33b6bcef1,316,8.4,111,81,678,1966,하위(74-148),전략적 팀 전투 : 우주의 신들,94.9,리그 오브 레전드,5.1,,0,2,unknown,
이성진1234,twitch,dltjdwls5507,321,31.1,89,22,672,18655,하위(74-148),League of Legends,100,,0,,0,1,false,
LCS 공식,chzzk,d32a29a1df20237194aa5757eb5f7cb1,324,7.8,243,86,670,1560,상위(149-296),리그 오브 레전드,100,,0,,0,1,false,
백사라,soop,nmeows2s2,337,10.9,76,59,644,1058,하위(74-148),리그 오브 레전드,99.4,버추얼,0.6,,0,2,false,
임밍지,soop,dlaalswl22,348,11.1,129,54,604,9366,하위(74-148),리그 오브 레전드,54.2,토크/캠방,39.2,LCK,3.8,5,true,
