rank,name,hours,peak,avg,viewership,retention,follower,efficiency,conversion_pct
1,LCK,98.8,289990,61787,6104547,0.213,385596,15.831,16.02
2,울프,99.3,193981,31170,3095164,0.161,367166,8.43,8.49
3,김민교.,101.4,53504,17133,1737240,0.32,,,
4,EWC 공식 채널A,20.4,142940,46627,951200,0.326,,,
5,강퀴88,106.2,30204,9954,1057166,0.33,109717,9.635,9.07
6,이상호,87.6,28771,11498,1007225,0.4,,,
7,랄로,149.2,15451,9228,1376844,0.597,378160,3.641,2.44
8,탬탬버린,47.9,29490,10327,494653,0.35,316141,1.565,3.27
9,치지직 게임,25.1,26154,16727,419859,0.64,54286,7.734,30.81
10,풍월량,70.5,11833,8303,585339,0.702,248219,2.358,3.35
11,운타라,186.2,19205,3331,620208,0.173,109003,5.69,3.06
12,따효니,74.8,11187,5051,377845,0.452,152902,2.471,3.3
13,침착맨,71.8,11699,4401,315980,0.376,316404,0.999,1.39
14,괴물쥐,98.3,9151,3859,379380,0.422,350384,1.083,1.1
15,서새봄냥 SEBOM,190.5,9266,3196,608820,0.345,190916,3.189,1.67
16,A-염보성!!,64.7,16826,3649,236067,0.217,,,
17,큐베 CuVee,160.1,10173,2871,459583,0.282,59288,7.752,4.84
18,HLE Gumayusi,26.1,10682,5341,139406,0.5,39753,3.507,13.44
19,도파,63.1,19795,3232,203932,0.163,163309,1.249,1.98
20,파카,111.5,6749,3282,365904,0.486,260643,1.404,1.26
21,베릴20,207.5,9760,2332,483829,0.239,36926,13.103,6.32
22,저라뎃,44.6,10246,3706,165289,0.362,,,
23,룩삼,88.0,10255,2828,248873,0.276,181736,1.369,1.56
24,윤가놈,70.1,13204,2854,200087,0.216,185084,1.081,1.54
25,피닉스박,58.0,9108,2897,168000,0.318,154237,1.089,1.88
26,클리드1,143.8,10186,2059,296029,0.202,,,
27,고전파0,22.0,6897,4647,102231,0.674,,,
28,도란도라아안,21.0,6827,4571,95997,0.67,,,
29,앰비션,119.5,5110,2117,252979,0.414,136965,1.847,1.55
30,노페,133.1,10277,1529,203461,0.149,25937,7.844,5.9
31,삼식,42.6,6662,2884,122849,0.433,184905,0.664,1.56
32,MaRin마린,227.1,7148,1412,320717,0.198,21947,14.613,6.43
33,인간젤리,211.2,4977,1435,303098,0.288,80622,3.759,1.78
34,플레임,131.3,8537,1446,189846,0.169,120838,1.571,1.2
35,피넛ㅁ,13.5,9758,3759,50749,0.385,,,
36,안녕수야,58.7,14521,1758,103211,0.121,,,
37,소우릎,130.9,4124,1559,204029,0.378,68313,2.987,2.28
38,깐숙,91.7,5077,1518,139198,0.299,,,
39,강소연,91.5,3653,1779,162790,0.487,123192,1.321,1.44
40,인섹,77.9,4831,1756,136794,0.363,51145,2.675,3.43
41,다주,27.1,6357,2183,59162,0.343,224716,0.263,0.97
42,캬하하 이석현,182.5,4935,1194,217926,0.242,52567,4.146,2.27
43,네네코 마시로,19.5,4209,2896,56481,0.688,202615,0.279,1.43
44,하나코 나나,7.3,5378,3975,29018,0.739,198960,0.146,2.0
45,임아니,272.2,3067,1140,310367,0.372,,,
46,LPL공식,57.5,8649,1409,80998,0.163,5810,13.941,24.25
47,러너,175.0,4477,1110,194259,0.248,115542,1.681,0.96
48,샘웨,103.9,4007,1293,134374,0.323,87817,1.53,1.47
49,페이즈으,23.4,3831,2259,52856,0.59,,,
50,스맵임,84.1,4464,1274,107110,0.285,,,
51,꼴랑이,94.1,2575,1375,129426,0.534,45067,2.872,3.05
52,김뚜띠,11.2,4020,2940,32925,0.731,145981,0.226,2.01
53,(주)박사장$,44.3,4817,1414,62630,0.294,,,
54,LCK CL,37.5,3930,1656,62084,0.421,,,
55,케리아아,3.4,7347,5120,17409,0.697,,,
56,onerrrr,21.8,4097,2099,45756,0.512,,,
57,프으레이,86.8,2507,1257,109119,0.501,,,
58,나는상윤,118.1,6179,896,105832,0.145,,,
59,고수달,138.1,3036,1004,138693,0.331,74375,1.865,1.35
60,ENCHANT,114.4,25049,777,88905,0.031,89102,0.998,0.87
61,LCK_CL,37.4,4178,1375,51414,0.329,,,
62,준밧드,41.2,5055,1243,51201,0.246,,,
63,둥그레,82.9,2717,1112,92198,0.409,87339,1.056,1.27
64,와디드 Wadid,91.5,8342,873,79855,0.105,14976,5.332,5.83
65,뱅,151.5,3951,851,128973,0.215,102634,1.257,0.83
66,HLE Zeus,6.8,4663,2649,18015,0.568,,,
67,서도일,209.2,2448,736,153966,0.301,,,
68,BJ훈수킹,96.3,2444,908,87474,0.372,,,
69,강지,4.6,4498,3016,13875,0.671,277690,0.05,1.09
70,HLE Zeka,9.7,3582,2050,19886,0.572,25331,0.785,8.09
71,달콤레나 씨,10.7,2969,1954,20911,0.658,94730,0.221,2.06
72,헤징,142.0,2973,646,91676,0.217,68371,1.341,0.94
73,정령왕임,51.3,2028,984,50454,0.485,37059,1.361,2.66
74,명예훈장,19.0,2616,1241,23577,0.474,150152,0.157,0.83
75,아카네 리제,2.0,5934,3938,7876,0.664,244215,0.032,1.61
76,해기_,145.0,3572,565,81992,0.158,,,
77,멋사,54.1,1764,890,48170,0.505,108639,0.443,0.82
78,쩡혁,9.9,5185,1348,13346,0.26,,,
79,쌍베,19.4,1930,1145,22208,0.593,106690,0.208,1.07
80,0영듀0,56.9,1306,868,49416,0.665,63194,0.782,1.37
81,독케익,19.0,1669,1170,22239,0.701,,,
82,김나성,44.1,1649,860,37918,0.522,62449,0.607,1.38
83,˚다누리,148.8,1243,599,89107,0.482,,,
84,크캣,344.8,2346,400,138037,0.171,41563,3.321,0.96
85,김뿡,5.7,2497,1966,11208,0.787,135082,0.083,1.46
86,꿀템은죽었다,126.5,3582,459,58073,0.128,,,
