month,n,ch1so1_pct,cruise_pct,so1_pct,so2_pct,heading_pct
2023-04,10,60.0,30.0,60.0,30.0,20.0
2023-05,185,92.4,1.6,93.0,7.0,7.0
2023-06,30,73.3,13.3,73.3,16.7,16.7
2023-07,76,88.2,3.9,89.5,6.6,7.9
2023-08,15,93.3,0.0,93.3,0.0,13.3
2023-09,19,84.2,10.5,84.2,10.5,10.5
2023-10,62,85.5,4.8,85.5,9.7,14.5
2023-11,16,56.2,12.5,68.8,12.5,18.8
2023-12,22,90.9,0.0,90.9,4.5,13.6
2024-01,39,87.2,0.0,87.2,10.3,23.1
2024-02,21,85.7,0.0,90.5,4.8,4.8
2024-03,42,78.6,4.8,78.6,11.9,9.5
2024-04,38,81.6,5.3,81.6,10.5,10.5
2024-05,60,81.7,0.0,86.7,10.0,20.0
2024-06,29,72.4,6.9,72.4,20.7,24.1
2024-07,44,63.6,6.8,63.6,25.0,27.3
2024-09,77,70.1,0.0,70.1,3.9,1.3
2024-10,66,65.2,0.0,66.7,28.8,3.0
2024-11,21,76.2,4.8,81.0,9.5,4.8
2024-12,34,55.9,8.8,64.7,17.6,5.9
2025-01,30,46.7,20.0,66.7,16.7,3.3
2025-02,56,55.4,7.1,58.9,19.6,16.1
2025-03,75,76.0,1.3,78.7,14.7,6.7
2025-04,47,55.3,2.1,57.4,34.0,21.3
2025-05,89,78.7,3.4,79.8,11.2,6.7
2025-06,195,87.2,2.1,87.7,8.2,11.8
2025-07,175,88.6,1.1,88.6,4.6,11.4
2025-08,16,81.2,6.2,81.2,6.2,12.5
2025-09,32,62.5,3.1,78.1,18.8,25.0
2025-10,85,44.7,17.6,47.1,27.1,34.1
2025-11,72,63.9,5.6,77.8,18.1,5.6
2025-12,51,62.7,7.8,62.7,19.6,15.7
2026-01,59,76.3,8.5,83.1,8.5,10.2
2026-03,34,64.7,5.9,70.6,23.5,32.4
2026-04,66,77.3,4.5,80.3,10.6,24.2
2026-05,52,19.2,36.5,25.0,30.8,38.5
2026-06,101,78.2,3.0,81.2,13.9,12.9
