시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 04:45,2026.06.14(일) 11:48,오버워치|talk,전체,히히 ૮ ・ﻌ・ა,7,947,628,22640,24,
2026.06.13(토) 08:49,2026.06.13(토) 16:24,진격의 거인 2|talk,전체,우우와와우와우와와타쿠타쿠 ૮ ・ﻌ・ა,7.6,471,397,21613,30,
2026.06.12(금) 09:56,2026.06.12(금) 16:24,진격의 거인 2|talk,전체,일어나보니 팔에 감각이 없었어 ૮ ・ﻌ・ა,6.5,586,485,15217,31,
2026.06.10(수) 09:00,2026.06.10(수) 16:18,talk,전체,여스만 만지고 온 사람 ૮ ・ﻌ・ა,7.3,1079,797,31767,39,
2026.06.09(화) 09:01,2026.06.09(화) 13:30,명조:워더링 웨이브|talk,전체,이 방송은 이제 제껍니다 ૮ ・ﻌ・ა,4.5,3249,1546,27887,44,
2026.06.07(일) 04:10,2026.06.07(일) 09:00,아이 펠 포 허|talk,전체,고양이한테 자리 빼앗겨서 방송못킴૮ ・ﻌ・ა,4.8,1641,1125,24597,56,
2026.06.06(토) 08:59,2026.06.06(토) 14:36,젠레스 존 제로|talk,전체,오랜만에 캠 키는 날 ૮ ・ﻌ・ა,5.6,1149,823,31612,47,
2026.06.05(금) 09:59,2026.06.05(금) 14:00,talk,전체,아 주 많 은 일 이 있 던 것 ૮ ・ﻌ・ა,4,842,588,26554,11,
2026.06.03(수) 09:38,2026.06.03(수) 17:12,talk,전체,투표하고 왔숨 ૮ ・ﻌ・ა,7.6,740,571,33184,20,
2026.06.02(화) 10:05,2026.06.02(화) 16:12,초자연 작전팀|오버워치|talk,전체,아 파라파라나 춰야겠다 ૮ ・ﻌ・ა,6.1,602,434,14652,16,
2026.05.31(일) 02:32,2026.05.31(일) 09:12,종합 게임|talk,성인,아침형 인간(아님) ૮ ・ﻌ・ა,6.7,2468,1516,18741,159,
2026.05.30(토) 08:59,2026.05.30(토) 14:12,오버워치|talk,전체,아침방송 하고 운동하고 저녁방송하기 ૮ ・ﻌ・ა,5.2,508,413,14799,16,
2026.05.30(토) 02:06,2026.05.30(토) 05:36,talk,전체,으어어 아침이당 ૮ ・ﻌ・ა,3.5,929,773,13418,68,
2026.05.29(금) 09:31,2026.05.29(금) 15:12,명조:워더링 웨이브|젠레스 존 제로|talk,전체,내가 왔는디 ૮ ・ﻌ・ა,5.7,1526,590,29784,15,
2026.05.27(수) 06:33,2026.05.27(수) 14:36,젠레스 존 제로|talk,전체,안뇽뇽뇽뇽뇽뇽 ૮ ・ﻌ・ა,8,956,708,27761,37,
2026.05.26(화) 08:31,2026.05.26(화) 13:54,오버워치|talk,전체,섹시겜잘스청초핫걸 등장 ૮ ・ﻌ・ა,5.4,620,521,22159,21,
2026.05.24(일) 02:13,2026.05.24(일) 08:54,다크 팰즈: 더 퍼스트 플로어|오버워치|talk,전체,뚱뚱까스 등장 ૮ ・ﻌ・ა,6.7,1549,1012,24848,83,
2026.05.23(토) 08:20,2026.05.23(토) 13:00,명조:워더링 웨이브|talk,전체,반갑습니다요 ૮ ・ﻌ・ა,4.7,3000,1677,32920,124,
2026.05.22(금) 06:01,2026.05.22(금) 11:06,바우-와우 배틀|오버워치|talk,전체,새로운 여성분들 만나는 날;;;; ૮ ・ﻌ・ა,5.1,726,447,12855,19,
2026.05.20(수) 08:31,2026.05.20(수) 16:18,여름미녀|심장 폭주 주의보!|talk,전체,뭔가 오랜만이야 ૮ ・ﻌ・ა,7.8,906,618,37125,42,
2026.05.17(일) 02:40,2026.05.17(일) 08:00,틴다크|왕좌의 게임: 킹스로드|talk,전체,조흔 아침 ૮ ・ﻌ・ა,5.3,1131,721,23430,28,
2026.05.16(토) 07:15,2026.05.16(토) 15:48,왕좌의 게임: 킹스로드|에브리씽 이즈 크랩: 동물 진화 로그라이트|talk,전체,양흐흑 양흐흑 ૮ ・ﻌ・ა,8.5,814,502,33075,26,
2026.05.15(금) 09:08,2026.05.15(금) 16:00,종합 게임|왕좌의 게임: 킹스로드|talk,전체,치지직 초 섹시 스트리머 등장🫦 ૮ ・ﻌ・ა,6.9,633,396,17878,21,
2026.05.14(목) 13:16,2026.05.14(목) 16:48,오버워치|talk,전체,안녕하세요 오늘 휴방이었는데요 다들 오버워치한다고 하길래 급하게 집으로 돌아왔습니다 반갑습니다 오버워치 하겠습니다 ૮ ・ﻌ・ა,3.5,509,393,5693,17,
2026.05.13(수) 08:08,2026.05.13(수) 13:48,붕괴: 스타레일|talk,전체,가즈아ㅏㅏㅏㅏㅏ ૮ ・ﻌ・ა,5.7,814,545,15377,5,
2026.05.12(화) 09:42,2026.05.12(화) 15:24,슈퍼 배틀 골프|오버워치|talk|VR챗,전체,오늘 괜찮을까 ૮ ・ﻌ・ა,5.7,553,442,20353,28,
2026.05.11(월) 09:53,2026.05.11(월) 15:42,오버워치|talk,전체,아주 중요한 날이야 ૮ ・ﻌ・ა,5.8,781,551,22718,82,
2026.05.10(일) 05:17,2026.05.10(일) 17:00,얍얍|오버워치|talk,전체,분내들과 교류하는 날 ૮ ・ﻌ・ა,11.7,734,498,29705,46,
2026.05.09(토) 10:56,2026.05.09(토) 15:06,오버워치|talk,전체,아.......................... ૮ ・ﻌ・ა,4.2,628,522,12567,15,
2026.05.08(금) 10:30,2026.05.08(금) 15:48,종합 게임|젠레스 존 제로|talk,전체,하이하이 어루지 데스 ૮ ・ﻌ・ა,5.3,678,476,18913,13,
2026.05.06(수) 06:38,2026.05.06(수) 15:12,오버워치|talk,전체,그때 갑자기 양아지가 나타났다 ૮ ・ﻌ・ა,8.6,904,690,25756,44,
2026.05.05(화) 08:02,2026.05.05(화) 13:48,오버워치|talk,전체,어린이날이라고?!!!!! ૮ ・ﻌ・ა,5.8,652,555,37212,29,
2026.05.03(일) 06:21,2026.05.03(일) 19:24,오버워치|방 탈출 시뮬레이터2|슬레이 더 스파이어 2|talk,전체,59만 유튜바 등장 ૮ ・ﻌ・ა,13,817,503,26499,101,
2026.05.02(토) 07:35,2026.05.02(토) 14:18,명조:워더링 웨이브|talk,전체,앵얼쥐 등장 ૮ ・ﻌ・ა,6.7,4481,1912,34342,148,
2026.05.01(금) 09:43,2026.05.01(금) 16:12,talk,전체,뭐했다고 5월인가요? ૮ ・ﻌ・ა,6.5,932,679,32634,15,
2026.04.29(수) 09:18,2026.04.29(수) 14:24,이환|친구모아 아일랜드 두근두근 라이프|talk,전체,야르 야르릉 ૮ ・ﻌ・ა,5.1,736,517,20245,24,
2026.04.28(화) 11:00,2026.04.28(화) 13:30,talk,전체,님들 ૮ ・ﻌ・ა,2.5,679,592,12374,24,
2026.04.26(일) 05:00,2026.04.26(일) 11:36,슬레이 더 스파이어 2|talk,전체,하아아아아아아아아잇 ૮ ・ﻌ・ა,6.6,1157,716,17926,78,
2026.04.25(토) 07:09,2026.04.25(토) 10:54,오버워치|talk,전체,미소녀들과 노는 날 ૮ ・ﻌ・ა,3.7,501,364,11628,9,
2026.04.24(금) 10:02,2026.04.24(금) 16:06,프랫폴|젠레스 존 제로|talk,전체,새친구 사귀는 날이래요 ૮ ・ﻌ・ა,6.1,434,363,19180,15,
2026.04.22(수) 11:11,2026.04.22(수) 17:30,talk,전체,영도 키는 날 ૮ ・ﻌ・ა,6.3,694,566,19858,-10,
2026.04.21(화) 10:36,2026.04.21(화) 15:42,친구모아 아일랜드 두근두근 라이프|talk,전체,깜짝이야에서 깜을 빼면 안된대 ૮ ・ﻌ・ა,5.1,554,461,24592,23,
2026.04.19(일) 08:41,2026.04.19(일) 16:12,붕괴: 스타레일|talk,전체,gjf eoqkrtkrjs ૮ ・ﻌ・ა,7.5,1003,771,26210,43,
2026.04.18(토) 10:30,2026.04.18(토) 14:48,이환|친구모아 아일랜드 두근두근 라이프|talk,전체,ㅠㅠ ૮ ・ﻌ・ა,4.3,514,448,20168,5,
2026.04.17(금) 06:19,2026.04.17(금) 16:06,프래그마타|talk,전체,머리가 구워졌어 ૮ ・ﻌ・ა,9.8,811,473,24316,29,
