시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:00,2026.06.15(월) 14:54,성세천하: 여제의 탄생 Ⅱ|talk,전체,나기 등쟝!!₊˚ ᨦ ⌯'ᵕ'⌯ᨩ,5.9,561,450,11445,13,
2026.06.14(일) 09:00,2026.06.14(일) 15:36,talk,전체,나기랑도 대결하쟈!! 한판 떠!!,6.6,774,631,24136,38,
2026.06.13(토) 05:59,2026.06.13(토) 11:06,더 게임 오브 라이프 포 닌텐도 스위치|Life is a game : 인생게임|talk,전체,나하하 신난다아ᨦ(๑˃̵ᴗ˂̵) ᨩ,5.1,580,475,10900,13,
2026.06.12(금) 08:59,2026.06.12(금) 15:06,음악/노래|talk,전체,시켜줘 승리의 요정 ᨦ( ✦⩊✦ )ᨩ,6.1,1470,1021,22786,82,
2026.06.10(수) 09:00,2026.06.10(수) 16:06,슈퍼 마리오브라더스 원더|talk,전체,하푸들아!!!,7.1,800,690,28281,47,
2026.06.09(화) 09:00,2026.06.09(화) 17:30,슈퍼 마리오브라더스 원더|talk,전체,다들 준비대찌?!! ᨦ(｡•̀ᴗ-)✧ᨩ,8.5,722,604,29427,94,
2026.06.08(월) 09:00,2026.06.08(월) 15:00,talk,전체,나기가 오늘은 무엇을 준비했을까나 히ㅣ히,6,1414,1066,33825,98,
2026.06.07(일) 06:59,2026.06.07(일) 16:42,성세천하: 여제의 탄생|talk,전체,나기 등쟝 ₊˚ ᨦᐢ. ⩊.ᐢᨩ ♡,9.7,1253,726,33913,82,
2026.06.06(토) 08:59,2026.06.06(토) 17:00,마이 리틀 퍼피|talk,전체,오늘은 구독 열리는 날 ₊˚ ᨦ( ៸៸>⩊<៸៸)ᨩ,8,1787,968,44490,160,
2026.06.06(토) 07:00,2026.06.06(토) 07:12,talk,전체,오늘은 구독 열리는 날 ₊˚ ᨦ( ៸៸>⩊<៸៸)ᨩ,0.2,1253,1059,1047,5,
2026.06.04(목) 10:02,2026.06.04(목) 16:54,후즈 앳 더 도어|리그 오브 레전드|라이프 이즈 스트레인지,전체,조용히하세요.,6.9,2144,1428,43066,240,
2026.06.04(목) 09:29,2026.06.04(목) 10:00,리그 오브 레전드,전체,조용히하세요.,0.5,1091,826,2060,9,
2026.06.04(목) 06:59,2026.06.04(목) 09:24,리그 오브 레전드|talk,전체,나기가 왔어~~,2.4,1953,1481,11022,129,
2026.06.03(수) 12:28,2026.06.03(수) 16:30,폴리 브릿지 3|talk,전체,하푸들 미안합니다아..,4,1106,930,13777,111,
2026.06.03(수) 11:38,2026.06.03(수) 12:24,폴리 브릿지 3,전체,나 지금 너무 설레..!!,0.8,1216,1145,3696,28,
2026.06.03(수) 07:00,2026.06.03(수) 11:36,킵 토킹 앤 노바디 익스플로드|폴리 브릿지 3|talk,전체,나 지금 너무 설레..!!,4.6,2608,1665,24024,305,
2026.06.02(화) 06:58,2026.06.02(화) 18:00,링 피트 어드벤처|8번 출구|talk,전체,5월 30일에 데!뷔!한 아마네 나기입니다! 잘부탁드립니다앙,11,3345,1948,63459,1143,
2026.06.01(월) 07:11,2026.06.01(월) 15:30,전국 일반상식 체크|talk,전체,5월 30일에 데!뷔!한 아마네 나기입니다! 잘부탁드립니다앙,8.3,4566,1896,48157,1568,
2026.06.01(월) 07:00,2026.06.01(월) 07:06,talk,전체,5월 30일에 데!뷔!한 아마네 나기입니다! 잘부탁드립니다앙,0.1,1749,1749,0,0,
2026.05.30(토) 05:50,2026.05.30(토) 07:00,talk,전체,플라네타 [데네브] 아마네 나기 데뷔 !,1.2,6799,3767,19671,1538,
